from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,to date,station
20-Oct-2020 - 00:00,108.11,171.23,32.66,49.79,45.54,14.61,5.82,1.34,16.82,3.87,3.51,0.1,1.14,3.98,28.1,71.67,0.21,141.02,754.53,154.02,21-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
21-Oct-2020 - 00:00,87.4,137.86,31.84,48.15,43.79,16.49,7.02,1.28,11.95,4.74,4.18,0.1,1.72,5.25,28.42,71.03,0.2,136.3,755.03,146.49,22-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
22-Oct-2020 - 00:00,70.72,149.6,27.63,31.95,28.59,22.13,4.42,1.21,5.51,4.12,3.23,0.1,1.7,5.4,30.24,65.68,0.46,130.9,754.17,407.17,23-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
23-Oct-2020 - 00:00,86.49,132.37,24.68,24.01,20.81,14.54,3.72,0.79,8.15,2.66,1.77,0.12,1.13,4.1,30.42,63.07,0.44,207.25,753.51,326.41,24-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
24-Oct-2020 - 00:00,99.06,142.7,27.72,20.09,18.75,14.93,3.86,1.01,8.55,3.03,2.53,0.13,1.19,4.32,27.14,71.59,0.42,272.57,754.57,160.71,25-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
25-Oct-2020 - 00:00,133.53,188.83,32.32,20.65,21.46,14.91,5.01,1.28,15.88,3.95,2.51,0.13,1.4,5.15,25.03,62.48,0.41,262.77,756.84,186.0,26-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
26-Oct-2020 - 00:00,149.83,186.42,33.85,24.15,25.4,17.53,5.66,1.29,18.71,4.8,3.24,0.13,1.45,5.32,24.68,68.28,0.24,210.48,757.47,167.5,27-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
27-Oct-2020 - 00:00,155.54,233.71,35.59,29.57,30.84,16.39,5.79,1.27,27.22,5.07,3.33,0.13,2.01,7.11,24.02,68.8,0.36,242.09,757.35,172.56,28-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
28-Oct-2020 - 00:00,126.94,191.54,36.78,30.7,31.9,16.37,6.33,1.32,39.53,4.52,2.86,0.13,2.16,7.13,24.3,60.06,0.28,252.26,757.18,171.53,29-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
29-Oct-2020 - 00:00,101.08,117.0,41.12,38.99,41.29,16.56,5.71,1.22,35.73,6.96,2.86,0.13,1.93,6.93,24.1,63.13,0.26,247.76,756.54,172.13,30-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
30-Oct-2020 - 00:00,177.81,95.72,45.45,40.94,45.12,16.55,6.89,1.19,38.68,7.7,2.67,0.13,1.71,6.41,24.68,59.7,0.3,260.63,755.88,165.89,31-Oct-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
31-Oct-2020 - 00:00,58.91,82.07,38.68,35.86,37.51,16.27,6.9,1.3,38.5,4.35,2.79,0.13,1.63,5.86,25.75,59.23,0.55,292.93,755.75,154.04,01-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
01-Nov-2020 - 00:00,91.84,73.35,36.44,56.26,51.55,16.48,10.35,1.21,50.4,5.26,3.03,0.12,1.07,4.01,25.52,62.02,0.4,273.15,756.33,152.61,02-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
02-Nov-2020 - 00:00,28.41,78.8,40.86,71.7,67.39,17.49,9.09,1.48,58.07,5.54,3.66,0.13,1.09,4.0,24.22,62.73,0.43,280.63,757.17,133.43,03-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
03-Nov-2020 - 00:00,20.38,96.11,36.84,67.72,61.5,16.33,9.58,1.09,68.62,3.06,2.41,0.13,0.46,1.62,22.75,52.54,0.55,295.78,757.23,133.88,04-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
04-Nov-2020 - 00:00,19.22,148.59,53.24,96.14,93.45,14.56,9.07,1.23,43.17,6.69,2.25,0.13,1.79,6.15,21.94,50.52,0.45,239.63,756.52,157.79,05-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
05-Nov-2020 - 00:00,21.6,113.06,58.22,117.11,112.87,12.37,8.97,1.56,39.31,6.2,3.22,0.13,2.6,8.32,22.0,56.75,0.16,224.79,757.72,148.32,06-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
06-Nov-2020 - 00:00,21.69,78.0,55.84,124.74,117.74,11.92,8.07,1.51,33.28,8.08,3.25,0.13,2.13,6.95,21.05,65.88,0.17,166.67,756.02,121.33,07-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
07-Nov-2020 - 00:00,19.44,73.69,53.51,113.16,107.24,12.56,7.05,1.92,36.76,8.67,4.46,0.13,3.27,10.35,21.22,72.68,0.2,228.68,753.3,127.38,08-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
08-Nov-2020 - 00:00,23.76,67.19,49.56,114.21,106.02,12.5,6.8,2.17,37.98,8.97,4.69,0.13,3.52,10.98,21.89,70.9,0.18,219.06,753.32,136.0,09-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
09-Nov-2020 - 00:00,15.0,69.37,50.37,111.63,104.37,11.83,6.81,1.5,32.51,6.53,3.43,0.13,2.81,9.06,22.38,62.94,0.21,228.51,752.66,148.08,10-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
10-Nov-2020 - 00:00,8.58,56.91,47.68,111.06,102.26,11.31,7.43,1.7,37.81,6.52,3.37,0.13,3.15,9.64,22.45,66.93,0.14,193.62,752.49,144.11,11-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
11-Nov-2020 - 00:00,15.47,61.53,63.25,140.57,134.32,13.46,8.88,1.98,38.12,8.63,4.21,0.13,4.31,12.68,23.49,67.81,0.16,164.29,753.11,147.97,12-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
12-Nov-2020 - 00:00,10.49,57.22,41.1,106.22,91.06,15.06,6.48,1.55,21.08,6.81,3.72,0.12,3.75,11.28,23.69,63.52,0.19,236.01,753.37,129.81,13-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
13-Nov-2020 - 00:00,18.34,57.09,26.26,80.92,67.23,19.3,6.68,1.63,30.62,6.41,3.65,0.13,2.6,8.28,23.78,64.2,0.24,208.64,752.68,123.44,14-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
14-Nov-2020 - 00:00,38.76,67.3,49.04,88.64,85.25,8.19,10.62,1.42,38.3,6.43,4.03,0.13,2.38,7.93,23.28,65.38,0.24,212.7,753.2,148.65,15-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
15-Nov-2020 - 00:00,46.07,116.64,49.78,102.85,97.03,2.34,10.45,1.99,37.08,7.43,4.28,0.13,3.02,9.53,22.91,66.88,0.22,220.4,748.73,156.38,16-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
16-Nov-2020 - 00:00,39.76,97.42,44.92,98.11,89.86,8.95,8.25,1.32,29.49,7.76,4.08,0.13,2.4,7.98,21.15,68.79,0.52,255.72,748.51,117.91,17-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
17-Nov-2020 - 00:00,27.78,85.13,43.83,90.16,83.33,13.05,6.01,1.03,26.07,4.73,2.26,0.13,1.62,5.51,21.43,68.36,0.54,297.87,747.83,177.47,18-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
18-Nov-2020 - 00:00,32.01,93.27,46.76,87.27,82.95,13.6,6.23,1.24,28.93,5.02,3.11,0.13,1.32,5.16,22.2,68.73,0.28,260.39,747.84,142.24,19-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
19-Nov-2020 - 00:00,38.21,95.6,44.62,102.77,93.79,13.6,6.15,1.97,31.07,6.5,4.24,0.13,2.39,7.71,21.04,77.77,0.19,173.69,747.81,91.12,20-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
20-Nov-2020 - 00:00,39.55,90.58,38.6,75.27,69.07,,6.73,1.57,39.74,5.53,4.02,0.13,1.49,6.1,22.34,72.29,0.2,220.74,747.8,144.95,21-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
21-Nov-2020 - 00:00,37.28,79.61,40.57,71.46,66.66,,6.03,0.93,49.93,3.27,2.57,0.13,0.98,3.59,20.22,59.33,0.55,285.26,748.25,165.99,22-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
22-Nov-2020 - 00:00,37.51,179.68,52.44,87.47,86.08,,6.99,1.36,39.87,4.8,2.66,0.13,1.33,4.7,17.51,57.56,0.38,255.28,748.91,170.03,23-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
23-Nov-2020 - 00:00,114.81,238.79,60.98,116.87,114.27,,7.21,1.89,35.88,5.92,5.34,0.13,1.97,6.88,17.62,61.52,0.17,205.41,749.35,154.1,24-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
24-Nov-2020 - 00:00,288.21,372.29,57.96,143.01,133.5,,5.94,1.92,33.44,8.85,9.43,0.13,3.76,11.26,17.96,64.1,0.17,214.76,749.14,150.0,25-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
25-Nov-2020 - 00:00,317.99,415.63,55.99,150.76,138.71,,6.67,2.3,39.1,9.01,10.11,0.13,3.61,10.78,18.22,67.91,0.15,184.33,749.14,148.59,26-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
26-Nov-2020 - 00:00,271.0,375.77,53.78,132.85,122.84,12.49,6.96,1.96,36.52,10.5,8.94,0.13,4.47,12.91,19.56,71.0,0.14,180.57,749.26,128.69,27-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
27-Nov-2020 - 00:00,216.22,354.93,59.38,76.04,79.57,12.39,6.26,1.93,13.13,8.31,5.24,0.13,1.66,6.35,18.83,75.41,0.24,252.67,749.87,48.25,28-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
28-Nov-2020 - 00:00,201.7,303.37,44.63,31.3,34.02,9.82,5.63,2.15,27.72,6.81,6.25,0.13,1.93,7.05,18.85,70.35,0.44,266.09,749.67,146.69,29-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
29-Nov-2020 - 00:00,126.02,233.06,35.02,47.79,45.15,6.71,5.24,1.71,22.61,7.7,7.94,0.13,3.22,9.71,19.29,60.33,0.39,260.53,749.38,151.89,30-Nov-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
30-Nov-2020 - 00:00,143.53,251.09,53.85,80.7,78.81,6.7,6.51,1.86,24.69,7.96,7.01,0.13,3.64,11.15,18.75,61.86,0.27,230.01,752.87,135.31,01-Dec-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
01-Dec-2020 - 00:00,175.56,310.99,64.6,170.66,159.14,,6.02,1.84,5.92,8.43,4.53,0.13,2.21,7.67,15.04,78.0,0.09,164.0,761.94,10.63,02-Dec-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
