from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO2,NO,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,10.21,997.59,543.33,427.91,72.58,97.58,170.78,179.17,0.8,2.9,,52.74,58.67,60.76,25.79,11.94,02-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
02-Jan-2020 - 00:00,13.45,997.52,411.36,304.67,68.05,126.04,175.62,156.31,0.68,2.07,,52.33,55.55,58.15,21.08,14.77,03-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
03-Jan-2020 - 00:00,17.08,995.36,282.41,249.79,60.98,214.94,145.98,193.29,0.89,1.2,,72.0,52.28,41.15,35.82,8.5,04-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
04-Jan-2020 - 00:00,13.76,994.74,435.91,300.32,69.84,111.52,,68.98,0.95,1.7,,85.76,53.71,23.92,19.99,6.34,05-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
05-Jan-2020 - 00:00,14.27,994.85,281.12,204.33,65.34,95.81,153.21,147.95,1.11,0.69,,80.17,38.11,6.55,38.5,13.23,06-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
06-Jan-2020 - 00:00,13.86,995.84,293.5,207.42,69.28,43.66,151.92,165.97,0.99,0.93,,72.94,43.64,12.19,16.31,15.52,07-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
07-Jan-2020 - 00:00,14.78,993.5,196.75,139.79,72.16,54.8,141.45,177.2,1.32,1.27,,68.84,43.49,8.54,16.56,14.25,08-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
08-Jan-2020 - 00:00,13.09,991.65,139.42,115.25,81.37,17.63,111.02,138.57,0.94,1.02,,75.04,38.13,6.8,13.53,10.16,09-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
09-Jan-2020 - 00:00,9.64,996.45,149.29,105.5,78.71,76.04,,37.48,1.04,0.94,,78.5,27.92,8.64,23.84,12.57,10-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
10-Jan-2020 - 00:00,10.17,996.61,214.75,147.17,75.71,112.14,,40.96,0.95,1.17,,65.3,37.19,11.11,33.03,11.68,11-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
11-Jan-2020 - 00:00,11.44,996.22,247.62,170.96,69.16,120.79,,71.33,0.74,1.16,,58.47,43.51,13.23,35.24,12.55,12-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
12-Jan-2020 - 00:00,13.27,993.28,359.0,240.92,69.19,116.4,215.91,166.66,0.71,1.61,,60.92,53.2,22.98,31.46,12.68,13-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
13-Jan-2020 - 00:00,15.16,988.68,380.18,219.42,68.94,63.04,136.42,174.07,1.54,1.51,,62.21,55.21,20.39,24.11,12.12,14-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
14-Jan-2020 - 00:00,12.95,992.5,153.12,114.08,75.26,80.77,129.95,48.98,1.42,0.84,,61.37,25.73,4.48,26.52,10.25,15-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
15-Jan-2020 - 00:00,12.81,993.53,194.58,130.0,72.66,113.65,146.78,76.62,1.31,0.96,,57.96,30.91,6.54,35.22,12.92,16-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
16-Jan-2020 - 00:00,11.91,992.39,217.17,150.05,76.72,54.15,137.32,82.4,1.06,1.05,,54.27,33.33,7.48,15.77,11.75,17-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
17-Jan-2020 - 00:00,12.79,993.66,175.8,126.42,80.33,59.56,116.08,93.71,0.89,1.15,,52.24,28.51,13.74,12.33,10.81,18-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
18-Jan-2020 - 00:00,11.56,995.34,191.44,127.19,79.7,73.89,116.15,112.06,0.77,1.33,,50.61,37.92,10.94,12.41,6.99,19-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
19-Jan-2020 - 00:00,10.13,996.26,172.17,125.54,78.17,105.13,,62.5,1.15,1.34,,44.34,22.68,3.89,26.46,9.69,20-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
20-Jan-2020 - 00:00,11.73,995.09,219.67,153.08,78.05,75.74,,133.58,0.84,1.7,,42.28,28.02,14.52,32.1,10.13,21-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
21-Jan-2020 - 00:00,13.2,995.68,476.75,312.67,77.8,85.17,141.56,182.81,0.81,2.43,,47.06,55.7,35.65,15.38,11.54,22-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
22-Jan-2020 - 00:00,10.92,997.4,246.42,180.79,81.2,62.87,110.45,78.77,0.87,1.78,,41.84,35.49,16.84,12.13,7.65,23-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
23-Jan-2020 - 00:00,12.01,995.89,150.73,91.58,67.85,141.87,,29.25,1.59,1.13,,35.17,30.45,4.27,32.63,7.46,24-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
24-Jan-2020 - 00:00,11.94,993.33,180.68,118.43,65.53,142.55,,129.62,1.18,1.46,,32.41,40.96,11.71,36.02,11.29,25-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
25-Jan-2020 - 00:00,12.39,993.53,292.15,193.89,67.61,133.51,116.89,150.8,0.83,1.68,,35.68,49.16,21.73,43.74,10.66,26-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
26-Jan-2020 - 00:00,13.45,991.75,330.39,232.89,69.69,128.52,112.65,142.53,0.81,1.91,,37.25,40.96,28.13,53.89,11.51,27-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
27-Jan-2020 - 00:00,14.56,989.21,345.25,236.27,69.13,64.58,136.11,163.26,0.96,1.99,,36.19,63.22,29.59,34.74,12.73,28-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
28-Jan-2020 - 00:00,15.23,987.91,148.71,116.42,72.5,70.92,115.7,154.57,1.73,1.41,,32.73,35.06,4.74,40.66,9.97,29-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
29-Jan-2020 - 00:00,14.09,993.81,157.29,97.04,71.34,134.96,,82.42,1.05,1.34,,29.67,32.29,6.8,29.32,10.56,30-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
30-Jan-2020 - 00:00,12.16,994.87,187.38,118.94,76.22,123.06,,47.42,1.09,1.33,,29.42,33.35,11.35,27.55,8.54,31-Jan-2020 - 00:00,"Bawana, Delhi - DPCC"
31-Jan-2020 - 00:00,10.89,992.56,201.83,120.46,74.3,113.11,146.31,144.29,0.96,1.35,,27.19,34.31,10.84,27.89,13.71,01-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
01-Feb-2020 - 00:00,12.33,995.32,222.84,140.38,71.44,129.75,,105.25,1.06,1.51,,24.93,34.17,28.94,38.13,13.09,02-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
02-Feb-2020 - 00:00,10.89,996.81,224.7,150.09,76.71,111.85,,78.91,0.95,1.41,,25.03,34.95,14.21,5.47,10.99,03-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
03-Feb-2020 - 00:00,12.51,995.48,337.94,211.85,68.5,143.99,269.06,143.31,0.82,2.09,,24.42,46.21,30.98,68.62,11.9,04-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
04-Feb-2020 - 00:00,14.21,993.82,395.02,218.28,62.28,121.61,172.23,155.05,1.07,2.02,,23.43,56.93,35.21,64.46,16.0,05-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
