from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,RH,WS,WD,VWS,BP,SR,RF,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
01-Jan-2020 - 00:00,122.43,242.6,88.46,84.45,173.07,15.03,16.12,1.54,20.72,18.9,71.62,0.12,229.37,0.02,,129.36,0.0,23.5,34.54,7.26,12.02,02-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
02-Jan-2020 - 00:00,102.09,188.5,70.23,60.62,130.97,13.12,12.81,1.07,20.3,20.26,69.8,0.13,174.88,0.02,,101.36,0.0,20.35,24.51,3.38,6.96,03-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
03-Jan-2020 - 00:00,42.1,70.29,41.06,27.14,68.28,12.98,6.95,0.37,15.37,17.49,94.77,0.21,121.16,0.02,,29.12,0.31,9.0,14.61,1.43,2.64,04-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
04-Jan-2020 - 00:00,44.74,86.85,71.62,61.22,132.97,13.85,7.84,1.27,5.67,17.59,94.52,0.1,156.58,0.02,,38.65,0.0,20.35,34.43,4.68,8.49,05-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
05-Jan-2020 - 00:00,71.94,150.12,77.41,65.69,143.19,12.61,10.43,1.26,7.78,17.33,93.23,0.12,223.06,0.02,,60.39,0.0,17.91,28.44,4.61,8.46,06-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
06-Jan-2020 - 00:00,81.51,160.86,72.65,69.38,142.16,13.2,11.58,1.2,19.94,17.48,77.61,0.1,194.19,0.01,,151.72,0.0,22.4,29.51,3.91,8.89,07-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
07-Jan-2020 - 00:00,84.63,172.81,36.02,54.93,91.04,16.2,14.24,1.1,28.67,16.92,79.14,0.14,200.21,0.02,,132.43,0.0,13.28,22.35,5.32,6.07,08-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
08-Jan-2020 - 00:00,79.09,187.2,41.99,59.85,101.93,13.84,11.32,1.11,24.64,18.66,77.09,0.11,135.74,0.01,,137.43,0.0,28.23,33.88,4.64,8.6,09-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
09-Jan-2020 - 00:00,78.95,150.86,37.25,50.58,87.88,13.67,10.21,0.88,19.52,18.69,83.84,0.13,150.61,0.02,,62.04,0.0,19.4,25.06,2.99,6.08,10-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
10-Jan-2020 - 00:00,71.13,141.91,36.83,47.21,84.08,14.1,14.92,0.79,20.87,18.49,73.81,0.11,170.15,0.01,,118.74,0.0,10.92,18.72,2.48,3.96,11-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
11-Jan-2020 - 00:00,62.16,141.25,38.46,48.42,86.92,15.87,15.45,1.04,25.64,16.61,75.73,0.11,192.12,0.01,,120.94,0.0,11.54,17.82,2.49,4.42,12-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
12-Jan-2020 - 00:00,65.83,156.39,42.0,62.26,104.28,14.43,14.99,0.96,29.24,17.28,71.83,0.12,206.36,0.02,,156.72,0.0,12.29,18.77,2.83,5.65,13-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
13-Jan-2020 - 00:00,81.98,189.03,50.49,92.85,143.25,13.41,16.64,1.59,31.9,17.64,67.67,0.13,211.51,0.02,,150.73,0.0,19.86,27.79,5.6,9.97,14-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
14-Jan-2020 - 00:00,124.24,268.29,72.94,149.57,222.61,8.81,18.26,2.06,23.24,18.56,70.64,0.09,174.26,0.02,,140.32,0.0,45.13,61.0,11.88,19.22,15-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
15-Jan-2020 - 00:00,130.23,248.0,70.95,123.89,194.97,8.68,21.66,1.95,26.27,19.71,73.06,0.07,173.83,0.02,,127.94,0.0,37.56,43.46,8.37,15.8,16-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
16-Jan-2020 - 00:00,116.43,195.17,54.79,84.59,128.85,11.2,14.33,1.47,35.0,20.95,72.82,0.14,152.73,0.01,,144.02,0.0,36.66,46.67,7.88,13.56,17-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
17-Jan-2020 - 00:00,83.95,154.81,49.24,47.7,101.94,11.35,13.91,1.36,26.7,21.63,72.67,0.12,170.42,0.03,,143.99,0.0,21.4,24.25,4.62,9.69,18-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
18-Jan-2020 - 00:00,72.27,130.88,52.53,64.43,116.2,9.91,16.25,1.09,21.2,21.96,67.84,0.09,216.77,0.02,,158.18,0.0,18.41,30.01,3.98,7.84,19-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
19-Jan-2020 - 00:00,72.22,141.14,46.22,47.42,93.73,11.0,15.25,0.72,27.3,21.79,70.41,0.1,140.41,0.02,,134.05,0.0,12.22,18.97,3.16,4.89,20-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
