from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,PM10,PM2.5,RH,SR,WD,WS,Temp,CO,NH3,NO,NO2,NOx,O Xylene,SO2,Ozone,to date,station
24-Jan-2020 - 00:00,6.35,6.6,1.33,7.75,56.82,27.9,49.21,240.99,138.49,0.49,21.95,1.38,25.65,53.18,73.42,80.19,2.95,10.74,49.79,25-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
25-Jan-2020 - 00:00,7.36,5.01,0.81,9.29,92.67,48.51,49.73,233.61,156.18,0.38,22.23,0.88,29.47,26.27,71.09,57.52,2.24,7.85,36.2,26-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
26-Jan-2020 - 00:00,4.64,2.96,0.34,4.63,62.15,30.99,49.11,249.03,174.48,0.41,22.0,0.77,39.42,19.96,56.12,45.27,1.25,15.76,24.7,27-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
27-Jan-2020 - 00:00,7.16,4.4,0.87,8.38,70.31,33.58,50.59,282.25,177.64,0.39,22.76,1.13,29.74,25.55,68.04,55.41,2.31,7.63,26.13,28-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
28-Jan-2020 - 00:00,5.86,3.02,0.48,8.13,70.44,42.07,51.31,185.51,181.75,0.39,23.27,0.66,33.7,17.14,61.14,44.88,1.59,5.43,22.36,29-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
29-Jan-2020 - 00:00,2.29,0.92,0.08,2.17,54.96,25.55,50.4,229.08,174.61,0.3,22.82,0.54,25.41,7.67,44.21,28.54,0.46,8.31,36.25,30-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
30-Jan-2020 - 00:00,1.62,0.34,0.04,1.39,48.49,17.55,48.39,251.74,147.03,0.47,21.96,0.43,23.99,8.44,41.06,27.67,0.3,11.75,45.36,31-Jan-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
31-Jan-2020 - 00:00,3.79,3.02,0.46,3.8,47.86,24.1,46.41,299.65,129.77,0.58,21.0,0.89,22.48,23.75,50.01,44.53,1.26,9.29,60.45,01-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
01-Feb-2020 - 00:00,3.74,1.49,0.19,3.36,66.13,28.16,44.77,134.04,131.73,0.61,20.49,0.42,25.3,6.75,46.93,29.36,0.72,7.23,46.92,02-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
02-Feb-2020 - 00:00,2.01,0.2,0.02,1.31,55.29,19.52,45.33,205.73,104.58,0.66,20.86,0.48,20.44,3.94,44.56,25.77,0.16,13.87,56.91,03-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
03-Feb-2020 - 00:00,6.08,0.41,0.07,3.57,82.38,40.31,46.92,121.21,108.22,0.73,21.46,0.71,18.64,4.95,53.26,30.91,0.43,16.44,34.86,04-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
04-Feb-2020 - 00:00,5.64,0.18,0.05,3.1,93.52,51.28,49.35,164.37,129.27,0.61,22.73,0.65,36.93,5.33,48.76,29.32,0.26,8.44,16.73,05-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
