from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,WS,WD,AT,RH,RF,to date,station
01-Jan-2020 - 00:00,13.73,140.85,10.59,6.54,17.13,21.6,13.96,1.09,41.58,0.78,170.92,32.88,75.9,0.0,02-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
02-Jan-2020 - 00:00,23.76,135.06,11.11,5.62,16.68,21.85,16.79,0.85,42.61,0.93,199.66,30.74,78.64,0.0,03-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
03-Jan-2020 - 00:00,14.67,125.36,8.35,6.43,14.77,20.51,23.3,1.05,39.49,0.84,170.65,30.34,76.52,0.0,04-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
04-Jan-2020 - 00:00,14.8,110.4,7.49,5.41,12.9,20.02,24.96,0.98,42.54,1.03,209.34,30.23,80.51,0.0,05-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
05-Jan-2020 - 00:00,24.91,116.64,7.37,5.58,12.95,20.02,19.27,0.95,42.68,0.9,206.37,29.51,77.42,0.0,06-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
06-Jan-2020 - 00:00,5.9,108.43,7.41,5.37,12.79,20.03,40.16,0.83,39.95,0.75,142.75,30.56,72.73,0.0,07-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
07-Jan-2020 - 00:00,18.59,110.35,7.48,5.39,12.87,20.01,29.75,0.93,34.46,0.74,122.86,30.23,69.95,0.0,08-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
08-Jan-2020 - 00:00,14.59,98.26,7.39,5.41,12.79,20.02,21.23,0.96,41.16,0.74,148.9,30.17,68.62,0.0,09-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
09-Jan-2020 - 00:00,18.96,152.41,7.34,5.63,12.97,20.03,21.22,0.93,41.45,0.84,155.98,30.18,69.88,0.0,10-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
10-Jan-2020 - 00:00,12.41,144.49,7.39,5.54,12.93,20.04,19.8,1.09,45.06,0.74,142.59,29.36,71.9,0.0,11-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
11-Jan-2020 - 00:00,13.73,132.59,7.5,5.47,12.97,20.0,12.54,0.93,49.8,0.86,130.33,30.21,61.45,0.0,12-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
12-Jan-2020 - 00:00,12.07,115.56,7.48,5.42,12.9,20.01,8.61,1.13,36.96,0.75,133.03,29.81,60.15,0.0,13-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
13-Jan-2020 - 00:00,14.47,142.42,7.48,5.43,12.91,20.03,10.24,0.96,45.31,0.8,163.91,29.52,63.48,0.0,14-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
14-Jan-2020 - 00:00,24.48,143.17,7.48,5.36,12.84,20.01,13.13,1.23,48.72,0.76,151.11,29.11,69.94,0.0,15-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
15-Jan-2020 - 00:00,21.02,145.46,25.91,8.11,31.04,22.05,22.8,0.9,46.23,0.84,147.39,28.52,69.49,0.0,16-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
16-Jan-2020 - 00:00,19.75,170.2,37.94,5.37,38.13,23.07,8.06,1.07,53.53,0.82,157.53,29.73,66.38,0.0,17-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
17-Jan-2020 - 00:00,11.82,134.69,46.3,6.76,21.01,21.12,30.75,0.91,45.36,0.86,156.39,30.17,66.91,0.0,18-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
18-Jan-2020 - 00:00,16.48,144.72,36.6,6.84,17.64,21.43,32.92,1.06,35.72,0.65,135.13,29.87,70.81,0.0,19-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
19-Jan-2020 - 00:00,10.47,96.57,36.0,2.93,14.38,21.37,22.31,0.93,39.25,0.86,150.03,31.22,69.69,0.13,20-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
20-Jan-2020 - 00:00,13.83,105.97,47.3,10.76,20.67,24.29,48.16,0.49,33.82,0.76,173.23,31.76,74.4,0.0,21-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
21-Jan-2020 - 00:00,27.4,133.01,33.77,11.57,14.75,22.55,38.78,0.59,16.15,0.76,130.68,31.63,67.24,0.0,22-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
22-Jan-2020 - 00:00,13.71,115.56,38.62,14.25,35.98,22.74,3.96,0.54,43.35,0.84,132.21,29.24,58.98,0.0,23-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
23-Jan-2020 - 00:00,8.48,111.18,36.32,20.0,36.57,19.25,4.86,0.74,22.01,0.73,76.8,30.24,63.99,0.0,24-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
24-Jan-2020 - 00:00,10.96,109.67,132.97,37.53,144.51,25.3,6.62,0.76,30.54,0.75,150.64,29.73,62.93,0.0,25-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
25-Jan-2020 - 00:00,24.4,104.14,100.19,17.14,113.8,21.79,5.75,0.68,39.62,0.77,138.99,28.88,64.53,0.0,26-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
26-Jan-2020 - 00:00,7.43,121.51,89.23,15.95,103.07,21.63,4.59,0.78,40.04,0.76,161.97,27.86,69.26,0.0,27-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
27-Jan-2020 - 00:00,4.12,114.13,48.73,19.47,64.57,19.49,6.5,0.66,35.69,0.76,155.07,27.77,76.04,0.0,28-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
28-Jan-2020 - 00:00,4.71,138.69,31.04,13.08,43.5,18.02,6.5,0.72,27.0,0.91,185.38,28.62,74.34,0.0,29-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
29-Jan-2020 - 00:00,4.95,118.31,23.54,13.2,35.73,17.81,5.89,0.69,29.63,0.9,207.3,28.64,75.03,0.0,30-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
30-Jan-2020 - 00:00,5.38,112.05,21.89,14.3,34.75,17.57,6.09,0.61,24.79,1.14,192.07,28.68,75.07,0.0,31-Jan-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
31-Jan-2020 - 00:00,5.9,98.26,18.63,12.21,30.84,17.32,5.79,0.54,27.18,1.22,198.8,28.72,74.2,0.0,01-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
01-Feb-2020 - 00:00,4.22,109.77,18.38,12.31,30.58,17.16,4.97,0.63,30.15,0.87,154.94,28.95,70.72,0.0,02-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
02-Feb-2020 - 00:00,9.16,95.5,17.26,12.31,29.32,17.3,5.5,0.59,27.66,0.76,195.84,28.09,69.68,0.0,03-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
03-Feb-2020 - 00:00,7.62,100.39,16.83,12.3,28.86,17.27,5.13,0.61,29.23,0.74,150.14,28.29,68.42,0.0,04-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
04-Feb-2020 - 00:00,18.24,121.22,17.6,12.76,30.19,16.93,6.27,0.79,34.73,0.81,140.26,28.59,64.59,0.0,05-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
05-Feb-2020 - 00:00,12.61,118.4,17.61,13.12,30.59,16.98,6.46,0.67,32.74,0.74,147.93,28.96,68.59,0.0,06-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
06-Feb-2020 - 00:00,7.12,106.78,16.59,12.24,28.58,17.38,7.45,0.68,40.57,0.84,187.91,29.37,74.4,0.0,07-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
07-Feb-2020 - 00:00,29.54,87.37,17.45,12.21,29.57,17.59,9.77,0.42,27.09,0.97,190.24,28.75,78.72,0.01,08-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
08-Feb-2020 - 00:00,41.83,76.71,15.28,12.59,27.75,17.49,5.26,0.55,31.04,1.04,197.31,28.17,68.8,0.0,09-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
09-Feb-2020 - 00:00,57.27,104.29,15.24,12.15,27.38,17.51,5.57,0.53,37.33,0.84,169.56,28.83,64.15,0.0,10-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
10-Feb-2020 - 00:00,21.81,93.87,15.79,13.63,28.35,17.58,6.46,0.56,37.07,0.87,159.95,29.1,66.74,0.0,11-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
11-Feb-2020 - 00:00,47.86,93.4,16.6,13.11,29.72,16.97,7.38,0.66,33.63,0.75,113.74,29.84,59.78,0.0,12-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
12-Feb-2020 - 00:00,58.22,111.16,15.4,13.64,29.04,17.31,6.52,0.68,38.49,0.82,184.79,29.85,59.53,0.0,13-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
13-Feb-2020 - 00:00,67.79,109.83,15.82,12.08,27.9,17.31,7.02,0.7,36.66,0.88,161.14,29.57,66.52,0.0,14-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
14-Feb-2020 - 00:00,75.75,111.23,15.47,11.87,27.34,17.35,6.54,0.71,33.84,0.85,167.9,29.43,70.62,0.0,15-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
15-Feb-2020 - 00:00,26.1,103.15,16.0,12.37,28.16,17.2,6.01,0.7,34.1,0.79,185.12,29.1,76.36,0.0,16-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
16-Feb-2020 - 00:00,5.45,83.24,15.25,11.87,27.12,17.18,4.87,0.65,26.56,0.78,152.97,29.45,77.37,0.0,17-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
17-Feb-2020 - 00:00,9.92,90.29,15.34,11.83,27.16,17.11,5.31,0.64,39.6,0.81,163.02,29.6,63.15,0.0,18-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
18-Feb-2020 - 00:00,10.85,103.71,16.05,12.14,28.19,16.91,6.42,0.68,43.31,0.92,149.64,29.1,61.81,0.0,19-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
19-Feb-2020 - 00:00,13.34,141.13,16.56,12.32,28.88,16.81,6.77,0.88,41.28,0.78,128.1,28.69,63.97,0.0,20-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
20-Feb-2020 - 00:00,4.88,109.06,15.49,11.97,27.46,17.05,7.13,0.66,44.72,0.86,147.31,28.51,63.12,0.0,21-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
21-Feb-2020 - 00:00,3.73,131.81,14.13,11.49,25.62,19.29,8.38,0.64,41.96,0.92,228.5,28.89,61.76,0.0,22-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
22-Feb-2020 - 00:00,,86.91,23.61,11.19,34.7,17.66,6.29,0.67,33.47,0.73,181.43,30.49,62.9,0.0,23-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
23-Feb-2020 - 00:00,,78.94,16.25,11.52,27.6,17.23,6.52,0.61,42.99,0.84,158.29,30.05,60.68,0.0,24-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
24-Feb-2020 - 00:00,,90.35,19.38,17.61,30.75,17.73,7.15,0.63,38.96,0.76,137.8,29.64,64.59,0.0,25-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
25-Feb-2020 - 00:00,,101.29,18.36,20.11,29.84,17.95,7.84,0.59,38.38,0.85,155.35,29.65,68.11,0.0,26-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
26-Feb-2020 - 00:00,15.62,110.69,14.38,11.34,25.63,17.02,6.86,0.7,37.16,0.59,135.47,29.5,74.64,0.0,27-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
27-Feb-2020 - 00:00,7.28,102.66,14.88,10.44,25.13,17.14,7.75,0.73,37.77,0.77,171.36,35.51,72.88,0.0,28-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
28-Feb-2020 - 00:00,17.41,101.8,15.01,12.32,27.34,17.17,6.39,0.58,27.33,0.74,175.29,33.21,73.43,0.0,29-Feb-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
29-Feb-2020 - 00:00,8.26,70.51,14.15,12.11,26.26,17.22,5.41,0.51,37.12,0.83,196.99,31.42,74.08,0.17,01-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
01-Mar-2020 - 00:00,13.19,81.46,13.25,12.19,25.44,17.18,5.68,0.53,35.65,0.74,163.14,32.66,67.47,0.0,02-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
02-Mar-2020 - 00:00,14.22,80.21,12.69,11.93,24.62,17.18,6.31,0.56,35.59,0.98,195.28,31.93,75.35,0.0,03-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
