from date,PM2.5,PM10,NO2,NOx,NH3,SO2,CO,Ozone,WS,WD,Temp,RH,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,SR,RF,BP,to date,station
01-Jan-2020 - 00:00,21.37,28.21,18.01,20.58,20.77,4.63,0.48,31.96,0.87,100.19,,74.81,1.27,3.23,0.17,0.21,0.56,22.88,209.87,0.0,873.17,02-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Jan-2020 - 00:00,19.17,25.3,21.75,30.18,27.63,5.08,0.69,24.7,0.54,97.02,,76.68,1.92,5.86,0.36,0.37,1.18,23.06,188.78,0.0,871.64,03-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Jan-2020 - 00:00,33.32,43.98,17.83,25.73,23.83,5.48,0.63,30.82,0.38,125.01,,70.88,0.44,1.18,0.14,0.42,0.29,24.13,189.98,0.0,871.04,04-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Jan-2020 - 00:00,33.01,43.57,15.46,24.57,22.2,5.44,0.72,32.46,0.4,240.34,,68.73,0.08,0.02,0.02,0.02,0.0,24.8,196.9,0.0,871.25,05-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Jan-2020 - 00:00,25.85,34.12,13.26,22.86,19.59,5.08,0.7,36.53,0.44,121.19,,65.46,0.0,0.07,0.0,0.85,0.01,24.44,207.69,0.0,871.34,06-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Jan-2020 - 00:00,26.18,34.56,6.48,11.06,10.85,4.83,0.44,28.33,0.93,101.17,,73.24,0.02,0.02,0.02,0.48,0.01,23.31,195.71,0.0,873.44,07-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Jan-2020 - 00:00,15.61,20.61,3.53,6.3,6.99,5.18,0.38,32.48,1.04,107.95,,67.32,0.08,0.01,0.01,0.0,0.0,23.67,205.82,0.0,874.04,08-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Jan-2020 - 00:00,21.24,28.03,7.74,14.98,13.33,11.65,0.55,36.85,0.5,114.94,,65.66,0.12,0.03,0.01,0.0,0.0,23.39,190.89,0.0,871.74,09-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Jan-2020 - 00:00,33.17,43.79,17.69,34.92,28.49,6.17,1.11,47.16,0.58,115.11,,57.12,0.07,0.08,0.03,0.35,0.07,25.52,206.33,0.0,872.12,10-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Jan-2020 - 00:00,31.04,40.98,2.89,5.91,6.81,5.78,0.43,49.48,0.87,100.77,,62.67,0.03,0.01,0.0,0.04,0.01,23.22,182.82,0.0,873.23,11-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Jan-2020 - 00:00,32.08,42.35,3.65,7.2,7.57,6.4,0.39,46.57,1.04,92.67,,60.28,0.01,0.03,0.03,0.29,0.0,21.3,185.25,0.0,873.82,12-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Jan-2020 - 00:00,25.53,33.69,3.88,8.3,8.26,27.75,0.42,45.64,0.96,102.25,,61.12,0.0,0.03,0.0,0.52,0.0,21.39,181.79,0.0,873.47,13-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Jan-2020 - 00:00,38.59,50.94,14.52,29.17,23.54,8.01,0.88,48.16,0.44,144.35,,60.91,0.0,0.07,0.0,2.62,0.01,22.3,179.0,0.0,871.48,14-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Jan-2020 - 00:00,39.42,52.04,9.53,18.31,16.09,5.83,0.77,56.28,0.49,137.34,,64.6,0.0,0.07,0.0,1.74,0.01,23.48,179.4,0.0,871.74,15-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Jan-2020 - 00:00,38.44,50.74,12.4,21.61,18.13,6.9,0.76,54.82,0.66,103.59,,57.92,0.0,0.08,0.0,1.63,0.01,21.84,181.22,0.0,872.25,16-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Jan-2020 - 00:00,36.88,48.68,4.79,9.54,9.72,7.0,0.58,54.88,0.44,126.95,,58.57,0.16,0.22,0.25,0.53,0.23,22.21,183.75,0.0,871.46,17-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Jan-2020 - 00:00,38.21,50.44,12.09,23.18,19.85,7.71,0.75,50.81,0.43,119.54,,59.47,0.0,0.0,0.01,0.01,0.0,22.71,182.03,0.0,871.35,18-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Jan-2020 - 00:00,30.55,40.32,17.48,17.83,18.95,5.08,0.5,51.42,1.02,120.48,,65.22,0.0,0.0,0.0,0.0,0.0,23.24,207.6,0.0,873.96,19-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Jan-2020 - 00:00,15.18,20.04,17.99,19.99,21.28,36.62,0.36,30.45,0.92,104.7,,66.2,0.0,0.0,0.0,0.0,0.0,24.53,187.25,0.0,873.4,20-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Jan-2020 - 00:00,32.56,42.97,39.46,49.64,45.53,5.66,0.8,38.88,0.63,103.75,,61.63,0.0,0.0,0.0,0.0,0.0,24.32,190.12,0.0,872.11,21-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-Jan-2020 - 00:00,35.0,46.2,29.47,33.02,31.26,7.01,0.49,45.52,1.08,93.36,,58.1,0.0,0.0,0.0,0.0,0.0,23.31,186.03,0.0,873.95,22-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
