from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WS,WD,RH,RF,SR,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
03-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
04-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
05-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
06-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
07-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
08-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
09-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
10-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
11-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
12-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
13-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
14-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
15-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
