from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WS,WD,RH,RF,SR,to date,station
16-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
17-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
18-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
19-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
20-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
21-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
22-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
23-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
24-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
25-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
26-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
27-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
28-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
29-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
30-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
31-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
01-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,02-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
02-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,03-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
03-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,04-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
04-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,05-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
05-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,06-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
06-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,07-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
07-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,08-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
08-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,09-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
09-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,10-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
10-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,11-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
11-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,12-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
12-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,13-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
13-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,14-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
14-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,15-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
15-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,16-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
16-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,17-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
17-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,18-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
18-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,19-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
19-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,20-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
20-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,21-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
21-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,22-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
22-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,23-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
23-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,24-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
24-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,25-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
25-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,26-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
26-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,27-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
27-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,28-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
28-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,29-Feb-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
29-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,01-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
01-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,02-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
02-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,03-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
03-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,04-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
04-Mar-2020 - 00:00,62.38,184.29,12.91,16.6,12.29,73.53,9.69,0.67,34.65,8.12,4.48,20.04,29.2,16.83,1.41,85.27,62.14,0.0,53.3,05-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
05-Mar-2020 - 00:00,49.87,115.32,11.57,17.02,13.69,105.1,8.37,0.49,29.43,6.1,3.66,15.01,20.75,12.72,1.22,123.4,72.84,0.0,260.82,06-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
06-Mar-2020 - 00:00,26.73,46.87,6.7,9.46,8.16,98.61,7.23,0.34,32.46,4.52,2.94,12.04,15.28,9.8,1.11,113.27,85.09,0.0,178.49,07-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
07-Mar-2020 - 00:00,54.42,101.34,5.9,10.88,10.71,85.42,7.0,0.56,24.91,5.98,3.2,12.21,16.84,10.9,0.77,123.26,84.08,0.06,224.39,08-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
08-Mar-2020 - 00:00,69.93,170.6,8.94,20.82,22.09,83.94,8.0,0.96,23.88,8.61,3.94,15.8,23.6,14.66,0.81,215.8,69.95,0.0,459.16,09-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
09-Mar-2020 - 00:00,80.3,206.52,11.11,16.37,15.14,74.3,7.62,0.83,21.57,7.46,3.66,15.33,23.08,13.3,0.9,271.1,61.13,0.0,499.25,10-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
10-Mar-2020 - 00:00,93.79,208.65,9.95,12.59,11.17,72.7,7.84,0.94,34.54,8.39,3.77,15.79,23.91,13.63,0.9,151.48,62.14,0.0,343.97,11-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
11-Mar-2020 - 00:00,61.36,139.65,5.82,7.13,7.06,65.91,7.58,0.67,36.5,7.38,3.47,14.36,21.13,12.01,1.33,116.71,70.62,0.01,375.23,12-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
12-Mar-2020 - 00:00,56.55,203.58,11.09,12.05,9.13,59.74,6.19,0.58,23.05,6.71,3.2,12.52,18.87,10.69,0.93,142.29,62.78,0.0,399.08,13-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
13-Mar-2020 - 00:00,77.6,212.56,18.21,8.34,18.15,76.75,5.58,0.7,25.76,7.05,3.19,13.2,20.95,12.47,0.72,144.43,52.77,0.0,468.99,14-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
14-Mar-2020 - 00:00,50.86,130.71,5.35,17.98,29.43,56.65,4.85,0.59,18.56,5.57,2.28,10.35,18.94,9.72,1.09,115.83,77.69,0.03,242.26,15-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
15-Mar-2020 - 00:00,55.99,177.0,5.41,37.5,32.46,47.19,5.41,0.77,23.31,6.92,2.82,12.63,21.32,11.81,0.84,150.66,67.5,0.0,466.32,16-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
16-Mar-2020 - 00:00,70.89,240.8,7.3,38.82,31.52,51.66,3.89,0.81,22.22,6.93,2.2,9.93,17.48,10.44,0.86,272.22,60.52,0.0,374.94,17-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
17-Mar-2020 - 00:00,73.95,189.1,7.11,41.59,34.49,49.21,4.99,0.91,23.68,7.8,2.61,12.21,21.81,13.9,0.91,281.64,56.21,0.0,525.27,18-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
18-Mar-2020 - 00:00,88.1,188.14,7.73,47.92,40.2,52.83,5.63,1.06,20.4,9.33,2.88,14.34,26.01,16.48,0.78,274.37,41.62,0.0,537.62,19-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
19-Mar-2020 - 00:00,91.73,206.12,6.75,45.12,38.37,53.06,5.55,1.03,25.43,9.36,2.78,13.85,25.49,15.12,0.75,200.66,59.56,0.0,400.96,20-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
20-Mar-2020 - 00:00,104.67,288.87,5.27,37.05,31.78,42.54,5.38,1.0,27.53,9.26,2.5,15.42,28.96,14.79,0.75,127.68,60.87,0.0,292.15,21-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
21-Mar-2020 - 00:00,86.64,201.41,5.64,38.31,32.66,40.56,6.85,0.98,34.09,9.19,3.27,16.87,29.69,16.18,0.81,166.06,48.78,0.0,342.07,22-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
22-Mar-2020 - 00:00,110.78,199.69,4.88,37.27,32.38,35.71,6.68,0.96,29.16,10.22,3.14,15.81,28.45,15.15,0.94,193.38,51.18,0.0,426.95,23-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
23-Mar-2020 - 00:00,59.54,110.23,4.18,34.22,30.04,32.96,6.72,0.73,27.66,8.21,3.04,14.17,26.11,12.78,0.82,136.63,52.89,0.0,410.76,24-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
24-Mar-2020 - 00:00,84.82,142.15,4.09,33.47,29.38,30.76,6.15,0.8,18.76,9.42,2.89,12.81,24.84,12.3,0.81,146.63,56.99,0.0,270.61,25-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
25-Mar-2020 - 00:00,40.45,70.28,4.23,34.56,30.38,47.87,6.26,0.67,17.73,8.33,2.79,11.14,23.22,11.82,0.86,199.97,54.6,0.0,433.23,26-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
26-Mar-2020 - 00:00,30.87,61.62,4.73,38.8,34.07,111.16,5.87,0.54,14.67,7.56,2.52,8.13,13.6,10.15,0.91,287.43,54.96,0.0,241.39,27-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
27-Mar-2020 - 00:00,21.1,57.48,4.73,38.8,34.07,111.16,5.6,0.53,12.63,7.51,2.45,7.54,12.44,9.61,1.05,171.18,69.94,0.04,249.05,28-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
28-Mar-2020 - 00:00,13.87,31.25,8.13,25.31,19.88,66.19,5.83,0.5,13.77,7.51,2.38,7.35,12.44,9.43,0.94,244.67,65.7,0.0,521.83,29-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
29-Mar-2020 - 00:00,18.93,62.0,11.11,0.59,7.96,28.38,5.92,0.02,9.65,0.33,0.11,0.31,0.52,0.4,0.75,266.4,69.43,0.0,,30-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
30-Mar-2020 - 00:00,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,31-Mar-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
31-Mar-2020 - 00:00,14.28,71.82,11.01,12.52,7.96,28.01,5.16,0.5,25.59,7.18,2.0,6.41,11.04,7.82,1.13,208.88,42.85,0.01,375.51,01-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
01-Apr-2020 - 00:00,12.17,64.21,11.05,13.98,8.01,28.01,5.22,0.53,23.46,8.03,2.23,7.23,12.46,8.76,1.03,206.1,46.1,0.0,435.27,02-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
02-Apr-2020 - 00:00,10.64,55.41,11.03,14.03,7.94,28.04,4.89,0.53,24.26,7.9,2.07,6.63,11.33,8.1,1.03,323.89,43.08,0.0,511.79,03-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
03-Apr-2020 - 00:00,19.45,60.98,11.0,13.99,8.0,27.94,5.39,0.5,29.11,7.91,2.03,6.27,10.7,7.67,0.93,287.38,35.84,0.0,520.92,04-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
04-Apr-2020 - 00:00,32.44,72.21,10.98,13.85,7.99,28.0,6.74,0.53,26.65,8.11,1.97,6.31,10.83,7.67,0.91,266.49,36.74,0.0,513.25,05-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
05-Apr-2020 - 00:00,43.56,102.71,11.02,14.01,7.99,27.96,6.87,0.66,26.7,9.1,2.15,7.04,12.1,8.43,0.9,161.97,43.09,0.0,457.58,06-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
06-Apr-2020 - 00:00,39.79,112.84,11.0,14.05,8.0,27.94,6.45,0.69,23.89,9.99,2.12,7.44,12.86,8.65,0.96,247.09,34.98,0.0,473.46,07-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
07-Apr-2020 - 00:00,15.33,100.78,10.99,14.02,7.96,28.04,5.45,0.55,27.96,8.5,1.9,6.44,10.92,7.54,1.44,235.33,37.74,0.0,470.79,08-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
08-Apr-2020 - 00:00,7.11,86.11,11.0,13.99,7.99,28.02,5.66,0.51,27.12,8.24,1.83,5.98,10.15,7.06,1.1,285.3,32.56,0.0,490.06,09-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
09-Apr-2020 - 00:00,16.6,74.28,10.98,13.98,7.99,27.98,5.89,0.55,30.18,8.65,1.91,6.27,10.65,7.32,0.88,284.02,33.88,0.0,458.3,10-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
10-Apr-2020 - 00:00,57.52,125.28,11.0,13.98,8.03,27.99,5.97,0.66,26.85,9.58,1.97,6.99,11.93,7.96,0.84,197.28,32.63,0.0,464.86,11-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
11-Apr-2020 - 00:00,77.26,131.52,10.97,14.01,7.98,27.92,5.44,0.78,27.93,11.05,2.01,7.5,12.91,8.66,0.86,175.15,33.4,0.0,446.27,12-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
12-Apr-2020 - 00:00,39.53,84.26,11.02,14.01,8.03,28.08,5.4,0.55,29.94,8.98,1.77,6.42,10.93,7.2,0.92,272.74,32.73,0.0,481.91,13-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
13-Apr-2020 - 00:00,46.91,117.94,11.03,13.85,8.01,27.98,5.5,0.63,25.27,9.65,1.78,6.67,11.41,7.35,0.81,247.54,32.07,0.0,448.8,14-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
14-Apr-2020 - 00:00,71.7,157.14,11.03,13.98,8.0,28.03,5.52,0.75,20.98,10.48,1.92,7.32,12.47,8.14,0.61,136.07,33.28,0.0,338.63,15-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
15-Apr-2020 - 00:00,119.57,235.16,11.0,13.98,8.03,27.91,5.63,0.77,17.95,10.31,1.78,7.18,11.55,7.87,0.73,167.35,28.95,0.0,387.04,16-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
16-Apr-2020 - 00:00,92.67,203.18,11.0,14.01,8.02,28.02,5.91,0.82,24.32,9.35,1.8,7.1,10.85,7.85,0.83,247.66,24.17,0.0,407.84,17-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
17-Apr-2020 - 00:00,17.79,102.88,11.0,13.94,7.98,28.08,5.21,0.55,30.8,7.78,1.58,6.03,9.24,6.63,1.12,152.37,22.8,0.0,442.54,18-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
18-Apr-2020 - 00:00,16.42,131.19,11.0,14.02,8.01,27.98,5.34,0.52,27.13,7.66,1.53,5.7,8.61,6.26,1.28,59.47,38.38,0.0,0.09,19-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
19-Apr-2020 - 00:00,14.08,69.38,11.01,14.0,8.0,27.9,5.22,0.54,21.74,7.6,1.46,5.3,8.07,5.97,0.89,234.7,37.45,0.01,403.79,20-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
20-Apr-2020 - 00:00,27.97,142.85,11.01,13.96,7.98,27.95,4.73,0.7,15.99,8.84,1.52,5.43,8.34,6.38,0.88,159.62,40.54,0.0,203.61,21-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
21-Apr-2020 - 00:00,9.6,84.92,11.0,13.99,7.99,28.01,5.26,0.58,28.4,8.07,1.45,4.9,7.55,5.72,0.79,211.33,39.57,0.0,420.75,22-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
22-Apr-2020 - 00:00,15.42,110.29,11.0,14.03,8.0,28.06,5.2,0.63,27.96,8.39,1.52,5.01,7.92,5.92,0.78,186.03,31.93,0.0,467.18,23-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
23-Apr-2020 - 00:00,22.23,155.57,10.99,14.0,8.0,28.03,5.08,0.75,19.45,9.47,1.45,4.86,7.72,5.78,0.68,142.03,42.37,0.0,241.24,24-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
24-Apr-2020 - 00:00,16.06,144.0,11.01,13.98,8.0,28.02,4.79,0.78,22.57,9.93,1.42,4.64,7.58,5.71,0.74,122.47,42.82,0.0,444.68,25-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
25-Apr-2020 - 00:00,18.12,109.35,11.06,14.01,8.0,28.09,4.74,0.59,28.44,8.2,1.33,3.95,6.52,4.75,0.82,140.34,35.28,0.0,329.18,26-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
26-Apr-2020 - 00:00,22.35,157.26,11.01,14.03,8.03,28.01,5.01,0.68,11.43,9.07,1.25,3.45,5.62,4.28,1.08,84.9,64.88,0.03,139.33,27-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
27-Apr-2020 - 00:00,9.42,64.55,10.99,13.98,8.02,27.94,10.38,0.54,16.27,8.03,1.13,2.57,4.32,3.35,1.05,94.52,66.31,0.0,477.29,28-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
28-Apr-2020 - 00:00,11.59,,10.97,13.97,8.0,28.03,4.62,0.58,15.55,8.34,1.14,2.48,4.26,3.23,0.79,94.07,58.32,0.0,403.09,29-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
29-Apr-2020 - 00:00,19.85,221.92,10.99,13.99,8.0,28.12,4.44,0.71,16.41,9.36,1.18,2.72,4.78,3.5,0.71,129.16,51.12,0.0,398.4,30-Apr-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
30-Apr-2020 - 00:00,23.97,141.55,11.02,13.97,8.02,28.0,3.94,0.67,15.12,8.97,1.13,2.52,4.46,3.21,0.83,100.64,47.61,0.0,409.32,01-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
01-May-2020 - 00:00,19.8,168.63,10.97,14.02,7.98,28.07,6.0,0.67,9.72,8.41,1.11,2.29,4.05,2.93,0.85,84.66,54.04,0.0,408.72,02-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
02-May-2020 - 00:00,12.98,120.37,10.99,13.99,7.98,27.97,6.4,0.57,8.75,7.69,0.95,1.79,3.16,2.33,1.17,97.64,53.65,0.0,435.45,03-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
03-May-2020 - 00:00,14.63,96.31,11.01,14.03,8.01,28.06,3.76,0.58,2.27,7.66,0.97,1.7,3.01,2.26,1.08,107.53,65.12,0.01,216.14,04-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
04-May-2020 - 00:00,11.68,64.77,10.98,13.99,8.02,28.1,3.17,0.55,3.86,7.46,1.03,1.68,3.05,2.29,1.0,84.02,57.71,0.0,420.97,05-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
05-May-2020 - 00:00,14.97,117.33,11.02,14.0,8.01,28.12,3.03,0.72,5.82,8.82,1.08,1.92,3.57,2.67,0.89,138.59,44.81,0.0,467.13,06-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
06-May-2020 - 00:00,17.56,165.6,10.99,13.97,7.98,28.06,3.26,0.65,6.37,8.2,0.98,1.69,3.06,2.29,0.89,122.51,42.32,0.0,301.02,07-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
07-May-2020 - 00:00,16.38,126.51,11.0,13.97,8.0,27.99,2.15,0.65,9.11,8.28,0.96,1.66,3.08,2.25,0.96,84.55,39.3,0.0,499.34,08-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
08-May-2020 - 00:00,22.93,136.75,11.0,14.02,8.03,27.93,2.56,0.67,8.99,8.58,0.9,1.67,3.07,2.18,0.83,118.74,41.82,0.0,471.04,09-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
09-May-2020 - 00:00,24.42,165.14,10.98,14.01,8.01,28.01,2.77,0.71,7.2,8.7,0.9,1.59,2.94,2.06,0.91,102.57,44.79,0.0,425.2,10-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
10-May-2020 - 00:00,14.82,122.53,10.99,13.97,8.05,27.95,3.13,0.61,2.76,7.82,0.8,1.33,2.37,1.76,1.09,86.92,57.14,0.01,216.39,11-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
11-May-2020 - 00:00,18.1,114.88,10.99,13.98,8.0,28.05,1.97,0.25,2.22,8.04,0.81,1.35,2.38,1.78,0.8,90.01,61.91,0.0,352.5,12-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
12-May-2020 - 00:00,21.06,102.31,11.01,13.97,7.96,28.0,2.79,0.47,3.36,7.88,0.84,1.41,2.56,1.84,0.88,70.47,50.44,0.0,378.92,13-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
13-May-2020 - 00:00,61.3,186.25,11.01,13.85,8.01,28.01,1.81,0.69,4.96,7.94,0.72,1.19,2.11,1.68,0.94,127.82,54.16,0.0,230.56,14-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
14-May-2020 - 00:00,84.74,170.81,11.02,13.99,8.03,28.0,2.07,0.63,41.65,7.46,0.76,1.39,2.54,1.88,0.91,154.64,45.87,0.0,397.45,15-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
15-May-2020 - 00:00,108.38,134.27,10.99,14.0,8.0,28.0,3.42,0.57,46.11,6.82,0.63,1.13,2.17,1.55,1.15,299.47,31.85,0.0,484.67,16-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
16-May-2020 - 00:00,136.8,150.8,11.01,14.0,7.97,28.01,6.49,0.69,49.44,7.14,0.64,1.15,2.23,1.64,0.9,302.15,21.17,0.0,568.41,17-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
17-May-2020 - 00:00,146.06,237.61,11.04,14.01,8.01,27.99,2.99,0.73,46.75,7.7,0.69,1.26,2.49,1.91,0.8,222.64,24.45,0.0,359.09,18-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
18-May-2020 - 00:00,127.36,168.03,11.02,14.02,7.98,27.99,3.65,0.75,39.12,7.9,0.7,1.27,2.54,1.85,0.8,255.76,21.47,0.0,450.25,19-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
