from date,PM2.5,PM10,Temp,SR,BP,RH,RF,WD,WS,VWS,AT,Benzene,Xylene,SO2,Ozone,NO,NO2,NOx,NH3,CO,Toluene,to date,station
01-Jan-2020 - 00:00,36.3,57.6,29.71,81.16,728.08,74.18,0.0,99.56,0.86,0.05,20.31,0.41,0.0,4.4,34.51,1.19,12.79,7.77,10.69,0.64,1.55,02-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
02-Jan-2020 - 00:00,26.08,43.12,29.79,77.73,727.71,74.82,0.0,106.18,0.82,0.04,20.58,0.34,0.09,4.37,27.37,1.21,13.27,8.04,10.32,0.58,1.81,03-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
03-Jan-2020 - 00:00,26.73,47.06,29.42,79.2,727.6,74.65,0.0,152.58,0.79,0.01,20.61,0.33,0.0,3.51,26.09,1.16,10.18,6.36,10.31,0.43,1.79,04-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
04-Jan-2020 - 00:00,53.15,94.36,29.16,82.48,727.83,73.84,0.0,115.53,0.77,0.0,20.26,0.84,0.13,8.31,29.93,1.57,16.97,10.27,12.45,0.52,5.72,05-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
05-Jan-2020 - 00:00,64.24,125.4,29.25,99.25,728.33,68.43,0.0,57.47,0.91,0.0,19.79,1.47,0.0,33.17,27.96,3.02,31.95,19.44,14.84,0.58,9.77,06-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
06-Jan-2020 - 00:00,53.32,99.29,29.47,93.36,728.3,69.14,0.0,84.67,0.78,0.03,19.89,0.66,0.0,17.99,30.13,1.7,26.24,15.35,10.88,0.64,4.92,07-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
07-Jan-2020 - 00:00,46.05,80.03,29.74,79.72,727.89,73.22,0.0,101.78,0.74,0.03,20.6,0.41,0.0,7.37,33.22,1.15,14.32,8.55,10.09,0.55,1.56,08-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
08-Jan-2020 - 00:00,33.91,67.52,29.71,94.96,727.57,72.99,0.0,167.46,0.68,0.03,20.57,0.21,0.03,6.66,26.61,1.94,11.23,7.55,9.19,0.45,1.38,09-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
09-Jan-2020 - 00:00,43.34,83.21,29.67,65.26,728.34,77.5,0.0,145.16,0.68,0.0,20.07,0.64,0.09,7.32,20.31,2.33,17.64,11.28,10.58,0.5,6.22,10-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
10-Jan-2020 - 00:00,70.92,135.25,29.46,89.51,728.14,73.46,0.0,67.29,0.91,0.01,20.1,0.88,0.0,11.69,33.85,1.57,20.99,12.44,12.91,0.57,5.32,11-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
11-Jan-2020 - 00:00,71.76,141.31,29.78,109.25,728.28,66.91,0.0,73.15,0.74,0.01,19.77,0.92,0.06,17.9,31.64,2.88,31.68,19.2,13.1,0.67,4.9,12-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
12-Jan-2020 - 00:00,64.73,138.25,29.64,113.72,727.86,60.83,0.0,128.53,0.6,0.0,19.96,0.8,0.28,15.04,29.84,3.33,35.51,21.6,13.84,0.58,7.5,13-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
13-Jan-2020 - 00:00,63.92,139.98,29.74,113.84,728.33,59.21,0.0,138.21,0.52,0.0,19.86,0.81,0.7,9.5,29.22,1.93,32.28,18.74,11.29,0.63,5.93,14-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
14-Jan-2020 - 00:00,69.28,136.99,29.66,112.23,727.92,65.18,0.0,164.69,0.61,0.01,20.11,0.67,0.13,7.77,40.42,1.87,24.96,14.81,13.36,0.69,4.36,15-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
15-Jan-2020 - 00:00,44.91,77.41,29.83,118.8,728.47,65.09,0.0,97.47,0.83,0.03,20.13,0.34,0.0,7.27,39.46,1.24,11.19,6.96,12.66,0.46,1.66,16-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
16-Jan-2020 - 00:00,28.59,55.8,29.61,117.89,727.88,64.11,0.0,115.05,0.7,0.02,20.29,0.16,0.0,5.1,33.92,1.17,9.02,5.75,11.57,0.42,0.85,17-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
17-Jan-2020 - 00:00,24.9,55.61,29.59,103.56,727.84,65.54,0.0,111.75,0.63,0.02,20.46,0.17,0.0,5.28,26.89,1.15,12.31,7.49,10.85,0.45,1.27,18-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
18-Jan-2020 - 00:00,30.91,67.59,29.74,103.24,727.93,68.22,0.0,91.54,0.78,0.01,20.66,0.36,0.0,6.47,30.9,1.17,16.12,9.53,11.38,0.5,1.87,19-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
19-Jan-2020 - 00:00,29.14,60.74,29.78,105.04,727.07,63.98,0.0,133.14,0.62,0.01,21.21,0.27,0.0,5.94,29.39,1.21,12.27,7.52,11.04,0.45,1.53,20-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
