from date,BP,PM10,PM2.5,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
29-Aug-2020 - 00:00,723.65,33.94,12.12,74.23,1.85,0.44,2.14,2.61,1.25,0.28,26.28,1.97,15.95,17.92,29.95,9.05,30-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Aug-2020 - 00:00,722.46,24.95,11.56,68.4,2.13,0.29,2.01,2.09,1.03,0.6,18.53,1.22,10.21,11.43,29.32,8.42,31-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
31-Aug-2020 - 00:00,724.52,20.75,6.79,187.54,1.86,0.23,2.11,2.44,1.23,0.69,16.26,0.89,8.78,9.65,30.86,9.6,01-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Sep-2020 - 00:00,727.37,31.19,16.15,197.92,1.86,0.36,2.16,3.02,1.44,0.69,22.88,1.9,14.88,16.77,31.05,9.52,02-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Sep-2020 - 00:00,729.02,56.3,20.44,248.83,1.17,0.96,2.56,5.08,2.22,0.55,33.28,3.91,22.58,26.49,28.14,8.02,03-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Sep-2020 - 00:00,730.07,54.85,24.64,111.08,1.4,1.24,2.63,5.45,2.43,0.48,34.13,5.08,20.99,26.06,26.2,10.03,04-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Sep-2020 - 00:00,727.99,35.0,14.02,175.52,1.44,0.55,2.26,3.39,1.61,0.64,26.57,1.67,16.44,18.11,30.72,7.29,05-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Sep-2020 - 00:00,727.16,42.42,17.06,246.22,1.29,0.54,2.21,3.21,1.5,0.4,29.28,2.3,19.35,21.61,30.87,10.04,06-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Sep-2020 - 00:00,726.13,47.48,20.53,218.82,1.58,0.37,2.1,2.6,1.25,0.48,24.32,1.03,16.6,17.51,36.59,8.47,07-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Sep-2020 - 00:00,726.66,48.27,18.22,198.74,1.47,1.18,2.67,5.03,2.18,1.02,33.96,2.83,23.41,26.23,30.62,8.05,08-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Sep-2020 - 00:00,727.42,66.92,20.43,231.78,1.13,1.81,3.31,7.22,3.1,0.79,44.02,5.91,28.75,34.65,28.78,9.78,09-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Sep-2020 - 00:00,727.31,77.12,24.07,171.9,1.15,2.54,3.78,9.34,3.88,1.14,48.76,6.57,31.94,38.47,30.43,7.6,10-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Sep-2020 - 00:00,725.52,83.34,28.4,236.42,1.2,1.34,2.87,6.18,2.58,0.53,40.37,2.84,27.73,30.55,33.1,8.81,11-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Sep-2020 - 00:00,725.64,85.87,34.58,178.6,1.25,2.6,3.11,6.73,3.34,1.05,53.71,8.69,34.5,43.16,31.69,8.95,12-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Sep-2020 - 00:00,727.47,91.62,33.1,82.73,1.62,1.63,2.47,5.12,2.34,0.87,59.87,9.76,38.92,48.65,35.75,7.17,13-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Sep-2020 - 00:00,727.53,95.15,40.71,99.69,1.53,1.33,2.34,4.21,1.87,0.75,47.22,2.69,34.29,36.91,46.01,9.36,14-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Sep-2020 - 00:00,726.72,91.2,39.32,95.64,1.63,1.34,2.42,4.83,2.08,0.97,50.08,1.72,38.43,40.17,49.37,9.55,15-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Sep-2020 - 00:00,726.46,98.06,41.69,137.52,1.53,1.25,2.4,4.81,2.08,0.77,44.12,1.57,32.28,33.79,60.07,12.07,16-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Sep-2020 - 00:00,726.6,109.75,41.19,206.05,1.3,1.52,2.82,5.81,2.59,1.3,53.38,3.16,38.22,41.35,34.33,8.39,17-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Sep-2020 - 00:00,726.58,77.24,36.38,290.08,1.34,0.77,1.29,2.56,1.14,0.9,32.61,1.26,21.31,22.54,30.67,9.52,18-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Sep-2020 - 00:00,725.95,69.41,35.98,224.84,0.99,0.47,0.17,1.09,0.43,1.1,31.09,1.61,20.45,22.04,23.71,10.22,19-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Sep-2020 - 00:00,725.43,62.92,33.18,187.06,1.37,0.6,0.18,1.01,0.4,0.61,27.69,1.54,18.36,19.85,22.61,10.01,20-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Sep-2020 - 00:00,724.63,77.27,37.35,49.91,1.98,0.82,0.29,1.31,0.5,0.89,31.76,0.95,24.66,25.51,41.93,8.76,21-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Sep-2020 - 00:00,723.9,103.08,40.96,34.84,2.14,0.93,0.33,1.69,0.62,0.77,33.99,0.81,27.36,28.05,58.34,9.45,22-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Sep-2020 - 00:00,723.83,89.0,40.79,54.04,2.02,0.79,0.15,0.56,0.22,0.82,25.47,0.55,17.59,18.02,42.3,8.74,23-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Sep-2020 - 00:00,723.84,44.94,26.07,90.54,1.33,0.56,0.04,0.21,0.1,0.95,21.5,0.53,12.97,13.44,30.78,7.56,24-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Sep-2020 - 00:00,725.75,66.95,36.22,149.58,1.28,0.96,0.2,1.08,0.44,0.56,30.84,0.93,23.0,23.84,35.68,12.5,25-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Sep-2020 - 00:00,726.3,79.26,35.57,203.12,0.98,0.61,0.26,1.44,0.59,1.08,31.4,1.33,23.79,25.17,33.52,10.55,26-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Sep-2020 - 00:00,726.42,143.88,37.03,196.01,1.22,0.51,0.09,0.56,0.19,0.67,23.66,1.22,15.42,16.6,34.04,8.71,27-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Sep-2020 - 00:00,728.24,61.67,22.0,226.7,1.5,0.3,0.07,0.37,0.15,0.77,25.91,1.1,18.77,19.81,38.39,11.33,28-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Sep-2020 - 00:00,729.18,91.0,23.81,218.05,0.98,1.52,0.78,3.11,1.36,0.78,44.47,2.98,37.05,39.98,31.27,9.06,29-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Sep-2020 - 00:00,728.92,114.26,29.47,196.73,1.06,3.05,1.78,6.73,2.75,1.1,77.06,12.71,58.4,71.08,25.09,8.0,30-Sep-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Sep-2020 - 00:00,728.27,110.72,31.34,209.43,1.15,2.64,1.79,6.92,2.79,1.33,62.13,6.33,49.43,55.75,38.59,7.88,01-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Oct-2020 - 00:00,728.03,101.76,31.29,270.96,1.46,1.26,0.83,3.7,1.41,0.8,43.38,2.63,35.35,37.59,44.76,9.78,02-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Oct-2020 - 00:00,728.29,108.07,32.83,241.25,1.29,1.95,1.11,4.52,1.81,1.11,55.0,5.03,45.54,50.53,50.72,9.79,03-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Oct-2020 - 00:00,728.76,104.3,30.63,202.37,1.15,3.36,2.35,7.83,3.4,0.93,81.42,17.77,57.81,75.55,42.97,9.05,04-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Oct-2020 - 00:00,729.38,92.71,28.2,137.15,1.28,1.63,0.69,3.53,1.38,0.96,51.53,3.35,43.22,47.03,68.16,9.88,05-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Oct-2020 - 00:00,729.38,107.13,26.92,101.01,1.48,2.0,0.7,3.99,1.59,1.07,60.24,3.41,51.15,54.22,70.97,10.17,06-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Oct-2020 - 00:00,729.67,112.54,24.74,162.63,1.23,3.85,2.07,7.36,3.33,1.52,100.04,24.02,68.31,92.29,48.44,5.77,07-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Oct-2020 - 00:00,730.95,107.51,32.5,171.56,1.12,4.09,2.77,9.68,4.22,0.81,93.23,24.13,62.21,86.32,52.56,7.09,08-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Oct-2020 - 00:00,731.19,117.33,33.37,92.09,1.47,2.95,1.26,5.38,2.34,0.89,66.73,7.73,52.26,59.91,64.51,10.4,09-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Oct-2020 - 00:00,731.24,103.17,33.03,65.87,1.5,1.61,0.77,4.04,1.7,0.64,57.65,3.65,47.52,51.08,63.32,9.42,10-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Oct-2020 - 00:00,730.37,104.08,30.68,59.41,1.6,1.33,0.47,2.98,1.17,0.95,54.16,1.61,46.12,47.61,70.38,10.03,11-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Oct-2020 - 00:00,728.82,113.58,32.88,48.69,1.91,1.91,0.65,3.36,1.39,1.0,56.29,3.99,46.43,50.32,74.99,10.77,12-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Oct-2020 - 00:00,727.4,96.47,32.02,74.52,1.49,1.45,0.69,2.96,1.12,0.78,54.59,1.43,47.83,49.16,69.61,10.78,13-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Oct-2020 - 00:00,727.61,119.89,33.11,110.71,1.3,2.54,0.84,3.88,1.58,1.17,64.68,6.97,51.57,58.42,80.46,9.58,14-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Oct-2020 - 00:00,728.86,125.45,37.16,90.33,1.46,1.94,0.34,1.84,0.72,0.76,37.28,0.5,24.35,24.69,93.54,11.1,15-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Oct-2020 - 00:00,729.36,148.17,38.25,57.63,1.97,2.26,0.55,1.95,0.76,1.18,43.74,1.13,31.13,32.18,98.69,8.82,16-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Oct-2020 - 00:00,729.19,118.84,33.84,68.66,1.99,1.78,0.39,1.88,0.78,0.48,30.28,1.85,23.75,25.59,78.86,9.97,17-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Oct-2020 - 00:00,729.83,141.26,59.13,60.58,1.75,1.48,0.45,2.1,0.85,0.83,38.49,0.9,31.43,32.31,83.48,10.5,18-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Oct-2020 - 00:00,729.99,141.27,74.8,50.36,1.78,1.44,0.25,1.17,0.47,0.59,28.37,0.75,22.85,23.55,84.72,11.28,19-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Oct-2020 - 00:00,730.07,126.42,61.88,109.65,1.43,2.02,0.78,3.38,1.51,0.9,46.32,3.7,38.37,42.06,66.98,10.74,20-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Oct-2020 - 00:00,729.73,133.7,77.17,125.88,1.15,2.91,0.81,4.1,1.7,0.71,67.12,6.96,55.98,62.93,54.87,11.3,21-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Oct-2020 - 00:00,730.29,131.6,53.45,128.93,1.23,1.93,0.67,2.95,1.21,1.06,49.43,4.19,40.21,44.39,81.4,9.84,22-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Oct-2020 - 00:00,728.84,114.84,55.92,91.85,1.26,1.84,0.47,2.36,1.0,1.08,60.48,5.95,45.99,51.67,88.06,9.57,23-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Oct-2020 - 00:00,728.87,155.67,88.38,97.29,1.47,4.69,1.98,6.44,2.89,1.25,105.72,20.58,74.52,95.08,86.99,13.32,24-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Oct-2020 - 00:00,729.81,153.47,68.44,118.73,1.37,4.03,1.66,6.41,2.86,1.33,110.08,25.2,76.35,101.55,68.55,10.17,25-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Oct-2020 - 00:00,731.92,141.91,73.22,118.34,1.25,3.76,2.02,6.53,2.95,0.79,131.54,22.63,97.17,119.75,71.19,13.99,26-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Oct-2020 - 00:00,733.16,137.56,74.08,206.34,1.08,4.12,2.36,9.37,3.99,1.24,116.47,17.7,123.3,140.99,30.1,9.79,27-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Oct-2020 - 00:00,732.97,182.6,105.96,107.53,1.51,3.32,1.42,5.44,2.32,1.18,44.33,1.51,44.51,46.01,74.58,10.22,28-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Oct-2020 - 00:00,733.32,130.84,56.85,146.77,1.25,4.25,1.66,6.52,3.03,1.49,96.22,20.67,66.45,87.02,48.1,7.24,29-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Oct-2020 - 00:00,733.84,180.98,85.75,109.01,1.2,6.15,3.05,9.94,4.94,1.79,104.09,28.36,65.15,93.51,63.11,8.95,30-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Oct-2020 - 00:00,734.02,175.05,95.01,57.73,1.64,3.74,1.3,5.97,2.39,1.45,78.62,4.8,64.81,69.6,61.22,12.45,31-Oct-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
31-Oct-2020 - 00:00,734.24,209.35,124.69,166.72,1.3,4.98,1.54,6.44,2.71,1.25,92.77,12.6,70.8,83.39,47.65,11.11,01-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Nov-2020 - 00:00,734.75,146.08,78.29,187.27,1.3,7.42,1.97,7.77,3.68,1.65,126.72,43.3,74.79,118.08,36.56,10.09,02-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Nov-2020 - 00:00,735.21,154.11,76.42,193.5,1.16,7.69,3.53,11.98,6.4,1.43,144.98,61.07,74.14,135.21,31.6,11.32,03-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Nov-2020 - 00:00,734.59,152.22,75.05,203.36,1.15,7.65,3.89,12.67,6.22,1.74,111.46,38.11,63.19,101.29,32.22,11.71,04-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Nov-2020 - 00:00,733.71,180.73,116.57,179.51,1.32,9.35,4.33,13.69,6.77,1.96,162.13,60.57,88.1,148.63,31.02,8.45,05-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Nov-2020 - 00:00,734.48,149.85,87.4,152.58,1.37,8.07,2.85,10.96,5.38,1.38,129.98,43.73,76.39,120.11,41.33,8.33,06-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Nov-2020 - 00:00,736.62,149.55,78.26,123.81,1.1,9.04,3.46,12.2,6.05,2.16,203.74,86.48,107.09,193.02,42.09,9.31,07-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Nov-2020 - 00:00,737.42,194.95,111.31,121.44,1.03,6.82,3.34,11.46,5.53,1.47,116.57,19.99,85.35,105.33,58.05,13.78,08-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Nov-2020 - 00:00,737.54,206.53,132.57,127.33,1.13,6.87,2.5,8.55,4.31,1.97,102.94,20.83,70.82,91.65,61.39,12.05,09-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Nov-2020 - 00:00,736.32,255.2,162.14,150.25,1.37,7.44,2.75,10.14,4.84,1.32,116.76,26.87,79.1,106.68,58.98,14.26,10-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Nov-2020 - 00:00,735.08,283.57,198.9,71.34,1.36,5.76,1.32,5.03,2.05,1.7,61.08,1.97,47.96,49.93,74.68,16.31,11-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Nov-2020 - 00:00,736.41,170.46,114.58,78.16,1.53,3.84,0.45,1.76,0.77,1.3,49.54,2.41,35.34,37.75,84.92,12.17,12-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Nov-2020 - 00:00,737.66,166.91,113.24,138.42,1.19,5.82,1.31,5.12,2.4,1.69,97.99,10.04,76.27,86.31,51.74,11.65,13-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Nov-2020 - 00:00,736.75,167.7,108.4,110.61,1.31,6.66,1.86,6.5,3.09,1.66,114.08,23.02,78.26,101.27,56.5,11.74,14-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Nov-2020 - 00:00,734.64,150.56,94.95,120.41,1.2,4.71,1.26,4.74,2.24,1.16,68.82,5.98,49.71,55.69,68.24,11.67,15-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Nov-2020 - 00:00,733.48,111.3,70.73,89.65,1.58,1.66,0.04,0.26,0.17,1.34,33.3,1.52,15.1,16.62,70.98,9.9,16-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Nov-2020 - 00:00,734.93,62.23,44.41,85.33,1.34,1.18,0.02,0.15,0.12,0.8,43.66,1.82,16.93,18.75,35.5,11.53,17-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Nov-2020 - 00:00,734.51,79.74,51.24,74.35,1.45,2.59,0.38,1.69,0.8,1.1,58.7,3.46,36.71,40.21,33.06,10.42,18-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Nov-2020 - 00:00,733.17,72.68,50.19,63.71,1.69,1.29,0.05,0.31,0.23,1.19,44.28,2.15,28.56,30.7,53.86,7.92,19-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Nov-2020 - 00:00,733.44,96.06,54.71,70.22,1.56,2.11,0.45,2.02,0.84,0.98,61.32,4.33,45.51,49.84,53.54,10.87,20-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Nov-2020 - 00:00,735.35,100.2,68.26,90.04,1.63,2.2,0.46,2.31,0.99,1.2,60.49,3.29,50.33,53.61,52.5,10.11,21-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Nov-2020 - 00:00,735.98,114.87,80.27,140.42,1.54,4.41,1.07,3.64,1.7,1.29,77.33,14.17,56.26,70.43,44.37,12.85,22-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Nov-2020 - 00:00,736.07,121.24,81.98,138.2,1.2,6.39,1.22,4.44,2.14,1.33,101.34,25.56,68.67,94.14,33.61,11.5,23-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Nov-2020 - 00:00,735.8,112.62,73.37,126.34,1.26,4.7,0.53,2.38,1.24,1.18,84.94,15.78,61.12,76.9,39.72,10.76,24-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Nov-2020 - 00:00,735.15,90.06,59.66,88.98,1.36,1.48,0.09,0.5,0.24,0.92,38.37,1.52,28.4,29.91,76.54,11.91,25-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Nov-2020 - 00:00,734.83,112.83,78.14,78.5,1.89,1.52,0.0,0.05,0.05,1.19,29.15,1.35,19.08,20.41,91.82,11.11,26-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Nov-2020 - 00:00,737.3,100.11,75.92,57.73,1.92,1.94,0.18,0.95,0.41,1.07,49.84,2.21,34.11,36.31,59.45,12.08,27-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Nov-2020 - 00:00,739.55,56.19,30.09,52.33,1.79,2.16,0.62,2.75,1.24,1.27,63.31,11.27,42.24,53.51,33.94,8.3,28-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Nov-2020 - 00:00,738.67,96.13,50.94,138.1,1.23,4.26,1.11,4.74,2.07,1.35,110.78,25.84,74.65,89.91,32.42,11.73,29-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Nov-2020 - 00:00,737.25,99.91,57.9,155.8,1.12,5.94,1.11,4.54,2.05,1.57,89.51,14.08,64.47,78.56,47.61,9.92,30-Nov-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Nov-2020 - 00:00,736.42,142.63,84.7,152.85,1.04,8.62,2.78,9.65,4.46,1.65,131.33,39.86,88.88,119.93,43.63,11.82,01-Dec-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Dec-2020 - 00:00,736.42,110.79,59.4,139.8,1.03,3.64,0.72,4.38,1.6,0.79,65.38,1.97,50.56,52.53,35.99,10.76,02-Dec-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
