from date,BP,PM10,PM2.5,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
08-Jun-2020 - 00:00,724.58,73.49,28.16,234.42,1.41,0.61,0.14,0.77,0.34,0.73,40.76,6.04,22.84,28.86,55.5,11.37,09-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Jun-2020 - 00:00,725.03,73.62,26.36,221.08,1.46,0.52,0.12,0.6,0.28,0.89,38.63,5.85,22.48,28.33,57.0,7.88,10-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Jun-2020 - 00:00,724.61,73.56,28.02,200.67,1.57,0.59,0.15,0.82,0.38,0.54,39.81,6.03,23.78,29.85,49.3,11.94,11-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Jun-2020 - 00:00,723.5,66.26,24.81,203.43,1.69,0.51,0.07,0.37,0.16,0.78,34.33,5.63,18.25,23.86,54.47,9.05,12-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Jun-2020 - 00:00,722.12,77.96,28.52,107.97,1.66,0.77,0.12,0.53,0.25,0.54,35.34,5.69,20.12,25.81,69.42,12.56,13-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Jun-2020 - 00:00,722.48,84.68,30.09,95.48,1.9,1.09,0.08,0.43,0.19,0.87,32.31,5.32,17.5,22.82,84.5,8.49,14-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Jun-2020 - 00:00,723.85,67.86,27.45,87.76,1.76,1.11,0.06,0.24,0.1,0.77,31.23,5.36,14.7,20.06,76.44,11.91,15-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Jun-2020 - 00:00,722.86,58.82,20.43,205.97,1.48,1.82,0.4,1.95,0.77,0.96,41.27,5.23,23.75,28.97,66.88,11.04,16-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Jun-2020 - 00:00,720.37,89.6,27.25,154.69,1.71,1.11,0.24,1.11,0.49,0.61,33.41,5.72,16.39,22.1,83.12,10.31,17-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Jun-2020 - 00:00,719.83,96.9,36.16,192.9,1.54,0.56,0.07,0.36,0.18,0.63,28.91,5.57,16.62,22.19,80.2,11.31,18-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
