from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
01-Jan-2020 - 00:00,110.17,185.84,5.27,8.11,7.44,34.34,6.09,1.21,15.13,9.46,0.56,2.22,0.81,0.59,88.2,244.65,1.72,124.25,0.0,02-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
02-Jan-2020 - 00:00,140.54,160.95,4.48,16.16,13.47,41.87,6.29,1.43,8.99,9.64,79.59,3.06,0.92,0.75,81.13,238.91,1.69,192.77,0.0,03-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
03-Jan-2020 - 00:00,103.9,118.77,5.16,7.85,7.17,36.09,6.49,0.76,14.67,4.9,69.3,1.87,0.96,0.94,85.12,247.52,1.57,211.65,0.0,04-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
04-Jan-2020 - 00:00,110.58,137.91,4.6,15.01,12.62,41.42,6.38,1.06,8.56,7.79,92.19,3.7,1.68,1.69,79.85,239.67,1.46,171.29,0.0,05-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
05-Jan-2020 - 00:00,107.19,158.24,5.28,13.42,11.44,40.79,6.31,0.84,9.02,5.54,89.21,2.39,1.0,1.01,80.99,293.61,1.9,189.55,0.0,06-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
06-Jan-2020 - 00:00,102.37,135.34,5.35,7.01,6.6,37.71,6.2,0.64,10.75,4.09,81.99,1.74,1.0,0.85,79.7,195.88,2.1,118.01,0.0,07-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
07-Jan-2020 - 00:00,78.04,95.96,5.35,6.33,6.05,34.05,6.13,0.57,11.92,3.83,79.93,1.52,0.94,0.77,82.58,138.24,1.76,123.07,0.01,08-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
08-Jan-2020 - 00:00,76.95,79.14,5.66,7.25,6.96,29.93,6.1,0.61,6.73,3.87,71.65,1.42,0.88,0.74,99.23,23.5,2.94,307.61,0.0,09-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
09-Jan-2020 - 00:00,42.93,54.88,5.99,6.0,6.14,24.93,6.3,0.41,15.53,3.96,53.31,2.31,2.05,1.94,88.97,255.99,2.79,283.12,0.0,10-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
10-Jan-2020 - 00:00,62.3,93.99,7.42,4.76,5.87,27.66,6.24,0.59,22.13,3.67,51.48,1.76,0.46,0.48,74.68,340.44,2.62,290.84,0.0,11-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
11-Jan-2020 - 00:00,79.15,110.18,7.62,5.33,6.44,31.13,6.11,0.69,10.89,5.34,91.92,2.16,0.93,0.99,61.28,286.16,1.71,215.37,0.0,12-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
12-Jan-2020 - 00:00,102.58,156.57,7.14,5.02,5.94,31.19,6.32,0.9,9.47,7.39,100.91,3.92,1.92,1.6,69.63,,1.78,164.61,0.0,13-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
13-Jan-2020 - 00:00,73.34,117.88,6.81,5.06,5.79,28.31,6.27,0.59,10.26,6.45,76.47,2.07,0.57,0.49,69.63,,2.82,216.13,0.0,14-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
14-Jan-2020 - 00:00,44.64,48.29,7.78,5.44,6.6,27.54,6.08,0.43,12.99,2.83,47.93,0.72,0.2,0.2,82.39,276.09,2.44,273.11,0.0,15-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
15-Jan-2020 - 00:00,65.93,76.5,8.75,5.19,6.88,37.5,6.15,0.55,10.32,4.16,79.14,1.13,0.56,0.52,90.83,212.13,2.16,199.94,0.0,16-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
16-Jan-2020 - 00:00,65.34,72.67,8.2,5.17,6.55,28.35,6.05,0.5,9.37,3.28,74.24,0.98,0.34,0.32,82.74,145.44,2.56,280.45,0.0,17-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
17-Jan-2020 - 00:00,50.51,63.7,9.14,5.16,7.09,32.26,6.18,0.51,9.57,3.46,79.25,0.93,0.52,0.47,90.13,272.27,2.44,238.32,0.0,18-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
18-Jan-2020 - 00:00,58.97,89.88,9.28,5.15,7.12,34.14,6.07,0.64,10.61,4.5,86.18,1.34,0.78,0.66,95.57,163.38,1.87,148.54,0.0,19-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
19-Jan-2020 - 00:00,69.43,92.95,8.11,5.08,6.5,34.34,6.03,0.63,10.76,4.34,74.13,0.93,0.56,0.48,94.1,200.4,2.56,288.49,0.0,20-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
20-Jan-2020 - 00:00,77.52,95.9,8.61,5.05,6.73,29.08,6.09,0.68,15.75,5.59,69.67,0.98,0.57,0.5,92.41,205.2,2.07,185.28,0.0,21-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
21-Jan-2020 - 00:00,143.88,220.8,9.38,4.91,6.6,24.81,6.33,0.92,10.05,7.15,82.53,2.41,1.46,0.96,87.01,296.76,2.1,125.36,0.0,22-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
22-Jan-2020 - 00:00,56.3,88.88,12.05,5.5,8.7,24.74,6.14,0.79,10.33,6.75,71.6,2.28,1.66,1.03,78.39,286.84,3.24,301.4,0.0,23-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
23-Jan-2020 - 00:00,36.33,51.32,12.57,5.42,8.95,25.08,6.06,0.36,11.45,2.67,56.34,0.81,0.42,0.4,62.79,350.24,3.97,307.7,0.0,24-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
