from date,PM2.5,PM10,NO2,SO2,CO,to date,station
01-Jan-2020 - 00:00,,,,,,02-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
02-Jan-2020 - 00:00,,,,,,03-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
03-Jan-2020 - 00:00,,,,,,04-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
04-Jan-2020 - 00:00,,,,,,05-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
05-Jan-2020 - 00:00,,,,,,06-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
06-Jan-2020 - 00:00,,,,,,07-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
07-Jan-2020 - 00:00,,,,,,08-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
08-Jan-2020 - 00:00,,,,,,09-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
09-Jan-2020 - 00:00,,,,,,10-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
10-Jan-2020 - 00:00,,,,,,11-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
11-Jan-2020 - 00:00,,,,,,12-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
12-Jan-2020 - 00:00,,,,,,13-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
13-Jan-2020 - 00:00,,,,,,14-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
14-Jan-2020 - 00:00,,,,,,15-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
15-Jan-2020 - 00:00,,,,,,16-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
16-Jan-2020 - 00:00,,,,,,17-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
17-Jan-2020 - 00:00,,,,,,18-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
18-Jan-2020 - 00:00,,,,,,19-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
19-Jan-2020 - 00:00,,,,,,20-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
20-Jan-2020 - 00:00,,,,,,21-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
21-Jan-2020 - 00:00,,,,,,22-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
22-Jan-2020 - 00:00,44.38,130.0,74.95,89.7,0.27,23-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
23-Jan-2020 - 00:00,46.17,95.39,31.06,99.31,1.84,24-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
24-Jan-2020 - 00:00,49.41,89.32,21.06,84.47,1.67,25-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
25-Jan-2020 - 00:00,77.34,155.12,30.91,69.07,1.21,26-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
26-Jan-2020 - 00:00,74.99,153.5,36.08,58.12,1.01,27-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
27-Jan-2020 - 00:00,97.46,176.77,35.72,59.79,1.69,28-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
28-Jan-2020 - 00:00,91.42,173.7,54.69,52.77,2.14,29-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
29-Jan-2020 - 00:00,77.67,140.11,100.79,59.25,2.84,30-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
30-Jan-2020 - 00:00,68.03,133.82,157.07,53.58,3.2,31-Jan-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
31-Jan-2020 - 00:00,50.67,102.5,159.26,51.76,3.11,01-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
01-Feb-2020 - 00:00,60.6,137.0,130.0,50.0,3.0,02-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
02-Feb-2020 - 00:00,60.6,137.0,130.0,50.0,3.0,03-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
03-Feb-2020 - 00:00,60.6,137.0,130.0,50.0,3.0,04-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
04-Feb-2020 - 00:00,60.6,137.0,130.0,50.0,3.0,05-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
05-Feb-2020 - 00:00,60.6,137.0,130.0,50.0,3.0,06-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
06-Feb-2020 - 00:00,60.6,137.0,130.0,50.0,3.0,07-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
07-Feb-2020 - 00:00,58.95,116.16,98.23,43.23,3.6,08-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
08-Feb-2020 - 00:00,59.08,88.0,47.07,27.69,4.34,09-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
