from date,PM2.5,PM10,NO2,SO2,CO,to date,station
09-Feb-2020 - 00:00,55.83,80.08,33.85,22.92,4.64,10-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
10-Feb-2020 - 00:00,46.36,130.97,35.92,17.82,4.73,11-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
11-Feb-2020 - 00:00,47.64,79.19,34.47,20.45,4.9,12-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
12-Feb-2020 - 00:00,42.57,97.71,36.06,26.09,4.4,13-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
13-Feb-2020 - 00:00,59.45,112.59,36.26,26.35,4.55,14-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
14-Feb-2020 - 00:00,41.32,117.73,34.36,30.52,4.88,15-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
15-Feb-2020 - 00:00,64.82,172.8,61.14,19.98,4.81,16-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
16-Feb-2020 - 00:00,36.32,94.93,36.3,13.65,4.8,17-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
17-Feb-2020 - 00:00,24.84,86.99,26.1,7.82,5.5,18-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
18-Feb-2020 - 00:00,46.19,128.56,34.26,15.57,5.41,19-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
19-Feb-2020 - 00:00,72.92,210.58,82.92,24.79,5.55,20-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
20-Feb-2020 - 00:00,63.94,184.69,68.73,20.84,6.48,21-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
21-Feb-2020 - 00:00,64.54,188.71,81.54,14.95,6.34,22-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
22-Feb-2020 - 00:00,37.74,122.9,58.38,8.38,6.8,23-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
23-Feb-2020 - 00:00,37.47,103.5,50.1,1.29,7.01,24-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
24-Feb-2020 - 00:00,41.25,121.23,59.69,1.4,7.19,25-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
25-Feb-2020 - 00:00,40.05,113.17,31.75,1.4,7.17,26-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
26-Feb-2020 - 00:00,44.24,125.88,29.77,3.79,7.34,27-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
27-Feb-2020 - 00:00,46.76,138.32,30.13,1.91,7.84,28-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
28-Feb-2020 - 00:00,57.16,171.19,34.62,1.84,8.17,29-Feb-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
29-Feb-2020 - 00:00,75.54,228.85,53.12,4.61,9.03,01-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
01-Mar-2020 - 00:00,51.32,155.44,51.59,2.64,8.39,02-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
02-Mar-2020 - 00:00,77.04,235.21,77.51,2.45,5.98,03-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
03-Mar-2020 - 00:00,85.8,249.08,93.96,1.32,0.74,04-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
04-Mar-2020 - 00:00,55.62,156.65,92.54,1.2,0.22,05-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
05-Mar-2020 - 00:00,70.9,202.6,132.31,1.67,0.01,06-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
06-Mar-2020 - 00:00,55.66,152.46,92.89,1.47,0.01,07-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
07-Mar-2020 - 00:00,37.59,104.62,54.66,2.55,0.01,08-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
08-Mar-2020 - 00:00,28.62,84.1,51.51,1.34,0.01,09-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
09-Mar-2020 - 00:00,31.18,94.23,50.24,1.42,0.86,10-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
10-Mar-2020 - 00:00,40.06,130.75,75.76,1.31,2.97,11-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
11-Mar-2020 - 00:00,30.82,95.36,78.47,1.39,2.98,12-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
12-Mar-2020 - 00:00,28.49,93.0,68.53,1.34,3.17,13-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
13-Mar-2020 - 00:00,32.7,99.73,41.05,1.3,2.96,14-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
14-Mar-2020 - 00:00,36.41,115.62,34.46,1.28,3.77,15-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
15-Mar-2020 - 00:00,21.56,72.29,25.45,1.28,4.23,16-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
16-Mar-2020 - 00:00,18.72,68.06,26.79,1.31,4.14,17-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
17-Mar-2020 - 00:00,6.0,19.0,62.0,1.0,5.0,18-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
18-Mar-2020 - 00:00,35.4,107.15,70.77,3.6,5.22,19-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
19-Mar-2020 - 00:00,59.62,209.16,74.93,1.21,4.79,20-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
20-Mar-2020 - 00:00,44.05,133.94,91.29,1.25,3.89,21-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
21-Mar-2020 - 00:00,53.0,179.0,100.61,2.11,3.07,22-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
22-Mar-2020 - 00:00,42.49,127.71,57.78,1.8,3.89,23-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
23-Mar-2020 - 00:00,50.91,168.35,41.76,2.39,4.22,24-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
24-Mar-2020 - 00:00,32.61,132.19,37.08,1.3,4.8,25-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
25-Mar-2020 - 00:00,25.35,120.86,29.36,1.23,4.48,26-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
26-Mar-2020 - 00:00,19.58,55.27,26.54,1.3,4.47,27-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
27-Mar-2020 - 00:00,10.72,32.12,25.31,1.22,4.7,28-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
28-Mar-2020 - 00:00,17.03,65.2,22.43,1.23,4.8,29-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
29-Mar-2020 - 00:00,19.55,69.96,20.35,1.24,5.7,30-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
30-Mar-2020 - 00:00,30.89,103.0,20.78,1.24,5.8,31-Mar-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
31-Mar-2020 - 00:00,30.53,95.92,21.83,1.24,6.29,01-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
01-Apr-2020 - 00:00,25.52,84.02,21.14,1.29,6.4,02-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
02-Apr-2020 - 00:00,28.86,84.4,19.72,1.33,6.86,03-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
03-Apr-2020 - 00:00,21.9,67.52,20.09,1.2,7.26,04-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
04-Apr-2020 - 00:00,21.76,69.46,19.41,1.15,7.71,05-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
05-Apr-2020 - 00:00,29.3,100.81,22.96,1.29,8.27,06-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
06-Apr-2020 - 00:00,34.73,109.0,26.07,1.18,8.28,07-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
07-Apr-2020 - 00:00,30.75,105.48,29.57,1.21,8.53,08-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
08-Apr-2020 - 00:00,29.33,80.27,43.59,1.27,8.82,09-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
09-Apr-2020 - 00:00,31.24,93.32,35.53,1.28,8.38,10-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
10-Apr-2020 - 00:00,28.85,89.03,44.4,1.29,7.97,11-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
11-Apr-2020 - 00:00,15.96,49.0,33.54,1.26,6.81,12-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
12-Apr-2020 - 00:00,15.73,49.0,28.71,1.3,5.92,13-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
13-Apr-2020 - 00:00,15.38,49.0,27.89,1.19,4.53,14-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
14-Apr-2020 - 00:00,16.85,49.0,55.48,1.31,5.94,15-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
15-Apr-2020 - 00:00,16.04,49.0,33.43,1.25,4.42,16-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
16-Apr-2020 - 00:00,16.1,49.0,39.65,1.26,1.76,17-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
17-Apr-2020 - 00:00,16.23,49.0,42.79,1.28,0.12,18-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
18-Apr-2020 - 00:00,16.06,49.0,42.7,1.31,0.01,19-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
19-Apr-2020 - 00:00,16.65,49.0,59.08,1.3,0.32,20-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
20-Apr-2020 - 00:00,16.71,49.0,46.58,1.3,0.84,21-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
21-Apr-2020 - 00:00,16.79,49.0,38.12,1.29,0.32,22-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
22-Apr-2020 - 00:00,16.67,49.0,37.49,1.27,0.43,23-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
23-Apr-2020 - 00:00,16.22,82.89,52.12,9.49,3.0,24-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
24-Apr-2020 - 00:00,30.5,263.33,95.78,39.68,5.42,25-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
25-Apr-2020 - 00:00,,,102.61,54.42,5.73,26-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
26-Apr-2020 - 00:00,,,86.98,43.81,5.4,27-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
27-Apr-2020 - 00:00,,,79.03,36.91,5.33,28-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
28-Apr-2020 - 00:00,,,63.51,25.79,5.57,29-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
29-Apr-2020 - 00:00,,,55.0,48.74,6.55,30-Apr-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
30-Apr-2020 - 00:00,,,64.36,23.74,6.33,01-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
01-May-2020 - 00:00,,,82.26,1.19,6.24,02-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
02-May-2020 - 00:00,,,56.85,1.35,6.43,03-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
03-May-2020 - 00:00,,,48.06,1.27,6.78,04-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
04-May-2020 - 00:00,,,100.17,1.24,7.0,05-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
05-May-2020 - 00:00,,,53.14,1.24,7.5,06-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
06-May-2020 - 00:00,,,51.84,1.27,7.65,07-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
07-May-2020 - 00:00,47.29,155.42,54.31,1.18,7.94,08-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
08-May-2020 - 00:00,59.78,247.08,30.61,1.29,8.11,09-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
09-May-2020 - 00:00,53.52,197.38,31.85,1.36,8.58,10-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
10-May-2020 - 00:00,57.15,177.71,33.33,1.26,8.59,11-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
11-May-2020 - 00:00,55.75,169.71,47.57,1.27,8.92,12-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
12-May-2020 - 00:00,64.3,269.79,39.96,1.29,9.19,13-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
13-May-2020 - 00:00,50.93,194.3,54.82,1.36,9.84,14-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
14-May-2020 - 00:00,53.12,211.96,83.06,1.36,9.91,15-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
15-May-2020 - 00:00,45.18,184.04,63.59,2.95,9.53,16-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
16-May-2020 - 00:00,57.04,227.88,50.39,2.35,9.42,17-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
17-May-2020 - 00:00,60.21,240.54,43.6,4.18,9.41,18-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
18-May-2020 - 00:00,29.0,208.83,47.03,1.93,8.51,19-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
19-May-2020 - 00:00,28.48,209.54,52.51,1.24,7.7,20-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
20-May-2020 - 00:00,29.0,252.5,60.28,1.3,7.09,21-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
21-May-2020 - 00:00,28.08,326.42,56.53,1.21,1.78,22-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
22-May-2020 - 00:00,29.0,394.17,55.52,1.2,1.21,23-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
23-May-2020 - 00:00,,,,,,24-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
24-May-2020 - 00:00,,,,,,25-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
25-May-2020 - 00:00,,,,,,26-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
26-May-2020 - 00:00,,,,,,27-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
27-May-2020 - 00:00,29.0,149.33,37.78,,0.01,28-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
28-May-2020 - 00:00,29.0,201.07,32.81,,6.19,29-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
29-May-2020 - 00:00,29.0,275.9,33.0,,6.36,30-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
30-May-2020 - 00:00,28.33,238.23,33.0,,6.52,31-May-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
31-May-2020 - 00:00,29.0,204.75,33.0,,6.7,01-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
01-Jun-2020 - 00:00,29.0,246.1,33.0,,6.8,02-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
02-Jun-2020 - 00:00,27.61,207.92,33.0,,6.9,03-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
03-Jun-2020 - 00:00,29.0,155.0,33.0,31.0,7.0,04-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
04-Jun-2020 - 00:00,,,,,,05-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
05-Jun-2020 - 00:00,56.38,222.08,38.21,16.69,7.0,06-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
06-Jun-2020 - 00:00,,,,,,07-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
07-Jun-2020 - 00:00,,,,,,08-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
08-Jun-2020 - 00:00,82.37,341.34,1.7,11.59,7.38,09-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
09-Jun-2020 - 00:00,100.0,382.6,1.69,44.29,7.47,10-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
10-Jun-2020 - 00:00,65.65,214.21,1.74,64.1,7.28,11-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
11-Jun-2020 - 00:00,62.06,215.29,1.77,67.98,7.44,12-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
12-Jun-2020 - 00:00,60.39,204.73,1.7,103.09,6.84,13-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
13-Jun-2020 - 00:00,23.5,103.0,1.0,151.0,9.0,14-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
14-Jun-2020 - 00:00,,,,,,15-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
15-Jun-2020 - 00:00,25.96,78.0,1.79,53.67,8.76,16-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
16-Jun-2020 - 00:00,26.59,78.0,1.7,139.7,7.46,17-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
17-Jun-2020 - 00:00,29.24,78.0,1.78,114.0,7.79,18-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
18-Jun-2020 - 00:00,,,,,,19-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
19-Jun-2020 - 00:00,26.84,78.0,1.74,10.32,9.44,20-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
20-Jun-2020 - 00:00,25.5,78.0,1.8,9.98,9.42,21-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
21-Jun-2020 - 00:00,,,,,,22-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
22-Jun-2020 - 00:00,33.83,78.0,1.83,4.56,10.0,23-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
23-Jun-2020 - 00:00,,,,,,24-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
24-Jun-2020 - 00:00,45.61,176.54,1.68,33.38,1.45,25-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
25-Jun-2020 - 00:00,55.84,226.54,1.69,45.02,3.21,26-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
26-Jun-2020 - 00:00,43.01,235.85,1.71,54.74,3.54,27-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
27-Jun-2020 - 00:00,49.69,239.5,2.68,58.62,3.35,28-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
28-Jun-2020 - 00:00,23.58,131.53,3.4,44.4,3.35,29-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
29-Jun-2020 - 00:00,22.43,151.47,1.72,50.58,3.41,30-Jun-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
30-Jun-2020 - 00:00,28.96,169.12,41.08,83.35,5.93,01-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
01-Jul-2020 - 00:00,31.42,157.3,97.11,57.26,4.27,02-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
02-Jul-2020 - 00:00,23.77,170.29,94.95,49.49,3.69,03-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
03-Jul-2020 - 00:00,26.87,180.62,93.31,55.14,5.5,04-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
04-Jul-2020 - 00:00,21.59,131.75,80.04,55.78,4.68,05-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
05-Jul-2020 - 00:00,14.98,169.56,104.0,50.4,6.69,06-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
06-Jul-2020 - 00:00,12.2,99.54,75.47,64.26,9.19,07-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
07-Jul-2020 - 00:00,14.86,133.32,56.87,29.99,5.99,08-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
08-Jul-2020 - 00:00,20.36,165.18,92.01,27.96,6.0,09-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
09-Jul-2020 - 00:00,39.42,188.17,39.18,8.46,2.9,10-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
10-Jul-2020 - 00:00,45.36,190.94,44.64,25.12,3.86,11-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
11-Jul-2020 - 00:00,63.33,311.52,42.31,4.79,1.99,12-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
12-Jul-2020 - 00:00,34.97,309.0,71.99,25.87,7.04,13-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
13-Jul-2020 - 00:00,32.17,309.0,44.07,3.97,0.69,14-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
