from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
28-Feb-2020 - 00:00,12.04,991.25,144.82,69.55,66.61,94.46,125.11,1.84,0.5,1.43,55.01,1.99,16.2,14.21,0.76,24.02,5.69,29-Feb-2020 - 00:00,"Patparganj, Delhi - DPCC"
29-Feb-2020 - 00:00,11.79,990.49,109.75,48.94,69.78,92.21,114.84,2.0,0.54,2.49,52.02,2.12,16.75,14.64,0.65,19.7,4.5,01-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
01-Mar-2020 - 00:00,11.62,991.35,84.3,34.26,71.62,129.36,161.18,0.86,0.54,4.45,45.75,18.86,37.02,18.18,0.71,19.41,5.49,02-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
02-Mar-2020 - 00:00,11.93,990.67,195.36,95.04,72.19,91.12,194.44,0.48,1.49,7.16,61.65,47.0,72.09,25.09,1.62,17.55,6.27,03-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
03-Mar-2020 - 00:00,12.23,989.16,160.9,69.47,63.51,157.51,231.27,0.77,1.13,5.45,61.03,25.12,44.39,21.63,1.06,17.97,5.08,04-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
04-Mar-2020 - 00:00,12.08,988.19,161.56,70.21,62.91,85.8,117.36,0.96,0.95,6.26,57.76,13.12,33.0,19.9,0.94,25.92,7.94,05-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
05-Mar-2020 - 00:00,11.6,988.46,58.56,25.25,68.35,69.31,146.65,1.97,0.47,3.11,41.02,3.14,18.27,15.14,0.63,20.42,4.23,06-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
06-Mar-2020 - 00:00,11.0,987.56,32.33,13.87,77.01,87.26,128.66,2.48,0.33,2.81,34.7,2.48,15.95,13.54,0.46,17.48,4.01,07-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
07-Mar-2020 - 00:00,11.13,991.91,76.33,35.2,75.33,72.6,146.07,0.99,0.47,3.24,34.04,7.48,20.85,13.37,0.69,20.43,3.23,08-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
08-Mar-2020 - 00:00,11.57,993.7,134.08,68.76,70.55,160.17,231.01,0.85,0.95,5.67,38.58,33.92,56.07,22.17,1.07,16.93,4.51,09-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
09-Mar-2020 - 00:00,11.66,990.86,118.05,53.97,60.99,173.08,314.8,0.98,0.53,3.58,38.6,8.69,26.44,17.75,0.78,18.87,5.59,10-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
10-Mar-2020 - 00:00,11.74,989.67,152.27,83.15,60.1,149.8,187.25,0.85,0.8,3.2,40.29,8.07,24.62,16.74,0.97,18.89,7.17,11-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
11-Mar-2020 - 00:00,12.09,987.3,103.56,48.99,63.19,139.99,126.81,1.61,0.59,2.87,47.39,2.46,17.17,14.73,0.7,22.46,6.35,12-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
12-Mar-2020 - 00:00,12.22,989.5,153.19,59.3,62.15,132.29,145.8,1.13,0.6,3.28,41.6,8.1,25.34,17.25,0.79,17.28,5.2,13-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
13-Mar-2020 - 00:00,12.16,991.26,156.56,49.89,55.64,156.95,180.22,1.0,0.69,4.43,35.16,15.72,33.87,18.19,0.65,15.94,,14-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
14-Mar-2020 - 00:00,11.37,992.66,67.62,34.86,74.36,91.71,109.08,1.6,0.49,3.28,36.22,3.78,16.14,12.36,0.61,14.09,5.3,15-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
15-Mar-2020 - 00:00,11.43,994.27,98.73,48.59,68.95,139.26,146.19,0.98,0.39,3.6,28.74,13.03,25.96,12.93,0.67,20.8,7.28,16-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
16-Mar-2020 - 00:00,11.86,993.85,122.88,51.74,65.17,146.22,318.07,0.82,0.37,3.49,30.19,14.27,31.28,17.0,0.77,14.16,7.04,17-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
17-Mar-2020 - 00:00,12.18,993.79,122.11,57.08,61.79,179.07,300.5,0.87,0.45,3.75,30.25,9.93,28.39,18.45,0.77,18.55,6.96,18-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
18-Mar-2020 - 00:00,12.39,992.06,122.57,50.0,60.41,167.2,302.53,0.99,0.44,4.14,31.93,6.53,23.79,17.25,0.73,19.83,6.38,19-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
19-Mar-2020 - 00:00,12.57,988.94,179.67,84.26,62.78,151.22,218.53,0.99,0.62,4.96,37.98,19.34,35.55,16.22,0.86,15.37,9.26,20-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
20-Mar-2020 - 00:00,12.7,988.02,191.54,83.35,60.29,128.91,134.19,1.06,0.71,4.76,35.99,18.55,39.15,20.62,0.99,16.23,13.23,21-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
21-Mar-2020 - 00:00,12.71,988.35,161.53,67.92,58.85,123.69,246.09,0.79,0.64,4.13,38.49,14.07,32.66,18.5,0.89,13.82,8.0,22-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
22-Mar-2020 - 00:00,12.86,990.09,112.41,60.68,55.81,167.47,191.17,1.04,0.72,3.11,34.86,2.32,10.66,8.35,0.61,24.82,8.63,23-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
23-Mar-2020 - 00:00,12.9,989.67,87.35,42.1,54.27,165.52,190.53,0.86,0.35,1.91,30.59,2.02,9.69,7.68,0.54,21.52,7.89,24-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
24-Mar-2020 - 00:00,12.67,988.51,100.56,48.61,58.64,117.42,167.55,0.99,0.44,2.96,34.28,2.62,10.27,7.65,0.56,19.24,9.16,25-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
25-Mar-2020 - 00:00,12.78,988.68,62.83,32.1,62.25,150.9,229.97,0.96,0.26,1.68,38.83,2.87,8.81,5.95,0.48,16.16,6.52,26-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
26-Mar-2020 - 00:00,12.75,989.87,67.54,33.94,61.16,106.06,294.03,1.15,0.21,1.24,35.76,2.31,7.46,5.16,0.46,14.13,6.49,27-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
27-Mar-2020 - 00:00,12.2,991.72,36.87,18.76,67.99,92.63,183.65,1.31,0.17,1.07,32.23,2.31,6.12,3.81,0.39,13.32,5.88,28-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
28-Mar-2020 - 00:00,12.31,993.05,21.11,11.33,69.46,283.16,251.93,1.08,0.14,1.25,34.7,2.36,6.98,4.63,0.36,11.03,6.11,29-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
29-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,30-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
30-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,31-Mar-2020 - 00:00,"Patparganj, Delhi - DPCC"
31-Mar-2020 - 00:00,29.91,988.84,63.52,18.38,48.05,241.82,239.91,1.62,0.15,1.06,157.96,2.02,7.63,5.61,0.42,27.91,7.94,01-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
01-Apr-2020 - 00:00,29.22,988.15,59.46,25.79,54.17,192.47,216.94,1.2,0.18,1.37,84.53,2.17,8.73,6.56,0.5,22.07,7.52,02-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
02-Apr-2020 - 00:00,29.0,988.59,52.52,20.43,52.43,211.37,291.17,1.52,0.15,1.14,33.78,1.51,6.72,5.21,0.39,25.58,7.59,03-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
03-Apr-2020 - 00:00,28.67,989.84,52.06,21.1,47.45,213.27,311.84,1.15,0.15,1.17,30.7,1.46,8.36,6.92,0.4,32.13,6.34,04-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
