from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,WS,WD,RH,SR,RF,to date,station
17-Jun-2020 - 00:00,28.36,38.58,1.81,2.7,12.24,,20.17,1.74,0.89,0.0,0.0,0.0,0.0,0.57,2.4,82.91,194.37,0.63,18-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
18-Jun-2020 - 00:00,25.14,46.68,1.54,2.98,10.81,,19.64,1.65,0.72,0.0,0.0,0.0,0.0,0.74,2.7,75.8,333.77,0.03,19-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
19-Jun-2020 - 00:00,20.57,26.65,1.27,13.41,20.93,,19.41,1.65,0.88,0.0,0.0,0.0,0.0,0.61,2.61,85.04,154.41,1.27,20-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
20-Jun-2020 - 00:00,22.02,40.77,1.65,26.41,32.54,,20.59,1.66,1.23,0.0,0.0,0.0,0.0,0.69,2.9,77.72,348.75,0.05,21-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
21-Jun-2020 - 00:00,6.8,11.51,1.72,30.25,37.3,,20.62,1.4,1.21,0.0,0.0,0.0,0.0,0.7,2.61,86.44,116.33,1.17,22-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
22-Jun-2020 - 00:00,16.0,24.34,1.89,26.54,30.34,,21.16,1.54,1.44,0.0,0.0,0.0,0.0,0.82,2.74,84.11,178.66,2.02,23-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
23-Jun-2020 - 00:00,29.92,53.55,1.82,16.74,16.68,,21.6,1.85,1.07,0.0,0.0,0.0,0.03,0.65,2.74,75.46,265.21,0.0,24-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
24-Jun-2020 - 00:00,36.66,60.07,1.84,17.41,17.34,,21.27,2.11,1.16,0.0,0.0,0.0,0.0,0.72,2.88,74.96,370.58,0.01,25-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
25-Jun-2020 - 00:00,16.71,38.92,1.87,17.86,17.79,,21.23,1.64,1.37,0.0,0.0,0.0,0.0,0.74,2.69,77.56,347.77,0.35,26-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
26-Jun-2020 - 00:00,15.35,27.35,1.92,19.14,19.06,,21.43,1.63,2.11,0.0,0.0,0.0,0.0,0.69,3.1,82.61,227.36,1.15,27-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
27-Jun-2020 - 00:00,16.0,25.79,2.07,22.27,22.16,,21.25,1.64,1.3,0.0,0.0,0.0,0.0,0.79,2.75,82.63,182.34,2.72,28-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
28-Jun-2020 - 00:00,13.63,19.59,2.24,25.0,24.85,,21.23,1.47,0.69,0.0,0.04,0.0,0.0,0.6,3.1,82.32,219.7,0.68,29-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
29-Jun-2020 - 00:00,19.44,38.36,2.35,27.79,27.62,,19.91,1.65,0.76,0.0,0.0,0.0,0.0,0.61,3.03,82.47,246.91,1.42,30-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
30-Jun-2020 - 00:00,19.03,41.41,2.43,20.3,20.14,,20.49,1.68,1.28,0.0,0.0,0.0,0.0,0.85,2.7,75.41,345.66,1.39,01-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
01-Jul-2020 - 00:00,18.58,39.66,2.48,14.67,14.52,,21.32,1.72,1.35,0.0,0.0,0.0,0.0,0.53,2.5,78.74,287.37,0.2,02-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
02-Jul-2020 - 00:00,17.24,27.96,2.55,15.51,15.36,,21.29,1.75,0.92,0.0,0.0,0.0,0.0,0.69,2.31,83.51,202.07,1.57,03-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
03-Jul-2020 - 00:00,12.75,17.38,2.46,14.84,14.7,,21.14,1.68,0.92,0.0,0.0,0.0,0.0,0.59,2.12,89.89,105.19,1.2,04-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
04-Jul-2020 - 00:00,21.36,32.12,2.52,15.83,15.68,2.59,21.19,1.78,0.68,0.0,0.0,0.0,0.0,0.63,2.25,82.29,273.63,0.29,05-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
05-Jul-2020 - 00:00,16.17,25.13,2.7,17.89,17.72,2.63,21.24,1.52,1.48,0.0,0.0,0.0,0.0,0.64,2.26,81.81,250.37,0.22,06-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
06-Jul-2020 - 00:00,19.86,31.62,2.76,19.16,18.99,2.64,21.11,1.57,1.43,0.0,0.0,0.0,0.0,0.59,2.29,82.57,239.16,0.8,07-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
07-Jul-2020 - 00:00,15.18,21.9,2.62,18.26,18.1,2.64,21.25,1.6,1.44,0.0,0.0,0.0,0.0,0.8,2.16,84.73,234.97,1.85,08-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
08-Jul-2020 - 00:00,27.43,35.22,2.64,18.43,18.26,2.65,20.67,1.7,1.39,0.0,0.0,0.0,0.0,0.84,2.25,81.51,208.43,0.11,09-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
09-Jul-2020 - 00:00,30.42,41.84,2.69,18.95,18.78,2.65,21.26,1.79,1.25,0.0,0.04,0.0,0.0,0.73,2.21,81.69,175.2,0.1,10-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
10-Jul-2020 - 00:00,13.55,26.19,2.84,20.81,20.63,2.64,20.82,1.68,1.1,0.0,0.0,0.01,0.0,0.68,2.29,77.66,278.18,0.18,11-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
11-Jul-2020 - 00:00,30.75,49.07,2.93,21.67,21.48,2.64,25.91,1.84,1.12,0.0,0.0,0.0,0.0,0.5,2.4,76.46,282.41,0.0,12-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
12-Jul-2020 - 00:00,6.96,11.56,3.0,22.29,22.09,2.64,22.31,1.48,3.67,0.0,0.0,0.0,0.0,0.66,2.17,79.66,214.21,0.58,13-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
13-Jul-2020 - 00:00,16.98,26.69,3.03,22.95,22.75,2.64,21.18,1.6,1.33,0.0,0.0,0.0,0.0,0.85,2.16,79.67,227.27,0.17,14-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
14-Jul-2020 - 00:00,14.57,25.85,3.03,22.92,22.72,3.25,21.52,1.64,0.37,0.0,0.0,0.0,0.0,1.02,2.46,76.42,383.13,0.02,15-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
15-Jul-2020 - 00:00,17.22,30.43,3.11,23.47,23.26,3.85,21.43,1.57,1.35,0.0,0.01,0.0,0.0,0.55,2.52,78.37,244.73,0.07,16-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
16-Jul-2020 - 00:00,8.47,12.57,3.04,23.4,23.2,3.94,21.32,1.59,1.3,0.0,0.0,0.0,0.0,0.53,2.42,88.34,122.22,2.06,17-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
17-Jul-2020 - 00:00,12.22,16.87,3.05,23.13,22.92,3.89,20.91,1.56,0.51,0.0,0.0,0.0,0.0,0.81,2.54,85.79,191.63,1.13,18-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
18-Jul-2020 - 00:00,19.48,28.76,3.22,25.46,25.24,3.9,21.33,1.61,2.3,0.0,0.0,0.0,0.0,0.74,2.47,77.84,311.03,0.12,19-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
19-Jul-2020 - 00:00,15.13,22.21,3.27,25.92,25.69,3.93,21.21,1.44,0.02,0.0,0.0,0.0,0.0,0.49,2.35,79.27,273.07,0.0,20-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
20-Jul-2020 - 00:00,15.35,28.25,3.31,26.17,25.94,3.89,21.07,1.55,0.29,0.0,0.0,0.0,0.0,0.78,2.3,80.92,326.58,0.68,21-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
21-Jul-2020 - 00:00,13.11,25.98,3.49,27.76,27.51,3.87,21.53,1.63,0.65,0.0,0.0,0.01,0.0,0.63,2.46,73.36,364.97,0.0,22-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
22-Jul-2020 - 00:00,12.33,23.12,3.59,29.1,28.85,3.84,21.14,1.6,2.21,0.0,0.0,0.0,0.0,0.9,2.5,77.72,397.59,0.18,23-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
23-Jul-2020 - 00:00,4.66,15.67,3.63,29.7,29.44,3.91,21.37,1.59,1.81,0.0,0.0,0.0,0.0,1.06,2.54,80.25,317.67,0.1,24-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
24-Jul-2020 - 00:00,3.95,13.58,3.57,29.01,28.75,3.98,20.75,1.5,2.23,0.0,0.0,0.0,0.0,1.31,2.47,81.57,245.9,0.09,25-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
25-Jul-2020 - 00:00,10.32,23.63,3.59,29.55,29.29,3.98,20.86,1.59,2.62,0.0,0.0,0.0,0.0,0.63,2.58,75.26,329.75,0.04,26-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
26-Jul-2020 - 00:00,23.12,32.41,3.65,30.06,29.79,4.02,20.9,1.63,2.35,0.0,0.0,0.0,0.0,0.51,2.6,75.72,216.6,0.01,27-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
27-Jul-2020 - 00:00,18.07,36.05,3.46,27.88,27.64,5.0,21.21,1.74,2.61,0.0,0.0,0.0,0.0,0.71,2.63,73.91,391.26,0.22,28-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
28-Jul-2020 - 00:00,9.4,19.69,2.92,22.4,22.21,4.83,21.83,1.73,2.35,0.0,0.0,0.0,0.0,0.48,2.51,82.49,232.46,1.07,29-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
29-Jul-2020 - 00:00,4.27,7.83,2.64,19.71,19.55,3.72,21.99,1.6,2.36,0.0,0.04,0.0,0.0,0.73,2.21,90.44,80.09,11.65,30-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
30-Jul-2020 - 00:00,5.36,11.96,2.81,21.52,21.34,3.7,17.48,1.61,2.69,0.0,0.0,0.0,0.0,0.65,2.36,83.76,260.33,0.92,31-Jul-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
31-Jul-2020 - 00:00,2.75,7.33,2.9,22.55,22.36,3.76,13.4,1.54,2.73,0.0,0.0,0.0,0.0,0.8,2.35,84.62,278.52,2.04,01-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
01-Aug-2020 - 00:00,4.41,10.05,2.96,23.15,22.95,3.84,13.5,1.56,2.37,0.0,0.0,0.0,0.0,0.58,2.29,83.29,228.65,1.34,02-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
02-Aug-2020 - 00:00,3.81,7.17,3.0,24.14,23.94,3.92,13.3,1.5,2.68,0.0,0.0,0.0,0.0,0.61,2.11,89.39,125.51,3.0,03-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
03-Aug-2020 - 00:00,6.67,17.42,3.08,25.58,25.37,4.0,13.55,1.61,2.35,0.0,0.0,0.0,0.0,0.58,2.24,86.63,187.94,1.02,04-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
04-Aug-2020 - 00:00,7.8,21.46,2.58,19.57,19.42,4.18,13.85,1.64,2.57,0.0,0.0,0.0,0.0,0.5,2.26,84.79,152.89,0.71,05-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
05-Aug-2020 - 00:00,7.83,18.49,5.13,29.6,34.9,2.74,7.99,1.58,2.65,0.0,0.0,0.0,0.0,0.81,2.26,82.48,261.51,1.91,06-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
06-Aug-2020 - 00:00,12.75,27.85,7.47,26.11,32.68,1.92,2.55,1.6,2.39,0.0,0.0,0.0,0.0,0.5,2.29,83.49,177.34,0.5,07-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
07-Aug-2020 - 00:00,9.03,15.19,7.25,11.61,15.12,2.24,2.52,1.57,2.36,0.0,0.0,0.0,0.0,0.57,2.12,90.39,39.24,6.75,08-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
08-Aug-2020 - 00:00,7.39,12.5,7.28,12.79,16.69,2.21,2.47,1.55,2.79,0.0,0.0,0.0,0.0,0.75,2.13,89.87,116.34,4.92,09-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
09-Aug-2020 - 00:00,3.09,7.84,7.41,14.37,18.78,2.28,2.48,1.48,2.37,0.0,0.0,0.0,0.0,0.41,2.22,90.88,130.37,5.27,10-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
10-Aug-2020 - 00:00,14.39,21.29,7.45,14.64,19.13,2.32,2.51,1.61,2.36,0.0,0.04,0.01,0.03,0.39,2.31,87.87,156.7,0.81,11-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
11-Aug-2020 - 00:00,8.05,21.67,7.28,12.18,16.23,2.44,2.45,1.75,2.85,0.0,0.0,0.0,0.0,0.46,2.58,85.61,217.59,1.17,12-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
12-Aug-2020 - 00:00,11.48,36.01,7.36,13.33,17.4,2.42,2.5,1.78,2.38,0.0,0.0,0.0,0.0,0.4,2.82,80.61,277.18,0.0,13-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
13-Aug-2020 - 00:00,13.54,34.49,7.33,13.0,16.97,2.44,2.49,1.76,2.35,0.0,0.0,0.0,0.0,0.51,1.9,79.74,274.26,0.11,14-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
14-Aug-2020 - 00:00,19.49,41.13,7.29,12.48,16.28,2.87,2.5,1.83,2.4,0.0,0.0,0.0,0.0,0.4,2.01,78.98,283.7,0.0,15-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
15-Aug-2020 - 00:00,16.12,29.69,7.14,10.21,14.06,3.38,2.87,1.84,2.21,0.0,0.0,0.0,0.0,0.35,2.1,87.35,111.96,0.0,16-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
16-Aug-2020 - 00:00,19.64,36.08,9.95,42.98,58.98,2.68,16.64,1.8,3.25,0.0,0.0,0.0,0.0,0.55,4.01,74.53,299.85,0.15,17-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
17-Aug-2020 - 00:00,13.93,35.96,7.72,26.27,34.67,1.61,2.26,1.84,2.76,0.0,0.0,0.0,0.0,0.45,2.81,78.72,274.27,0.59,18-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
18-Aug-2020 - 00:00,12.97,32.88,5.84,9.29,12.5,1.83,2.57,1.92,2.83,0.0,0.0,0.0,0.0,0.49,2.43,79.64,273.04,0.55,19-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
19-Aug-2020 - 00:00,18.6,38.59,6.58,10.52,13.86,1.97,2.67,1.86,2.4,0.0,0.0,0.0,0.0,0.78,2.63,76.16,355.06,0.15,20-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
20-Aug-2020 - 00:00,20.59,37.78,7.1,11.34,14.76,2.07,2.67,1.84,2.43,0.0,0.0,0.0,0.0,0.65,2.84,76.31,344.55,0.1,21-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
21-Aug-2020 - 00:00,15.72,35.66,7.25,11.21,14.38,2.41,2.87,1.86,2.63,0.0,0.0,0.0,0.0,0.58,3.05,75.38,351.6,0.09,22-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
22-Aug-2020 - 00:00,19.13,41.41,8.25,13.82,17.62,2.07,2.6,1.78,2.43,0.0,0.0,0.0,0.0,0.73,3.07,74.16,369.89,0.0,23-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
23-Aug-2020 - 00:00,11.72,17.44,8.33,14.3,18.25,2.0,2.66,1.56,2.7,0.0,0.0,0.0,0.0,0.61,2.88,79.54,217.86,0.31,24-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
24-Aug-2020 - 00:00,14.24,32.75,8.3,14.09,17.97,2.05,2.63,1.7,2.49,0.0,0.0,0.0,0.0,0.54,3.1,75.39,369.63,0.36,25-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
25-Aug-2020 - 00:00,18.47,43.03,8.27,14.05,17.92,2.1,2.64,1.77,2.45,0.0,0.0,0.0,0.0,0.7,3.09,74.25,330.88,0.0,26-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
26-Aug-2020 - 00:00,10.7,33.45,8.27,14.07,17.94,2.16,2.67,1.72,2.37,0.0,0.0,0.0,0.0,0.98,3.17,76.12,275.2,0.1,27-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
27-Aug-2020 - 00:00,14.98,39.02,8.38,14.52,18.53,2.11,2.6,1.76,2.66,0.0,0.0,0.0,0.0,0.88,3.12,73.87,387.48,0.0,28-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
28-Aug-2020 - 00:00,14.13,36.39,8.42,14.74,18.83,2.07,2.66,1.77,2.39,0.0,0.0,0.0,0.0,0.77,3.14,71.2,418.15,0.0,29-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
29-Aug-2020 - 00:00,26.75,50.86,8.5,14.96,19.12,2.08,2.66,1.88,2.7,0.0,0.0,0.0,0.0,0.64,3.18,72.87,357.17,0.0,30-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
30-Aug-2020 - 00:00,12.58,26.5,8.44,14.74,18.83,2.14,2.64,1.69,2.74,0.0,0.0,0.0,0.04,0.67,3.18,72.61,376.27,0.0,31-Aug-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
31-Aug-2020 - 00:00,10.13,21.21,8.54,15.15,19.38,2.06,2.64,1.58,2.34,0.0,0.0,0.0,0.0,0.82,3.19,73.13,382.42,0.04,01-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
01-Sep-2020 - 00:00,11.03,24.88,8.66,15.59,19.95,2.01,2.09,1.63,2.66,0.0,0.0,0.0,0.0,0.88,2.82,75.71,362.26,0.01,02-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
02-Sep-2020 - 00:00,12.14,28.03,8.82,16.13,20.67,1.97,1.89,1.73,2.69,0.0,0.0,0.0,0.0,0.63,2.58,81.75,188.87,1.76,03-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
03-Sep-2020 - 00:00,5.32,16.17,8.97,16.53,21.19,1.93,1.99,1.71,2.42,0.0,0.0,0.0,0.0,0.69,2.61,78.53,376.06,0.0,04-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
04-Sep-2020 - 00:00,10.87,24.48,9.26,17.68,22.71,1.7,2.02,1.8,2.69,0.0,0.0,0.0,0.0,0.89,2.75,78.04,338.19,0.11,05-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
05-Sep-2020 - 00:00,6.44,16.75,9.4,18.36,23.62,1.63,2.06,1.79,2.39,0.0,0.0,0.0,0.0,0.95,3.3,78.95,353.71,0.05,06-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
06-Sep-2020 - 00:00,3.61,8.87,9.48,18.62,23.96,1.62,2.03,1.63,2.32,0.0,0.0,0.0,0.0,1.0,3.06,88.26,114.22,4.55,07-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
07-Sep-2020 - 00:00,7.85,14.64,9.7,19.39,24.98,1.52,2.0,1.0,2.65,0.0,0.09,0.0,0.0,0.74,3.02,81.47,304.02,1.31,08-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
08-Sep-2020 - 00:00,10.55,21.82,9.83,19.98,25.76,1.4,2.49,0.21,1.92,0.0,0.0,0.0,0.0,0.8,2.83,81.33,249.69,0.75,09-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
09-Sep-2020 - 00:00,5.59,13.51,9.99,20.5,26.44,1.37,1.53,0.7,1.7,0.0,0.0,0.0,0.0,0.83,2.42,85.87,203.36,0.51,10-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
10-Sep-2020 - 00:00,8.96,17.21,10.08,20.75,26.78,2.64,1.69,1.11,1.38,0.0,0.0,0.0,0.0,0.53,2.28,85.7,183.06,1.64,11-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
11-Sep-2020 - 00:00,9.34,20.77,10.31,21.46,27.72,3.55,2.18,1.19,1.64,0.0,0.0,0.0,0.0,0.62,2.18,88.47,142.69,2.22,12-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
12-Sep-2020 - 00:00,11.94,20.54,10.82,23.35,30.22,3.24,0.48,1.21,46.86,0.0,0.0,0.0,0.0,0.43,2.23,90.28,120.79,1.63,13-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
13-Sep-2020 - 00:00,13.97,20.34,10.97,23.98,31.04,3.15,0.5,1.1,8.28,0.0,0.0,0.0,0.0,0.44,2.48,89.23,114.64,0.89,14-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
14-Sep-2020 - 00:00,16.07,30.07,11.03,24.14,31.26,3.11,1.05,1.36,8.2,0.0,0.0,0.0,0.0,0.46,2.74,82.95,207.93,0.46,15-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
15-Sep-2020 - 00:00,12.88,27.39,11.04,24.05,31.14,3.15,1.65,1.5,0.09,0.0,0.0,0.0,0.0,0.58,6.96,82.4,300.95,0.63,16-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
16-Sep-2020 - 00:00,13.1,27.62,11.1,24.11,31.22,3.17,1.62,1.37,1.63,0.0,0.0,0.0,0.0,0.47,3.01,85.43,239.6,0.86,17-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
17-Sep-2020 - 00:00,16.09,24.21,11.19,24.58,31.84,3.23,1.61,1.35,3.89,0.0,0.0,0.0,0.0,0.35,3.23,87.23,172.48,1.12,18-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
18-Sep-2020 - 00:00,14.3,27.6,11.3,24.87,32.23,3.19,1.92,1.36,0.04,0.0,0.0,0.0,0.0,0.73,2.38,84.23,179.86,0.24,19-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
19-Sep-2020 - 00:00,18.04,27.04,9.31,26.78,33.01,6.39,5.56,1.5,0.07,0.0,0.0,0.0,0.0,0.47,2.3,89.18,83.87,2.55,20-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
20-Sep-2020 - 00:00,4.59,13.09,6.65,18.98,22.83,6.37,6.57,1.13,0.1,0.0,0.0,0.0,0.0,0.5,2.44,92.38,73.57,4.04,21-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
21-Sep-2020 - 00:00,25.18,33.17,6.71,20.17,23.73,6.37,5.08,1.7,0.16,0.0,0.0,0.0,0.0,1.03,5.24,87.42,8.02,0.1,22-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
22-Sep-2020 - 00:00,15.14,30.0,6.65,18.82,22.67,6.37,1.92,1.49,0.1,0.0,0.0,0.0,0.0,0.47,4.09,83.06,239.1,0.44,23-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
23-Sep-2020 - 00:00,12.28,30.67,7.59,33.09,35.85,6.37,2.33,0.93,1.11,0.0,0.0,0.0,0.0,0.58,3.82,78.59,379.18,0.73,24-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
24-Sep-2020 - 00:00,12.26,24.04,8.7,84.61,88.57,6.37,3.27,0.35,1.79,0.0,0.0,0.0,0.0,0.5,3.24,84.05,293.15,0.03,25-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
25-Sep-2020 - 00:00,34.82,56.03,4.27,133.66,132.1,6.37,7.72,1.2,0.95,0.0,0.0,0.0,0.0,4.71,14.7,63.26,35.77,0.0,26-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
26-Sep-2020 - 00:00,20.12,53.14,4.68,16.13,19.03,5.55,5.02,1.36,1.64,0.0,0.0,0.0,0.0,0.52,3.66,74.35,198.69,0.0,27-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
27-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,28-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
28-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,29-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
29-Sep-2020 - 00:00,32.45,49.97,5.91,18.98,21.62,4.88,5.02,1.74,0.94,0.0,0.0,0.0,0.0,0.51,5.18,86.63,50.46,0.0,30-Sep-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
30-Sep-2020 - 00:00,36.93,66.48,8.14,32.7,34.48,4.24,5.02,1.16,1.43,0.0,0.0,0.0,0.0,0.89,13.04,71.18,368.94,0.0,01-Oct-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
01-Oct-2020 - 00:00,14.05,51.75,7.07,37.63,39.7,3.08,5.29,1.15,1.44,0.0,0.0,0.0,0.0,1.03,5.04,64.87,454.04,0.0,02-Oct-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
02-Oct-2020 - 00:00,27.01,60.41,6.62,17.2,20.42,5.36,5.02,1.34,1.47,0.0,0.0,0.0,0.0,0.31,5.23,81.33,,0.0,03-Oct-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
03-Oct-2020 - 00:00,19.46,59.62,5.56,10.95,13.65,5.04,5.02,1.21,1.75,0.0,0.0,0.0,0.0,0.75,5.54,63.2,344.09,0.0,04-Oct-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
04-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,05-Oct-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
05-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,06-Oct-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
06-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,07-Oct-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
07-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,08-Oct-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
08-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,09-Oct-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
09-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,10-Oct-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
10-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-Oct-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
11-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-Oct-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
12-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-Oct-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
