from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,WS,WD,RH,SR,RF,to date,station
03-Apr-2020 - 00:00,23.52,44.67,1.49,52.56,64.9,1.85,16.94,0.85,1.39,0.0,0.0,0.0,0.0,0.65,5.83,61.98,447.91,0.0,04-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
04-Apr-2020 - 00:00,24.78,39.29,0.92,51.29,63.79,2.49,16.49,0.84,1.29,0.0,0.0,0.0,0.0,0.59,5.79,68.36,392.64,0.0,05-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
05-Apr-2020 - 00:00,18.43,28.94,1.07,53.5,66.32,2.77,16.55,0.82,1.29,0.0,0.01,0.0,0.0,0.85,5.35,73.86,349.46,0.29,06-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
06-Apr-2020 - 00:00,10.54,21.21,2.15,61.8,75.51,3.73,16.69,0.85,1.34,0.0,0.0,0.01,0.0,0.69,4.66,74.08,404.93,0.35,07-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
07-Apr-2020 - 00:00,14.93,24.18,2.4,64.06,78.07,3.54,16.78,0.88,1.29,0.0,0.0,0.0,0.0,0.91,4.45,77.02,208.92,0.04,08-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
08-Apr-2020 - 00:00,21.84,39.77,2.17,62.76,76.66,2.83,16.59,0.94,1.31,0.0,0.0,0.0,0.0,0.82,5.08,69.19,400.16,0.0,09-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
09-Apr-2020 - 00:00,15.66,39.92,1.97,60.84,74.47,3.15,16.77,0.89,1.33,0.0,0.0,0.03,0.0,0.85,4.81,70.44,370.15,0.0,10-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
10-Apr-2020 - 00:00,13.66,29.03,2.81,62.92,76.46,3.6,16.78,0.87,1.36,0.0,0.0,0.0,0.0,0.97,4.99,65.22,427.7,0.03,11-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
11-Apr-2020 - 00:00,15.68,27.68,3.7,64.94,78.34,3.72,16.7,0.88,1.27,0.0,0.0,0.0,0.0,0.62,6.35,65.05,385.05,0.0,12-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
12-Apr-2020 - 00:00,17.08,30.83,3.25,66.15,80.07,3.29,16.57,0.91,1.22,0.0,0.0,0.0,0.0,0.72,5.5,69.33,404.94,0.01,13-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
