from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,AT,RH,RF,BP,SR,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
03-Jan-2020 - 00:00,47.55,110.59,28.26,4.01,32.26,30.83,4.59,1.23,39.83,0.0,0.0,0.0,0.0,239.95,0.93,22.54,43.46,0.0,819.12,90.25,04-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
04-Jan-2020 - 00:00,51.34,150.83,30.3,5.29,35.59,33.56,9.21,0.26,28.37,0.0,0.0,0.0,0.0,215.92,0.62,20.96,57.32,0.0,819.12,91.0,05-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
05-Jan-2020 - 00:00,57.56,173.47,18.36,3.43,21.78,19.46,5.95,,40.5,0.0,0.0,0.0,0.0,89.13,1.19,21.06,63.84,0.0,819.12,65.04,06-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
06-Jan-2020 - 00:00,44.79,128.65,11.52,3.19,14.7,12.13,3.27,0.95,45.08,0.0,0.0,0.0,0.0,47.01,1.52,21.42,64.38,0.0,819.12,52.95,07-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
07-Jan-2020 - 00:00,25.95,63.97,9.63,3.28,12.91,10.58,2.67,0.67,35.81,0.0,0.0,0.0,0.0,71.86,1.13,21.79,65.2,0.0,819.12,56.89,08-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
08-Jan-2020 - 00:00,26.87,73.2,13.66,3.66,17.31,15.42,3.37,0.15,31.45,0.0,0.0,0.0,0.0,145.86,0.63,21.73,64.12,0.0,819.12,74.13,09-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
09-Jan-2020 - 00:00,48.75,148.34,11.53,3.83,15.36,13.54,5.68,0.36,39.42,0.0,0.0,0.0,0.0,255.08,0.58,21.85,58.74,0.0,819.12,96.43,10-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
10-Jan-2020 - 00:00,37.85,107.94,4.54,3.11,7.65,4.76,3.52,0.18,45.67,0.0,0.0,0.0,0.0,42.19,1.55,21.48,62.87,0.0,819.12,54.18,11-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
11-Jan-2020 - 00:00,30.23,76.06,3.68,3.31,6.99,4.06,3.76,0.77,38.98,0.0,0.0,0.0,0.0,49.23,1.21,21.07,61.85,0.0,819.12,54.24,12-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
12-Jan-2020 - 00:00,48.05,108.04,3.54,3.33,6.87,3.93,6.87,0.47,43.93,0.0,0.0,0.0,0.0,59.56,1.04,20.97,58.41,0.0,819.12,58.38,13-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
13-Jan-2020 - 00:00,44.37,111.85,3.47,4.23,7.7,4.53,4.96,0.58,43.12,0.0,0.0,0.0,0.0,228.64,0.46,21.25,49.67,0.0,819.12,89.1,14-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
14-Jan-2020 - 00:00,60.66,120.05,3.07,3.58,6.65,3.78,10.91,1.23,48.47,0.0,0.0,0.0,0.0,169.31,0.55,21.35,46.45,0.0,819.12,80.64,15-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
15-Jan-2020 - 00:00,49.79,90.79,2.07,3.28,5.35,2.65,6.63,1.02,51.49,0.0,0.0,0.0,0.0,78.07,0.76,21.4,39.87,0.0,819.12,60.62,16-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
16-Jan-2020 - 00:00,45.33,90.3,1.86,3.68,5.54,2.69,5.37,0.4,45.21,0.0,0.0,0.0,0.0,177.78,0.53,21.08,50.46,0.0,819.12,80.78,17-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
17-Jan-2020 - 00:00,48.41,115.58,2.35,3.77,6.12,3.27,8.96,0.36,42.72,0.0,0.0,0.0,0.0,218.81,0.53,20.93,50.57,0.0,819.12,88.83,18-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
18-Jan-2020 - 00:00,43.54,115.36,2.26,4.34,6.6,3.32,9.99,0.84,39.39,0.0,0.0,0.0,0.0,112.68,0.7,21.52,52.05,0.0,819.12,69.38,19-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
19-Jan-2020 - 00:00,24.29,77.4,1.6,4.18,5.77,2.57,3.0,,33.72,0.0,0.0,0.0,0.0,94.12,0.54,22.07,55.77,0.0,819.12,65.33,20-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
20-Jan-2020 - 00:00,34.72,89.75,1.71,4.03,5.74,2.73,8.19,0.48,35.46,0.0,0.0,0.0,0.0,105.23,0.76,22.05,53.29,0.0,819.12,65.52,21-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
21-Jan-2020 - 00:00,31.06,83.7,1.43,3.48,4.91,2.1,5.34,0.38,42.06,0.0,0.0,0.0,0.0,78.19,1.15,22.03,46.46,0.0,819.12,58.97,22-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
22-Jan-2020 - 00:00,23.94,69.31,1.08,3.21,4.29,1.61,3.17,0.78,45.78,0.0,0.0,0.0,0.0,55.78,1.62,21.81,39.47,0.0,819.12,53.61,23-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
23-Jan-2020 - 00:00,29.57,76.88,1.02,3.17,4.18,1.52,6.01,0.61,41.05,0.0,0.0,0.0,0.0,53.51,1.21,21.74,44.8,0.0,819.12,53.98,24-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
24-Jan-2020 - 00:00,30.7,79.0,0.89,3.35,4.23,1.56,7.01,1.17,42.46,0.0,0.0,0.0,0.0,92.96,1.12,21.65,45.05,0.0,819.12,63.23,25-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
25-Jan-2020 - 00:00,33.84,78.28,0.81,3.33,4.12,1.49,4.9,0.92,45.18,0.0,0.0,0.0,0.0,111.36,0.74,21.81,40.48,0.0,819.12,68.81,26-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
26-Jan-2020 - 00:00,49.54,116.55,1.07,4.84,5.9,2.56,11.64,0.91,44.47,0.0,0.0,0.0,0.0,165.2,0.51,22.06,40.24,0.0,819.12,78.42,27-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
27-Jan-2020 - 00:00,59.36,121.13,0.94,4.26,5.19,2.25,10.38,0.65,46.95,0.0,0.0,0.0,0.0,195.17,0.94,22.3,44.16,0.0,819.12,83.67,28-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
28-Jan-2020 - 00:00,44.02,138.61,0.65,3.58,4.23,1.59,1.13,0.77,50.31,0.0,0.0,0.0,0.0,220.74,1.34,21.55,59.37,0.0,819.12,90.58,29-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
