from date,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,SR,Temp,WD,WS,SO2,to date,station
31-Jan-2020 - 00:00,0.75,8.98,15.65,15.52,31.17,18.73,96.41,56.05,530.48,12.52,216.07,0.6,8.99,01-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Feb-2020 - 00:00,0.93,9.69,21.62,21.09,42.7,17.97,121.23,70.48,533.01,12.72,181.16,0.49,9.53,02-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Feb-2020 - 00:00,0.68,10.19,20.49,15.91,36.4,31.64,109.93,63.92,449.31,13.65,231.44,0.52,10.62,03-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Feb-2020 - 00:00,0.66,11.46,20.21,14.04,34.46,24.29,94.23,54.78,406.62,14.05,190.96,0.43,14.12,04-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Feb-2020 - 00:00,0.99,10.24,17.99,13.6,31.59,21.07,93.64,54.45,395.53,13.68,146.08,0.48,6.92,05-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Feb-2020 - 00:00,0.77,9.88,15.36,12.93,28.29,23.61,93.33,54.26,409.38,13.95,276.37,0.71,7.45,06-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Feb-2020 - 00:00,0.76,9.45,15.21,16.93,32.14,23.72,90.16,53.24,417.27,14.03,161.23,0.44,6.6,07-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Feb-2020 - 00:00,0.93,7.62,15.78,22.62,38.4,19.03,129.86,75.51,549.04,14.64,181.63,0.49,7.23,08-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Feb-2020 - 00:00,1.11,6.82,14.68,22.88,37.45,20.57,114.08,66.24,537.28,14.63,176.34,0.52,7.51,09-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Feb-2020 - 00:00,1.04,11.13,17.7,28.25,45.96,23.08,143.68,83.53,520.13,15.72,203.57,0.43,3.93,10-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Feb-2020 - 00:00,1.03,8.42,17.62,27.94,45.56,21.93,115.71,67.27,546.35,15.91,232.75,0.55,5.38,11-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Feb-2020 - 00:00,1.03,6.29,14.21,24.22,38.57,14.05,141.97,82.5,533.16,16.43,223.89,0.48,3.68,12-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Feb-2020 - 00:00,0.87,4.95,3.61,11.95,15.69,18.57,107.89,62.68,509.18,18.13,284.15,0.8,8.73,13-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Feb-2020 - 00:00,0.85,7.76,3.72,13.38,17.1,27.76,82.8,48.14,516.91,19.56,277.4,0.8,10.74,14-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Feb-2020 - 00:00,0.87,11.57,4.62,14.93,20.19,34.51,91.56,53.23,464.85,18.77,278.54,0.89,11.0,15-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Feb-2020 - 00:00,1.06,13.7,6.66,17.26,23.85,33.32,113.99,66.27,339.94,18.25,227.4,0.69,11.26,16-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Feb-2020 - 00:00,1.23,9.25,3.48,14.11,17.59,33.95,149.54,86.94,398.37,19.53,221.43,0.48,9.97,17-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Feb-2020 - 00:00,0.96,9.05,8.27,17.75,26.03,23.43,114.66,66.89,404.26,19.28,199.47,0.59,8.96,18-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Feb-2020 - 00:00,0.88,11.02,11.22,19.23,30.45,20.61,117.53,68.34,478.83,18.86,198.85,0.63,11.22,19-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Feb-2020 - 00:00,0.44,8.61,11.38,13.81,25.86,30.73,122.88,69.45,647.48,18.73,101.93,0.9,8.61,20-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Feb-2020 - 00:00,0.5,10.38,8.59,10.85,19.44,42.05,79.03,45.95,390.89,21.86,106.27,1.2,7.76,21-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Feb-2020 - 00:00,0.52,6.27,7.79,11.88,19.64,23.41,67.74,39.57,514.76,19.32,133.49,0.59,9.61,22-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Feb-2020 - 00:00,0.65,8.61,10.54,14.32,24.86,17.06,91.79,53.37,570.32,20.18,237.65,0.66,12.25,23-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Feb-2020 - 00:00,0.67,9.05,8.29,12.93,21.37,21.29,89.52,52.03,558.18,21.05,246.33,0.59,8.74,24-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Feb-2020 - 00:00,0.74,9.81,5.28,13.39,18.66,25.81,84.78,49.3,546.08,20.59,167.89,0.46,13.89,25-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Feb-2020 - 00:00,0.7,7.09,9.4,11.81,21.2,26.54,114.33,66.47,579.96,21.63,234.01,0.53,4.63,26-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Feb-2020 - 00:00,0.55,6.11,27.08,6.46,30.53,22.76,132.12,76.83,648.4,21.0,151.05,0.58,6.21,27-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Feb-2020 - 00:00,0.69,8.16,28.25,10.56,37.92,20.05,152.35,88.57,745.56,21.05,109.62,0.5,6.45,28-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Feb-2020 - 00:00,0.66,8.3,18.9,9.7,28.21,24.44,108.83,63.28,705.93,21.4,90.26,0.93,8.54,29-Feb-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Feb-2020 - 00:00,0.61,8.68,23.26,9.19,31.88,26.82,69.04,40.14,556.44,18.66,110.98,1.17,15.03,01-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Mar-2020 - 00:00,0.67,10.37,23.39,8.34,31.74,26.44,70.89,41.22,229.77,20.56,180.91,0.5,9.34,02-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Mar-2020 - 00:00,0.78,8.39,14.72,8.49,23.33,23.69,95.04,55.26,399.55,22.05,208.45,0.41,12.6,03-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Mar-2020 - 00:00,0.79,7.19,13.66,9.51,23.1,14.24,94.55,54.97,726.85,21.82,212.47,0.51,14.83,04-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Mar-2020 - 00:00,0.97,4.79,16.06,10.95,27.0,12.29,127.07,73.88,602.52,22.59,144.71,0.47,10.54,05-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Mar-2020 - 00:00,0.88,5.98,11.62,10.17,21.8,18.73,74.74,43.47,576.82,21.33,134.81,0.8,12.12,06-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Mar-2020 - 00:00,0.81,11.59,9.31,9.48,18.89,19.83,27.21,15.88,804.02,16.95,106.89,1.0,2.25,07-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Mar-2020 - 00:00,0.69,12.26,22.72,8.19,25.94,14.41,40.04,23.28,759.37,15.67,78.38,0.69,4.63,08-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Mar-2020 - 00:00,0.75,14.11,23.67,5.26,28.37,12.63,57.75,33.57,636.88,18.5,218.44,0.41,7.37,09-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Mar-2020 - 00:00,0.79,9.03,10.77,9.37,19.98,17.84,64.0,37.21,513.02,18.93,301.18,0.61,7.69,10-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
