from date,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,SR,Temp,WD,WS,SO2,to date,station
07-May-2020 - 00:00,0.31,7.42,8.14,5.62,13.77,34.94,62.72,36.47,367.89,30.74,207.5,0.73,7.61,08-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
08-May-2020 - 00:00,0.47,7.05,7.85,6.7,14.55,28.8,96.59,56.39,357.9,32.26,177.24,0.57,6.12,09-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
09-May-2020 - 00:00,0.49,7.05,7.66,6.71,14.37,28.16,83.95,48.81,347.18,34.77,182.62,0.78,6.67,10-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
10-May-2020 - 00:00,0.52,7.5,7.8,5.76,13.64,21.86,79.15,46.02,312.11,30.3,112.03,0.92,8.04,11-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
11-May-2020 - 00:00,0.51,7.33,7.94,6.12,14.06,26.32,70.58,41.04,337.67,31.09,97.56,1.04,7.54,12-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
12-May-2020 - 00:00,0.52,7.36,7.79,6.03,13.82,27.05,77.4,44.72,351.99,31.04,273.29,0.55,5.92,13-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
13-May-2020 - 00:00,0.62,7.09,7.73,6.78,14.51,20.72,84.66,49.22,256.26,31.49,158.75,0.61,9.21,14-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
14-May-2020 - 00:00,1.05,7.97,7.91,6.26,14.89,15.03,89.28,51.32,199.46,26.62,,,26.1,15-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
15-May-2020 - 00:00,0.92,7.33,7.58,6.17,14.23,24.54,35.41,20.58,336.55,27.48,273.99,1.0,7.34,16-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
16-May-2020 - 00:00,0.36,7.03,7.23,7.19,14.71,23.73,88.32,50.99,389.58,32.3,268.48,0.92,11.37,17-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
17-May-2020 - 00:00,0.49,6.7,7.34,7.78,15.12,30.05,108.0,62.79,352.07,33.31,242.27,0.91,,18-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
18-May-2020 - 00:00,0.53,7.53,7.37,7.78,15.16,33.75,88.66,51.54,348.49,33.56,269.88,0.84,,19-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
19-May-2020 - 00:00,0.68,5.69,11.46,6.31,17.8,19.1,99.58,57.9,256.73,31.96,191.47,0.73,,20-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
20-May-2020 - 00:00,0.69,5.69,6.63,6.57,13.2,26.25,92.77,53.94,339.64,32.84,274.49,0.8,,21-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
21-May-2020 - 00:00,0.7,7.86,8.06,5.76,13.82,25.57,87.08,50.63,335.5,34.47,244.01,0.77,,22-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
22-May-2020 - 00:00,0.72,5.09,8.08,7.99,16.07,22.13,109.05,63.4,321.48,36.17,142.5,0.48,,23-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
23-May-2020 - 00:00,0.54,6.73,9.63,8.12,17.75,24.13,117.22,68.15,310.87,36.58,131.27,0.99,,24-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
24-May-2020 - 00:00,0.33,9.02,7.86,8.66,17.06,26.47,68.41,39.77,223.57,35.33,224.61,0.62,,25-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
25-May-2020 - 00:00,0.33,8.15,6.89,9.86,16.75,26.01,85.49,49.7,339.71,37.79,268.01,0.61,,26-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
26-May-2020 - 00:00,0.41,6.02,8.64,9.02,17.65,30.16,92.12,53.56,325.74,37.95,174.36,0.68,,27-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
27-May-2020 - 00:00,0.49,6.43,8.1,9.91,18.07,32.78,84.02,48.85,319.26,37.47,142.98,0.62,,28-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
28-May-2020 - 00:00,0.84,8.23,5.8,10.91,16.9,18.93,102.85,59.8,322.01,33.46,106.2,1.26,,29-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
29-May-2020 - 00:00,0.65,3.36,7.06,8.27,15.33,16.04,66.49,38.66,257.6,30.06,96.5,0.97,,30-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
30-May-2020 - 00:00,0.72,5.34,7.69,8.3,15.99,24.21,53.18,30.92,288.45,28.89,112.01,1.21,,31-May-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
31-May-2020 - 00:00,0.76,7.25,7.05,8.54,15.6,18.45,35.64,20.83,173.51,25.98,102.46,0.75,,01-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Jun-2020 - 00:00,0.69,8.53,6.23,7.35,13.88,31.16,44.82,26.06,338.95,28.69,112.58,0.68,,02-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Jun-2020 - 00:00,0.63,9.66,5.35,5.0,10.39,26.79,67.63,39.32,265.93,29.06,133.56,0.53,,03-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Jun-2020 - 00:00,0.73,8.14,6.03,5.88,11.91,26.46,74.08,43.05,274.38,29.71,132.66,0.6,,04-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Jun-2020 - 00:00,0.66,8.67,6.58,7.41,14.12,33.2,76.07,44.23,353.01,31.66,160.7,0.73,7.14,05-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Jun-2020 - 00:00,0.7,8.03,4.96,8.76,13.73,16.54,73.35,42.64,335.43,31.13,151.04,0.74,,06-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Jun-2020 - 00:00,0.79,4.84,3.74,5.8,9.54,11.92,41.89,24.35,225.76,26.59,126.63,0.83,,07-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Jun-2020 - 00:00,0.87,3.05,3.07,4.07,7.25,8.54,44.3,25.75,350.9,29.37,114.16,0.56,,08-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Jun-2020 - 00:00,0.9,4.26,4.03,6.5,10.59,17.58,67.05,38.98,363.24,32.62,140.26,0.55,,09-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Jun-2020 - 00:00,0.86,4.61,4.84,8.68,13.52,10.9,81.17,47.19,345.46,33.74,174.2,0.66,,10-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Jun-2020 - 00:00,0.83,5.92,4.55,7.69,12.24,17.22,90.51,52.62,247.37,31.75,150.27,0.71,,11-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Jun-2020 - 00:00,0.85,7.3,5.14,8.0,13.15,17.19,97.72,56.81,355.48,34.49,164.26,0.57,,12-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Jun-2020 - 00:00,0.71,6.82,3.85,9.54,13.55,24.5,109.12,63.44,318.96,34.71,154.45,0.52,,13-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Jun-2020 - 00:00,0.57,6.83,3.89,10.26,14.16,34.65,85.11,49.4,349.29,35.16,183.41,0.67,,14-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Jun-2020 - 00:00,0.91,5.08,3.89,6.61,10.5,9.6,94.45,54.92,352.69,35.85,207.95,0.65,,15-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Jun-2020 - 00:00,0.83,7.35,4.0,7.95,12.02,30.01,96.92,56.35,346.55,36.41,188.41,0.57,,16-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Jun-2020 - 00:00,0.86,7.45,4.0,8.21,12.21,22.45,94.16,54.75,351.35,36.39,152.56,0.68,,17-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Jun-2020 - 00:00,0.95,7.77,4.16,9.44,13.45,22.99,90.78,52.78,348.15,36.56,137.78,0.71,,18-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Jun-2020 - 00:00,1.0,7.33,4.08,8.28,12.37,17.17,105.92,61.58,338.59,36.93,130.94,0.79,,19-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Jun-2020 - 00:00,0.76,8.44,4.68,9.27,14.27,25.42,101.21,58.86,360.4,34.81,115.19,0.98,,20-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Jun-2020 - 00:00,0.81,8.54,5.9,10.47,16.37,27.18,92.73,53.91,295.04,35.37,122.11,0.62,,21-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Jun-2020 - 00:00,0.65,10.15,5.85,9.45,15.31,23.28,101.62,59.08,279.81,34.82,152.37,0.92,,22-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Jun-2020 - 00:00,0.78,8.36,8.24,11.98,21.22,16.37,90.45,65.41,319.39,32.97,119.52,0.72,,23-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Jun-2020 - 00:00,0.82,7.72,11.16,12.84,23.99,25.7,93.99,54.64,323.12,35.85,126.37,0.73,,24-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Jun-2020 - 00:00,0.84,7.41,9.17,12.31,21.48,30.95,63.52,36.6,311.6,32.57,98.54,0.9,,25-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Jun-2020 - 00:00,0.91,7.5,5.45,10.26,15.72,26.05,68.03,39.55,223.19,32.14,180.25,0.58,,26-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Jun-2020 - 00:00,0.83,8.2,4.8,10.23,15.09,33.19,88.47,54.98,327.09,34.37,189.94,0.61,,27-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Jun-2020 - 00:00,0.88,8.32,4.64,11.33,16.01,26.07,100.22,58.27,322.0,36.04,189.53,0.67,,28-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Jun-2020 - 00:00,0.78,6.08,3.57,9.44,13.19,15.45,102.8,61.16,313.77,36.93,172.1,0.52,,29-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Jun-2020 - 00:00,0.78,7.87,5.43,10.33,15.83,26.92,74.26,43.47,237.24,32.96,172.46,0.79,,30-Jun-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
30-Jun-2020 - 00:00,0.84,7.83,6.07,11.06,17.21,19.81,92.07,57.57,306.45,34.23,108.22,0.68,,01-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Jul-2020 - 00:00,0.82,8.89,4.97,10.85,15.82,24.85,79.69,46.2,278.86,36.43,178.73,0.57,,02-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Jul-2020 - 00:00,0.77,8.95,4.58,10.82,15.4,26.01,112.5,65.4,308.6,37.73,191.57,0.57,,03-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Jul-2020 - 00:00,0.77,7.36,5.63,11.45,17.08,25.25,111.07,64.58,332.07,38.4,149.08,0.8,,04-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Jul-2020 - 00:00,0.76,8.79,5.28,11.59,17.75,35.47,74.34,43.01,331.12,35.23,110.02,1.1,,05-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Jul-2020 - 00:00,0.58,8.88,5.18,9.17,14.35,18.89,58.11,33.78,335.37,32.13,162.62,0.98,,06-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Jul-2020 - 00:00,0.88,9.59,4.83,11.66,16.49,27.39,69.71,40.53,254.01,34.29,131.36,0.54,,07-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Jul-2020 - 00:00,0.73,9.61,4.57,11.17,15.82,24.8,68.7,39.93,312.27,33.69,121.94,0.69,,08-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Jul-2020 - 00:00,0.56,9.46,4.29,10.82,15.12,9.71,25.12,14.64,214.66,30.47,106.87,0.76,,09-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Jul-2020 - 00:00,0.53,9.29,4.74,11.35,16.09,17.88,51.13,29.73,328.3,33.87,153.91,0.54,,10-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Jul-2020 - 00:00,0.71,10.3,4.4,10.9,15.55,19.82,74.08,43.5,330.15,34.94,210.33,0.9,,11-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Jul-2020 - 00:00,0.57,7.77,5.36,10.75,16.16,23.09,68.8,40.0,300.77,31.56,124.87,0.65,,12-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Jul-2020 - 00:00,0.67,7.37,3.88,9.89,14.16,26.37,37.56,21.84,378.22,29.85,143.94,0.94,,13-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Jul-2020 - 00:00,0.65,9.11,4.85,11.42,16.18,23.45,56.11,32.62,361.25,32.22,254.39,0.56,,14-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Jul-2020 - 00:00,0.78,8.65,5.93,10.6,16.53,25.66,73.18,42.56,319.37,34.68,193.41,0.51,,15-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Jul-2020 - 00:00,0.68,8.32,4.55,10.04,15.08,26.58,54.45,31.65,345.7,33.34,132.7,0.8,,16-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Jul-2020 - 00:00,0.69,7.79,4.42,8.72,13.5,23.63,63.62,36.98,259.36,33.76,138.37,0.67,,17-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Jul-2020 - 00:00,0.55,7.49,3.9,8.35,13.11,15.63,50.07,29.12,236.91,33.13,109.86,0.63,,18-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Jul-2020 - 00:00,0.58,9.64,5.81,11.05,16.87,26.11,51.11,29.71,254.18,33.91,136.73,0.52,,19-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Jul-2020 - 00:00,0.69,8.76,4.72,10.19,14.92,46.54,107.61,67.68,279.17,32.95,143.71,0.71,,20-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Jul-2020 - 00:00,0.71,9.81,5.46,10.47,16.12,31.79,80.32,50.66,268.37,30.59,160.19,0.75,,21-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Jul-2020 - 00:00,0.82,9.63,5.03,10.23,15.36,27.46,47.52,27.63,209.53,28.75,136.3,0.68,,22-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Jul-2020 - 00:00,0.68,9.67,6.06,11.3,17.36,22.66,34.09,19.71,317.25,31.23,184.16,0.62,,23-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Jul-2020 - 00:00,0.61,9.15,5.69,10.34,16.24,26.11,62.21,36.99,240.35,33.06,241.59,0.58,,24-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Jul-2020 - 00:00,0.58,8.5,5.12,9.25,14.37,25.51,64.32,37.43,349.25,33.87,118.07,0.67,6.49,25-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Jul-2020 - 00:00,0.71,9.88,6.29,10.22,16.51,31.49,37.94,22.06,323.28,33.6,109.83,0.69,6.0,26-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Jul-2020 - 00:00,0.77,9.55,7.6,12.46,20.3,34.11,65.13,40.05,274.69,33.94,154.72,0.53,5.86,27-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Jul-2020 - 00:00,0.67,8.12,5.83,10.71,16.54,27.06,69.82,40.59,308.15,35.15,219.5,0.63,5.56,28-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Jul-2020 - 00:00,0.53,8.41,5.38,10.36,15.92,28.25,57.35,32.95,357.57,35.66,158.09,0.85,5.6,29-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Jul-2020 - 00:00,0.5,9.48,5.72,10.87,16.86,27.06,38.61,22.43,350.42,34.09,101.74,0.98,5.92,30-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
30-Jul-2020 - 00:00,0.54,8.96,5.63,9.4,15.03,17.98,40.79,23.71,271.97,31.06,123.86,0.96,8.57,31-Jul-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
31-Jul-2020 - 00:00,0.82,9.47,5.3,10.06,15.36,23.1,49.18,28.59,269.29,33.01,162.56,0.59,5.54,01-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Aug-2020 - 00:00,0.84,8.67,5.5,9.53,15.0,22.45,43.73,25.15,296.59,32.23,177.29,0.53,7.32,02-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Aug-2020 - 00:00,0.8,8.38,5.39,9.27,14.66,24.1,47.32,27.51,272.72,33.35,190.26,0.46,7.8,03-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Aug-2020 - 00:00,0.59,8.23,5.11,9.52,14.79,25.92,102.75,72.19,336.91,34.89,161.72,0.56,9.57,04-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Aug-2020 - 00:00,0.6,8.38,5.49,10.61,16.09,22.96,61.17,35.56,355.5,34.52,117.26,0.64,7.8,05-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Aug-2020 - 00:00,0.7,9.01,5.77,10.82,16.83,26.21,57.46,33.19,354.63,34.16,92.06,0.6,9.4,06-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Aug-2020 - 00:00,0.72,8.41,5.86,10.38,16.28,18.93,49.8,28.99,321.13,35.56,167.99,0.45,13.6,07-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Aug-2020 - 00:00,0.72,8.22,5.22,9.41,14.66,19.95,59.74,34.73,268.17,34.34,135.96,0.73,11.31,08-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Aug-2020 - 00:00,0.76,8.1,5.17,9.0,14.21,19.95,93.47,57.21,243.93,34.22,155.33,0.42,7.82,09-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Aug-2020 - 00:00,0.66,8.97,5.54,9.6,15.26,25.03,86.31,58.26,267.25,33.56,174.15,0.58,8.66,10-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Aug-2020 - 00:00,0.56,7.82,4.02,7.92,12.25,10.42,56.84,33.05,198.15,32.37,111.19,0.64,5.95,11-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Aug-2020 - 00:00,0.61,10.18,5.49,9.81,15.39,23.33,64.76,37.65,265.16,33.93,166.5,0.6,7.25,12-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Aug-2020 - 00:00,0.61,8.6,4.68,8.13,12.81,25.8,41.86,24.34,260.93,33.06,148.65,0.78,5.99,13-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Aug-2020 - 00:00,0.62,8.16,5.42,8.93,14.32,23.6,32.53,18.91,291.33,31.93,108.63,0.88,6.24,14-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Aug-2020 - 00:00,0.59,9.2,5.26,8.89,14.15,29.43,37.84,22.0,264.09,32.17,94.42,0.73,6.29,15-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Aug-2020 - 00:00,0.5,8.4,5.46,9.01,14.47,34.85,34.61,19.95,321.78,33.74,122.93,0.55,6.12,16-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Aug-2020 - 00:00,0.5,9.9,6.93,9.33,16.34,30.9,43.33,25.32,253.91,33.59,128.85,0.59,5.63,17-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Aug-2020 - 00:00,0.56,10.02,7.03,9.77,16.8,25.4,49.41,28.73,187.43,32.57,105.39,0.7,4.85,18-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Aug-2020 - 00:00,0.56,8.25,5.76,8.52,14.28,28.57,58.06,33.75,274.9,33.75,123.29,0.66,4.57,19-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Aug-2020 - 00:00,0.51,9.23,6.0,9.76,15.8,27.17,39.08,22.72,216.31,30.51,125.37,0.74,5.49,20-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Aug-2020 - 00:00,0.49,9.18,5.97,9.41,15.38,17.93,38.03,22.11,108.74,29.02,91.28,0.72,4.91,21-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Aug-2020 - 00:00,0.52,7.72,5.31,8.8,14.11,16.07,29.77,17.24,129.39,28.75,78.2,0.8,4.61,22-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Aug-2020 - 00:00,0.52,8.36,5.41,9.36,14.73,21.55,39.9,23.23,392.28,32.47,216.69,0.54,5.57,23-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Aug-2020 - 00:00,0.45,7.89,4.91,8.03,12.94,19.82,32.39,18.83,292.65,32.87,137.44,0.53,5.04,24-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Aug-2020 - 00:00,0.49,8.62,5.1,8.89,14.07,23.43,43.36,25.39,327.57,33.08,119.69,0.68,5.06,25-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Aug-2020 - 00:00,0.65,9.39,6.08,10.13,16.22,21.02,46.38,27.05,224.49,33.12,118.42,0.68,5.66,26-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Aug-2020 - 00:00,0.67,8.65,5.63,8.74,14.37,21.56,46.58,27.09,293.42,33.73,148.26,0.8,5.56,27-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Aug-2020 - 00:00,0.63,9.47,6.13,9.07,15.21,20.95,32.47,18.74,258.69,33.87,175.8,0.75,5.63,28-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Aug-2020 - 00:00,0.6,10.79,6.29,10.58,13.88,20.16,33.83,19.79,162.47,31.3,172.53,0.46,7.54,29-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Aug-2020 - 00:00,0.66,8.66,5.84,10.02,15.85,28.61,62.03,36.07,263.12,32.75,141.36,0.35,6.49,30-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
30-Aug-2020 - 00:00,0.65,9.28,6.21,10.24,16.45,24.0,64.26,37.36,231.28,32.02,91.43,0.52,6.35,31-Aug-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
31-Aug-2020 - 00:00,0.51,8.23,5.72,9.16,14.85,27.52,32.61,18.97,332.83,32.75,103.73,0.98,7.54,01-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Sep-2020 - 00:00,0.56,9.85,6.75,10.99,17.82,26.78,49.46,28.76,291.23,32.5,124.14,0.72,6.07,02-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Sep-2020 - 00:00,0.54,7.75,5.07,9.01,14.08,28.06,52.8,30.71,289.47,33.46,115.92,0.64,7.39,03-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Sep-2020 - 00:00,0.62,10.28,6.29,10.65,17.1,26.03,51.01,29.66,190.91,32.13,127.54,0.62,7.54,04-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Sep-2020 - 00:00,0.63,7.57,4.75,8.38,13.13,19.53,40.04,23.28,57.82,32.23,173.52,0.69,7.38,05-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Sep-2020 - 00:00,0.6,10.23,6.59,10.92,17.51,35.59,45.02,26.18,313.33,34.14,219.06,0.66,7.2,06-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Sep-2020 - 00:00,0.48,8.86,5.54,9.47,15.01,43.71,40.68,23.65,278.08,34.01,222.61,0.63,8.08,07-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Sep-2020 - 00:00,0.49,8.08,5.47,9.44,14.91,28.72,44.67,25.97,328.73,34.55,253.89,0.65,9.41,08-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Sep-2020 - 00:00,0.6,10.12,6.24,10.45,16.69,31.01,73.77,42.89,269.96,36.06,251.28,0.58,7.43,09-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Sep-2020 - 00:00,0.61,8.04,4.99,8.49,13.48,33.18,73.5,42.7,283.03,37.02,245.04,0.6,9.32,10-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Sep-2020 - 00:00,0.6,9.47,6.03,10.54,16.65,33.75,71.03,41.29,279.08,36.17,215.69,0.63,8.21,11-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Sep-2020 - 00:00,0.55,10.42,6.38,10.57,16.95,34.01,75.23,43.73,310.54,35.78,189.9,0.66,7.75,12-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Sep-2020 - 00:00,0.6,8.33,5.34,9.28,14.62,29.39,82.8,48.13,260.56,35.72,206.81,0.52,9.3,13-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Sep-2020 - 00:00,0.52,8.57,5.54,8.97,15.01,33.17,72.37,42.05,279.26,36.56,225.7,0.6,9.18,14-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Sep-2020 - 00:00,0.56,8.02,4.67,7.8,12.74,25.0,82.24,47.81,274.93,36.81,226.26,0.53,10.07,15-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Sep-2020 - 00:00,0.64,8.84,5.66,9.58,15.43,26.92,91.58,52.6,287.28,37.59,238.74,0.79,9.75,16-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Sep-2020 - 00:00,0.65,10.09,5.83,10.33,16.45,28.97,107.09,62.23,253.26,37.76,227.21,0.73,12.01,17-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Sep-2020 - 00:00,0.66,10.98,7.01,11.46,18.53,26.4,98.68,57.47,303.31,38.01,229.56,0.79,10.61,18-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Sep-2020 - 00:00,0.61,10.06,6.51,11.24,17.81,29.35,77.98,45.34,297.85,37.62,192.6,0.78,11.79,19-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Sep-2020 - 00:00,0.59,7.94,5.43,10.02,15.45,28.76,85.12,49.49,265.69,37.45,197.97,0.69,9.77,20-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Sep-2020 - 00:00,0.56,7.47,4.69,8.7,13.39,29.96,80.59,46.85,272.67,37.56,268.62,0.78,7.42,21-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Sep-2020 - 00:00,0.62,7.53,4.57,8.11,12.77,28.81,87.29,50.78,270.85,37.6,209.62,0.48,8.47,22-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Sep-2020 - 00:00,0.56,11.07,6.39,11.17,17.61,27.11,101.9,59.25,282.37,36.99,155.82,0.54,11.86,23-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
