from date,Temp,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
01-Jan-2020 - 00:00,28.67,3.81,50.93,,,,36.2,0.82,162.48,82.78,740.71,81.96,0.0,-0.1,10.84,38.68,12.35,460.97,11.06,02-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Jan-2020 - 00:00,29.02,4.27,51.06,,,,40.6,0.61,193.78,80.86,740.32,83.6,0.0,-0.1,6.38,41.88,16.0,332.08,13.42,03-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Jan-2020 - 00:00,29.2,3.29,49.17,,,,25.86,0.65,193.23,84.23,738.07,90.82,0.0,-0.1,5.17,40.53,17.45,201.87,14.47,04-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Jan-2020 - 00:00,28.65,2.08,46.78,,,,32.97,0.34,250.5,80.36,737.0,66.56,0.0,-0.13,3.51,23.1,9.38,178.57,13.86,05-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Jan-2020 - 00:00,28.41,1.64,33.34,,,,45.19,0.3,250.84,80.63,737.49,77.17,0.0,-0.16,2.74,21.31,6.16,161.44,13.55,06-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Jan-2020 - 00:00,28.77,1.49,39.05,,,,27.35,0.56,170.57,81.43,738.46,48.91,0.0,-0.1,2.42,20.2,5.59,144.68,13.48,07-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Jan-2020 - 00:00,29.34,0.99,26.35,,,,30.84,1.44,123.57,92.31,736.18,50.24,0.0,-0.09,1.71,8.77,3.1,101.49,13.32,08-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Jan-2020 - 00:00,29.09,1.15,26.06,,,,31.05,1.15,174.72,100.0,734.02,20.83,0.01,-0.14,1.91,8.72,2.77,121.91,12.31,09-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Jan-2020 - 00:00,29.11,0.75,24.15,,,,38.7,1.05,267.18,85.07,738.94,96.69,0.0,-0.29,1.42,6.37,1.85,88.03,10.72,10-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Jan-2020 - 00:00,28.95,1.27,31.56,,,,43.62,1.61,253.77,79.07,739.22,103.1,0.0,-0.2,1.83,8.83,2.73,112.05,10.94,11-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
