from date,Temp,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
11-Jan-2020 - 00:00,28.72,1.61,30.54,,,,34.74,0.6,260.23,80.67,738.87,65.13,0.0,-0.14,2.19,10.16,3.39,141.19,11.77,12-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Jan-2020 - 00:00,28.17,3.01,38.81,,,,49.99,0.35,225.65,79.63,735.76,97.09,0.0,-0.13,4.16,26.34,8.6,225.83,13.66,13-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Jan-2020 - 00:00,29.0,3.01,28.4,,,,42.36,1.11,163.53,89.08,731.46,57.59,0.0,-0.08,3.59,19.05,7.97,214.2,13.45,14-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Jan-2020 - 00:00,28.56,1.34,20.89,,,,33.27,1.31,251.29,90.6,734.71,82.72,0.0,-0.18,2.59,15.03,4.2,129.95,12.91,15-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Jan-2020 - 00:00,28.16,1.39,24.0,,,,40.11,1.66,230.66,80.79,735.96,77.44,0.0,-0.12,2.66,20.71,5.36,108.86,12.96,16-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Jan-2020 - 00:00,28.81,1.75,25.21,,,,19.72,1.21,230.6,93.07,734.81,37.71,0.03,-0.12,3.18,21.27,5.95,140.87,12.16,17-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Jan-2020 - 00:00,29.41,1.24,23.03,,,,32.82,1.67,239.09,90.68,735.97,64.29,0.01,-0.16,2.04,14.22,4.59,77.15,12.74,18-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Jan-2020 - 00:00,28.81,2.17,25.19,,,,15.95,1.02,225.87,97.7,738.0,26.25,0.0,-0.12,3.64,30.84,10.8,146.93,10.96,19-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Jan-2020 - 00:00,28.3,1.1,23.91,,,,41.77,1.4,262.89,80.6,738.67,108.86,0.0,-0.27,1.73,7.92,3.14,119.46,10.72,20-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Jan-2020 - 00:00,28.98,1.17,32.33,,,,35.89,0.76,231.67,89.58,737.77,69.53,0.0,-0.2,0.39,1.51,0.4,119.13,11.03,21-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Jan-2020 - 00:00,28.22,1.7,35.85,,,,27.15,0.94,158.27,83.93,738.48,82.52,0.0,-0.1,,,,188.1,11.64,22-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Jan-2020 - 00:00,29.51,1.77,30.9,,,,32.99,1.12,252.79,85.24,740.17,106.24,0.0,-0.21,,,,169.02,12.23,23-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Jan-2020 - 00:00,29.95,2.43,15.71,,,,51.2,1.26,268.11,75.06,738.53,119.39,0.0,-0.39,,,,62.23,12.83,24-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Jan-2020 - 00:00,29.31,2.18,16.95,,,,63.41,0.3,262.85,67.01,735.9,122.6,0.0,-0.37,,,,62.5,13.46,25-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Jan-2020 - 00:00,29.91,3.12,30.91,,,,47.36,0.55,244.83,72.73,736.22,111.24,0.0,-0.14,,,,111.31,13.6,26-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Jan-2020 - 00:00,29.53,3.39,24.34,,,,45.38,0.31,245.72,77.32,734.41,111.2,0.0,-0.15,,,,165.35,14.14,27-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Jan-2020 - 00:00,30.33,3.11,31.82,,,,36.26,1.21,145.69,82.74,731.79,95.46,0.0,-0.09,,,,177.71,14.59,28-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Jan-2020 - 00:00,30.12,2.36,14.35,,,,47.1,1.32,125.68,90.01,730.51,73.34,0.0,-0.12,,,,114.39,14.23,29-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Jan-2020 - 00:00,29.64,2.62,21.93,,,,39.31,0.47,224.11,80.93,736.39,110.13,0.0,-0.13,,,,67.44,14.06,30-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Jan-2020 - 00:00,29.81,2.38,19.49,,,,35.88,0.84,262.05,78.92,737.18,118.21,0.0,-0.23,,,,71.96,13.33,31-Jan-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-Jan-2020 - 00:00,30.52,2.13,23.34,,,,39.05,1.36,247.57,76.8,735.09,126.38,0.0,-0.22,,,,65.88,12.77,01-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Feb-2020 - 00:00,29.82,2.02,14.61,,,,39.0,1.89,222.53,78.74,737.84,112.72,0.0,-0.19,,,,96.21,13.16,02-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Feb-2020 - 00:00,28.77,1.84,9.5,,,,48.71,2.25,261.34,75.81,739.39,131.24,0.0,-0.2,,,,95.3,12.53,03-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Feb-2020 - 00:00,30.45,1.78,8.8,,,,47.37,1.21,210.31,76.3,738.15,127.05,0.0,-0.14,,,,103.83,13.59,04-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Feb-2020 - 00:00,30.36,2.33,25.1,,,,54.56,1.1,184.59,76.73,736.54,111.15,0.0,-0.11,,,,152.3,13.61,05-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Feb-2020 - 00:00,30.49,1.56,26.29,,,,70.85,2.06,257.83,77.13,736.59,117.16,0.0,-0.19,,,,119.52,13.87,06-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Feb-2020 - 00:00,30.49,1.46,19.5,,,,53.34,1.62,212.86,77.6,736.01,126.56,0.0,-0.16,,,,103.94,13.3,07-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Feb-2020 - 00:00,30.61,1.75,28.06,,,,65.38,1.34,209.82,78.88,738.43,81.6,0.0,-0.14,,,,148.91,13.32,08-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Feb-2020 - 00:00,30.35,1.7,13.61,,,,65.8,2.22,261.12,78.76,740.49,118.44,0.0,-0.21,,,,119.2,13.62,09-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Feb-2020 - 00:00,30.52,1.56,11.87,,,,82.28,1.4,240.73,76.26,740.96,116.29,0.0,-0.13,,,,128.95,14.2,10-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Feb-2020 - 00:00,31.1,1.75,22.55,,,,82.21,1.68,260.45,76.81,738.98,117.87,0.0,-0.16,,,,146.94,14.09,11-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Feb-2020 - 00:00,31.62,2.48,40.29,,,,75.99,1.39,253.4,73.41,739.16,120.68,0.0,-0.15,,,,137.32,14.63,12-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Feb-2020 - 00:00,32.31,1.46,35.9,,,,61.58,2.87,259.65,75.49,738.6,121.78,0.0,-0.28,,,,106.38,15.63,13-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Feb-2020 - 00:00,33.33,1.18,43.21,,,,75.07,3.95,264.04,67.12,735.38,134.9,0.0,-0.4,,,,59.45,17.7,14-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Feb-2020 - 00:00,33.53,2.27,31.55,,,,73.74,4.59,268.79,68.38,732.54,126.98,0.0,-0.47,,,,53.8,16.7,15-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Feb-2020 - 00:00,32.69,2.15,42.61,,,,81.67,3.7,261.85,60.6,732.89,140.68,0.0,-0.39,,,,56.26,16.59,16-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Feb-2020 - 00:00,32.94,2.09,51.43,,,,71.55,2.25,261.47,64.35,736.03,138.78,0.0,-0.21,,,,99.24,17.04,17-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Feb-2020 - 00:00,33.87,1.86,55.04,,,,64.32,2.18,250.15,65.9,737.16,136.47,0.0,-0.22,,,,118.7,17.18,18-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Feb-2020 - 00:00,33.82,1.46,54.53,,,,81.31,2.56,249.57,59.07,734.39,141.73,0.0,-0.26,,,,80.33,17.33,19-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Feb-2020 - 00:00,33.76,1.91,46.33,,,,65.69,2.23,142.86,73.04,733.37,108.51,0.0,-0.09,,,,138.19,16.64,20-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Feb-2020 - 00:00,34.61,1.19,11.74,,,,99.76,3.26,124.44,75.51,732.76,116.53,0.0,-0.08,,,,83.79,17.42,21-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Feb-2020 - 00:00,32.57,1.04,8.6,,,,70.92,3.25,116.52,91.6,736.54,50.17,0.0,-0.07,,,,42.99,14.99,22-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Feb-2020 - 00:00,33.4,1.46,14.47,,,,45.22,1.57,149.9,86.89,739.96,113.35,0.0,-0.09,,,,60.81,16.44,23-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Feb-2020 - 00:00,36.64,1.8,19.05,,,,64.64,1.43,215.04,81.3,737.87,102.33,0.0,-0.12,,,,91.26,17.96,24-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Feb-2020 - 00:00,36.17,0.98,22.57,,,,55.82,1.66,227.16,77.2,734.47,116.86,0.0,-0.14,,,,59.23,17.87,25-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Feb-2020 - 00:00,35.63,2.26,18.23,,,,42.46,1.85,256.53,78.35,733.18,110.58,0.0,-0.19,,,,100.97,17.66,26-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Feb-2020 - 00:00,36.41,2.05,21.49,,,,62.25,1.52,190.6,78.49,733.94,125.59,0.0,-0.16,,,,115.7,18.27,27-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Feb-2020 - 00:00,35.86,0.79,20.14,,,,69.24,1.8,125.26,84.53,734.48,124.22,0.0,-0.09,,,,78.07,17.72,28-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Feb-2020 - 00:00,36.79,0.63,14.2,,,,76.58,3.1,124.89,88.49,733.32,112.16,0.0,-0.05,,,,69.06,17.75,29-Feb-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Feb-2020 - 00:00,37.29,0.48,15.15,,,,62.04,3.23,122.69,88.44,732.36,84.42,0.0,-0.08,,,,50.36,17.02,01-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Mar-2020 - 00:00,42.72,1.13,26.19,,,,66.24,1.53,148.36,83.74,733.15,136.69,0.0,-0.11,,,,31.18,18.04,02-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Mar-2020 - 00:00,37.21,1.94,32.63,,,,115.49,1.11,183.92,82.17,732.59,114.01,0.01,-0.1,,,,90.43,19.01,03-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Mar-2020 - 00:00,27.97,2.18,15.11,,,,,0.81,245.56,95.24,731.56,32.11,0.0,-0.1,,,,108.14,16.28,04-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Mar-2020 - 00:00,29.68,0.7,15.64,,,,59.31,2.57,138.43,74.05,730.4,159.05,0.0,-0.05,,,,54.26,18.88,05-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Mar-2020 - 00:00,29.57,0.45,12.9,,,,54.6,3.32,135.38,86.33,730.29,145.24,0.02,-0.15,,,,29.75,16.74,06-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Mar-2020 - 00:00,31.1,0.67,9.71,,,,62.16,3.77,117.74,87.54,729.5,143.94,0.1,-0.11,,,,13.3,14.65,07-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Mar-2020 - 00:00,28.37,0.8,15.72,,,,54.32,1.59,147.67,90.02,733.81,99.7,0.0,-0.1,,,,43.43,14.81,08-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Mar-2020 - 00:00,26.52,0.92,12.21,,,,49.08,1.91,241.83,68.0,735.68,163.11,0.0,-0.2,,,,64.03,16.19,09-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Mar-2020 - 00:00,28.05,0.66,13.95,,,,54.88,3.08,263.34,71.29,732.95,171.11,0.0,-0.32,,,,65.86,16.32,10-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Mar-2020 - 00:00,26.34,0.85,14.92,,,,72.73,1.76,195.48,75.43,731.63,129.8,0.0,-0.11,,,,110.09,16.73,11-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Mar-2020 - 00:00,28.71,0.63,11.03,,,,75.42,3.11,128.73,83.14,729.18,149.32,0.0,-0.05,,,,43.89,17.63,12-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Mar-2020 - 00:00,28.9,0.6,9.19,,,,51.69,2.09,167.9,76.34,731.43,157.12,0.0,-0.12,,,,60.36,18.67,13-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Mar-2020 - 00:00,29.4,0.57,13.97,,,,63.47,1.85,173.26,68.43,733.37,165.29,0.0,-0.14,,,,59.3,18.36,14-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Mar-2020 - 00:00,27.81,0.73,7.61,,,,50.39,1.84,158.24,89.45,734.43,99.66,0.03,-0.09,,,,39.21,16.22,15-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Mar-2020 - 00:00,26.47,0.69,5.86,,,,64.77,0.94,180.35,79.38,736.22,162.5,0.0,-0.11,,,,45.46,16.35,16-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Mar-2020 - 00:00,29.53,0.81,10.56,,,,69.08,1.78,263.66,77.11,735.97,156.07,0.0,-0.22,,,,54.0,17.73,17-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Mar-2020 - 00:00,29.62,0.84,10.83,,,,72.06,1.65,267.93,73.2,735.93,165.78,0.0,-0.26,,,,60.51,18.72,18-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Mar-2020 - 00:00,29.46,1.11,13.1,,,,64.22,1.58,259.81,71.61,734.02,167.45,0.0,-0.25,,,,67.45,19.45,19-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Mar-2020 - 00:00,28.91,1.22,14.38,,,,68.44,1.55,206.95,73.33,730.91,162.04,0.0,-0.18,,,,78.59,20.44,20-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Mar-2020 - 00:00,28.49,1.22,17.55,,,,75.91,1.53,155.71,75.0,729.86,128.6,0.0,-0.1,,,,86.74,20.7,21-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Mar-2020 - 00:00,28.68,0.99,16.99,,,,68.29,1.61,208.71,65.61,730.27,123.77,0.0,-0.13,,,,65.47,21.12,22-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Mar-2020 - 00:00,26.08,0.78,5.35,,,,90.1,1.99,221.86,67.12,732.03,167.64,0.0,-0.18,,,,66.43,21.12,23-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Mar-2020 - 00:00,27.36,0.61,7.99,,,,83.71,1.24,178.18,68.43,731.65,150.16,0.0,-0.11,,,,47.41,21.26,24-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Mar-2020 - 00:00,25.44,0.85,5.67,,,,69.76,1.81,166.85,70.4,730.4,108.47,0.0,-0.13,,,,63.13,20.61,25-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Mar-2020 - 00:00,25.29,0.53,4.2,,,,62.26,2.01,225.78,69.69,730.5,163.15,0.0,-0.19,,,,30.65,21.55,26-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Mar-2020 - 00:00,25.53,0.34,4.66,,,,54.22,3.13,258.38,72.82,731.87,88.26,0.0,-0.33,,,,29.18,20.47,27-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Mar-2020 - 00:00,25.66,0.51,5.2,,,,48.87,2.53,189.78,82.72,733.68,126.01,0.02,-0.16,,,,21.14,18.72,28-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Mar-2020 - 00:00,25.58,0.35,4.22,,,,57.6,2.46,240.11,69.88,733.94,195.13,0.0,-0.25,,,,15.69,19.16,29-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Mar-2020 - 00:00,25.41,0.36,5.33,,,,71.03,3.26,268.05,69.85,731.99,197.17,0.0,-0.34,,,,19.46,20.04,30-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Mar-2020 - 00:00,25.43,0.38,5.1,,,,80.98,2.83,263.35,67.37,731.98,187.21,0.0,-0.3,,,,26.62,20.02,31-Mar-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-Mar-2020 - 00:00,25.28,0.39,3.9,,,,84.51,2.41,239.04,63.81,730.68,163.56,0.0,-0.19,,,,26.18,21.07,01-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Apr-2020 - 00:00,25.55,0.39,4.69,,,,59.93,1.6,210.1,71.96,730.1,140.42,0.0,-0.11,,,,28.27,19.91,02-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Apr-2020 - 00:00,26.12,0.55,7.27,,,,97.4,3.99,259.6,50.54,730.62,284.04,0.0,-0.38,,,,16.92,22.97,03-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Apr-2020 - 00:00,26.0,0.4,7.47,,,,98.66,2.73,263.68,56.07,731.56,208.6,0.0,-0.27,,,,25.23,20.58,04-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Apr-2020 - 00:00,25.92,0.26,7.79,,,,90.59,2.43,255.87,56.36,731.6,205.93,0.0,-0.26,,,,31.48,21.45,05-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Apr-2020 - 00:00,25.63,0.68,8.61,,,,95.79,1.86,178.0,58.76,732.21,188.21,0.0,-0.13,,,,44.19,22.33,06-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Apr-2020 - 00:00,25.54,0.63,6.24,,,,92.46,2.15,229.47,53.69,730.97,204.39,0.0,-0.19,,,,46.6,24.05,07-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Apr-2020 - 00:00,25.57,0.46,7.66,,,,95.11,3.29,238.27,58.13,729.05,191.48,0.0,-0.23,,,,29.11,22.68,08-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Apr-2020 - 00:00,25.65,0.33,6.73,,,,94.07,3.31,262.23,53.91,729.6,205.79,0.0,-0.3,,,,23.94,22.4,09-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Apr-2020 - 00:00,25.8,0.44,6.35,,,,102.01,2.43,260.18,54.05,730.23,191.73,0.0,-0.22,,,,28.29,22.11,10-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Apr-2020 - 00:00,25.51,0.57,6.96,,,,94.12,1.78,228.33,51.19,731.01,194.01,0.0,-0.14,,,,43.82,23.91,11-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Apr-2020 - 00:00,25.22,0.71,7.34,,,,100.42,1.72,223.13,51.66,731.97,184.62,0.0,-0.16,,,,52.1,25.24,12-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Apr-2020 - 00:00,25.31,0.47,4.41,,,,102.52,2.65,258.7,52.73,729.9,202.24,0.0,-0.24,,,,28.71,24.44,13-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Apr-2020 - 00:00,25.12,0.53,5.77,,,,95.23,2.25,255.11,50.65,727.76,190.22,0.0,-0.22,,,,49.76,25.79,14-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Apr-2020 - 00:00,24.86,0.77,5.71,,,,84.03,1.14,170.67,50.33,728.16,160.22,0.0,-0.1,,,,51.11,26.97,15-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Apr-2020 - 00:00,24.72,0.35,8.06,,,,75.68,1.55,188.84,47.3,727.78,185.73,0.0,-0.13,,,,67.36,26.61,16-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Apr-2020 - 00:00,24.79,0.61,7.2,,,,82.7,2.21,237.6,45.61,726.44,183.03,0.0,-0.19,,,,70.06,26.34,17-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Apr-2020 - 00:00,24.79,0.4,4.24,,,,106.84,2.47,183.41,48.35,726.05,190.41,0.0,-0.16,,,,23.55,25.72,18-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Apr-2020 - 00:00,24.98,0.38,6.49,,,,99.48,3.02,115.77,57.01,727.8,166.38,0.0,-0.08,,,,24.82,24.05,19-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Apr-2020 - 00:00,25.03,0.35,2.46,,,,99.83,3.62,219.55,54.33,727.41,194.24,0.0,-0.23,,,,24.05,24.03,20-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Apr-2020 - 00:00,25.23,0.55,6.3,,,,75.32,2.16,190.61,57.72,728.45,100.32,0.0,-0.17,,,,44.78,22.58,21-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Apr-2020 - 00:00,25.84,0.45,7.7,,,,105.96,1.99,217.97,58.03,728.79,169.3,0.0,-0.19,,,,29.67,23.15,22-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Apr-2020 - 00:00,24.99,0.47,5.83,,,,102.98,2.63,225.19,50.84,727.27,203.87,0.0,-0.17,,,,42.85,24.42,23-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Apr-2020 - 00:00,25.3,0.78,6.08,,,,80.03,2.44,169.13,60.52,726.5,110.35,0.02,-0.13,,,,69.95,23.55,24-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Apr-2020 - 00:00,25.64,0.73,6.29,,,,99.19,1.96,139.2,59.57,724.9,178.74,0.0,-0.11,,,,66.9,24.28,25-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Apr-2020 - 00:00,25.32,0.48,3.79,,,,112.69,2.34,153.82,54.9,725.26,166.73,0.0,-0.15,,,,29.56,24.73,26-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Apr-2020 - 00:00,25.7,0.59,6.19,,,,80.48,2.46,127.53,76.49,728.11,83.48,0.0,-0.14,,,,49.12,20.72,27-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Apr-2020 - 00:00,25.78,0.46,5.69,,,,90.5,3.21,113.85,78.33,730.97,203.35,0.0,-0.16,,,,28.82,20.95,28-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Apr-2020 - 00:00,25.74,0.29,3.99,,,,99.55,2.0,118.2,72.18,730.87,175.02,0.0,-0.13,,,,40.62,22.86,29-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Apr-2020 - 00:00,27.15,0.65,5.46,,,,69.92,1.51,152.19,66.4,728.18,169.68,0.0,-0.12,,,,62.8,24.82,30-Apr-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Apr-2020 - 00:00,25.32,0.59,6.98,,,,117.48,1.64,144.32,63.47,727.51,179.01,0.0,-0.11,,,,52.17,25.41,01-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-May-2020 - 00:00,26.16,0.69,5.84,,,,68.85,1.75,122.96,74.48,726.9,164.08,0.0,-0.12,,,,64.5,23.66,02-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-May-2020 - 00:00,25.3,0.62,6.08,,,,105.91,3.78,114.17,61.87,725.65,283.4,0.0,-0.19,,,,35.53,26.1,03-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
