from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,SR,RF,to date,station
01-Jan-2020 - 00:00,62.12,133.02,15.69,49.88,47.14,24.39,7.84,1.08,8.32,9.02,0.38,0.78,0.28,0.41,9.81,77.06,0.57,114.25,128.01,0.0,02-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
02-Jan-2020 - 00:00,46.3,103.44,12.94,40.97,39.61,29.41,9.04,0.98,23.22,7.96,0.75,0.89,0.33,1.68,12.22,78.71,0.5,121.72,111.44,0.0,03-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
03-Jan-2020 - 00:00,44.97,95.45,11.27,34.43,33.6,47.48,11.3,0.91,13.46,8.14,1.16,1.0,0.31,3.81,12.36,79.0,0.56,139.62,141.71,0.0,04-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
04-Jan-2020 - 00:00,53.95,109.91,13.42,22.94,25.54,45.46,9.08,0.83,9.85,7.05,0.58,1.0,0.27,3.66,11.65,78.61,0.54,178.15,135.06,0.0,05-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
05-Jan-2020 - 00:00,50.24,104.21,13.6,5.59,11.12,35.9,8.4,0.62,9.8,5.53,0.21,0.89,0.23,3.45,11.58,76.62,0.98,217.96,114.21,0.0,06-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
06-Jan-2020 - 00:00,37.11,63.7,11.87,11.84,15.56,38.34,9.76,0.58,7.0,5.49,0.15,0.98,0.23,3.51,11.6,86.43,0.49,213.95,36.13,0.01,07-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
07-Jan-2020 - 00:00,28.68,47.48,11.67,27.94,28.72,39.15,8.66,0.77,8.58,6.57,0.18,1.01,0.27,3.68,11.76,98.7,0.66,128.32,32.88,0.03,08-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
08-Jan-2020 - 00:00,32.11,44.93,9.83,17.67,19.21,39.2,7.77,0.59,11.12,4.93,0.17,0.89,0.23,3.25,10.6,98.48,0.59,187.31,27.38,0.07,09-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
09-Jan-2020 - 00:00,29.23,49.97,11.21,3.78,8.89,34.84,5.65,0.45,12.0,4.21,0.37,0.81,2.87,4.66,9.06,94.31,1.05,281.38,142.3,0.0,10-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
10-Jan-2020 - 00:00,27.74,63.62,11.59,8.27,12.63,33.22,5.89,0.51,10.79,4.57,0.22,0.26,2.58,2.9,9.99,82.96,0.87,256.62,171.65,0.0,11-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
11-Jan-2020 - 00:00,47.81,110.06,15.85,19.13,23.58,24.46,6.66,0.77,8.24,6.44,0.16,0.31,2.79,2.3,10.04,84.15,0.51,184.48,136.82,0.0,12-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
12-Jan-2020 - 00:00,77.14,166.66,17.55,17.73,23.35,24.66,9.84,0.92,6.3,9.71,0.16,0.39,3.37,2.56,12.57,89.63,0.57,211.61,106.4,0.0,13-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
13-Jan-2020 - 00:00,63.25,120.63,15.44,18.68,22.87,29.52,7.35,0.87,7.67,8.24,0.17,0.31,2.82,2.95,12.25,90.79,0.91,141.81,33.39,0.05,14-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
14-Jan-2020 - 00:00,39.23,72.68,9.08,14.2,15.97,32.63,6.75,0.71,8.1,6.79,0.16,0.25,2.72,3.41,10.02,98.8,0.67,244.17,79.14,0.0,15-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
15-Jan-2020 - 00:00,45.71,84.7,12.19,10.91,15.29,32.01,7.0,0.65,9.31,6.27,0.16,0.3,3.13,3.27,11.14,95.62,0.64,258.56,107.97,0.0,16-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
16-Jan-2020 - 00:00,40.94,79.85,11.95,7.03,11.87,29.34,6.43,0.68,8.11,6.6,0.16,0.27,2.87,3.02,10.26,97.24,0.82,286.59,86.82,0.0,17-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
17-Jan-2020 - 00:00,49.7,92.53,10.81,18.64,20.41,41.63,7.25,0.77,6.3,6.86,0.19,0.25,2.44,3.43,11.31,96.34,0.73,221.55,136.34,0.01,18-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
18-Jan-2020 - 00:00,58.25,131.83,11.82,17.09,19.03,47.66,8.38,0.68,8.45,6.3,0.19,1.78,6.7,8.58,12.26,90.97,0.61,203.91,137.05,0.0,19-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
19-Jan-2020 - 00:00,46.05,94.83,11.46,19.36,21.67,35.66,7.88,0.77,10.46,6.51,0.29,0.97,0.28,3.39,10.78,91.21,0.82,250.33,169.9,0.0,20-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
20-Jan-2020 - 00:00,56.64,132.95,13.78,30.92,31.12,43.02,6.56,0.99,8.89,8.04,0.47,0.84,0.25,2.77,10.8,93.74,0.56,172.71,94.35,0.0,21-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
21-Jan-2020 - 00:00,64.82,139.08,16.71,39.4,39.92,43.26,9.12,1.05,9.37,9.42,0.6,1.05,0.33,3.62,13.18,83.08,0.55,179.4,145.21,0.0,22-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
22-Jan-2020 - 00:00,40.02,88.67,12.5,11.79,16.04,50.35,7.16,0.66,7.05,6.15,0.42,0.89,0.26,2.96,12.11,82.76,0.9,245.45,177.23,0.0,23-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
