from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,SR,RF,to date,station
23-Jan-2020 - 00:00,29.82,73.06,10.76,1.6,6.42,50.46,5.36,0.43,12.73,3.95,0.14,0.68,0.18,2.32,11.19,74.11,1.57,300.55,180.24,0.0,24-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
24-Jan-2020 - 00:00,28.46,85.39,13.44,2.53,8.75,48.44,5.86,0.56,14.37,4.55,0.12,0.6,0.17,1.85,11.32,82.29,1.51,273.69,175.81,0.0,25-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
25-Jan-2020 - 00:00,51.93,110.56,13.14,38.51,37.1,34.59,7.86,1.07,2.67,6.66,0.28,0.82,0.22,2.64,9.38,97.1,0.42,134.83,40.71,0.01,26-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
26-Jan-2020 - 00:00,61.31,103.94,14.26,28.38,30.04,33.09,7.98,0.87,12.1,6.03,0.16,1.05,0.29,2.14,11.7,87.34,0.9,247.58,157.35,0.0,27-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
27-Jan-2020 - 00:00,70.76,124.81,18.2,27.08,31.16,35.39,8.37,0.98,9.29,8.4,0.38,1.65,2.58,5.41,11.7,92.12,0.51,156.02,65.91,0.01,28-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
28-Jan-2020 - 00:00,34.69,85.32,17.87,14.87,21.03,72.14,7.48,0.62,10.12,5.05,0.25,0.75,0.26,2.46,13.6,86.7,1.1,131.25,68.17,0.05,29-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
29-Jan-2020 - 00:00,24.72,69.91,16.21,6.72,13.7,64.4,7.31,0.51,8.79,0.0,0.0,0.01,0.0,0.0,12.76,86.17,0.8,170.23,151.41,0.02,30-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
30-Jan-2020 - 00:00,26.11,64.22,11.58,4.44,9.53,53.49,5.89,0.45,9.77,3.43,0.15,0.49,0.18,1.33,11.54,84.73,1.09,268.81,183.88,0.0,31-Jan-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
31-Jan-2020 - 00:00,35.1,71.46,12.6,4.54,7.29,69.08,6.45,0.67,7.7,5.39,0.28,0.7,0.23,2.36,10.13,95.68,0.77,242.12,138.58,0.0,01-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
01-Feb-2020 - 00:00,45.32,81.95,14.97,3.06,5.87,78.82,7.93,0.77,12.26,6.82,0.35,0.85,0.26,2.76,10.96,93.21,0.81,252.68,173.87,0.0,02-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
02-Feb-2020 - 00:00,37.13,83.31,12.18,4.46,10.02,51.66,6.99,0.57,13.53,5.16,0.16,0.79,0.24,2.69,10.78,88.25,0.86,282.56,185.78,0.0,03-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
03-Feb-2020 - 00:00,47.22,118.18,14.35,22.69,24.7,48.67,6.99,0.82,10.19,6.27,0.35,0.77,0.25,2.46,11.09,83.34,0.56,206.69,192.16,0.0,04-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
04-Feb-2020 - 00:00,47.02,108.68,16.3,27.87,30.92,45.26,8.99,0.8,11.15,6.72,0.37,0.81,0.25,2.56,11.98,78.02,0.82,194.54,144.81,0.0,05-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
05-Feb-2020 - 00:00,44.54,85.17,11.73,1.4,7.15,41.12,7.03,0.51,12.92,4.59,0.15,0.69,0.21,2.41,11.77,80.7,1.03,278.7,187.29,0.0,06-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
06-Feb-2020 - 00:00,45.72,98.29,13.82,19.66,22.57,52.6,7.82,0.77,9.22,6.1,0.38,0.83,0.26,2.74,11.18,80.61,0.64,218.45,175.66,0.0,07-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
07-Feb-2020 - 00:00,51.61,93.06,17.9,24.02,25.19,53.41,8.98,0.78,9.83,6.53,0.37,0.93,0.27,2.97,11.62,83.41,0.73,214.47,160.33,0.0,08-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
08-Feb-2020 - 00:00,55.75,94.58,14.82,10.92,15.73,37.81,7.99,0.68,10.85,5.89,0.24,0.79,0.23,2.67,11.76,81.89,0.75,212.6,189.31,0.0,09-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
09-Feb-2020 - 00:00,58.92,102.87,19.72,23.1,28.68,23.87,10.21,0.82,9.86,6.66,0.3,0.92,0.28,3.15,12.32,78.83,0.65,154.47,195.42,0.0,10-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
10-Feb-2020 - 00:00,57.57,109.14,18.64,24.33,29.29,27.87,8.74,0.89,11.24,6.8,1.86,3.52,86.49,94.41,13.41,75.81,0.7,201.87,221.05,0.0,11-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
11-Feb-2020 - 00:00,55.36,116.68,17.81,16.88,22.76,34.67,8.63,0.83,11.69,6.65,2.4,0.9,95.94,113.43,13.04,81.32,0.61,221.63,168.1,0.01,12-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
12-Feb-2020 - 00:00,53.96,113.33,15.92,3.59,11.2,32.89,8.35,0.63,19.43,5.8,0.17,0.74,0.24,2.55,14.78,82.65,1.51,283.7,187.82,0.0,13-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
13-Feb-2020 - 00:00,45.78,94.49,14.41,1.69,8.89,33.68,9.39,0.59,16.88,5.65,0.16,0.78,0.26,2.39,16.63,86.27,1.61,303.26,191.89,0.0,14-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
14-Feb-2020 - 00:00,38.49,96.05,13.63,1.55,8.37,36.94,8.29,0.48,16.13,4.93,0.2,0.76,0.23,2.4,15.79,83.06,1.69,304.58,201.65,0.0,15-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
15-Feb-2020 - 00:00,39.34,93.87,15.08,1.4,8.98,36.04,9.23,0.57,17.81,5.03,0.14,0.83,0.25,2.78,15.86,82.79,1.4,305.14,192.17,0.0,16-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
16-Feb-2020 - 00:00,43.57,97.25,18.68,11.37,18.76,29.74,9.32,0.69,11.93,5.79,0.22,1.09,0.36,3.7,16.42,72.59,0.7,196.03,209.69,0.0,17-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
17-Feb-2020 - 00:00,38.05,83.7,17.03,5.81,13.64,30.3,8.1,0.6,15.89,5.22,0.19,0.9,0.27,2.91,15.76,68.79,1.11,257.96,218.2,0.0,18-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
18-Feb-2020 - 00:00,40.99,115.69,17.79,6.8,14.37,50.88,9.82,0.72,11.29,5.83,0.21,2.95,6.45,9.66,16.24,69.97,1.07,248.09,202.81,0.0,19-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
19-Feb-2020 - 00:00,49.31,138.21,24.09,27.67,34.99,47.55,8.84,0.96,12.06,8.54,0.4,2.82,3.27,4.02,16.99,69.54,1.11,126.32,118.01,0.0,20-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
20-Feb-2020 - 00:00,39.27,103.5,21.86,3.46,14.03,51.3,10.55,0.64,10.19,5.31,0.22,2.7,3.47,4.32,20.27,53.06,1.63,131.67,175.48,0.0,21-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
21-Feb-2020 - 00:00,17.84,36.44,19.47,6.79,15.01,51.13,11.19,0.6,8.19,4.53,0.11,3.06,3.99,3.59,16.76,73.46,0.94,167.72,157.56,0.0,22-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
22-Feb-2020 - 00:00,28.83,59.83,16.17,8.81,15.5,57.14,9.67,0.61,15.15,5.01,0.16,3.2,3.56,3.5,17.13,76.02,0.77,172.5,209.74,0.0,23-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
23-Feb-2020 - 00:00,25.77,65.4,16.76,12.38,18.66,53.53,9.94,0.67,15.55,5.38,0.15,3.93,4.18,3.25,17.11,72.53,0.66,152.67,181.08,0.0,24-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
24-Feb-2020 - 00:00,22.59,68.09,14.68,7.86,14.05,58.66,10.28,0.53,13.75,4.6,0.18,4.38,8.64,10.02,17.02,71.01,0.81,228.53,213.31,0.0,25-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
25-Feb-2020 - 00:00,31.11,78.52,17.83,9.09,16.52,52.11,11.1,0.65,12.81,5.38,0.17,1.27,0.49,3.98,16.96,71.25,0.94,195.44,202.11,0.0,26-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
26-Feb-2020 - 00:00,38.41,100.53,22.19,26.06,32.29,42.13,11.19,0.95,11.33,6.57,0.18,1.43,0.56,4.34,17.36,79.43,0.67,150.13,184.91,0.0,27-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
27-Feb-2020 - 00:00,55.24,121.41,22.56,19.68,27.7,43.62,11.46,1.02,10.99,8.43,0.23,1.35,0.52,4.11,18.17,85.29,0.76,140.24,144.6,0.0,28-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
28-Feb-2020 - 00:00,47.19,109.93,19.63,8.52,17.17,62.48,9.21,0.76,15.24,6.8,0.21,1.08,0.39,3.6,18.92,79.77,1.09,135.31,121.65,0.0,29-Feb-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
29-Feb-2020 - 00:00,23.4,55.82,19.48,15.81,22.47,58.38,8.03,0.67,13.24,5.1,0.15,1.2,0.4,4.14,17.3,81.78,1.18,124.15,86.85,0.06,01-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
01-Mar-2020 - 00:00,17.19,54.41,19.38,24.66,30.11,51.62,9.44,0.69,10.24,5.39,0.13,1.33,0.57,4.49,17.94,71.03,0.62,184.16,221.94,0.0,02-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
02-Mar-2020 - 00:00,32.58,75.08,19.86,20.91,27.22,52.07,10.99,0.71,9.32,5.64,0.15,1.29,0.54,4.14,18.57,71.15,0.7,149.4,225.65,0.0,03-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
03-Mar-2020 - 00:00,35.21,90.78,16.86,9.46,16.44,67.68,9.74,0.6,12.42,5.29,0.13,1.27,0.54,4.05,18.36,75.95,0.7,219.42,231.16,0.0,04-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
04-Mar-2020 - 00:00,35.58,102.97,22.08,13.97,22.78,68.8,10.9,0.75,13.08,6.71,0.16,1.2,0.57,3.6,18.94,67.58,1.01,139.31,232.33,0.0,05-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
05-Mar-2020 - 00:00,19.93,61.16,21.33,6.17,16.14,58.29,9.0,0.51,13.73,4.71,0.14,1.15,0.44,3.45,19.37,59.92,1.39,154.98,215.7,0.0,06-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
06-Mar-2020 - 00:00,12.85,34.71,17.18,4.65,12.72,58.74,7.77,0.39,11.75,3.56,1.02,59.42,2.97,6.06,15.09,85.49,1.57,129.83,122.54,0.19,07-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
07-Mar-2020 - 00:00,14.12,29.03,11.92,22.89,24.17,57.61,6.63,0.62,5.19,3.89,2.35,109.05,0.32,3.12,12.96,97.66,0.72,159.49,43.35,0.02,08-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
08-Mar-2020 - 00:00,23.02,46.24,14.79,22.84,26.43,54.67,8.47,0.62,12.71,4.97,2.24,1.11,0.44,3.45,16.27,81.58,0.98,212.52,258.36,0.0,09-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
09-Mar-2020 - 00:00,21.27,54.5,13.35,1.69,8.25,54.99,7.63,0.38,15.58,3.42,2.67,0.87,0.32,2.57,16.71,74.69,1.52,306.11,270.19,0.0,10-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
10-Mar-2020 - 00:00,30.55,77.97,18.38,8.65,16.44,64.31,9.68,0.62,12.64,4.68,2.52,1.25,0.5,3.75,16.98,74.12,0.68,171.46,253.49,0.0,11-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
11-Mar-2020 - 00:00,27.08,66.7,20.23,10.51,18.38,62.89,8.36,0.61,11.73,5.0,2.87,1.12,0.38,3.42,17.2,77.12,1.17,135.79,79.3,0.13,12-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
12-Mar-2020 - 00:00,19.51,40.15,20.42,7.86,16.83,70.44,8.22,0.56,14.71,4.29,2.97,0.7,0.3,1.92,18.59,76.14,1.2,139.83,173.89,0.01,13-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
13-Mar-2020 - 00:00,16.85,38.35,17.64,5.74,13.88,68.92,8.15,0.44,17.19,3.5,2.81,0.77,0.29,2.32,16.91,75.41,1.51,137.44,222.18,0.04,14-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
14-Mar-2020 - 00:00,9.48,23.08,12.19,3.99,9.54,70.0,11.04,0.37,16.44,3.06,2.96,0.74,0.26,2.49,14.17,87.19,1.25,161.95,113.84,0.1,15-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
15-Mar-2020 - 00:00,11.14,38.24,9.62,4.52,8.68,81.68,9.4,0.47,15.71,3.53,2.6,1.01,0.4,3.5,16.08,75.8,0.9,215.84,256.93,0.0,16-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
16-Mar-2020 - 00:00,20.63,71.55,9.08,3.83,7.36,90.83,10.56,0.48,12.79,3.71,1.46,0.83,0.39,2.66,17.2,79.13,0.83,269.9,239.67,0.0,17-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
17-Mar-2020 - 00:00,18.95,76.21,8.14,2.15,6.05,99.7,9.34,0.5,15.39,3.95,0.15,0.71,0.34,2.18,18.92,77.89,1.16,280.13,270.4,0.0,18-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
18-Mar-2020 - 00:00,20.79,83.03,8.91,1.77,6.06,79.18,9.72,0.57,15.83,4.34,0.16,0.8,0.38,2.52,19.58,79.67,1.21,288.74,266.92,0.0,19-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
19-Mar-2020 - 00:00,23.45,83.29,11.22,5.72,10.39,75.38,10.21,0.68,14.6,5.28,0.27,1.04,0.53,3.19,19.91,74.86,0.66,202.45,269.36,0.0,20-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
20-Mar-2020 - 00:00,24.28,79.04,12.86,9.0,13.97,75.86,14.07,0.77,14.33,6.11,0.35,1.07,0.56,3.17,20.51,72.13,0.73,132.27,223.55,0.0,21-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
21-Mar-2020 - 00:00,22.13,73.75,12.36,7.22,12.26,72.0,13.48,0.69,15.03,5.89,0.33,1.13,0.63,3.46,20.11,64.56,0.81,135.93,201.02,0.01,22-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
22-Mar-2020 - 00:00,17.81,40.57,9.56,3.49,7.86,60.08,11.92,0.51,14.82,3.98,0.21,1.11,0.6,3.34,20.51,65.54,0.99,199.87,279.83,0.0,23-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
23-Mar-2020 - 00:00,14.64,37.86,10.04,2.47,7.22,52.98,10.98,0.54,14.83,4.11,0.21,1.18,0.72,3.5,21.02,67.95,0.74,211.12,276.01,0.0,24-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
24-Mar-2020 - 00:00,16.61,34.52,10.0,2.09,6.9,50.63,11.88,0.5,13.69,3.95,0.21,1.21,0.63,3.59,21.02,68.8,0.87,175.87,171.49,0.01,25-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
25-Mar-2020 - 00:00,15.43,38.33,8.55,3.31,5.86,42.6,11.35,0.51,14.38,3.59,0.18,1.18,0.66,3.3,22.05,70.89,0.97,249.09,246.59,0.0,26-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
26-Mar-2020 - 00:00,13.48,40.3,8.85,1.97,6.19,41.28,10.52,0.5,12.29,3.55,0.13,1.11,0.6,3.18,21.23,76.52,1.18,270.97,193.36,0.0,27-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
27-Mar-2020 - 00:00,19.08,34.07,9.38,2.91,6.79,40.44,9.39,0.49,10.89,3.79,0.16,1.1,0.5,3.29,19.87,83.71,1.03,158.51,115.48,0.02,28-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
28-Mar-2020 - 00:00,7.21,17.45,9.34,1.69,6.24,34.46,9.74,0.38,14.05,2.75,0.11,1.06,0.55,3.08,20.37,73.78,1.21,241.03,301.68,0.0,29-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
29-Mar-2020 - 00:00,17.99,39.97,9.44,1.4,6.03,42.13,11.09,0.3,16.83,2.72,1.58,0.76,0.41,2.08,20.75,67.99,1.67,312.04,295.38,0.0,30-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
30-Mar-2020 - 00:00,12.29,29.52,10.09,1.58,6.53,48.22,9.28,0.39,16.93,3.03,0.23,0.86,0.44,2.54,20.25,69.31,1.39,290.7,269.79,0.0,31-Mar-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
31-Mar-2020 - 00:00,15.42,38.89,10.84,1.44,6.83,42.88,9.28,0.48,13.61,3.61,0.13,0.99,0.48,3.02,19.61,77.74,0.98,260.08,118.83,0.01,01-Apr-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
01-Apr-2020 - 00:00,12.41,27.19,10.86,2.36,7.55,38.99,10.93,0.41,14.93,2.91,0.13,1.09,0.71,3.2,22.06,62.01,0.93,240.03,297.5,0.0,02-Apr-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
02-Apr-2020 - 00:00,11.28,31.35,9.86,1.43,6.3,34.41,8.54,0.38,19.35,2.91,0.11,0.99,0.59,2.8,21.2,58.51,1.46,300.15,286.38,0.0,03-Apr-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
03-Apr-2020 - 00:00,11.6,22.07,11.3,1.54,7.17,32.82,7.94,0.39,19.31,2.94,0.1,0.95,0.54,2.75,20.09,53.73,1.24,279.57,275.3,0.0,04-Apr-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
04-Apr-2020 - 00:00,12.82,29.38,11.96,1.46,7.42,32.25,10.17,0.46,20.19,3.27,0.1,1.01,0.61,2.9,21.3,56.4,1.12,250.32,284.87,0.0,05-Apr-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
05-Apr-2020 - 00:00,15.73,35.04,13.11,2.18,8.6,33.85,10.39,0.54,17.33,3.65,0.18,1.21,0.81,3.51,22.09,55.77,0.55,191.32,253.54,0.0,06-Apr-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
06-Apr-2020 - 00:00,20.4,47.37,10.78,1.62,5.94,48.83,13.08,0.4,22.48,3.1,0.85,1.5,3.05,5.2,23.9,51.58,1.17,222.08,314.82,0.0,07-Apr-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
07-Apr-2020 - 00:00,11.6,40.44,9.71,0.99,5.85,49.04,7.2,0.38,20.62,3.06,0.45,0.86,0.51,2.43,22.12,55.14,1.52,267.95,157.34,0.0,08-Apr-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
08-Apr-2020 - 00:00,10.81,33.39,11.85,1.69,7.54,40.93,10.0,0.42,21.32,2.76,0.52,1.04,0.73,2.98,22.24,50.1,0.95,242.11,283.31,0.01,09-Apr-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
09-Apr-2020 - 00:00,9.94,23.73,12.32,2.24,8.23,39.43,9.56,0.5,18.95,3.04,0.57,1.17,0.88,3.42,22.75,50.66,0.74,224.16,274.59,0.0,10-Apr-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
10-Apr-2020 - 00:00,12.62,37.43,11.95,2.01,7.84,36.03,9.63,0.48,19.86,3.25,0.56,1.14,0.88,3.26,24.42,49.59,0.89,248.98,257.25,0.0,11-Apr-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
11-Apr-2020 - 00:00,13.72,43.06,11.57,2.5,8.06,34.43,10.4,0.53,23.4,3.46,0.64,1.2,1.07,3.33,25.49,48.9,0.81,218.65,315.49,0.0,12-Apr-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
12-Apr-2020 - 00:00,16.17,43.82,10.18,1.38,6.42,33.15,11.99,0.52,27.0,3.32,0.63,1.14,0.97,3.03,25.91,49.13,1.12,280.28,280.34,0.0,13-Apr-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
13-Apr-2020 - 00:00,19.69,45.4,10.72,1.65,6.93,31.24,9.89,0.54,26.94,3.41,0.62,1.14,0.92,3.09,26.85,48.41,1.08,261.35,285.0,0.0,14-Apr-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
14-Apr-2020 - 00:00,19.07,57.57,11.76,1.92,7.69,29.07,10.09,0.57,32.61,3.62,0.64,0.97,0.82,2.55,28.59,44.75,0.79,123.98,275.07,0.0,15-Apr-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
15-Apr-2020 - 00:00,22.79,82.61,10.97,1.29,6.78,23.09,10.87,0.48,38.66,3.72,0.65,0.88,0.83,2.21,30.37,35.47,0.84,132.27,270.23,0.0,16-Apr-2020 - 00:00,"Sector-25, Chandigarh - CPCC"
