from date,NO2,NH3,CO,Ozone,SO2,Benzene,PM10,PM2.5,NOx,NO,WS,WD,AT,RH,SR,MP-Xylene,Eth-Benzene,to date,station
20-Jul-2020 - 00:00,23.42,6.84,1.25,21.92,33.09,0.0,34.06,21.46,36.52,13.15,3.07,179.79,28.33,79.34,135.15,0.32,0.08,21-Jul-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
21-Jul-2020 - 00:00,22.98,7.41,1.25,23.12,35.49,0.0,33.7,21.24,40.18,17.2,3.02,166.5,28.9,77.36,88.94,0.2,0.08,22-Jul-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
22-Jul-2020 - 00:00,27.69,5.3,1.64,24.93,27.7,0.0,45.41,28.63,48.3,20.6,2.99,167.08,27.65,81.61,64.76,0.3,0.08,23-Jul-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
23-Jul-2020 - 00:00,26.86,6.25,1.52,19.66,30.6,0.0,42.09,26.64,47.04,20.14,3.22,154.29,26.6,85.09,44.76,0.31,0.09,24-Jul-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
24-Jul-2020 - 00:00,32.92,4.22,1.53,18.59,34.3,0.0,57.64,36.36,55.84,22.99,3.06,181.68,27.29,82.72,72.96,0.39,0.11,25-Jul-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
25-Jul-2020 - 00:00,32.43,4.61,1.38,23.84,36.65,0.0,51.42,32.44,52.09,19.62,3.27,179.75,28.55,77.61,162.84,0.21,0.04,26-Jul-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
26-Jul-2020 - 00:00,27.35,6.81,1.33,27.43,40.9,0.0,48.11,30.42,44.92,17.55,2.87,158.37,30.25,71.0,182.89,0.28,0.07,27-Jul-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
27-Jul-2020 - 00:00,27.46,6.71,1.7,32.93,45.47,0.0,60.87,38.35,44.76,17.3,2.98,154.67,30.68,70.16,133.82,0.4,0.12,28-Jul-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
28-Jul-2020 - 00:00,24.41,7.3,1.5,37.54,48.28,0.0,70.64,44.5,41.71,17.37,3.09,182.5,27.72,80.42,64.69,0.24,0.06,29-Jul-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
29-Jul-2020 - 00:00,25.1,6.97,1.21,25.09,40.94,0.0,55.86,26.79,43.29,18.16,3.05,209.56,28.94,76.23,164.05,0.19,0.04,30-Jul-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
