from date,NO2,NH3,CO,Ozone,SO2,Benzene,PM10,PM2.5,NOx,NO,WS,WD,AT,RH,SR,MP-Xylene,Eth-Benzene,to date,station
13-Oct-2020 - 00:00,5.68,1.25,1.12,30.01,13.72,0.0,55.8,20.05,8.34,2.66,3.27,169.49,26.92,80.21,84.16,0.02,0.0,14-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
14-Oct-2020 - 00:00,5.45,1.08,1.08,23.81,13.23,0.0,60.36,17.74,8.05,2.6,3.56,169.98,25.81,88.56,47.87,0.02,0.0,15-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
15-Oct-2020 - 00:00,12.94,2.35,1.34,20.25,14.09,0.0,73.4,20.4,20.28,8.42,3.76,183.37,25.7,89.59,54.42,0.04,0.0,16-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
16-Oct-2020 - 00:00,25.72,4.02,1.39,23.96,14.71,0.0,66.23,19.62,32.97,10.69,3.39,176.43,27.45,81.98,149.6,0.01,0.03,17-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
17-Oct-2020 - 00:00,9.47,4.56,1.73,21.3,17.11,0.0,55.8,26.82,24.82,15.38,3.26,171.05,27.57,78.3,200.97,0.0,0.06,18-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
18-Oct-2020 - 00:00,11.09,4.41,1.77,25.61,19.06,0.0,55.8,25.61,26.27,15.21,3.29,165.28,27.6,78.44,159.56,0.0,0.04,19-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
19-Oct-2020 - 00:00,8.16,3.15,1.37,25.63,16.14,0.0,56.71,20.08,16.71,8.59,3.48,182.15,28.4,76.73,130.03,0.0,0.04,20-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
20-Oct-2020 - 00:00,7.93,2.72,1.37,29.77,15.79,0.0,70.67,24.96,14.74,6.84,3.51,172.84,28.07,78.17,183.0,0.0,0.03,21-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
21-Oct-2020 - 00:00,10.4,3.96,1.97,36.35,16.33,0.0,80.6,29.88,18.66,8.26,3.15,136.6,27.24,80.28,115.25,0.0,0.05,22-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
22-Oct-2020 - 00:00,21.71,5.19,2.12,19.63,17.46,0.0,71.89,25.52,35.39,14.45,3.72,136.77,26.97,80.28,81.03,0.02,0.03,23-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
23-Oct-2020 - 00:00,19.29,5.71,1.81,26.15,18.18,0.0,73.57,26.4,30.6,14.3,3.35,156.24,27.33,77.76,183.19,0.0,0.0,24-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
24-Oct-2020 - 00:00,16.16,4.85,1.86,31.51,19.72,0.0,100.59,39.85,23.12,7.25,3.16,145.95,26.84,75.99,153.19,0.0,0.0,25-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
25-Oct-2020 - 00:00,19.99,8.16,0.14,36.37,21.33,0.0,105.08,42.19,35.2,15.79,3.57,153.86,26.85,73.19,140.66,0.0,0.0,26-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
26-Oct-2020 - 00:00,20.55,9.83,0.0,41.87,25.36,0.0,101.95,40.59,38.52,21.32,2.99,140.9,25.45,69.29,200.39,0.0,0.0,27-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
27-Oct-2020 - 00:00,141.25,54.77,0.09,47.56,32.98,0.0,97.2,38.2,182.9,98.99,3.72,132.06,25.11,64.45,244.22,0.0,0.0,28-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
28-Oct-2020 - 00:00,163.86,66.99,0.31,46.12,35.38,0.0,100.56,39.91,215.81,131.31,3.37,150.39,24.36,62.82,241.2,0.0,0.0,29-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
29-Oct-2020 - 00:00,116.85,57.02,0.14,52.98,31.37,0.0,74.33,26.82,153.96,105.72,3.28,136.68,24.31,57.01,238.44,0.0,0.0,30-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
30-Oct-2020 - 00:00,126.92,49.35,0.2,64.59,36.22,0.0,99.67,39.44,171.95,101.85,3.19,128.35,24.77,57.59,207.61,0.0,0.0,31-Oct-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
31-Oct-2020 - 00:00,161.02,72.24,0.89,56.12,35.23,0.0,101.2,40.15,214.17,134.46,3.04,135.4,26.14,64.32,209.18,0.0,0.0,01-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
01-Nov-2020 - 00:00,93.48,33.49,1.63,54.12,29.2,0.0,86.74,33.08,122.66,67.35,3.14,134.49,25.91,71.29,99.06,0.0,0.0,02-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
02-Nov-2020 - 00:00,119.93,48.94,1.53,66.23,30.5,0.0,96.43,37.87,175.72,144.11,3.26,150.92,27.24,66.97,167.53,0.0,0.0,03-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
03-Nov-2020 - 00:00,116.17,53.25,1.49,63.85,36.17,0.0,124.85,52.14,153.31,112.45,3.2,150.19,25.83,69.46,178.06,0.0,0.0,04-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
04-Nov-2020 - 00:00,117.7,29.73,1.0,57.33,36.12,0.0,124.57,52.17,145.35,61.14,3.28,164.04,25.25,71.51,134.68,0.0,0.0,05-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
05-Nov-2020 - 00:00,97.98,21.34,1.62,54.01,38.27,0.0,135.53,57.37,121.02,47.35,3.59,176.1,24.41,70.74,154.12,0.0,0.0,06-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
06-Nov-2020 - 00:00,120.78,40.0,2.08,60.49,38.69,0.0,145.73,62.5,167.45,108.86,3.14,143.51,23.94,70.87,155.06,0.0,0.0,07-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
07-Nov-2020 - 00:00,164.94,67.92,1.83,53.71,41.83,0.0,120.14,49.65,208.05,135.95,3.14,136.39,23.05,63.71,221.79,0.0,0.0,08-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
08-Nov-2020 - 00:00,131.68,48.13,1.49,56.18,34.84,0.0,108.48,43.79,157.45,88.78,3.1,137.96,21.99,60.76,210.69,0.0,0.0,09-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
09-Nov-2020 - 00:00,105.12,36.02,1.47,45.53,35.86,0.0,111.05,45.21,128.22,70.72,3.59,137.03,22.5,64.23,211.8,0.02,0.0,10-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
10-Nov-2020 - 00:00,51.15,19.83,1.52,32.92,26.54,0.0,89.6,34.87,67.46,34.59,3.1,154.37,22.16,73.61,107.9,0.04,0.02,11-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
11-Nov-2020 - 00:00,27.66,5.99,1.52,36.65,27.02,0.0,101.14,40.56,52.87,32.28,3.25,158.45,24.79,73.6,74.66,0.06,0.01,12-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
12-Nov-2020 - 00:00,35.07,6.28,1.59,28.06,27.1,0.0,102.14,40.85,66.46,34.35,3.14,160.06,25.11,72.65,73.03,0.07,0.01,13-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
13-Nov-2020 - 00:00,41.31,8.04,1.44,40.92,29.75,0.0,105.2,42.14,68.22,31.19,3.17,157.18,25.11,65.34,207.26,0.05,0.01,14-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
14-Nov-2020 - 00:00,43.96,2.69,1.76,47.28,39.74,0.0,136.45,58.42,60.5,18.62,3.76,164.83,24.59,67.66,167.69,0.05,0.01,15-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
15-Nov-2020 - 00:00,43.66,6.24,1.52,41.12,30.68,0.0,137.24,58.23,63.66,26.85,3.21,167.62,24.99,71.43,173.08,0.04,0.01,16-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
16-Nov-2020 - 00:00,105.64,22.43,1.21,45.7,25.01,0.0,106.45,42.99,132.36,53.5,3.43,187.43,25.54,71.18,180.85,0.03,0.01,17-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
17-Nov-2020 - 00:00,113.29,34.1,1.76,41.58,34.86,0.0,123.81,51.54,150.98,78.07,3.71,156.2,25.38,73.53,151.0,0.05,0.01,18-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
18-Nov-2020 - 00:00,86.92,41.84,1.11,28.57,18.34,0.0,97.08,38.16,115.07,89.66,3.55,184.33,25.58,68.83,226.74,0.03,0.01,19-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
19-Nov-2020 - 00:00,25.75,7.18,1.14,34.15,9.72,0.0,102.55,41.11,31.98,12.51,3.21,167.77,24.86,71.38,184.22,0.03,0.02,20-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
20-Nov-2020 - 00:00,24.55,3.12,1.24,26.4,16.79,0.0,106.65,42.94,39.65,22.56,3.32,162.75,25.4,73.25,160.21,0.03,0.03,21-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
21-Nov-2020 - 00:00,14.53,2.38,1.22,33.15,18.84,0.0,95.88,37.59,33.57,19.05,3.17,150.66,25.36,73.04,103.68,0.03,0.01,22-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
22-Nov-2020 - 00:00,16.37,2.52,1.33,41.98,24.47,0.0,116.03,47.81,38.21,21.88,3.48,152.64,22.56,73.5,93.72,0.04,0.01,23-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
23-Nov-2020 - 00:00,17.44,7.86,1.35,50.16,22.32,0.0,113.34,46.31,43.21,29.4,3.14,175.1,21.09,71.31,183.19,0.03,0.01,24-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
24-Nov-2020 - 00:00,17.47,6.96,1.52,44.52,23.29,0.0,135.39,57.24,46.13,34.46,3.13,152.78,19.54,73.3,110.59,0.05,0.02,25-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
25-Nov-2020 - 00:00,11.66,23.29,1.99,39.46,22.64,0.0,139.98,59.54,36.9,29.07,3.55,164.6,19.6,71.1,109.12,0.05,0.01,26-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
26-Nov-2020 - 00:00,41.96,31.15,3.53,16.52,25.75,0.0,147.59,63.73,39.57,7.57,3.12,167.28,19.34,82.4,25.88,0.06,0.11,27-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
27-Nov-2020 - 00:00,19.1,11.47,2.39,28.04,26.35,0.0,124.37,51.87,25.76,13.58,3.03,139.73,22.25,68.21,68.27,0.05,0.26,28-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
28-Nov-2020 - 00:00,15.48,9.83,1.45,39.59,22.69,0.0,106.1,42.66,38.24,24.43,3.13,141.29,22.83,62.55,225.19,0.08,0.26,29-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
29-Nov-2020 - 00:00,23.67,17.13,2.24,45.9,39.83,0.0,120.56,49.87,60.77,37.16,3.12,135.22,21.99,63.7,189.13,0.05,0.0,30-Nov-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
30-Nov-2020 - 00:00,25.81,16.73,2.42,43.4,46.05,0.0,119.69,49.52,65.76,39.94,3.28,140.95,21.41,64.24,197.97,0.05,0.0,01-Dec-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
01-Dec-2020 - 00:00,24.2,6.8,1.54,11.6,14.46,0.0,125.53,52.33,38.48,14.29,3.57,132.0,16.31,86.35,,0.02,0.0,02-Dec-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
