from date,PM2.5,PM10,AT,Temp,SR,RH,WS,WD,BP,RF,SO2,NO,NO2,NOx,NH3,CO,Ozone,to date,station
01-Jan-2020 - 00:00,34.8,64.18,28.99,28.44,178.53,75.88,1.29,174.2,,0.0,10.14,9.66,22.42,19.74,12.99,1.39,43.54,02-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
02-Jan-2020 - 00:00,37.42,61.9,29.06,28.03,185.55,75.5,1.29,167.77,705.0,0.0,8.78,9.45,21.82,19.26,13.66,0.95,37.24,03-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
03-Jan-2020 - 00:00,37.16,63.23,29.34,28.44,182.43,74.68,1.36,177.48,,0.0,8.82,12.84,24.24,23.28,14.16,0.75,34.52,04-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
04-Jan-2020 - 00:00,29.51,54.34,29.11,28.41,182.23,76.82,1.43,149.79,714.92,0.51,7.59,10.41,19.55,18.82,13.81,0.93,45.74,05-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
05-Jan-2020 - 00:00,28.43,47.79,29.16,28.31,167.36,77.33,1.38,196.64,738.19,0.0,8.39,8.19,17.7,16.02,13.85,0.86,43.75,06-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
06-Jan-2020 - 00:00,34.36,72.86,29.42,28.5,185.31,76.07,1.23,179.76,749.22,0.0,9.79,12.47,29.16,25.61,13.53,1.13,36.08,07-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
07-Jan-2020 - 00:00,30.61,59.88,29.5,28.3,202.76,74.04,1.19,169.6,748.54,0.0,9.36,14.72,29.4,27.56,11.43,1.12,35.3,08-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
08-Jan-2020 - 00:00,13.78,38.34,28.81,27.81,142.78,76.96,1.19,210.74,745.6,0.42,7.61,7.39,15.13,14.02,10.5,0.83,35.52,09-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
09-Jan-2020 - 00:00,33.15,57.86,28.8,27.96,199.31,75.45,1.25,197.98,764.95,0.0,8.13,11.3,24.27,22.05,10.38,1.0,40.15,10-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
10-Jan-2020 - 00:00,46.57,68.6,28.19,28.11,142.02,77.21,1.0,169.31,748.66,0.0,8.5,9.83,25.33,20.95,10.39,1.07,34.04,11-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
