from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,AT,WS,WD,RH,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
03-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
04-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
05-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
06-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
07-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
08-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
09-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
10-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
11-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
12-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
13-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
14-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
15-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
16-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
17-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
18-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
19-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
20-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
