from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,AT,WS,WD,RH,BP,SR,RF,to date,station
21-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
22-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
23-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
24-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
25-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
26-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
27-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
28-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,29-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
29-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,30-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
30-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,31-Jan-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
31-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,01-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
01-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
02-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
03-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
04-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
05-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
06-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
07-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
08-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
09-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
10-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
11-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
12-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
13-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
14-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
15-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
16-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
17-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
18-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
19-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
20-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
21-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
22-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
23-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
24-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
25-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
26-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
27-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
28-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,29-Feb-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
29-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,01-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
01-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
02-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
03-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
04-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
05-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
06-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
07-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
08-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
09-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
10-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
11-Mar-2020 - 00:00,32.03,46.71,2.75,11.94,7.08,26.61,4.53,0.61,4.81,0.03,0.29,0.07,0.03,22.41,1.06,169.0,41.48,881.36,511.63,0.13,12-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
12-Mar-2020 - 00:00,31.81,39.37,1.27,10.66,7.2,25.77,4.24,0.56,3.57,0.01,0.07,0.04,0.02,22.33,0.88,177.37,51.77,886.23,396.57,0.04,13-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
13-Mar-2020 - 00:00,38.34,46.71,0.95,10.4,7.2,29.11,4.45,0.56,0.19,0.0,0.0,0.0,0.0,23.04,1.28,169.4,55.23,883.01,416.44,0.09,14-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
14-Mar-2020 - 00:00,43.14,50.79,1.07,10.46,7.14,29.0,4.54,0.58,0.45,0.0,0.0,0.0,0.0,23.34,1.55,159.51,54.86,881.17,411.31,0.13,15-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
15-Mar-2020 - 00:00,34.08,41.55,0.35,9.72,7.09,28.5,4.63,0.47,0.37,0.0,0.0,0.0,0.0,23.5,1.4,189.3,53.26,881.33,348.35,0.21,16-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
16-Mar-2020 - 00:00,26.1,33.33,2.42,7.69,5.46,23.76,4.73,0.49,12.15,0.14,0.74,0.5,0.24,22.22,1.04,204.29,50.0,880.62,373.15,0.17,17-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
17-Mar-2020 - 00:00,27.82,36.74,2.04,3.58,3.07,24.47,4.81,0.49,6.04,0.25,1.34,0.94,0.48,20.96,0.99,185.7,50.89,884.81,354.9,0.06,18-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
18-Mar-2020 - 00:00,31.93,41.92,1.51,5.23,3.0,23.38,5.08,0.47,8.73,0.24,1.18,0.86,0.44,19.98,0.95,178.5,54.57,886.81,407.45,0.08,19-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
19-Mar-2020 - 00:00,44.27,54.03,1.32,4.97,2.97,23.44,5.29,0.48,10.1,0.26,1.11,0.79,0.38,21.28,1.01,174.49,53.19,876.45,365.03,0.05,20-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
20-Mar-2020 - 00:00,34.89,43.21,0.82,4.62,3.01,24.91,5.35,0.49,6.46,3.36,4.22,0.79,0.41,21.09,1.01,173.29,50.62,883.15,337.06,0.03,21-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
21-Mar-2020 - 00:00,51.23,59.84,0.84,4.58,3.01,23.76,5.55,0.5,8.02,41.09,41.73,0.35,0.15,19.28,0.9,195.53,64.56,885.21,291.08,0.05,22-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
22-Mar-2020 - 00:00,33.36,40.45,0.13,3.65,2.92,18.46,5.4,0.36,5.63,7.26,7.87,0.41,0.19,18.43,1.05,177.18,65.42,886.69,205.6,0.06,23-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
23-Mar-2020 - 00:00,36.16,42.56,0.16,3.73,2.99,20.25,5.67,0.33,5.76,29.61,29.16,0.07,0.0,19.4,0.9,158.24,65.65,879.83,241.38,0.09,24-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
24-Mar-2020 - 00:00,48.93,58.28,0.14,3.65,2.95,20.27,6.16,0.37,5.65,0.34,0.36,0.46,0.16,19.28,0.92,169.38,62.93,879.25,246.08,0.15,25-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
25-Mar-2020 - 00:00,52.64,61.69,0.17,3.77,2.97,25.7,6.78,0.44,6.42,0.23,0.84,0.65,0.38,21.5,1.19,158.03,58.7,881.89,418.91,0.07,26-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
26-Mar-2020 - 00:00,54.57,62.37,0.14,3.69,2.96,25.38,6.81,0.42,5.89,0.25,0.92,0.69,0.42,21.69,0.97,179.92,61.24,876.86,228.2,0.26,27-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
27-Mar-2020 - 00:00,44.31,53.53,0.11,3.59,2.94,28.69,7.36,0.4,6.44,0.22,0.81,0.64,0.39,23.93,1.11,175.28,53.21,886.78,445.48,0.09,28-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
28-Mar-2020 - 00:00,51.79,60.82,0.37,3.9,2.91,29.74,7.7,0.44,8.88,0.23,0.65,0.53,0.32,23.91,1.5,238.18,53.35,878.46,354.44,0.11,29-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
29-Mar-2020 - 00:00,34.38,41.6,0.13,3.63,2.93,28.55,7.8,0.36,7.8,0.19,0.6,0.49,0.3,23.89,1.28,222.18,50.01,878.16,394.67,0.08,30-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
30-Mar-2020 - 00:00,38.66,47.03,0.25,3.78,2.93,29.02,7.65,0.42,7.39,0.19,0.73,0.57,0.34,23.69,1.18,213.21,36.57,882.76,470.2,0.03,31-Mar-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
31-Mar-2020 - 00:00,28.25,35.19,0.27,3.84,2.94,31.11,7.92,0.4,6.76,0.18,0.8,0.64,0.39,23.8,1.23,181.81,31.92,878.18,438.69,0.12,01-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
01-Apr-2020 - 00:00,39.95,50.75,0.23,3.9,2.99,33.02,8.08,0.46,5.99,21.62,22.22,0.45,0.28,23.92,0.83,164.48,33.31,881.34,405.99,0.08,02-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
02-Apr-2020 - 00:00,36.02,48.41,0.25,3.86,2.92,32.3,8.36,0.39,9.6,0.15,0.54,0.27,0.15,23.56,1.89,200.96,47.71,878.38,321.52,0.08,03-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
03-Apr-2020 - 00:00,28.93,38.63,0.21,3.75,2.9,23.06,8.24,0.28,10.94,0.08,0.46,0.35,0.2,22.3,2.24,193.02,58.45,883.29,380.24,0.08,04-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
04-Apr-2020 - 00:00,24.51,42.67,0.26,3.79,2.98,22.02,8.2,0.26,10.6,0.08,0.44,0.36,0.19,22.78,1.28,211.99,56.97,880.21,406.61,0.11,05-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
05-Apr-2020 - 00:00,26.29,33.07,0.08,3.49,2.95,26.01,8.77,0.31,6.03,10.03,10.51,0.45,0.26,22.95,1.59,186.72,55.97,878.55,339.79,0.12,06-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
06-Apr-2020 - 00:00,35.64,44.47,0.15,3.69,2.96,25.04,8.51,0.32,7.87,0.12,0.51,0.44,0.25,23.15,1.46,225.84,57.27,881.48,348.76,0.09,07-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
07-Apr-2020 - 00:00,32.88,41.87,0.31,3.86,2.91,22.73,8.77,0.29,13.51,0.12,0.38,0.32,0.18,23.82,2.08,240.11,50.31,883.86,427.71,0.05,08-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
08-Apr-2020 - 00:00,25.04,31.99,0.19,3.75,2.97,23.5,8.68,0.28,9.71,0.08,0.41,0.36,0.19,23.37,1.9,212.94,37.57,883.68,193.57,0.07,09-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
09-Apr-2020 - 00:00,39.15,45.79,0.31,4.56,3.39,23.31,7.65,0.39,7.36,6.27,6.68,0.44,0.24,24.04,1.2,190.27,51.15,883.9,315.44,0.09,10-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
10-Apr-2020 - 00:00,37.91,45.19,0.13,5.68,4.4,28.08,4.53,0.41,5.63,0.16,0.71,0.56,0.33,24.25,1.03,185.24,55.67,882.31,274.23,0.12,11-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
11-Apr-2020 - 00:00,29.25,34.86,0.18,5.76,4.37,29.99,4.77,0.37,7.04,0.15,0.7,0.57,0.33,24.57,1.19,168.48,51.88,888.16,388.63,0.04,12-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
12-Apr-2020 - 00:00,21.95,27.99,0.12,5.6,4.33,26.26,4.56,0.28,8.16,4.35,4.7,0.36,0.2,23.2,1.66,170.61,50.96,879.25,391.74,0.08,13-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
13-Apr-2020 - 00:00,28.61,33.58,0.39,8.67,6.42,28.58,5.32,0.36,10.51,9.22,9.68,0.35,0.19,23.82,0.98,187.85,49.19,882.19,340.1,0.05,14-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
14-Apr-2020 - 00:00,46.81,50.29,0.45,14.2,10.36,31.26,5.67,0.47,3.48,7.45,7.92,0.31,0.18,25.52,1.14,178.07,51.82,880.32,390.7,0.18,15-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
15-Apr-2020 - 00:00,40.15,48.7,0.52,15.65,11.4,30.09,5.69,0.42,0.77,0.91,1.41,0.5,0.29,24.13,1.61,158.8,62.25,883.89,349.41,0.06,16-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
16-Apr-2020 - 00:00,22.84,28.37,0.33,15.49,11.4,23.52,5.55,0.28,0.9,3.94,4.39,0.31,0.16,22.59,1.83,188.58,69.11,883.54,364.89,0.07,17-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
17-Apr-2020 - 00:00,14.15,19.28,0.37,15.51,11.4,14.43,5.41,0.21,2.52,0.04,0.33,0.28,0.12,18.28,2.61,151.52,79.43,884.35,197.07,0.06,18-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
18-Apr-2020 - 00:00,18.99,24.72,0.23,15.36,11.45,17.74,6.07,0.24,1.26,0.05,0.32,0.28,0.14,21.04,1.94,180.08,64.86,886.15,375.49,0.07,19-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
19-Apr-2020 - 00:00,9.92,14.55,0.11,15.21,11.43,19.3,6.46,0.22,1.38,0.03,0.34,0.31,0.16,23.08,1.77,185.6,63.17,881.67,451.05,0.09,20-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
20-Apr-2020 - 00:00,10.77,19.9,0.91,16.02,11.48,19.11,6.79,0.26,9.35,1.13,1.52,0.28,0.13,20.1,1.77,156.97,74.95,881.35,15.15,0.01,21-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
21-Apr-2020 - 00:00,9.49,21.36,0.79,15.94,11.55,16.48,6.63,0.27,8.58,9.46,9.82,0.19,0.09,,,,,,,0.0,22-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
22-Apr-2020 - 00:00,8.5,11.43,0.34,15.47,11.46,15.83,6.63,0.24,1.8,0.05,0.44,0.38,0.18,,,,,,,0.0,23-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
23-Apr-2020 - 00:00,10.27,14.32,0.26,15.5,11.56,16.57,6.96,0.26,1.8,0.06,0.48,0.39,0.2,,,,,,,0.0,24-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
24-Apr-2020 - 00:00,5.7,9.93,0.34,15.57,11.53,12.36,6.8,0.21,1.28,0.03,0.31,0.28,0.13,,,,,,,0.0,25-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
25-Apr-2020 - 00:00,2.83,5.57,0.2,15.01,11.52,17.23,7.47,0.19,0.71,6.29,6.57,0.26,0.12,,,,,,,0.0,26-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
26-Apr-2020 - 00:00,2.24,4.25,0.13,15.24,11.54,12.41,6.97,0.18,1.22,6.7,6.95,0.26,0.11,,,,,,,0.0,27-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
27-Apr-2020 - 00:00,5.44,10.14,0.27,15.58,11.62,18.0,7.19,0.25,0.39,8.72,9.14,0.35,0.17,,,,,,,0.0,28-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
28-Apr-2020 - 00:00,3.65,7.74,0.19,15.59,11.69,16.79,6.98,0.26,,6.49,7.0,0.35,0.18,,,,,,,0.0,29-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
29-Apr-2020 - 00:00,3.81,6.79,0.18,15.4,11.61,15.33,7.24,0.21,,7.55,7.91,0.2,0.1,,,,,,,0.0,30-Apr-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
30-Apr-2020 - 00:00,4.94,9.14,0.31,15.65,11.7,14.5,6.55,0.24,1.55,10.1,10.68,0.28,0.13,,,,,,,0.0,01-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
01-May-2020 - 00:00,7.82,13.04,0.37,15.71,11.69,18.37,6.48,0.3,1.61,0.06,0.75,0.53,0.26,,,,,,,0.0,02-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
02-May-2020 - 00:00,8.18,12.88,0.24,15.48,11.59,16.53,6.45,0.27,0.08,10.64,11.26,0.32,0.17,,,,,,,0.0,03-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
03-May-2020 - 00:00,5.48,9.93,0.08,15.15,11.54,14.56,6.43,0.19,,10.54,10.9,0.32,0.17,,,,,,,0.0,04-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
04-May-2020 - 00:00,6.74,12.21,0.23,15.43,11.56,15.72,6.96,0.23,0.46,18.24,18.67,0.32,0.15,,,,,,,0.0,05-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
05-May-2020 - 00:00,9.84,14.54,0.25,15.58,11.58,18.78,7.61,0.27,0.18,4.68,5.14,0.42,0.21,,,,,,,0.0,06-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
06-May-2020 - 00:00,6.24,8.5,0.68,16.55,13.16,15.07,7.36,0.24,3.71,1.73,2.22,0.38,0.19,,,,,,,0.0,07-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
07-May-2020 - 00:00,4.26,7.45,0.19,15.43,11.51,19.74,8.06,0.27,0.2,5.41,6.12,0.38,0.21,,,,,,,0.0,08-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
08-May-2020 - 00:00,13.78,17.65,0.51,15.76,11.52,22.46,8.52,0.32,3.24,13.3,13.85,0.42,0.23,,,,,,,0.0,09-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
09-May-2020 - 00:00,13.46,19.03,0.34,15.64,11.53,28.21,8.59,0.37,0.34,0.07,1.01,0.5,0.4,,,,,,,0.0,10-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
10-May-2020 - 00:00,16.34,20.51,0.09,15.21,11.47,32.74,8.62,0.31,0.06,0.06,0.8,0.6,0.38,,,,,,,0.0,11-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
11-May-2020 - 00:00,25.44,31.88,0.72,15.99,11.55,29.71,8.91,0.4,9.5,7.19,8.16,0.52,0.3,,,,,,,0.0,12-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
12-May-2020 - 00:00,28.34,33.93,0.45,15.73,11.51,29.97,8.9,0.42,0.26,0.12,1.02,0.7,0.37,,,,,,,0.0,13-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
13-May-2020 - 00:00,22.96,28.26,0.61,15.86,11.5,20.58,8.39,0.36,1.83,4.57,5.1,0.45,0.22,,,,,,,0.0,14-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
14-May-2020 - 00:00,21.1,25.13,0.64,15.86,11.46,24.1,9.1,0.33,8.81,4.47,4.89,0.29,0.13,,,,,,,0.0,15-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
