from date,PM10,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM2.5,NH3,SO2,Benzene,Toluene,MP-Xylene,Eth-Benzene,to date,station
01-Jan-2020 - 00:00,541.86,69.11,160.49,76.5,29.42,184.55,118.46,212.95,17.85,8.96,6.22,0.11,0.0,446.66,75.42,20.69,23.31,117.2,41.15,36.3,02-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
02-Jan-2020 - 00:00,437.62,79.79,167.2,74.04,26.41,201.28,129.56,229.06,19.7,10.78,6.04,0.12,0.0,333.18,80.01,21.78,22.62,135.26,47.82,41.37,03-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
03-Jan-2020 - 00:00,440.96,70.52,195.8,73.96,24.41,168.73,104.47,189.88,18.76,11.96,4.49,0.09,0.0,313.85,68.54,16.59,17.28,167.46,41.14,39.56,04-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
04-Jan-2020 - 00:00,313.85,38.68,252.77,71.44,27.5,93.72,79.32,116.71,26.47,11.81,2.92,0.12,0.0,203.45,47.02,10.34,11.53,78.46,20.75,21.49,05-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
05-Jan-2020 - 00:00,262.31,19.9,230.86,65.85,26.4,37.3,55.07,58.91,32.85,11.54,1.3,0.12,0.0,174.5,29.95,5.14,7.2,47.16,11.78,11.21,06-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
06-Jan-2020 - 00:00,282.89,29.89,205.57,65.78,25.85,54.8,67.85,79.27,22.83,12.06,1.72,0.12,0.0,162.7,36.0,6.4,7.14,43.11,14.89,22.43,07-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
07-Jan-2020 - 00:00,203.2,19.5,306.45,75.67,24.68,22.33,42.96,40.56,18.65,12.24,1.24,0.12,0.0,115.44,24.58,5.25,6.3,33.09,10.08,10.73,08-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
08-Jan-2020 - 00:00,151.14,15.06,230.75,89.52,15.74,23.38,35.63,38.12,20.29,11.17,1.05,0.12,0.01,122.97,23.84,4.6,5.77,31.49,8.17,7.94,09-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
09-Jan-2020 - 00:00,122.33,9.25,266.42,77.22,31.94,8.17,36.01,25.59,28.78,9.16,0.54,0.18,0.02,88.41,20.12,5.15,3.65,21.87,5.8,5.28,10-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
10-Jan-2020 - 00:00,208.86,16.49,267.12,76.48,27.44,28.29,51.16,47.94,32.52,9.05,1.44,0.16,0.01,134.73,26.75,7.25,6.61,30.26,8.83,9.25,11-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
11-Jan-2020 - 00:00,270.12,26.53,255.49,65.68,27.62,48.07,68.12,77.11,31.77,10.23,2.17,0.12,0.0,159.44,35.33,9.55,8.75,44.11,14.06,13.39,12-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
12-Jan-2020 - 00:00,367.7,36.64,261.83,68.8,23.27,109.99,89.03,132.36,30.68,11.15,3.56,0.11,0.0,226.41,51.5,12.41,12.38,66.96,19.37,18.77,13-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
13-Jan-2020 - 00:00,409.5,38.13,251.63,75.16,31.76,71.9,75.34,94.48,23.48,12.06,3.21,0.12,0.0,233.37,41.18,13.38,10.91,68.17,20.64,20.6,14-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
14-Jan-2020 - 00:00,167.43,13.84,224.86,77.49,35.54,11.98,43.78,32.7,26.59,11.24,0.96,0.11,0.0,114.02,22.21,8.59,6.3,40.42,8.68,8.69,15-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
15-Jan-2020 - 00:00,175.81,18.73,186.98,73.11,30.45,18.82,56.68,44.86,28.03,11.24,1.18,0.08,0.0,106.49,25.77,8.18,6.72,53.17,11.62,12.22,16-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
16-Jan-2020 - 00:00,191.93,19.67,194.0,80.49,30.55,20.4,51.61,43.23,20.6,10.48,1.15,0.09,0.0,136.3,25.36,8.47,7.64,55.73,12.28,12.65,17-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
17-Jan-2020 - 00:00,127.45,16.79,225.8,83.18,35.83,16.85,43.99,36.71,25.65,11.22,1.0,0.12,0.0,89.95,23.52,8.06,6.92,49.81,10.23,10.86,18-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
18-Jan-2020 - 00:00,196.06,21.09,253.62,79.54,32.07,27.99,58.87,53.81,28.92,10.85,1.5,0.1,0.0,131.19,28.48,8.86,8.68,61.33,12.23,14.05,19-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
19-Jan-2020 - 00:00,181.46,10.48,271.1,77.69,32.24,5.66,36.7,23.98,40.35,9.2,0.7,0.19,0.0,132.97,19.69,6.3,4.85,27.96,6.82,6.77,20-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
20-Jan-2020 - 00:00,221.93,16.05,243.47,80.83,35.68,31.15,44.37,49.2,28.87,9.85,1.52,0.14,0.0,141.63,26.81,5.95,6.49,30.91,8.75,7.89,21-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
21-Jan-2020 - 00:00,352.1,34.96,264.78,77.75,37.51,48.73,57.64,70.45,23.86,11.58,2.68,0.11,0.0,206.75,33.32,9.82,10.12,61.49,17.85,18.76,22-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
22-Jan-2020 - 00:00,301.7,30.92,233.04,80.57,32.87,57.31,60.65,77.8,25.25,10.51,2.48,0.13,0.0,209.2,35.42,11.03,11.46,67.92,18.49,18.02,23-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
23-Jan-2020 - 00:00,124.54,9.67,270.27,58.47,24.85,4.2,35.32,22.05,39.47,11.09,0.35,0.27,0.0,66.55,19.1,5.52,2.72,28.72,7.6,6.28,24-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
24-Jan-2020 - 00:00,156.59,10.49,267.88,54.57,25.57,18.44,42.34,37.12,48.78,10.99,0.75,0.27,0.0,70.67,23.51,6.24,3.35,23.14,6.11,5.19,25-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
25-Jan-2020 - 00:00,305.04,29.86,245.47,63.31,27.47,62.43,70.32,86.95,33.01,10.96,2.21,0.1,0.0,135.83,38.14,9.53,7.03,56.07,15.01,16.29,26-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
26-Jan-2020 - 00:00,271.2,37.16,254.87,67.59,29.08,85.58,71.05,103.33,36.42,11.62,2.8,0.12,0.0,171.73,42.91,11.58,11.74,80.15,20.53,19.91,27-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
27-Jan-2020 - 00:00,360.88,38.77,234.47,69.21,32.91,89.04,82.35,116.11,21.32,12.75,3.22,0.1,0.0,211.94,46.63,11.86,10.75,71.85,18.99,19.52,28-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
