from date,to date,station
01-Jan-2020 - 00:00,02-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
02-Jan-2020 - 00:00,03-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
03-Jan-2020 - 00:00,04-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
04-Jan-2020 - 00:00,05-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
05-Jan-2020 - 00:00,06-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
06-Jan-2020 - 00:00,07-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
07-Jan-2020 - 00:00,08-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
08-Jan-2020 - 00:00,09-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
09-Jan-2020 - 00:00,10-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
10-Jan-2020 - 00:00,11-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
11-Jan-2020 - 00:00,12-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
12-Jan-2020 - 00:00,13-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
13-Jan-2020 - 00:00,14-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
14-Jan-2020 - 00:00,15-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
15-Jan-2020 - 00:00,16-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
16-Jan-2020 - 00:00,17-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
17-Jan-2020 - 00:00,18-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
18-Jan-2020 - 00:00,19-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
19-Jan-2020 - 00:00,20-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
20-Jan-2020 - 00:00,21-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
21-Jan-2020 - 00:00,22-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
22-Jan-2020 - 00:00,23-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
23-Jan-2020 - 00:00,24-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
24-Jan-2020 - 00:00,25-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
25-Jan-2020 - 00:00,26-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
26-Jan-2020 - 00:00,27-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
27-Jan-2020 - 00:00,28-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
28-Jan-2020 - 00:00,29-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
29-Jan-2020 - 00:00,30-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
30-Jan-2020 - 00:00,31-Jan-2020 - 00:00,"Burari Crossing, Delhi - IMD"
31-Jan-2020 - 00:00,01-Feb-2020 - 00:00,"Burari Crossing, Delhi - IMD"
01-Feb-2020 - 00:00,02-Feb-2020 - 00:00,"Burari Crossing, Delhi - IMD"
02-Feb-2020 - 00:00,03-Feb-2020 - 00:00,"Burari Crossing, Delhi - IMD"
03-Feb-2020 - 00:00,04-Feb-2020 - 00:00,"Burari Crossing, Delhi - IMD"
04-Feb-2020 - 00:00,05-Feb-2020 - 00:00,"Burari Crossing, Delhi - IMD"
05-Feb-2020 - 00:00,06-Feb-2020 - 00:00,"Burari Crossing, Delhi - IMD"
06-Feb-2020 - 00:00,07-Feb-2020 - 00:00,"Burari Crossing, Delhi - IMD"
07-Feb-2020 - 00:00,08-Feb-2020 - 00:00,"Burari Crossing, Delhi - IMD"
08-Feb-2020 - 00:00,09-Feb-2020 - 00:00,"Burari Crossing, Delhi - IMD"
09-Feb-2020 - 00:00,10-Feb-2020 - 00:00,"Burari Crossing, Delhi - IMD"
10-Feb-2020 - 00:00,11-Feb-2020 - 00:00,"Burari Crossing, Delhi - IMD"
11-Feb-2020 - 00:00,12-Feb-2020 - 00:00,"Burari Crossing, Delhi - IMD"
