from date,NO,NO2,NOx,CO,SO2,PM10,PM2.5,WS,WD,RH,SR,BP,RF,to date,station
17-May-2020 - 00:00,14.88,18.0,32.89,0.52,8.8,80.32,31.57,5.01,292.55,47.99,819.99,972.6,,18-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-May-2020 - 00:00,14.73,18.45,33.18,0.55,9.48,111.19,51.3,4.73,272.67,40.25,818.23,972.32,,19-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-May-2020 - 00:00,14.67,18.33,32.96,0.66,16.23,97.13,32.38,4.57,271.01,41.4,812.59,971.99,,20-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-May-2020 - 00:00,14.62,18.36,32.99,0.57,8.48,63.67,19.45,5.07,244.8,42.54,806.69,972.12,,21-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-May-2020 - 00:00,14.3,18.31,32.6,0.57,10.12,75.99,20.13,5.16,259.27,41.89,814.32,971.11,,22-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-May-2020 - 00:00,14.8,18.22,33.03,0.64,8.8,104.03,28.62,5.02,204.72,41.78,811.28,970.78,,23-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-May-2020 - 00:00,14.54,18.11,32.65,0.57,10.2,153.43,43.73,4.9,192.55,40.54,815.32,971.31,,24-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-May-2020 - 00:00,14.49,18.19,32.68,0.61,10.92,41.56,15.91,5.11,288.12,42.22,821.44,972.23,,25-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-May-2020 - 00:00,14.9,18.22,33.12,0.58,9.31,46.58,26.62,5.62,245.85,42.94,832.78,971.61,,26-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-May-2020 - 00:00,14.71,18.18,32.89,0.47,8.98,56.59,26.3,5.06,215.27,40.53,832.94,970.65,,27-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-May-2020 - 00:00,14.6,18.34,32.94,0.49,8.56,63.29,30.49,4.63,181.24,38.37,827.35,969.65,,28-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
28-May-2020 - 00:00,14.38,18.29,32.66,0.45,7.82,100.68,37.23,4.73,124.07,42.23,808.36,969.48,,29-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
29-May-2020 - 00:00,14.82,18.13,32.94,0.52,7.13,116.02,26.24,4.82,121.71,52.46,788.38,971.7,,30-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
30-May-2020 - 00:00,14.64,18.2,32.85,1.2,7.95,71.14,21.31,5.06,178.82,56.74,795.6,973.32,,31-May-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
31-May-2020 - 00:00,14.67,18.18,32.84,0.3,5.41,64.97,19.85,4.82,153.85,61.69,788.05,974.4,,01-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
01-Jun-2020 - 00:00,14.8,18.3,33.1,0.28,5.39,78.98,15.96,4.56,135.62,57.7,792.94,974.73,,02-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Jun-2020 - 00:00,14.65,18.24,32.88,0.31,16.22,72.4,6.07,4.34,191.13,53.16,796.88,973.91,,03-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Jun-2020 - 00:00,14.72,18.18,32.9,0.35,38.62,96.12,7.59,4.86,146.73,51.74,792.66,972.88,,04-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Jun-2020 - 00:00,14.64,18.2,32.84,0.4,23.56,144.97,8.46,4.36,198.76,50.48,801.48,972.28,,05-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Jun-2020 - 00:00,14.76,18.3,33.06,0.36,22.96,63.59,5.87,4.82,143.12,49.13,795.13,971.98,,06-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Jun-2020 - 00:00,14.51,18.17,32.69,0.35,13.83,77.92,9.31,3.9,127.97,52.4,796.35,971.85,,07-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Jun-2020 - 00:00,14.88,18.28,33.17,0.36,11.47,58.23,5.32,4.32,165.77,53.83,802.62,971.76,,08-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Jun-2020 - 00:00,14.63,18.27,32.9,0.36,26.09,65.26,6.02,4.97,210.92,51.03,814.13,971.43,,09-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Jun-2020 - 00:00,14.2,18.32,32.52,0.35,11.92,87.84,9.11,5.0,190.84,48.85,816.9,971.42,,10-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Jun-2020 - 00:00,14.84,17.98,32.82,0.37,12.31,73.88,10.76,5.1,151.11,47.89,805.58,971.4,,11-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-Jun-2020 - 00:00,,,,,,,,,,,,,,12-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-Jun-2020 - 00:00,,,,,,,,,,,,,,13-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-Jun-2020 - 00:00,14.43,18.14,32.57,0.27,10.94,67.38,23.88,4.86,226.65,44.13,819.29,970.37,,14-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
14-Jun-2020 - 00:00,14.33,18.4,32.73,0.38,11.1,60.53,23.27,4.65,204.69,49.25,815.04,971.01,,15-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-Jun-2020 - 00:00,14.48,18.22,32.7,0.42,17.22,47.63,21.69,4.78,260.82,44.71,821.17,969.9,,16-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-Jun-2020 - 00:00,15.15,17.6,32.75,0.45,20.04,49.14,20.4,4.76,185.88,44.57,818.7,968.53,,17-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-Jun-2020 - 00:00,15.16,17.31,32.47,0.53,15.13,50.79,24.0,5.11,153.37,43.65,831.74,968.08,,18-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-Jun-2020 - 00:00,15.51,17.4,32.92,0.52,21.63,62.99,27.95,5.51,168.7,46.59,848.85,968.44,,19-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-Jun-2020 - 00:00,13.93,18.4,32.33,0.44,23.84,88.15,38.06,4.63,191.45,46.33,845.68,969.48,,20-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-Jun-2020 - 00:00,14.55,17.89,32.39,0.39,19.54,83.83,31.73,5.39,215.72,51.3,839.45,970.04,,21-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-Jun-2020 - 00:00,14.14,17.91,32.06,0.3,8.79,46.12,15.09,5.36,177.26,50.6,834.59,970.14,,22-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-Jun-2020 - 00:00,14.32,18.6,32.91,0.3,9.83,38.53,15.23,4.97,140.2,51.51,833.91,970.16,,23-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-Jun-2020 - 00:00,15.06,17.91,32.98,0.36,9.99,36.26,9.15,5.51,122.98,53.26,842.21,971.23,,24-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-Jun-2020 - 00:00,14.39,18.4,32.79,0.31,8.56,33.06,7.22,4.91,110.9,58.06,832.49,971.82,,25-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-Jun-2020 - 00:00,14.55,18.17,32.72,0.48,2.84,20.74,7.66,5.78,167.47,68.21,831.21,971.12,,26-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-Jun-2020 - 00:00,14.38,18.14,32.52,0.35,7.43,46.83,9.0,7.31,208.14,66.62,841.73,970.58,,27-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-Jun-2020 - 00:00,14.81,18.18,32.99,0.3,19.06,52.07,13.95,7.64,224.27,65.97,853.0,969.72,,28-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
28-Jun-2020 - 00:00,14.55,18.37,32.89,0.38,13.91,83.18,22.4,6.68,160.47,59.76,848.57,969.16,,29-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
29-Jun-2020 - 00:00,14.34,18.46,32.32,0.59,12.09,79.99,25.78,5.04,139.11,56.31,827.36,970.43,0.02,30-Jun-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
30-Jun-2020 - 00:00,,,,,,,,5.03,122.22,63.3,813.16,971.07,,01-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
01-Jul-2020 - 00:00,,,,,,,,4.87,154.04,59.9,821.0,970.63,,02-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Jul-2020 - 00:00,,,,,,,,5.73,240.62,56.95,832.56,969.37,,03-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Jul-2020 - 00:00,15.55,18.4,33.67,0.91,62.74,59.7,28.61,5.27,251.5,51.64,832.17,968.76,,04-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Jul-2020 - 00:00,15.29,18.59,33.88,0.67,3.72,43.33,17.63,4.68,128.25,59.12,809.26,968.66,,05-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Jul-2020 - 00:00,,,,,,,,4.71,145.42,66.44,801.47,969.82,,06-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Jul-2020 - 00:00,,,,,,,,4.31,114.44,66.96,817.21,969.83,,07-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Jul-2020 - 00:00,,,,,,,,4.33,110.25,63.57,811.36,970.89,,08-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Jul-2020 - 00:00,21.65,17.98,33.69,0.11,84.62,26.61,8.18,0.72,109.14,69.4,797.24,971.48,,09-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Jul-2020 - 00:00,,,,,,,,,,66.82,820.51,969.8,,10-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Jul-2020 - 00:00,15.57,18.57,33.91,0.61,31.76,29.92,13.11,,,61.66,831.72,968.63,,11-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-Jul-2020 - 00:00,14.4,18.35,32.73,0.54,18.59,25.32,5.78,,,66.67,811.13,968.56,,12-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-Jul-2020 - 00:00,14.95,18.46,33.22,0.63,3.99,10.05,2.81,,,69.68,782.75,969.92,,13-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-Jul-2020 - 00:00,15.25,18.5,33.65,0.7,5.59,26.14,6.92,,,66.11,808.31,970.2,,14-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
14-Jul-2020 - 00:00,14.71,18.28,32.99,0.57,7.67,40.62,12.39,,,64.12,820.38,970.45,,15-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-Jul-2020 - 00:00,14.48,18.98,33.46,0.58,6.72,37.59,18.56,,,65.33,813.83,970.74,,16-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-Jul-2020 - 00:00,15.08,18.1,33.18,0.57,6.16,30.38,17.17,,,66.99,816.35,970.35,,17-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-Jul-2020 - 00:00,14.71,18.21,32.92,0.61,5.74,27.56,14.98,,,69.08,818.27,970.69,,18-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-Jul-2020 - 00:00,14.74,18.09,32.83,0.57,7.54,33.91,20.27,,,67.77,822.12,971.06,,19-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-Jul-2020 - 00:00,14.62,18.35,32.95,0.55,7.21,22.5,11.35,,,66.92,817.56,970.29,,20-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-Jul-2020 - 00:00,14.51,18.58,33.09,0.5,6.85,11.45,2.08,,,67.14,802.89,969.41,,21-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-Jul-2020 - 00:00,14.21,18.16,32.27,0.57,8.99,8.2,2.77,,,69.83,788.68,970.95,,22-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-Jul-2020 - 00:00,14.77,18.04,32.75,0.55,8.03,14.7,6.61,,,68.01,808.96,971.85,,23-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-Jul-2020 - 00:00,14.9,18.26,33.12,0.6,6.92,20.66,12.37,,,66.38,816.78,971.25,,24-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-Jul-2020 - 00:00,14.83,18.41,33.07,0.56,10.17,30.54,23.51,,,67.35,811.59,972.63,,25-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-Jul-2020 - 00:00,14.59,18.4,32.95,0.7,8.79,27.54,15.2,,,68.47,810.45,973.61,,26-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-Jul-2020 - 00:00,14.51,18.36,32.78,0.6,7.15,29.53,18.94,,,67.83,824.48,973.41,,27-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-Jul-2020 - 00:00,14.36,19.12,33.45,0.55,8.25,25.1,17.15,,,66.89,840.05,971.99,,28-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
28-Jul-2020 - 00:00,14.73,17.94,32.67,0.53,7.42,21.78,8.4,,,64.36,832.7,970.59,,29-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
29-Jul-2020 - 00:00,14.63,18.2,32.78,0.52,7.1,31.7,11.15,,,65.18,829.17,970.38,,30-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
30-Jul-2020 - 00:00,14.69,17.84,32.52,0.6,5.45,18.77,9.12,,,68.62,805.77,971.95,0.02,31-Jul-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
31-Jul-2020 - 00:00,,,,,,,,,,,,,,01-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
01-Aug-2020 - 00:00,,,,,,,,,,,,,,02-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Aug-2020 - 00:00,,,,,,,,,,,,,,03-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Aug-2020 - 00:00,,,,,,,,,,,,,,04-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Aug-2020 - 00:00,,,,,,,,,,,,,,05-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Aug-2020 - 00:00,,,,,,,,,,,,,,06-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Aug-2020 - 00:00,,,,,,,,,,,,,,07-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Aug-2020 - 00:00,,,,,,,,,,,,,,08-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Aug-2020 - 00:00,,,,,,,,,,,,,,09-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Aug-2020 - 00:00,,,,,,,,,,,,,,10-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Aug-2020 - 00:00,,,,,,,,,,,,,,11-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-Aug-2020 - 00:00,,,,,,,,,,,,,,12-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-Aug-2020 - 00:00,,,,,,,,,,,,,,13-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-Aug-2020 - 00:00,14.82,18.39,33.13,0.62,5.52,72.93,,,,68.57,816.1,968.7,,14-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
14-Aug-2020 - 00:00,14.58,18.04,32.61,0.58,6.56,22.68,5.99,,,68.85,809.75,969.2,,15-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-Aug-2020 - 00:00,14.7,18.23,32.93,0.54,6.74,44.19,7.17,,,67.4,813.51,969.12,,16-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-Aug-2020 - 00:00,14.61,18.29,32.9,0.55,7.03,57.65,9.95,,,68.23,819.67,969.31,,17-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-Aug-2020 - 00:00,14.52,18.8,33.3,0.58,7.38,65.07,7.09,,,68.1,819.59,969.36,,18-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-Aug-2020 - 00:00,14.85,18.38,33.22,0.58,6.56,42.67,5.45,,,68.81,823.99,969.75,,19-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-Aug-2020 - 00:00,14.76,17.82,32.58,0.57,6.16,42.41,4.26,,,68.37,822.14,969.5,,20-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-Aug-2020 - 00:00,,,,,,,,,,,,,,21-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-Aug-2020 - 00:00,,,,,,,,,,,,,,22-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-Aug-2020 - 00:00,,,,,,,,,,,,,,23-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-Aug-2020 - 00:00,,,,,,,,,,,,,,24-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-Aug-2020 - 00:00,,,,,,,,,,,,,,25-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-Aug-2020 - 00:00,,,,,,,,,,,,,,26-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-Aug-2020 - 00:00,14.68,18.54,33.22,0.54,6.89,87.59,6.18,,,69.34,817.88,972.7,,27-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-Aug-2020 - 00:00,14.83,18.52,33.35,0.52,6.64,42.56,5.13,,,69.14,816.85,972.55,,28-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
28-Aug-2020 - 00:00,14.77,18.65,33.22,0.5,6.31,22.33,4.31,,,69.58,813.34,971.72,,29-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
29-Aug-2020 - 00:00,14.74,18.05,32.78,0.55,6.81,29.59,10.55,,,69.15,811.23,971.59,,30-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
30-Aug-2020 - 00:00,14.87,18.2,33.08,0.57,6.52,45.6,16.13,,,68.42,807.79,971.51,,31-Aug-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
31-Aug-2020 - 00:00,14.72,18.21,32.92,1.06,10.24,77.94,16.61,,,69.66,805.29,971.8,,01-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
01-Sep-2020 - 00:00,14.73,18.38,33.1,1.66,7.01,21.36,3.25,,,69.41,809.01,972.84,,02-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Sep-2020 - 00:00,14.41,18.05,32.41,1.6,6.81,8.4,2.12,,,68.37,811.75,974.11,,03-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Sep-2020 - 00:00,14.59,18.39,32.98,1.23,6.53,14.36,3.86,,,68.64,816.11,974.75,,04-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Sep-2020 - 00:00,15.15,18.28,33.25,0.52,6.9,10.85,5.03,,,69.88,819.57,974.28,,05-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Sep-2020 - 00:00,14.73,18.3,33.02,0.75,6.11,11.17,3.73,,,69.42,817.71,973.25,,06-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Sep-2020 - 00:00,14.81,18.38,33.1,0.76,6.83,9.97,4.87,,,69.5,810.48,972.73,,07-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Sep-2020 - 00:00,14.69,18.33,33.0,0.81,6.73,13.65,10.52,,,68.9,828.37,952.84,,08-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Sep-2020 - 00:00,14.55,18.06,32.61,0.74,7.04,11.32,7.88,,,68.15,827.07,973.6,,09-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Sep-2020 - 00:00,14.77,18.11,32.83,0.67,8.34,10.87,51.34,,,65.97,838.11,972.73,,10-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Sep-2020 - 00:00,14.81,18.37,33.14,0.31,6.87,31.9,11.04,,,66.94,828.08,971.95,,11-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-Sep-2020 - 00:00,15.58,17.34,32.39,0.29,14.44,36.63,12.22,,,63.94,763.63,971.98,,12-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-Sep-2020 - 00:00,13.66,18.58,32.11,0.46,4.97,36.36,14.04,,,65.3,781.03,973.31,,13-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-Sep-2020 - 00:00,14.79,18.64,33.33,0.36,7.02,36.78,14.58,1.37,151.62,65.24,821.97,973.46,,14-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
14-Sep-2020 - 00:00,14.57,18.35,32.91,0.37,6.33,35.33,15.97,,,65.89,821.87,972.9,,15-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-Sep-2020 - 00:00,14.66,18.45,33.11,0.35,6.8,35.6,17.58,,,65.32,830.42,972.58,,16-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-Sep-2020 - 00:00,14.93,18.19,33.02,0.37,5.83,37.07,15.47,,,68.21,827.27,972.57,,17-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-Sep-2020 - 00:00,14.47,18.17,32.63,0.33,7.24,37.93,17.01,,,65.51,831.83,972.28,,18-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-Sep-2020 - 00:00,14.8,18.26,33.06,0.33,6.99,38.63,11.93,,,66.22,833.48,971.89,,19-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-Sep-2020 - 00:00,14.92,17.81,32.68,0.3,6.43,40.21,10.91,,,64.59,828.03,971.93,,20-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-Sep-2020 - 00:00,14.67,18.43,33.1,0.34,6.51,36.26,12.71,,,66.22,829.96,971.91,,21-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-Sep-2020 - 00:00,14.88,18.47,33.33,0.37,5.87,38.08,12.51,,,62.98,830.13,971.34,,22-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-Sep-2020 - 00:00,14.6,18.17,32.75,0.41,7.05,37.83,16.72,,,63.57,829.0,971.44,,23-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-Sep-2020 - 00:00,14.67,18.09,32.75,0.41,6.01,42.68,16.54,,,67.82,832.5,971.28,,24-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-Sep-2020 - 00:00,14.74,18.86,33.5,0.33,6.32,38.95,20.3,1.6,305.91,66.79,832.64,972.47,,25-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-Sep-2020 - 00:00,14.77,17.91,32.66,0.37,6.92,35.47,140.21,1.42,275.54,63.2,828.21,972.13,,26-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-Sep-2020 - 00:00,14.81,18.17,32.98,0.28,6.24,35.99,97.5,1.28,187.72,61.65,812.94,972.18,,27-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-Sep-2020 - 00:00,14.93,18.24,33.18,0.24,6.67,47.6,88.53,1.34,241.66,63.93,814.96,973.69,,28-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
28-Sep-2020 - 00:00,14.74,18.42,33.16,0.36,6.89,46.03,253.83,1.4,294.55,64.35,825.24,974.47,,29-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
29-Sep-2020 - 00:00,14.54,18.09,32.63,0.38,7.05,156.8,16.89,1.36,311.91,63.54,817.81,974.29,0.15,30-Sep-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
30-Sep-2020 - 00:00,14.6,17.93,32.44,0.46,6.76,219.51,31.04,1.24,318.34,63.63,812.62,973.71,,01-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
01-Oct-2020 - 00:00,14.74,18.25,32.75,0.48,7.94,134.06,47.89,1.2,285.62,62.67,814.88,973.38,,02-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Oct-2020 - 00:00,14.64,18.17,32.77,0.46,7.47,27.64,14.77,1.34,301.08,62.42,807.96,973.7,,03-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Oct-2020 - 00:00,14.69,18.27,32.95,0.43,7.57,36.87,14.28,1.41,296.77,61.74,801.54,974.29,,04-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Oct-2020 - 00:00,14.7,18.48,33.18,0.46,7.64,38.59,15.47,1.37,304.87,61.89,799.97,974.82,,05-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Oct-2020 - 00:00,14.6,18.2,32.79,0.46,7.17,39.71,16.46,1.32,295.52,61.09,797.41,974.71,,06-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Oct-2020 - 00:00,14.55,17.99,32.52,0.43,7.09,35.0,13.17,1.34,285.45,60.9,800.43,974.79,,07-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Oct-2020 - 00:00,14.46,18.26,32.72,0.41,7.36,51.28,17.83,1.33,293.49,60.83,804.29,975.78,,08-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Oct-2020 - 00:00,14.71,18.15,32.86,0.44,7.24,80.19,29.62,1.4,284.44,60.49,796.75,976.06,,09-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Oct-2020 - 00:00,14.72,17.66,32.24,0.4,6.92,66.86,27.28,1.39,274.27,60.45,795.08,976.16,,10-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Oct-2020 - 00:00,15.13,18.17,33.28,0.41,7.23,74.63,27.86,1.36,231.62,60.14,789.51,975.55,,11-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-Oct-2020 - 00:00,14.86,18.26,33.12,0.44,7.14,73.97,31.43,1.42,286.18,59.34,793.46,974.5,,12-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-Oct-2020 - 00:00,14.83,18.36,33.12,0.54,7.12,84.16,37.98,1.42,197.6,58.42,780.88,973.65,,13-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-Oct-2020 - 00:00,14.38,18.36,32.74,0.62,7.49,112.64,51.28,1.28,206.43,59.88,785.93,974.17,,14-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
