from date,NO,NO2,NOx,CO,SO2,PM10,PM2.5,WS,WD,RH,SR,BP,RF,to date,station
01-Feb-2020 - 00:00,14.47,18.34,32.81,1.82,5.16,108.03,78.34,3.62,199.88,69.29,729.22,981.01,,02-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Feb-2020 - 00:00,14.62,18.62,33.24,1.79,4.89,97.73,64.29,3.5,193.21,67.16,728.7,981.73,,03-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Feb-2020 - 00:00,14.32,18.04,32.36,1.82,5.58,112.05,69.42,3.69,260.93,65.1,739.85,980.83,,04-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Feb-2020 - 00:00,14.5,18.77,33.27,1.86,4.79,135.37,81.79,3.43,169.86,67.05,732.09,980.19,,05-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Feb-2020 - 00:00,14.58,18.28,32.86,1.75,4.45,82.57,59.41,3.9,317.9,66.32,745.24,980.73,,06-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Feb-2020 - 00:00,14.74,18.47,33.22,1.81,4.5,102.58,67.78,3.71,247.94,64.91,738.04,979.65,,07-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Feb-2020 - 00:00,14.9,17.77,32.67,1.77,4.75,144.73,74.69,3.27,121.67,69.97,702.17,980.79,,08-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Feb-2020 - 00:00,14.54,18.25,32.79,1.76,5.54,94.12,65.18,3.96,269.95,64.05,757.8,982.53,,09-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Feb-2020 - 00:00,14.55,18.26,32.81,1.79,4.16,101.78,76.66,4.02,281.61,64.42,746.39,982.34,,10-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Feb-2020 - 00:00,14.83,18.55,33.38,1.76,4.88,111.3,69.88,4.08,301.46,64.2,748.04,981.3,,11-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-Feb-2020 - 00:00,14.68,18.16,32.84,1.85,6.13,168.77,91.94,4.59,301.22,65.46,762.06,981.46,,12-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-Feb-2020 - 00:00,14.62,18.37,32.99,1.74,5.64,72.93,48.09,5.24,290.13,65.39,797.69,981.48,,13-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-Feb-2020 - 00:00,14.73,18.42,33.14,1.72,4.43,58.58,43.27,4.17,267.0,64.41,761.06,979.95,,14-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
14-Feb-2020 - 00:00,14.65,18.34,32.99,1.7,4.04,51.78,28.29,3.87,283.08,62.78,754.55,978.51,,15-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-Feb-2020 - 00:00,14.29,18.21,32.5,1.72,4.72,94.43,41.97,3.92,240.77,62.84,747.33,978.31,,16-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-Feb-2020 - 00:00,14.99,18.12,33.11,1.74,4.8,117.98,57.01,3.95,242.95,61.76,750.57,979.67,,17-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-Feb-2020 - 00:00,14.52,18.2,32.72,1.76,4.56,156.6,65.86,4.03,273.61,61.83,753.85,980.34,,18-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-Feb-2020 - 00:00,14.68,18.25,32.93,1.92,6.22,114.93,63.31,4.06,250.89,61.75,752.1,978.65,,19-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-Feb-2020 - 00:00,15.1,18.18,33.28,1.79,4.23,185.43,81.46,3.86,135.18,57.68,745.22,976.56,,20-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-Feb-2020 - 00:00,14.56,18.6,33.16,1.82,5.1,139.43,88.14,4.04,175.77,62.51,755.16,977.0,,21-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-Feb-2020 - 00:00,14.5,17.77,32.27,1.71,4.67,52.31,26.84,3.94,128.0,68.19,745.52,980.16,,22-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-Feb-2020 - 00:00,15.51,18.33,33.8,1.71,5.53,84.69,31.01,4.36,287.79,66.92,765.21,982.03,,23-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-Feb-2020 - 00:00,14.58,18.4,32.95,1.74,5.5,162.21,59.02,4.4,307.39,67.4,767.57,980.75,,24-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-Feb-2020 - 00:00,14.64,18.08,32.72,1.84,4.42,142.81,69.47,4.08,227.93,66.33,757.07,979.01,,25-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-Feb-2020 - 00:00,15.35,17.65,32.88,1.78,5.11,146.17,76.1,4.3,270.82,65.8,768.99,978.21,,26-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-Feb-2020 - 00:00,14.13,14.79,28.53,2.24,9.61,285.08,100.93,4.17,243.0,66.12,773.36,978.33,0.8,27-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-Feb-2020 - 00:00,14.65,18.4,33.0,2.18,8.1,173.35,96.93,4.26,118.57,64.92,773.64,978.3,,28-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
