from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,AT,WS,WD,RH,BP,to date,station
01-Jan-2020 - 00:00,37.06,55.52,5.44,3.85,5.04,3.98,18.94,,41.76,0.11,4.07,22.91,2.53,180.24,69.01,726.93,02-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
02-Jan-2020 - 00:00,33.36,55.23,9.99,3.59,7.07,4.29,16.88,,26.18,0.13,3.9,23.06,1.67,176.39,70.04,727.86,03-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
03-Jan-2020 - 00:00,31.21,49.04,20.09,5.14,13.67,5.59,18.75,0.97,20.39,0.14,4.61,23.36,0.8,213.42,69.14,726.43,04-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
04-Jan-2020 - 00:00,47.46,68.76,14.4,3.75,9.62,5.04,18.39,1.08,28.78,0.16,3.85,21.94,0.79,136.3,69.81,725.44,05-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
05-Jan-2020 - 00:00,57.7,83.32,12.06,4.56,8.97,5.04,18.38,0.83,34.91,0.16,4.32,21.79,0.97,128.64,68.3,726.05,06-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
06-Jan-2020 - 00:00,53.02,72.08,11.25,3.1,7.39,4.18,14.95,0.99,38.43,0.2,5.75,20.1,1.74,149.15,69.28,727.97,07-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
07-Jan-2020 - 00:00,36.33,57.16,10.77,3.7,7.73,4.1,17.31,1.05,30.6,0.13,4.16,24.71,1.66,182.94,72.75,727.06,08-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
08-Jan-2020 - 00:00,44.53,67.4,9.63,3.65,7.06,4.06,17.07,0.86,26.47,0.12,3.9,22.11,1.6,171.74,74.28,726.02,09-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
09-Jan-2020 - 00:00,41.78,66.69,10.6,3.24,7.13,4.07,17.69,0.88,27.39,0.13,3.9,23.26,1.33,158.68,67.17,725.68,10-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
10-Jan-2020 - 00:00,69.17,95.6,7.49,3.22,5.5,3.98,19.39,0.92,40.69,0.18,4.17,23.01,1.65,155.11,67.0,726.57,11-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
11-Jan-2020 - 00:00,61.29,87.89,12.27,3.86,8.61,4.53,16.82,0.83,44.29,0.15,3.88,22.52,1.43,149.66,63.09,727.84,12-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
12-Jan-2020 - 00:00,62.38,91.79,17.56,3.96,11.45,5.09,16.67,0.6,45.43,0.14,3.97,21.62,0.89,168.36,62.23,726.98,13-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
13-Jan-2020 - 00:00,56.4,90.43,26.0,6.64,18.11,5.96,19.19,,41.65,0.19,4.33,21.52,0.74,144.36,57.62,724.99,14-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
14-Jan-2020 - 00:00,48.88,81.81,22.73,7.97,17.57,6.08,19.76,0.84,44.11,0.18,3.83,21.45,1.03,147.49,55.14,724.57,15-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
15-Jan-2020 - 00:00,40.08,57.83,6.54,3.3,5.09,3.49,19.55,,55.82,0.12,3.86,22.21,2.07,171.71,52.36,725.21,16-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
