from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,VWS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,11.21,996.7,74.46,69.53,109.25,0.99,526.71,408.55,,4.42,14.91,74.06,31.55,106.87,138.47,3.06,20.13,6.48,02-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
02-Jan-2020 - 00:00,13.59,996.34,72.9,74.58,187.07,0.89,511.3,393.07,,5.09,18.63,82.17,29.01,151.22,180.15,3.58,30.64,6.44,03-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
03-Jan-2020 - 00:00,15.36,994.08,71.07,78.22,207.19,0.81,399.84,270.26,,4.14,19.18,77.49,32.07,153.77,185.83,3.1,7.86,5.6,04-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
04-Jan-2020 - 00:00,14.34,993.09,72.78,71.95,296.89,1.03,382.68,285.42,,3.03,12.48,78.09,27.87,81.52,109.35,2.1,11.3,5.06,05-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
05-Jan-2020 - 00:00,14.41,993.29,66.7,64.32,269.81,1.43,273.17,205.5,0.0,1.91,7.89,76.0,22.81,13.56,36.37,0.82,13.08,4.29,06-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
06-Jan-2020 - 00:00,14.25,994.25,69.8,37.13,151.82,1.31,250.03,186.2,0.0,1.83,6.82,67.48,24.5,17.32,41.32,0.93,5.82,4.71,07-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
07-Jan-2020 - 00:00,15.14,992.36,73.67,44.81,94.36,1.78,179.35,150.3,0.07,2.18,6.45,57.82,26.65,15.89,42.53,1.11,11.01,4.41,08-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
08-Jan-2020 - 00:00,13.2,990.37,85.6,14.19,199.19,1.48,144.14,130.74,,1.92,5.75,46.34,19.26,9.42,28.67,0.94,8.5,2.45,09-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
09-Jan-2020 - 00:00,10.22,995.16,80.28,73.62,331.4,2.18,139.16,111.79,,1.73,3.82,46.31,12.17,4.49,16.64,0.66,10.83,2.6,10-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
10-Jan-2020 - 00:00,10.82,995.33,76.0,93.38,314.47,1.45,186.15,144.38,,1.49,3.89,45.38,18.95,10.45,29.4,0.89,14.24,4.48,11-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
11-Jan-2020 - 00:00,12.31,994.98,68.37,94.53,296.28,1.05,273.49,193.08,,2.11,5.97,46.14,23.84,41.93,65.87,1.21,16.06,4.9,12-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
