from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,VWS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
12-Jan-2020 - 00:00,13.85,992.0,70.82,87.37,254.27,0.82,435.29,259.96,,3.11,10.28,49.1,31.1,108.94,125.84,2.42,12.74,5.4,13-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
13-Jan-2020 - 00:00,15.47,987.45,71.16,50.45,189.56,1.96,319.04,228.62,,2.85,9.18,49.14,34.12,38.98,73.05,1.78,7.93,4.66,14-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
14-Jan-2020 - 00:00,12.98,991.18,78.78,68.28,295.21,2.14,150.92,122.21,,1.44,5.34,42.07,12.64,5.27,17.9,0.77,10.18,2.99,15-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
15-Jan-2020 - 00:00,13.04,992.23,75.56,88.23,278.68,1.86,178.54,132.0,,1.59,6.87,40.83,17.2,7.0,24.21,0.75,15.07,4.59,16-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
16-Jan-2020 - 00:00,11.88,991.08,81.49,40.42,218.34,1.53,213.42,159.62,,1.68,8.13,42.09,18.16,10.71,28.86,0.85,6.07,3.68,17-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
17-Jan-2020 - 00:00,12.93,992.4,84.54,53.67,273.83,1.3,188.25,141.75,,1.66,7.01,35.79,15.17,15.53,30.67,0.91,6.52,3.68,18-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
18-Jan-2020 - 00:00,11.89,994.09,82.68,66.15,246.42,1.3,189.17,140.04,,1.86,7.7,35.15,19.43,15.31,34.75,1.0,7.26,3.19,19-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
19-Jan-2020 - 00:00,10.39,994.9,80.24,95.5,305.3,1.38,176.92,137.5,,1.31,3.29,38.11,10.63,3.68,14.31,0.62,15.58,2.98,20-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
20-Jan-2020 - 00:00,11.73,993.78,81.72,64.17,291.22,1.03,247.62,170.79,,1.69,4.83,38.91,19.05,24.56,43.59,1.23,12.05,8.45,21-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
21-Jan-2020 - 00:00,13.49,994.47,81.29,65.12,136.06,0.96,502.24,339.57,,3.31,13.51,47.04,34.67,64.53,100.51,2.32,7.66,9.78,22-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
22-Jan-2020 - 00:00,11.54,996.29,83.44,72.23,285.84,1.18,284.42,214.51,,2.58,9.36,66.63,24.81,28.66,53.45,1.54,13.48,1.7,23-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
23-Jan-2020 - 00:00,13.22,994.69,64.58,107.43,328.66,2.44,138.66,98.08,,1.21,3.74,89.58,18.98,2.64,21.65,0.56,15.56,3.4,24-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
24-Jan-2020 - 00:00,13.57,992.15,59.96,108.72,278.92,1.43,182.01,115.33,,1.83,6.24,73.76,25.73,35.86,61.56,0.84,19.29,4.91,25-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
25-Jan-2020 - 00:00,13.48,992.31,66.61,100.53,269.59,0.86,307.74,191.25,,2.37,8.66,75.71,33.46,83.98,117.43,1.79,15.17,6.13,26-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
26-Jan-2020 - 00:00,14.22,990.54,71.09,99.28,289.14,1.07,423.17,275.04,,3.35,14.14,62.06,28.14,102.92,130.96,2.38,21.04,7.53,27-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
27-Jan-2020 - 00:00,15.05,988.08,70.51,64.05,136.52,1.39,364.53,257.79,,3.12,10.82,63.81,43.63,69.58,113.18,2.01,9.5,6.85,28-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
28-Jan-2020 - 00:00,15.41,986.83,75.29,75.61,119.76,2.18,147.17,123.0,,1.52,5.23,49.75,24.33,8.4,32.75,0.91,12.77,5.58,29-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
29-Jan-2020 - 00:00,14.83,992.64,71.09,121.63,208.6,1.63,153.67,115.21,,1.37,5.62,41.84,18.54,7.29,25.83,0.66,18.17,6.91,30-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
30-Jan-2020 - 00:00,13.88,993.5,72.57,125.78,329.81,2.07,182.5,125.67,,1.34,6.35,39.35,18.99,8.94,27.9,0.74,16.62,7.02,31-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
31-Jan-2020 - 00:00,12.09,991.43,73.47,122.58,252.35,1.37,200.27,133.25,,1.5,6.29,42.44,21.34,15.72,37.07,0.86,13.57,6.0,01-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
01-Feb-2020 - 00:00,13.19,994.08,72.4,122.28,302.34,1.4,274.44,156.46,,1.96,9.53,47.19,22.41,63.77,86.22,1.45,22.72,6.03,02-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
02-Feb-2020 - 00:00,12.14,995.59,75.79,123.55,314.82,1.24,236.07,174.62,,1.64,5.55,45.31,21.77,15.35,37.13,0.98,14.73,7.84,03-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
03-Feb-2020 - 00:00,13.68,994.34,67.86,144.75,258.32,0.97,339.0,199.92,,2.46,7.79,43.74,29.92,72.7,100.99,1.75,18.6,8.33,04-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
04-Feb-2020 - 00:00,14.56,992.7,65.42,119.19,150.25,1.03,428.17,254.67,,3.16,15.1,47.87,39.4,81.79,121.13,1.79,30.1,8.45,05-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
05-Feb-2020 - 00:00,14.23,992.93,67.34,124.46,315.26,1.85,295.24,203.17,,1.93,8.4,54.39,23.83,20.68,44.46,0.86,19.06,9.21,06-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
06-Feb-2020 - 00:00,13.37,992.3,67.75,137.29,237.06,1.13,257.77,182.71,,1.71,6.41,47.9,28.21,25.34,53.55,1.02,19.19,7.01,07-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
07-Feb-2020 - 00:00,13.61,994.68,67.51,125.71,236.65,1.41,295.48,198.88,,2.23,8.79,48.48,27.99,60.52,88.34,1.15,20.49,6.79,08-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
08-Feb-2020 - 00:00,14.16,996.54,68.0,135.35,311.14,1.65,265.38,205.42,,1.64,4.74,44.7,22.81,12.31,35.19,0.94,20.5,10.92,09-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
09-Feb-2020 - 00:00,14.46,996.99,68.09,140.08,290.55,1.12,317.51,213.75,,1.77,7.54,42.87,26.06,25.94,51.92,1.08,20.93,8.7,10-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
10-Feb-2020 - 00:00,14.26,995.04,68.6,127.39,302.43,1.03,384.88,250.42,,2.4,9.77,43.73,31.06,81.03,111.62,1.98,18.45,9.07,11-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
11-Feb-2020 - 00:00,14.77,995.27,67.98,123.65,308.48,1.05,355.96,234.38,,2.81,12.43,49.6,30.6,72.85,103.54,1.8,19.1,8.03,12-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
12-Feb-2020 - 00:00,16.7,994.71,65.92,125.13,305.18,1.66,315.29,220.17,,1.8,5.74,47.38,23.6,12.88,36.49,0.98,23.57,12.39,13-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
13-Feb-2020 - 00:00,18.94,991.79,60.11,137.36,297.72,1.72,180.56,124.21,,1.13,2.51,58.12,16.57,4.46,21.03,0.63,26.03,10.07,14-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
14-Feb-2020 - 00:00,18.04,989.06,58.52,144.47,324.29,2.72,165.67,99.79,,1.0,1.6,54.25,14.29,3.83,18.12,0.6,26.55,7.15,15-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
15-Feb-2020 - 00:00,17.62,989.2,53.83,148.17,312.38,1.73,186.29,121.0,,1.21,3.21,48.81,19.95,5.35,25.62,0.64,27.13,11.58,16-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
16-Feb-2020 - 00:00,17.65,992.29,59.94,145.19,295.64,1.42,311.35,218.75,,1.97,7.49,50.6,32.64,69.78,102.35,1.73,21.36,14.94,17-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
17-Feb-2020 - 00:00,18.54,993.39,58.86,147.15,267.11,1.42,319.9,209.13,,2.34,10.94,59.41,30.74,36.08,66.79,1.28,22.01,12.06,18-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
18-Feb-2020 - 00:00,18.5,990.78,53.31,147.03,268.62,1.35,292.24,173.44,,1.88,6.82,59.81,33.72,67.09,100.75,1.7,25.61,10.79,19-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
19-Feb-2020 - 00:00,19.18,989.5,58.02,108.36,131.66,2.15,345.69,185.15,,3.82,15.79,56.75,41.46,115.96,149.64,2.42,22.5,10.41,20-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
20-Feb-2020 - 00:00,21.36,988.98,53.35,119.07,126.28,3.32,235.91,113.35,,1.43,4.06,50.08,27.09,5.64,32.73,0.82,35.39,5.99,21-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
21-Feb-2020 - 00:00,16.52,993.15,73.78,56.16,46.59,3.28,77.32,58.52,,1.19,5.3,46.72,17.25,3.84,21.1,0.62,21.33,5.62,22-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
22-Feb-2020 - 00:00,16.27,996.65,75.07,51.4,128.1,1.57,130.61,79.07,,1.65,6.93,56.62,31.03,20.42,51.48,0.9,9.5,10.6,23-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
23-Feb-2020 - 00:00,19.82,994.05,67.46,125.51,207.91,1.4,199.53,126.08,,2.13,10.47,33.11,23.23,25.84,49.04,0.95,17.92,14.39,24-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
24-Feb-2020 - 00:00,19.55,990.82,64.83,150.49,241.84,1.63,156.56,85.92,,1.27,6.36,35.79,25.88,15.3,41.19,0.95,21.02,13.29,25-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
25-Feb-2020 - 00:00,19.61,989.55,68.54,144.17,314.97,1.34,252.32,177.22,,1.44,6.17,43.84,28.04,12.06,40.05,1.04,17.78,17.13,26-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
26-Feb-2020 - 00:00,20.49,990.26,66.56,143.79,217.76,1.14,348.91,214.39,,2.45,10.01,64.96,31.22,45.28,76.56,1.55,17.51,15.89,27-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
27-Feb-2020 - 00:00,21.42,990.69,65.91,119.89,123.58,1.36,246.03,144.36,,2.49,8.2,65.7,40.04,27.44,67.48,1.36,24.58,11.97,28-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
28-Feb-2020 - 00:00,21.64,989.41,63.78,122.33,132.4,2.98,171.14,95.32,,1.53,4.26,66.03,30.09,5.38,35.46,0.82,19.17,8.01,29-Feb-2020 - 00:00,"Rohini, Delhi - DPCC"
29-Feb-2020 - 00:00,20.59,988.67,65.74,117.28,116.8,3.05,128.06,70.06,,1.14,4.13,46.83,24.73,4.47,29.21,0.93,17.33,9.11,01-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
01-Mar-2020 - 00:00,21.14,989.27,63.4,160.85,155.73,1.4,113.92,61.73,,1.52,6.54,40.71,28.08,14.03,42.11,0.95,25.4,9.88,02-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
02-Mar-2020 - 00:00,21.49,988.8,66.73,154.18,264.34,0.99,223.52,123.61,,2.32,12.51,54.52,26.9,49.37,76.11,1.36,16.53,13.21,03-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
03-Mar-2020 - 00:00,21.86,987.34,60.36,175.38,231.76,1.42,218.79,112.88,,2.07,16.17,57.04,27.22,27.99,55.21,1.1,14.88,12.22,04-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
04-Mar-2020 - 00:00,21.59,986.71,59.3,121.25,110.61,2.09,211.04,104.5,,1.98,6.39,58.8,31.36,17.53,48.85,1.01,19.65,11.55,05-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
05-Mar-2020 - 00:00,19.73,986.88,65.0,124.22,128.67,2.58,67.48,36.96,,1.3,4.54,43.25,23.77,6.56,30.33,0.73,18.5,7.25,06-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
06-Mar-2020 - 00:00,16.61,985.74,75.17,116.38,122.65,3.13,47.38,31.76,,1.57,6.08,37.58,25.01,7.85,32.89,0.79,16.34,8.49,07-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
07-Mar-2020 - 00:00,17.53,990.18,72.31,96.87,118.22,1.95,108.22,60.91,,1.71,7.34,36.13,28.69,11.07,39.75,1.12,18.77,7.98,08-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
08-Mar-2020 - 00:00,18.3,992.1,70.6,195.59,310.09,1.86,164.92,102.1,,2.38,10.39,42.17,22.28,27.84,50.43,1.05,23.77,7.76,09-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
09-Mar-2020 - 00:00,18.58,989.34,62.18,213.24,327.49,2.4,150.57,92.29,,1.3,4.68,39.34,18.04,3.39,21.42,0.65,18.0,10.2,10-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
10-Mar-2020 - 00:00,15.13,988.6,73.75,114.28,249.13,1.44,194.47,123.91,,1.59,3.93,53.95,19.92,4.77,24.7,0.56,16.62,14.12,11-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
11-Mar-2020 - 00:00,23.87,984.49,56.21,253.62,144.76,3.97,114.44,55.47,,1.18,4.18,52.51,27.47,2.33,29.75,0.47,21.63,6.6,12-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
12-Mar-2020 - 00:00,20.8,986.7,63.01,124.59,138.15,2.15,187.1,74.75,,2.25,8.9,40.98,28.2,21.47,47.3,1.05,11.52,10.15,13-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
13-Mar-2020 - 00:00,21.46,988.84,53.44,182.06,191.31,1.32,255.88,79.5,,1.93,7.24,37.55,27.75,26.76,54.51,0.87,17.14,10.45,14-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
14-Mar-2020 - 00:00,18.47,991.06,70.0,115.05,124.83,2.11,72.29,47.0,,1.38,4.85,35.51,18.91,4.23,23.12,0.59,15.07,9.2,15-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
15-Mar-2020 - 00:00,18.19,992.78,67.73,178.43,197.74,1.64,,85.08,,1.44,6.89,37.21,20.53,9.25,29.79,0.45,20.65,9.9,16-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
16-Mar-2020 - 00:00,19.83,992.47,65.12,176.33,324.7,1.89,221.6,85.12,,1.45,6.29,38.7,17.41,4.36,21.77,0.64,18.58,11.96,17-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
17-Mar-2020 - 00:00,20.95,992.45,63.29,206.87,318.68,2.11,207.12,101.88,,1.48,6.0,39.86,21.61,18.36,39.96,0.8,17.57,12.8,18-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
18-Mar-2020 - 00:00,22.61,990.63,59.39,202.66,330.5,2.29,182.17,88.29,,1.55,7.59,38.25,19.65,4.75,24.38,0.63,20.86,12.27,19-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
19-Mar-2020 - 00:00,23.18,987.34,63.38,181.15,249.17,1.28,240.0,124.08,0.0,1.68,6.6,47.69,24.79,12.98,37.39,0.86,19.92,16.72,20-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
20-Mar-2020 - 00:00,24.76,986.46,56.67,161.78,105.18,1.43,248.92,102.26,0.01,2.31,9.2,39.99,34.96,24.69,58.33,1.31,23.96,14.89,21-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
21-Mar-2020 - 00:00,24.45,986.81,58.07,143.06,251.03,1.57,249.45,118.85,,2.23,10.27,46.13,27.94,18.09,46.04,1.12,19.33,16.31,22-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
22-Mar-2020 - 00:00,24.57,988.64,54.75,191.38,233.07,1.69,146.31,88.85,,2.02,5.69,40.51,14.64,3.23,17.89,0.62,22.1,11.37,23-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
23-Mar-2020 - 00:00,25.04,988.15,53.24,187.87,174.46,1.21,129.6,74.33,,1.83,4.82,36.86,15.26,8.42,23.67,0.56,19.4,11.69,24-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
24-Mar-2020 - 00:00,24.6,986.89,58.04,132.67,162.99,1.49,101.15,58.58,,2.3,4.09,38.97,15.36,2.97,18.36,0.46,15.65,12.72,25-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
25-Mar-2020 - 00:00,24.99,987.24,61.41,199.38,248.65,1.59,79.94,47.44,,1.35,3.69,39.67,11.09,4.16,15.24,0.48,12.23,8.91,26-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
26-Mar-2020 - 00:00,23.97,988.49,63.15,112.95,304.99,1.81,106.07,67.55,,1.12,2.19,41.58,8.22,1.47,9.67,0.53,7.28,10.78,27-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
27-Mar-2020 - 00:00,21.21,990.14,70.26,100.06,177.28,2.14,51.05,32.86,,1.09,2.46,32.05,8.42,2.17,10.6,0.23,6.86,8.62,28-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
28-Mar-2020 - 00:00,21.61,990.59,69.49,212.88,290.07,2.26,53.36,30.31,,1.18,2.12,30.98,8.43,1.27,9.7,0.33,8.47,7.76,29-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
29-Mar-2020 - 00:00,23.28,988.51,58.52,216.47,333.38,2.91,75.52,38.31,,,,28.16,7.03,1.01,8.02,0.3,15.94,9.27,30-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
30-Mar-2020 - 00:00,23.1,988.57,56.92,217.98,319.91,2.14,90.92,53.62,,1.0,2.6,28.97,8.44,1.11,9.55,0.36,18.26,9.8,31-Mar-2020 - 00:00,"Rohini, Delhi - DPCC"
31-Mar-2020 - 00:00,24.26,987.31,54.07,171.66,284.85,2.12,90.88,50.71,,,,28.18,7.87,1.05,8.92,0.27,20.71,9.46,01-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
01-Apr-2020 - 00:00,25.29,986.52,53.35,199.95,253.27,1.99,91.96,47.67,,1.13,2.7,29.57,8.46,1.35,9.74,0.3,18.19,11.1,02-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
02-Apr-2020 - 00:00,24.34,986.82,53.62,207.69,322.77,3.01,87.07,41.33,,,,26.79,6.92,0.84,7.73,0.23,23.26,9.32,03-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
03-Apr-2020 - 00:00,23.3,988.06,48.43,209.04,322.6,2.27,101.53,58.04,,1.19,2.34,25.46,8.9,0.91,9.79,0.3,27.02,10.43,04-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
04-Apr-2020 - 00:00,24.14,988.02,51.17,210.78,313.5,1.84,112.94,64.9,,1.23,3.11,32.71,12.01,3.71,15.71,0.43,20.42,10.13,05-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
05-Apr-2020 - 00:00,26.31,988.71,48.65,193.82,190.56,1.39,140.22,78.96,,1.63,4.37,39.69,10.58,1.7,12.26,0.48,23.99,12.69,06-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
06-Apr-2020 - 00:00,28.13,987.46,46.88,199.3,281.13,1.83,143.95,75.35,,2.0,4.34,40.29,10.63,2.67,13.31,0.46,20.75,11.42,07-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
07-Apr-2020 - 00:00,26.18,985.56,48.24,187.99,292.66,3.03,125.18,40.19,,1.05,2.55,35.16,7.47,0.94,8.41,0.3,23.77,10.43,08-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
08-Apr-2020 - 00:00,25.99,986.17,43.42,199.73,332.07,3.06,102.36,39.47,,,,27.19,7.82,0.83,8.63,0.25,30.92,9.88,09-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
09-Apr-2020 - 00:00,25.91,986.59,45.32,183.96,319.0,1.82,111.61,55.77,,1.38,2.63,29.0,9.59,1.02,10.6,0.43,30.56,10.85,10-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
10-Apr-2020 - 00:00,27.81,987.4,45.58,192.93,297.36,1.05,151.67,78.31,,1.66,5.03,41.69,13.66,4.08,17.74,0.59,19.38,12.76,11-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
11-Apr-2020 - 00:00,29.84,988.38,42.8,180.56,215.42,1.58,133.34,56.69,,1.74,4.88,42.29,10.52,3.26,13.76,0.45,26.21,12.97,12-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
12-Apr-2020 - 00:00,29.05,986.19,41.91,191.09,319.07,2.18,127.28,55.88,,1.4,2.46,34.06,7.85,0.78,8.61,0.43,30.86,13.91,13-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
13-Apr-2020 - 00:00,30.06,984.13,44.01,176.6,277.56,1.5,188.3,88.46,,1.93,3.03,41.03,14.03,4.16,18.18,0.6,22.07,15.32,14-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
14-Apr-2020 - 00:00,31.88,984.5,43.46,151.69,187.91,0.81,222.91,97.17,,2.38,6.05,51.83,17.68,4.82,22.48,0.77,10.46,14.27,15-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
15-Apr-2020 - 00:00,32.37,984.15,36.41,170.81,218.72,1.2,247.83,88.0,,2.25,5.01,43.58,15.82,6.82,22.56,0.68,17.76,9.65,16-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
16-Apr-2020 - 00:00,31.14,982.95,36.84,170.7,288.8,1.89,238.78,83.29,,2.01,4.99,49.04,11.36,2.44,13.8,0.66,20.27,13.4,17-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
17-Apr-2020 - 00:00,31.33,982.57,35.62,168.91,172.7,2.38,108.66,28.79,,,,38.49,6.88,0.72,7.59,0.37,31.07,9.69,18-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
18-Apr-2020 - 00:00,28.16,984.51,47.06,128.51,97.42,2.33,119.19,36.42,,1.1,2.23,38.12,6.62,0.88,7.49,0.32,23.5,8.89,19-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
19-Apr-2020 - 00:00,27.56,984.11,50.37,197.41,241.08,1.39,108.05,54.12,,1.38,3.46,43.5,10.5,2.87,13.41,0.4,13.31,9.98,20-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
20-Apr-2020 - 00:00,26.6,985.05,50.41,144.4,201.01,1.9,149.49,69.46,,2.03,5.63,49.38,12.27,4.12,16.37,0.52,7.24,11.07,21-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
21-Apr-2020 - 00:00,27.34,985.37,48.21,170.59,276.87,1.45,117.69,53.12,,1.24,2.9,42.17,8.12,1.34,9.47,0.4,15.75,12.49,22-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
22-Apr-2020 - 00:00,28.75,983.99,42.68,189.53,243.56,1.3,175.86,80.54,,1.21,4.14,41.88,11.1,1.71,12.79,0.45,21.22,17.18,23-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
23-Apr-2020 - 00:00,28.78,983.06,41.3,78.16,222.68,1.62,172.75,75.96,,2.14,4.41,42.72,13.65,2.27,15.9,0.58,22.37,14.87,24-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
24-Apr-2020 - 00:00,30.35,981.61,43.32,176.44,161.04,1.03,160.43,81.38,,2.03,5.4,45.85,14.81,3.0,17.79,0.54,22.39,13.58,25-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
25-Apr-2020 - 00:00,30.86,981.87,39.16,151.45,181.56,1.49,114.14,38.96,,1.26,4.37,35.46,8.09,0.71,8.79,0.34,31.03,11.67,26-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
26-Apr-2020 - 00:00,26.65,984.61,51.82,133.59,121.22,2.84,128.45,44.46,,1.47,3.01,40.24,6.96,0.76,7.72,0.35,23.88,11.35,27-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
27-Apr-2020 - 00:00,26.42,987.52,57.69,193.35,105.6,2.95,67.72,33.58,,1.27,2.11,39.84,6.08,0.8,6.87,0.34,23.65,9.57,28-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
28-Apr-2020 - 00:00,28.73,987.46,52.48,165.78,96.34,1.69,103.01,54.46,,1.43,2.64,44.48,7.17,0.78,7.95,0.43,23.39,11.7,29-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
