from date,PM10,CO,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,25.5,,,,,11.99,16.59,02-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
02-Jan-2020 - 00:00,,,,,,10.48,16.87,03-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
03-Jan-2020 - 00:00,,,,,,8.73,16.12,04-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
04-Jan-2020 - 00:00,18.38,,,,,8.78,16.68,05-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
05-Jan-2020 - 00:00,,,,,,7.52,17.29,06-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
06-Jan-2020 - 00:00,10.92,,,,,10.02,17.14,07-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
07-Jan-2020 - 00:00,,,,,,9.8,17.21,08-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
08-Jan-2020 - 00:00,126.3,,,,,10.85,17.31,09-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
09-Jan-2020 - 00:00,91.82,,,,,10.36,18.72,10-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
10-Jan-2020 - 00:00,94.84,,,,,11.67,16.55,11-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
11-Jan-2020 - 00:00,94.5,,,,,11.13,16.69,12-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
12-Jan-2020 - 00:00,120.8,,,,,8.86,15.38,13-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
13-Jan-2020 - 00:00,122.31,,,,,10.89,17.23,14-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
14-Jan-2020 - 00:00,194.86,,,,,11.55,16.96,15-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
15-Jan-2020 - 00:00,152.89,,,,,12.09,18.19,16-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
16-Jan-2020 - 00:00,141.54,,,,,12.78,17.92,17-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
17-Jan-2020 - 00:00,115.89,,,,,12.58,17.05,18-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
18-Jan-2020 - 00:00,101.39,,,,,11.29,17.29,19-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
19-Jan-2020 - 00:00,118.49,,,,,10.17,17.88,20-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
20-Jan-2020 - 00:00,106.49,,,,,10.15,17.56,21-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
21-Jan-2020 - 00:00,115.69,,,,,10.91,17.72,22-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
22-Jan-2020 - 00:00,128.75,,,,,11.45,17.22,23-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
23-Jan-2020 - 00:00,136.54,,,,,11.36,17.34,24-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
24-Jan-2020 - 00:00,122.4,,,,,10.41,17.62,25-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
25-Jan-2020 - 00:00,111.3,,,,,10.8,17.45,26-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
26-Jan-2020 - 00:00,123.48,,,,,12.14,17.55,27-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
27-Jan-2020 - 00:00,134.21,,,,,8.76,17.68,28-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
28-Jan-2020 - 00:00,,,,,,,,29-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
29-Jan-2020 - 00:00,,,,,,,,30-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
30-Jan-2020 - 00:00,,,,,,,,31-Jan-2020 - 00:00,"Haldia, Haldia - WBPCB"
31-Jan-2020 - 00:00,,,,,,,,01-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
01-Feb-2020 - 00:00,,,,,,,,02-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
02-Feb-2020 - 00:00,,,,,,,,03-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
03-Feb-2020 - 00:00,,,,,,,,04-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
04-Feb-2020 - 00:00,,,,,,,,05-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
05-Feb-2020 - 00:00,,,,,,,,06-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
06-Feb-2020 - 00:00,,,,,,,,07-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
07-Feb-2020 - 00:00,,,,,,,,08-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
08-Feb-2020 - 00:00,,,,,,,,09-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
09-Feb-2020 - 00:00,,,,,,,,10-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
10-Feb-2020 - 00:00,,,,,,,,11-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
11-Feb-2020 - 00:00,,,,,,,,12-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
12-Feb-2020 - 00:00,,,,,,,,13-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
13-Feb-2020 - 00:00,,,,,,,,14-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
14-Feb-2020 - 00:00,,,,,,,,15-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
15-Feb-2020 - 00:00,,,,,,,,16-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
16-Feb-2020 - 00:00,,,,,,,,17-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
17-Feb-2020 - 00:00,,,,,,,,18-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
18-Feb-2020 - 00:00,,,,,,,,19-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
19-Feb-2020 - 00:00,,,,,,,,20-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
20-Feb-2020 - 00:00,,,,,,,,21-Feb-2020 - 00:00,"Haldia, Haldia - WBPCB"
