from date,SR,BP,PM10,Temp,VWS,RH,PM2.5,CO,Ozone,NO2,NO,NH3,SO2,to date,station
30-Jan-2020 - 00:00,132.72,999.8,202.79,19.35,-2.72,,75.38,,57.16,6.2,7.43,6.78,27.22,31-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
31-Jan-2020 - 00:00,261.08,998.76,134.78,16.08,-2.61,,73.04,,65.6,7.19,7.91,6.59,20.05,01-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Feb-2020 - 00:00,227.59,998.29,142.93,15.81,-2.6,,54.36,,52.68,7.1,7.79,6.65,27.99,02-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Feb-2020 - 00:00,263.28,998.18,118.59,15.84,-2.59,,49.08,,51.33,6.65,7.53,6.72,20.26,03-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Feb-2020 - 00:00,249.36,998.02,156.1,15.24,-2.55,,53.57,,51.73,6.77,7.75,6.76,28.71,04-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Feb-2020 - 00:00,199.72,997.61,216.1,16.58,-2.56,,66.78,,51.72,7.0,7.67,6.63,36.39,05-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Feb-2020 - 00:00,188.21,999.18,190.03,18.4,-2.74,,62.18,,49.37,6.91,7.66,6.7,28.99,06-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Feb-2020 - 00:00,224.68,998.15,138.67,18.01,-2.65,,46.21,,78.72,6.8,7.5,6.72,27.43,07-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Feb-2020 - 00:00,76.19,998.97,200.46,15.19,-2.68,,76.58,,49.92,6.8,7.79,6.7,29.44,08-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Feb-2020 - 00:00,,,,,,,,,,,,,,09-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Feb-2020 - 00:00,,,,,,,,,,,,,,10-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Feb-2020 - 00:00,269.48,997.26,166.61,19.73,-2.51,44.84,84.93,,41.88,7.31,26.48,10.07,28.34,11-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Feb-2020 - 00:00,292.51,995.36,152.46,17.54,-2.56,50.03,87.44,,34.67,11.62,22.99,8.81,23.93,12-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Feb-2020 - 00:00,280.67,995.37,144.36,17.52,-2.47,51.95,78.78,,38.68,11.07,24.24,8.65,21.3,13-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Feb-2020 - 00:00,334.09,995.43,194.72,20.52,-2.7,45.1,98.2,,40.75,11.67,22.58,8.67,30.88,14-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Feb-2020 - 00:00,249.9,994.68,234.31,19.9,-2.6,54.07,83.85,,30.3,11.76,24.4,8.95,29.28,15-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Feb-2020 - 00:00,251.83,995.68,132.59,20.53,-2.42,36.68,54.67,,38.18,10.7,21.23,8.83,27.5,16-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Feb-2020 - 00:00,248.07,995.55,138.08,19.37,-2.35,43.67,57.75,,39.02,9.42,24.12,10.18,27.97,17-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Feb-2020 - 00:00,227.07,994.86,180.03,19.3,-2.66,57.88,80.72,,40.3,10.97,24.63,9.02,26.84,18-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Feb-2020 - 00:00,243.27,995.16,182.72,19.74,-2.51,54.18,85.41,,44.65,10.31,23.14,8.99,31.72,19-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Feb-2020 - 00:00,272.83,995.53,295.43,20.34,-2.43,44.24,97.23,,41.83,10.58,23.09,8.67,43.5,20-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Feb-2020 - 00:00,171.38,995.9,291.68,20.67,-2.59,53.58,121.51,,123.12,11.49,25.32,9.31,43.2,21-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Feb-2020 - 00:00,213.2,996.67,227.04,23.1,-2.87,61.83,92.75,,79.1,10.94,23.91,9.36,41.85,22-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Feb-2020 - 00:00,174.62,997.39,210.6,23.68,-2.81,52.15,102.57,,57.47,11.44,25.19,8.83,31.31,23-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Feb-2020 - 00:00,237.7,997.22,163.45,22.78,-2.67,64.36,75.19,,51.67,11.57,27.62,9.0,38.7,24-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Feb-2020 - 00:00,314.73,998.24,132.73,24.08,-2.71,51.88,62.96,,37.57,12.24,27.84,8.55,28.71,25-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Feb-2020 - 00:00,154.35,996.65,108.09,19.36,-2.48,80.64,58.46,,44.77,10.95,25.75,9.1,20.88,26-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Feb-2020 - 00:00,182.11,996.55,118.78,18.39,-2.31,82.18,65.52,,40.87,11.18,23.52,9.39,35.83,27-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Feb-2020 - 00:00,213.7,996.9,118.04,20.01,-2.41,70.09,60.93,,37.59,10.7,24.35,9.11,27.84,28-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Feb-2020 - 00:00,237.24,996.48,150.72,20.34,-2.45,71.6,75.94,,40.6,11.43,23.82,9.39,33.89,29-Feb-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Feb-2020 - 00:00,256.89,996.95,169.13,22.03,-2.59,63.99,88.38,,42.45,11.17,27.0,8.85,35.45,01-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Mar-2020 - 00:00,224.89,997.38,198.7,22.86,-2.6,65.04,97.45,,38.2,10.34,25.34,9.33,39.56,02-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Mar-2020 - 00:00,194.3,996.83,184.15,22.83,-2.73,65.53,96.71,,39.87,10.48,25.24,9.36,37.82,03-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Mar-2020 - 00:00,195.97,996.3,260.0,22.51,-2.72,69.81,95.3,,36.79,10.36,24.52,9.04,38.28,04-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Mar-2020 - 00:00,245.72,995.6,101.12,21.46,-2.59,80.81,53.79,,35.83,10.52,26.07,9.31,27.68,05-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Mar-2020 - 00:00,218.53,996.44,93.27,21.82,-2.18,75.2,39.46,,25.0,10.19,23.85,8.95,31.8,06-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Mar-2020 - 00:00,217.12,996.99,,21.71,-1.3,78.85,30.3,,25.15,9.85,24.02,9.32,25.17,07-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Mar-2020 - 00:00,188.34,997.47,,19.99,-1.16,91.36,,,21.8,10.04,23.08,9.23,25.92,08-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Mar-2020 - 00:00,203.51,997.68,,22.44,-1.35,67.17,,,27.68,10.17,24.88,9.23,22.17,09-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Mar-2020 - 00:00,214.52,996.94,,21.43,-1.28,57.5,0.0,,35.42,11.08,24.85,8.97,30.92,10-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Mar-2020 - 00:00,249.64,996.88,,21.71,-1.26,56.31,0.0,,34.62,13.28,24.64,8.98,36.41,11-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Mar-2020 - 00:00,154.44,997.77,,21.52,-1.33,69.77,,,25.03,10.8,25.09,8.79,35.33,12-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Mar-2020 - 00:00,199.8,998.21,,24.94,-1.52,74.95,0.0,,25.28,9.88,22.54,9.41,34.8,13-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Mar-2020 - 00:00,212.52,998.12,,24.45,-1.47,78.48,,,32.92,11.77,25.04,8.99,34.96,14-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Mar-2020 - 00:00,33.14,997.16,,18.85,-1.14,96.49,0.0,,59.86,11.73,24.59,9.26,23.91,15-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Mar-2020 - 00:00,198.08,997.32,,20.67,-1.14,88.11,0.0,,22.02,12.25,26.71,9.25,33.25,16-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Mar-2020 - 00:00,277.47,998.0,219.74,23.68,-1.78,72.25,71.64,2.07,39.35,10.79,25.19,8.72,30.84,17-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Mar-2020 - 00:00,200.47,998.11,114.63,24.7,-2.79,59.21,43.66,2.18,84.33,11.99,26.1,8.68,31.92,18-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Mar-2020 - 00:00,282.33,997.75,71.51,23.89,-2.71,54.19,30.28,1.41,116.02,10.41,23.54,9.09,20.37,19-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Mar-2020 - 00:00,255.41,997.82,90.94,24.11,-2.89,50.65,32.55,1.99,110.15,11.57,25.8,9.55,30.37,20-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Mar-2020 - 00:00,230.76,998.26,81.22,24.1,-3.04,49.04,54.1,2.87,82.57,10.15,23.46,8.55,38.06,21-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Mar-2020 - 00:00,142.62,998.43,102.08,23.36,-2.77,61.25,84.13,3.19,49.45,9.29,23.84,9.05,41.72,22-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Mar-2020 - 00:00,216.29,998.34,87.15,23.22,-2.73,68.73,84.8,2.82,56.76,11.46,26.83,8.83,43.76,23-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Mar-2020 - 00:00,173.28,998.46,91.8,24.68,-3.0,61.76,82.62,2.43,66.95,10.04,25.77,9.18,38.22,24-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Mar-2020 - 00:00,209.14,999.33,93.0,25.96,-3.12,56.07,90.55,2.2,47.8,10.69,22.47,8.74,31.4,25-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Mar-2020 - 00:00,184.4,999.07,87.82,25.84,-3.11,55.75,70.41,2.1,58.56,10.54,22.77,9.33,29.7,26-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Mar-2020 - 00:00,197.92,999.08,69.19,25.88,-3.11,50.25,36.56,1.48,83.55,10.43,23.38,9.25,23.06,27-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Mar-2020 - 00:00,257.99,998.97,70.99,28.63,-3.28,40.6,52.63,1.45,75.49,9.99,23.29,9.06,30.41,28-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Mar-2020 - 00:00,217.92,999.55,71.74,27.75,-3.29,46.62,52.53,1.24,52.84,9.91,24.1,9.21,22.72,29-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Mar-2020 - 00:00,188.92,999.48,52.37,26.72,-3.14,42.96,42.84,0.98,62.34,9.87,22.0,9.12,20.05,30-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Mar-2020 - 00:00,181.68,999.69,62.24,28.13,-3.25,33.14,44.86,1.24,42.64,9.64,23.79,9.14,22.83,31-Mar-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
31-Mar-2020 - 00:00,220.59,998.99,83.21,27.72,-3.33,37.61,58.27,2.33,38.03,10.79,26.13,8.93,38.02,01-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Apr-2020 - 00:00,232.48,997.6,100.99,28.58,-3.07,40.78,71.73,2.45,38.39,10.74,25.48,9.24,42.32,02-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Apr-2020 - 00:00,243.31,998.86,114.57,29.4,-3.29,41.19,81.62,2.79,56.16,11.36,24.52,9.26,45.88,03-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Apr-2020 - 00:00,221.34,998.78,97.8,28.15,-3.13,37.05,53.18,1.77,47.91,10.95,24.51,9.23,27.12,04-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Apr-2020 - 00:00,248.03,998.99,122.84,28.09,-3.27,33.53,74.82,2.57,95.49,10.47,24.88,9.3,42.19,05-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Apr-2020 - 00:00,201.96,999.26,103.46,28.39,-3.31,29.27,53.29,2.61,89.05,11.53,23.74,8.77,43.59,06-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Apr-2020 - 00:00,228.05,998.28,95.5,28.08,-3.41,29.5,62.8,1.82,47.26,11.57,24.07,9.14,25.69,07-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Apr-2020 - 00:00,229.07,999.88,121.49,29.37,-3.45,31.99,81.69,2.56,37.53,11.13,24.48,9.1,41.36,08-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Apr-2020 - 00:00,202.59,,108.79,28.77,-3.3,37.37,52.76,1.41,48.98,10.66,26.86,8.8,27.42,09-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Apr-2020 - 00:00,200.32,999.94,95.31,28.51,-3.4,42.31,47.89,1.6,40.59,11.3,26.16,8.86,29.18,10-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Apr-2020 - 00:00,230.74,999.85,124.82,30.23,-3.52,35.98,75.38,2.13,42.76,11.19,24.27,8.94,42.96,11-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Apr-2020 - 00:00,218.63,999.35,128.57,30.12,-3.5,35.43,72.57,2.09,53.29,11.05,25.78,8.95,34.8,12-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Apr-2020 - 00:00,234.21,999.9,121.48,29.32,-3.38,48.88,59.55,1.92,66.15,11.74,23.83,9.1,41.34,13-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Apr-2020 - 00:00,235.98,,125.38,30.81,-3.51,56.37,52.47,2.11,53.2,11.79,25.16,8.79,35.62,14-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Apr-2020 - 00:00,207.83,,123.57,31.45,-3.61,57.53,50.18,2.21,37.89,12.09,23.12,8.93,41.4,15-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Apr-2020 - 00:00,204.29,,117.99,29.54,-3.39,68.94,46.14,1.74,29.32,11.33,24.08,9.26,31.34,16-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Apr-2020 - 00:00,229.03,,108.11,29.04,-3.33,54.11,28.04,1.51,64.39,11.23,24.39,8.45,27.13,17-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Apr-2020 - 00:00,215.63,,118.68,31.5,-3.57,56.36,40.8,2.0,67.58,11.18,24.62,8.91,32.62,18-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Apr-2020 - 00:00,221.73,,128.37,29.59,-3.23,59.91,43.17,1.97,,10.26,29.23,9.47,35.09,19-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Apr-2020 - 00:00,255.93,,106.9,29.94,-3.41,49.38,28.18,1.51,,9.6,21.84,8.62,28.57,20-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Apr-2020 - 00:00,269.84,,105.78,29.02,-3.32,59.59,24.57,1.61,,10.71,26.39,9.13,31.62,21-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Apr-2020 - 00:00,186.03,,86.64,26.02,-2.65,57.21,17.82,1.76,,11.71,23.98,8.95,28.8,22-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Apr-2020 - 00:00,155.69,999.65,96.39,24.88,-2.68,72.83,16.24,1.74,,10.73,24.68,9.38,25.07,23-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Apr-2020 - 00:00,168.86,999.91,107.9,25.08,-2.54,91.4,27.15,2.18,19.83,12.17,25.64,9.07,32.9,24-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Apr-2020 - 00:00,167.37,999.31,92.44,25.4,-2.72,82.0,16.47,1.22,34.62,12.1,25.22,8.79,26.99,25-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Apr-2020 - 00:00,240.38,999.52,87.73,24.92,-2.7,79.09,13.09,1.29,26.98,11.64,25.17,8.85,31.28,26-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Apr-2020 - 00:00,191.5,999.86,94.38,24.42,-2.51,88.05,21.87,1.27,23.92,10.74,24.83,9.29,28.3,27-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Apr-2020 - 00:00,199.14,,94.52,24.88,-2.66,89.1,19.6,0.96,27.88,10.69,24.4,9.55,25.31,28-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Apr-2020 - 00:00,237.84,,88.76,24.67,-2.8,81.26,12.2,0.86,25.7,11.84,24.84,8.93,23.44,29-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Apr-2020 - 00:00,231.52,1000.0,98.95,25.31,-2.68,80.29,19.15,0.88,28.0,10.7,25.23,9.07,28.01,30-Apr-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Apr-2020 - 00:00,242.65,,115.25,27.77,-3.15,75.41,40.08,0.96,28.91,10.07,25.99,9.16,34.61,01-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-May-2020 - 00:00,227.76,,98.13,25.65,-2.79,83.68,37.56,0.75,33.54,9.95,24.15,9.19,23.83,02-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-May-2020 - 00:00,199.27,999.98,88.53,24.55,-2.97,72.69,26.68,0.92,37.81,10.97,25.57,9.12,22.17,03-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-May-2020 - 00:00,254.81,,98.37,26.97,-2.92,74.3,32.88,1.24,50.97,10.68,24.45,9.34,22.86,04-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-May-2020 - 00:00,247.49,,121.82,29.03,-3.13,74.33,35.02,1.3,57.04,9.72,25.02,9.66,26.36,05-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-May-2020 - 00:00,199.25,,138.77,28.54,-2.99,70.4,26.04,1.5,86.38,10.39,23.74,9.34,25.6,06-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-May-2020 - 00:00,198.42,999.91,121.69,26.57,-3.01,68.09,13.61,1.43,36.15,10.08,24.88,8.87,25.65,07-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-May-2020 - 00:00,201.79,,129.44,27.04,-3.01,77.26,14.79,1.42,41.64,10.26,24.81,9.2,24.13,08-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-May-2020 - 00:00,196.02,,105.14,27.59,-3.22,68.91,33.64,1.33,34.12,10.11,23.82,9.05,29.61,09-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-May-2020 - 00:00,211.67,,101.4,29.55,-3.4,66.79,62.88,1.34,48.14,9.63,23.27,9.39,31.34,10-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-May-2020 - 00:00,197.66,999.84,95.52,28.02,-3.05,82.6,47.68,1.24,123.18,10.68,23.9,8.76,28.71,11-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-May-2020 - 00:00,187.44,999.65,82.21,27.06,-2.83,69.83,39.36,1.26,77.61,10.73,25.31,9.02,22.23,12-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-May-2020 - 00:00,178.13,,85.19,27.35,-2.68,75.36,60.17,1.28,53.1,11.91,24.47,8.96,26.25,13-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-May-2020 - 00:00,181.54,,78.25,28.65,-2.85,70.64,54.33,1.15,65.91,11.56,24.62,8.86,24.85,14-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-May-2020 - 00:00,170.43,,83.71,29.46,-2.93,67.91,59.23,1.19,48.43,11.19,25.88,9.33,30.78,15-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
