from date,SR,BP,PM10,Temp,VWS,RH,PM2.5,CO,Ozone,NO2,NO,NH3,SO2,to date,station
01-Jan-2020 - 00:00,60.42,998.12,183.78,13.98,-3.14,,64.74,,17.36,8.86,8.9,6.44,25.97,02-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Jan-2020 - 00:00,100.84,998.65,139.76,16.42,-2.74,,62.82,,15.99,8.84,8.78,6.49,25.67,03-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Jan-2020 - 00:00,145.26,999.04,105.29,16.9,-2.57,,41.84,,15.61,8.98,8.8,6.4,22.61,04-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Jan-2020 - 00:00,140.57,998.63,137.48,16.77,-2.94,,53.31,,14.61,9.07,8.87,6.45,23.59,05-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Jan-2020 - 00:00,180.8,998.9,103.32,16.62,-2.25,,39.62,,26.17,8.48,8.59,6.5,22.18,06-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Jan-2020 - 00:00,196.16,997.64,167.28,14.95,-2.19,,54.61,,23.92,8.78,8.89,6.51,24.35,07-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Jan-2020 - 00:00,181.2,997.87,215.44,15.39,-2.2,,70.91,,25.67,9.23,8.97,6.48,25.42,08-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Jan-2020 - 00:00,143.68,998.27,260.15,16.81,-2.29,,83.3,,75.4,9.4,8.91,6.46,31.79,09-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Jan-2020 - 00:00,129.26,999.81,177.89,17.52,-2.35,,65.66,,155.17,8.83,8.78,6.51,29.65,10-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Jan-2020 - 00:00,162.21,998.78,128.41,14.64,-2.13,,47.05,,122.14,8.54,8.65,6.5,23.1,11-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Jan-2020 - 00:00,213.4,997.85,121.77,14.06,-2.04,,52.99,,75.03,8.7,8.82,6.42,23.85,12-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Jan-2020 - 00:00,218.24,997.83,128.32,14.71,-2.13,,50.75,,79.9,8.76,8.95,6.48,24.87,13-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Jan-2020 - 00:00,207.65,997.98,177.99,15.2,-2.16,,70.05,,62.36,9.15,8.69,6.45,22.27,14-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Jan-2020 - 00:00,204.06,998.31,235.61,17.44,-2.61,,80.77,,60.8,9.42,8.95,6.42,36.38,15-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Jan-2020 - 00:00,190.74,998.2,277.42,17.59,-2.43,,71.97,,53.4,9.38,8.92,6.43,42.81,16-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Jan-2020 - 00:00,180.47,998.84,259.02,19.49,-2.52,,74.84,,52.7,9.05,8.7,6.45,30.18,17-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Jan-2020 - 00:00,201.81,999.71,205.22,21.25,-2.79,,61.68,,47.89,8.87,8.85,6.51,29.21,18-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Jan-2020 - 00:00,98.73,999.31,182.21,17.83,-2.95,,59.22,,65.25,8.74,8.8,6.44,24.2,19-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Jan-2020 - 00:00,98.54,999.56,138.15,17.15,-2.92,,49.65,,77.61,8.4,8.56,6.46,22.55,20-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Jan-2020 - 00:00,237.36,998.48,111.01,15.66,-2.62,,47.1,,68.11,8.4,8.66,6.5,24.21,21-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Jan-2020 - 00:00,187.43,997.89,188.24,15.42,-2.44,,65.92,,44.55,9.02,8.96,6.46,36.41,22-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Jan-2020 - 00:00,166.29,998.01,254.57,16.4,-2.55,,81.08,,49.35,9.07,8.67,6.43,36.6,23-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Jan-2020 - 00:00,158.27,999.13,193.4,17.46,-2.7,,74.04,,52.06,7.85,8.27,6.62,26.33,24-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Jan-2020 - 00:00,236.5,997.77,137.26,15.27,-2.56,,58.26,,50.16,6.96,7.93,6.73,22.11,25-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Jan-2020 - 00:00,231.87,997.35,154.27,14.61,-2.41,,48.26,,47.62,6.62,7.93,6.79,25.43,26-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Jan-2020 - 00:00,182.69,997.37,150.75,14.48,-2.48,,49.09,,56.25,6.26,7.46,6.74,21.98,27-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Jan-2020 - 00:00,219.34,997.49,145.31,15.96,-2.6,,52.93,,57.1,6.32,7.48,6.73,23.34,28-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Jan-2020 - 00:00,153.09,997.98,309.38,18.11,-2.77,,76.51,,53.54,6.64,7.78,6.69,41.75,29-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Jan-2020 - 00:00,126.63,999.85,214.66,18.74,-2.71,,78.09,,41.88,6.23,7.73,6.74,28.53,30-Jan-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
