from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,,437.89,65.56,102.97,118.68,70.2,8.43,3.17,12.89,1.75,9.16,1.06,224.21,11.46,76.89,740.96,52.9,1.0,02-Jan-2020 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
02-Jan-2020 - 00:00,,366.78,69.95,107.58,124.71,69.42,13.11,2.72,10.97,1.61,8.94,0.89,182.75,14.55,73.59,741.07,52.52,,03-Jan-2020 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
03-Jan-2020 - 00:00,175.15,297.2,65.04,128.64,139.33,67.64,12.64,2.5,11.16,1.33,9.17,0.94,198.12,15.96,74.03,741.21,55.92,,04-Jan-2020 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
04-Jan-2020 - 00:00,249.28,319.67,69.06,66.87,91.17,73.13,4.44,1.82,24.36,1.26,11.76,1.32,127.3,15.39,72.72,740.96,43.54,,05-Jan-2020 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
05-Jan-2020 - 00:00,223.05,285.81,65.65,15.38,47.51,67.3,15.63,1.24,41.1,0.8,5.79,1.97,117.35,15.27,64.61,740.94,46.79,,06-Jan-2020 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
06-Jan-2020 - 00:00,189.55,254.32,64.55,31.11,59.23,72.0,20.42,1.45,24.47,0.82,6.65,1.57,152.08,14.65,72.73,741.09,24.21,1.0,07-Jan-2020 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
07-Jan-2020 - 00:00,143.93,155.55,41.09,10.35,30.35,65.82,9.58,0.92,5.35,0.61,3.68,1.47,243.91,14.37,88.59,740.93,26.76,1.33,08-Jan-2020 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
08-Jan-2020 - 00:00,145.33,152.14,37.38,9.54,27.74,62.83,8.26,1.28,4.64,0.63,3.95,1.44,190.5,13.79,95.48,740.38,16.55,2.67,09-Jan-2020 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
09-Jan-2020 - 00:00,112.57,137.36,40.27,6.64,26.91,46.01,5.18,0.82,11.74,0.5,3.23,2.81,120.72,11.18,85.53,740.69,47.45,,10-Jan-2020 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
10-Jan-2020 - 00:00,145.03,205.03,57.01,10.26,38.76,49.09,8.96,1.1,19.3,0.67,5.74,2.7,109.77,11.73,76.08,740.85,58.9,1.0,11-Jan-2020 - 00:00,"Sanjay Nagar, Ghaziabad - UPPCB"
