from date,PM10,PM2.5,NO2,NO,NOx,CO,to date,station
01-Jan-2020 - 00:00,125.8,92.81,15.11,10.28,25.39,0.3,02-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
02-Jan-2020 - 00:00,75.82,46.31,15.18,10.26,25.49,0.3,03-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
03-Jan-2020 - 00:00,60.0,42.73,15.32,10.35,25.71,0.29,04-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
04-Jan-2020 - 00:00,63.88,45.99,15.14,10.39,25.64,0.29,05-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
05-Jan-2020 - 00:00,90.84,61.27,15.29,10.4,25.75,0.29,06-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
06-Jan-2020 - 00:00,96.19,55.55,15.19,10.34,25.39,0.29,07-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
07-Jan-2020 - 00:00,90.98,49.26,15.17,10.29,25.45,0.29,08-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
08-Jan-2020 - 00:00,85.16,62.41,15.22,10.28,25.37,0.3,09-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
09-Jan-2020 - 00:00,90.22,64.42,15.3,10.23,25.57,0.28,10-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
10-Jan-2020 - 00:00,93.79,60.58,15.15,10.4,25.66,0.29,11-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
11-Jan-2020 - 00:00,90.35,59.12,15.23,10.41,25.67,0.3,12-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
12-Jan-2020 - 00:00,,101.01,15.02,10.49,25.53,0.29,13-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
13-Jan-2020 - 00:00,147.75,59.0,15.17,10.34,25.52,0.29,14-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
14-Jan-2020 - 00:00,124.2,74.05,15.37,10.25,25.62,0.3,15-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
15-Jan-2020 - 00:00,136.41,111.71,15.28,10.28,25.57,0.3,16-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
16-Jan-2020 - 00:00,153.78,127.46,15.29,10.28,25.62,0.3,17-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
17-Jan-2020 - 00:00,79.63,53.04,15.28,10.38,25.65,0.29,18-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
18-Jan-2020 - 00:00,64.31,42.93,15.24,10.37,25.62,0.3,19-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
19-Jan-2020 - 00:00,52.5,35.45,15.26,10.37,25.63,0.3,20-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
20-Jan-2020 - 00:00,65.17,38.2,15.15,10.35,25.46,0.3,21-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
21-Jan-2020 - 00:00,77.74,44.77,15.13,10.35,25.47,0.31,22-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
22-Jan-2020 - 00:00,100.55,78.8,15.1,10.31,25.4,0.3,23-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
23-Jan-2020 - 00:00,91.16,57.17,15.18,10.38,25.58,0.29,24-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
24-Jan-2020 - 00:00,119.04,52.06,15.2,10.29,25.44,0.3,25-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
25-Jan-2020 - 00:00,150.65,73.03,15.18,10.4,25.6,0.3,26-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
26-Jan-2020 - 00:00,123.51,55.49,15.19,10.37,25.58,0.3,27-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
27-Jan-2020 - 00:00,79.74,39.17,15.05,10.28,25.39,0.3,28-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
28-Jan-2020 - 00:00,75.13,33.0,15.34,10.25,25.5,0.3,29-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
29-Jan-2020 - 00:00,80.16,32.48,15.3,10.33,25.59,0.3,30-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
30-Jan-2020 - 00:00,91.34,54.82,15.07,10.37,25.53,0.3,31-Jan-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
31-Jan-2020 - 00:00,79.19,41.68,15.16,10.39,25.54,0.3,01-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
01-Feb-2020 - 00:00,69.56,33.27,15.15,10.41,25.64,0.3,02-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
02-Feb-2020 - 00:00,73.42,34.26,15.02,10.41,25.42,0.29,03-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
03-Feb-2020 - 00:00,71.11,33.36,14.96,10.42,25.39,0.3,04-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
04-Feb-2020 - 00:00,83.33,49.07,15.06,10.41,25.27,0.31,05-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
05-Feb-2020 - 00:00,89.5,71.0,15.15,10.43,25.51,0.31,06-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
06-Feb-2020 - 00:00,73.05,32.1,14.96,10.41,25.34,0.29,07-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
07-Feb-2020 - 00:00,96.55,52.36,15.09,10.37,25.46,0.3,08-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
08-Feb-2020 - 00:00,91.48,50.13,14.96,10.42,25.38,0.29,09-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
09-Feb-2020 - 00:00,99.55,52.3,15.04,10.39,25.4,0.3,10-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
10-Feb-2020 - 00:00,110.69,53.97,15.17,10.42,25.45,0.29,11-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
11-Feb-2020 - 00:00,79.58,42.51,15.15,10.38,25.49,0.31,12-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
12-Feb-2020 - 00:00,166.77,56.67,15.04,10.47,25.51,0.31,13-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
13-Feb-2020 - 00:00,112.41,43.15,15.1,10.39,25.48,0.3,14-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
14-Feb-2020 - 00:00,97.38,44.56,14.98,10.36,25.27,0.31,15-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
15-Feb-2020 - 00:00,101.37,33.67,15.0,10.38,25.46,0.3,16-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
16-Feb-2020 - 00:00,126.37,36.32,15.09,10.38,25.51,0.3,17-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
