from date,NO2,NO,NOx,NH3,SO2,CO,Benzene,Eth-Benzene,MP-Xylene,Toluene,RH,WS,WD,SR,RF,PM2.5,PM10,Ozone,to date,station
26-Jan-2020 - 00:00,49.69,18.83,41.24,30.22,11.39,1.09,7.97,3.06,5.03,26.3,89.36,1.76,234.75,267.8,0.0,95.15,167.01,75.89,27-Jan-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
27-Jan-2020 - 00:00,55.69,13.82,40.13,30.6,12.32,1.15,8.39,2.7,5.01,26.01,98.5,1.29,154.57,78.31,0.0,98.12,172.29,72.0,28-Jan-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
28-Jan-2020 - 00:00,38.2,7.16,25.7,29.26,15.81,0.51,3.7,1.15,2.29,15.45,90.54,3.19,119.24,80.66,0.0,49.96,88.72,79.31,29-Jan-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
29-Jan-2020 - 00:00,37.49,4.49,22.92,25.17,22.65,0.49,2.66,1.15,2.69,15.12,83.83,2.07,206.7,238.73,0.0,11.63,67.31,62.37,30-Jan-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
30-Jan-2020 - 00:00,30.94,2.63,17.9,22.19,33.97,0.49,1.97,0.52,1.35,11.02,82.4,2.92,302.87,409.72,0.0,21.65,90.17,87.13,31-Jan-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
31-Jan-2020 - 00:00,41.65,13.41,32.51,22.73,28.78,0.88,5.25,1.64,4.02,24.37,96.26,2.15,268.02,139.2,0.0,79.56,132.55,88.98,01-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
01-Feb-2020 - 00:00,47.68,12.63,35.04,22.79,25.2,0.8,6.78,2.19,4.74,20.95,94.66,1.5,266.54,222.36,0.0,74.99,124.59,100.08,02-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
02-Feb-2020 - 00:00,34.28,2.45,19.87,24.96,63.79,0.56,4.12,0.87,1.94,22.03,89.24,2.43,303.25,271.68,0.0,66.03,112.68,148.86,03-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
03-Feb-2020 - 00:00,56.81,18.95,44.88,26.09,29.39,1.27,9.16,2.98,6.92,30.28,84.92,1.43,269.88,385.12,0.0,113.22,195.78,84.43,04-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
04-Feb-2020 - 00:00,51.01,15.92,39.42,24.68,44.63,0.79,6.32,6.47,6.94,22.36,79.28,1.9,191.79,305.41,0.0,93.35,152.42,95.32,05-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
05-Feb-2020 - 00:00,31.75,2.02,18.21,25.53,25.99,0.56,3.86,1.14,2.18,21.12,75.87,2.9,296.92,403.01,0.0,58.71,123.38,94.45,06-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
06-Feb-2020 - 00:00,39.85,5.76,25.23,25.59,11.87,0.6,4.7,1.42,3.57,19.03,76.33,1.87,270.34,373.88,0.0,72.81,141.13,72.4,07-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
07-Feb-2020 - 00:00,40.01,14.52,32.53,23.59,11.3,0.65,6.94,2.71,5.09,29.21,79.36,1.76,250.29,320.41,0.0,77.64,161.65,37.68,08-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
08-Feb-2020 - 00:00,32.55,3.95,20.17,23.84,20.13,0.66,5.61,1.61,3.28,28.3,80.07,2.46,294.27,376.34,0.0,80.08,156.06,42.08,09-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
09-Feb-2020 - 00:00,29.1,2.82,17.47,24.43,21.53,0.78,5.59,1.14,2.92,28.76,71.9,1.76,284.34,382.61,0.0,78.39,159.74,55.84,10-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
10-Feb-2020 - 00:00,36.14,5.72,23.44,25.64,16.42,0.82,6.89,1.62,4.4,32.37,78.09,1.89,285.66,378.39,0.0,84.67,172.11,42.77,11-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
11-Feb-2020 - 00:00,40.05,5.92,25.73,27.25,18.67,0.83,7.43,2.27,5.12,32.33,76.91,1.66,286.43,357.63,0.0,88.31,179.11,40.36,12-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
12-Feb-2020 - 00:00,24.56,3.12,15.35,26.47,29.85,0.66,5.16,1.58,3.02,27.87,73.27,3.86,300.36,397.33,0.0,84.41,179.13,40.9,13-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
13-Feb-2020 - 00:00,16.36,2.39,10.46,26.42,22.38,0.49,3.75,0.93,2.08,22.44,69.98,4.41,300.98,425.1,0.0,53.73,114.74,27.3,14-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
14-Feb-2020 - 00:00,16.99,2.12,10.57,22.72,16.8,0.46,2.46,0.63,1.25,19.26,71.49,4.69,299.54,433.74,0.0,54.32,120.05,38.71,15-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
15-Feb-2020 - 00:00,25.74,3.11,15.94,23.09,11.03,0.62,3.89,1.02,2.29,22.85,65.98,3.27,292.02,417.44,0.0,55.28,148.01,32.75,16-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
16-Feb-2020 - 00:00,31.16,3.04,18.72,22.82,21.96,0.56,4.65,1.26,2.51,26.71,53.56,2.03,273.35,435.52,0.0,69.69,141.65,32.98,17-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
17-Feb-2020 - 00:00,27.32,2.43,16.22,23.74,26.69,0.53,4.53,1.04,2.44,29.01,54.64,3.11,301.39,466.34,0.0,61.99,134.85,38.4,18-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
18-Feb-2020 - 00:00,37.42,3.75,22.57,25.18,16.68,0.77,7.59,3.08,4.86,29.1,67.83,2.42,286.59,408.13,0.0,104.29,201.32,36.53,19-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
