from date,CO,PM10,NO,NO2,NOx,SO2,to date,station
01-Jan-2020 - 00:00,1.64,89.13,11.18,40.0,48.08,9.96,02-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Jan-2020 - 00:00,2.04,97.87,11.09,40.81,51.91,10.09,03-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Jan-2020 - 00:00,1.96,94.6,10.86,44.31,55.17,9.63,04-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Jan-2020 - 00:00,2.01,104.51,12.82,50.93,63.75,10.23,05-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Jan-2020 - 00:00,1.68,105.76,11.33,48.86,60.19,9.34,06-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Jan-2020 - 00:00,1.78,79.97,12.24,43.67,55.91,10.11,07-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Jan-2020 - 00:00,1.8,78.13,12.2,45.38,57.58,10.17,08-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Jan-2020 - 00:00,1.51,75.86,6.04,29.04,35.06,9.65,09-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Jan-2020 - 00:00,2.09,114.47,6.01,43.63,49.56,10.47,10-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Jan-2020 - 00:00,1.7,94.62,9.87,50.5,58.39,9.76,11-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Jan-2020 - 00:00,1.25,66.91,,,,9.78,12-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Jan-2020 - 00:00,,,,,,,13-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Jan-2020 - 00:00,2.1,119.99,,,,10.68,14-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Jan-2020 - 00:00,1.97,112.94,15.57,70.3,85.85,9.64,15-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Jan-2020 - 00:00,1.71,91.11,8.78,44.82,53.6,9.84,16-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Jan-2020 - 00:00,1.87,96.41,10.37,54.25,64.62,10.1,17-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Jan-2020 - 00:00,1.96,95.85,16.03,63.68,79.71,10.39,18-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Jan-2020 - 00:00,1.68,77.81,11.49,43.23,54.72,9.39,19-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Jan-2020 - 00:00,1.88,74.2,12.6,48.63,61.23,9.92,20-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Jan-2020 - 00:00,1.86,87.5,13.21,57.0,70.21,10.04,21-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Jan-2020 - 00:00,1.66,83.85,10.17,49.19,59.36,9.53,22-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Jan-2020 - 00:00,1.77,77.72,12.2,49.88,62.08,9.76,23-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Jan-2020 - 00:00,1.87,74.01,9.78,38.99,48.74,9.85,24-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Jan-2020 - 00:00,1.89,85.91,17.14,66.82,83.96,10.16,25-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Jan-2020 - 00:00,1.96,92.41,19.92,78.27,98.19,9.9,26-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Jan-2020 - 00:00,1.88,97.95,15.9,73.54,89.44,9.83,27-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
