from date,BP,PM2.5,RH,SR,Temp,CH4,CO,NH3,NO,NO2,NOx,SO2,Ozone,to date,station
02-Feb-2020 - 00:00,997.52,40.06,58.55,114.22,24.87,994.46,0.88,16.58,2.13,25.47,27.44,3.61,,03-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
03-Feb-2020 - 00:00,993.89,44.53,48.26,167.64,25.68,841.82,0.96,16.42,2.3,30.44,32.7,3.44,,04-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
04-Feb-2020 - 00:00,994.62,36.6,50.0,174.54,25.22,847.5,0.96,16.0,2.53,30.61,33.06,3.45,,05-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
05-Feb-2020 - 00:00,996.36,39.37,56.33,158.74,25.8,932.07,1.09,16.72,2.39,30.42,32.66,3.36,,06-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
06-Feb-2020 - 00:00,875.37,49.22,50.94,141.53,25.88,920.82,1.03,16.64,2.17,30.09,32.2,3.24,,07-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
07-Feb-2020 - 00:00,908.94,55.57,56.75,127.93,25.65,964.76,1.13,16.84,2.23,29.32,31.5,3.46,,08-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
08-Feb-2020 - 00:00,897.27,54.6,51.18,157.74,26.19,913.27,0.98,17.37,3.05,30.47,33.44,2.94,,09-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
09-Feb-2020 - 00:00,905.91,42.66,56.41,129.87,25.73,967.18,0.9,15.47,2.26,23.66,25.83,3.46,,10-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
10-Feb-2020 - 00:00,911.38,36.65,58.29,162.11,25.69,936.32,0.96,15.32,2.4,22.49,24.78,3.29,,11-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
11-Feb-2020 - 00:00,901.38,38.72,53.41,169.05,25.26,854.18,0.9,14.93,2.28,23.96,26.09,3.3,,12-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
12-Feb-2020 - 00:00,938.3,40.12,56.82,162.69,25.42,998.17,0.98,15.14,2.48,25.61,28.0,3.59,,13-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
13-Feb-2020 - 00:00,923.32,42.55,50.53,173.05,26.5,843.85,0.98,15.39,2.27,26.26,28.43,3.1,,14-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
14-Feb-2020 - 00:00,960.19,48.48,59.34,190.74,25.21,916.09,1.17,15.35,2.51,27.69,30.17,3.43,,15-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
15-Feb-2020 - 00:00,902.09,60.08,26.49,41.55,28.28,826.64,1.54,18.95,4.07,48.67,52.63,3.84,,16-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
16-Feb-2020 - 00:00,899.02,40.38,27.81,167.9,26.74,792.57,0.96,13.62,2.15,27.02,29.04,3.25,,17-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
17-Feb-2020 - 00:00,904.78,49.86,29.84,171.14,26.41,772.74,1.09,14.3,2.69,33.27,34.96,3.31,,18-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
18-Feb-2020 - 00:00,929.48,48.59,39.06,167.38,26.35,811.19,1.03,14.54,2.33,30.35,32.6,3.07,,19-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
19-Feb-2020 - 00:00,942.95,49.88,45.62,156.65,26.23,857.34,1.06,14.58,2.09,27.0,29.02,3.75,,20-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
20-Feb-2020 - 00:00,912.61,49.2,44.44,169.13,26.06,733.72,1.03,14.91,2.59,30.09,32.16,3.32,,21-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
21-Feb-2020 - 00:00,925.05,40.12,48.24,172.62,25.9,728.57,0.91,14.39,2.46,24.71,26.89,3.4,,22-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
22-Feb-2020 - 00:00,932.23,40.32,53.55,168.99,26.06,851.22,0.93,14.46,2.25,20.68,22.86,3.51,,23-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
23-Feb-2020 - 00:00,940.42,40.83,55.31,153.43,25.86,916.81,0.98,13.89,2.11,17.42,19.4,3.34,,24-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
24-Feb-2020 - 00:00,935.19,39.05,56.01,127.22,25.67,940.08,1.13,14.4,2.2,21.65,23.73,3.34,,25-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
25-Feb-2020 - 00:00,932.9,45.62,51.47,155.44,26.39,868.93,1.27,15.02,2.37,25.9,28.15,3.52,,26-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
26-Feb-2020 - 00:00,946.3,43.87,52.12,144.62,26.94,890.05,1.12,15.18,2.46,22.55,24.9,3.2,,27-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
27-Feb-2020 - 00:00,938.27,45.87,51.91,137.48,26.82,908.12,1.17,15.17,2.66,22.29,24.86,3.83,,28-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
28-Feb-2020 - 00:00,945.54,49.77,54.74,128.54,26.27,942.35,1.12,14.81,2.4,18.85,21.19,3.31,,29-Feb-2020 - 00:00,"Peenya, Bengaluru - CPCB"
29-Feb-2020 - 00:00,931.96,49.53,51.84,153.16,26.72,861.6,1.12,15.17,2.7,21.15,23.8,3.21,,01-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
01-Mar-2020 - 00:00,933.17,42.34,54.01,139.96,26.87,930.09,0.97,14.17,2.27,16.75,18.95,3.37,,02-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
02-Mar-2020 - 00:00,966.43,61.01,62.67,71.74,25.86,,1.27,16.22,3.04,24.07,27.03,3.91,,03-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
03-Mar-2020 - 00:00,951.07,66.04,52.95,131.35,27.2,945.7,1.22,15.52,2.45,21.34,23.7,3.18,,04-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
04-Mar-2020 - 00:00,943.89,59.12,55.47,159.17,27.32,958.61,1.16,18.82,4.0,25.47,29.02,3.55,,05-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
05-Mar-2020 - 00:00,954.22,60.21,52.38,156.38,27.5,937.54,1.03,16.44,2.16,15.59,17.68,3.41,,06-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
06-Mar-2020 - 00:00,950.0,48.09,57.64,146.28,27.18,972.88,0.99,15.63,2.23,14.22,16.37,3.14,,07-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
07-Mar-2020 - 00:00,967.65,50.58,58.2,117.66,27.21,,1.08,15.81,2.42,15.64,17.96,3.17,,08-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
08-Mar-2020 - 00:00,950.29,43.55,59.37,157.63,27.47,996.6,0.97,15.25,2.26,12.07,14.23,3.2,,09-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
09-Mar-2020 - 00:00,951.93,46.2,59.1,149.84,27.59,978.01,0.97,15.78,2.47,13.67,16.04,3.64,,10-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
10-Mar-2020 - 00:00,951.83,53.18,52.16,157.4,27.95,982.45,1.03,14.5,2.44,13.39,15.69,3.18,,11-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
11-Mar-2020 - 00:00,942.06,41.73,45.41,150.97,27.85,910.28,1.05,13.2,2.21,14.29,16.39,3.3,,12-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
12-Mar-2020 - 00:00,933.36,40.84,44.04,165.85,27.87,892.29,1.06,12.78,2.26,16.54,18.56,3.19,,13-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
13-Mar-2020 - 00:00,926.16,40.29,39.5,170.72,28.02,831.75,0.96,12.55,2.29,17.39,19.57,3.51,,14-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
14-Mar-2020 - 00:00,935.18,41.5,43.52,168.34,27.97,776.15,1.01,12.63,2.42,17.48,19.87,3.25,,15-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
15-Mar-2020 - 00:00,926.54,39.38,48.15,167.03,27.89,816.61,0.91,12.23,2.22,12.01,14.19,3.55,,16-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
16-Mar-2020 - 00:00,935.35,37.55,50.6,169.46,27.67,827.77,0.93,13.17,2.38,13.72,16.06,3.13,,17-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
17-Mar-2020 - 00:00,925.84,32.22,46.18,172.0,27.72,818.27,0.89,12.44,2.27,12.4,14.59,3.57,,18-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
18-Mar-2020 - 00:00,919.89,33.71,36.7,172.58,28.15,786.55,0.91,12.46,2.31,16.27,18.52,3.41,,19-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
19-Mar-2020 - 00:00,925.84,43.84,38.62,160.19,28.62,817.0,1.11,12.64,2.17,16.17,18.3,3.33,,20-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
20-Mar-2020 - 00:00,960.26,50.55,59.01,109.94,27.25,993.15,1.04,14.04,2.39,16.05,18.38,4.04,,21-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
21-Mar-2020 - 00:00,920.54,43.64,47.11,163.19,28.4,826.12,1.22,14.06,2.99,18.0,20.87,3.29,,22-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
22-Mar-2020 - 00:00,931.48,34.64,44.17,159.7,28.56,860.11,0.92,11.48,2.06,8.45,10.4,3.12,,23-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
23-Mar-2020 - 00:00,965.16,47.56,61.68,110.85,27.17,943.12,1.32,14.8,2.73,17.61,20.27,2.79,,24-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
