from date,BP,PM2.5,RH,SR,Temp,CH4,CO,NH3,NO,NO2,NOx,SO2,Ozone,to date,station
26-May-2020 - 00:00,980.08,31.47,72.39,155.89,26.93,820.45,0.83,13.04,2.84,5.96,8.6,3.33,,27-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
27-May-2020 - 00:00,994.69,30.13,82.32,118.94,26.12,867.92,1.1,14.44,3.01,7.11,10.03,3.44,,28-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
28-May-2020 - 00:00,983.35,28.38,72.31,158.28,26.98,814.06,0.77,13.91,2.77,6.48,9.19,3.15,,29-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
29-May-2020 - 00:00,988.67,62.58,78.32,150.79,26.21,843.09,0.91,14.97,2.9,7.55,10.41,4.01,,30-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
30-May-2020 - 00:00,994.03,21.83,76.38,114.67,26.37,821.32,1.08,15.54,2.9,11.26,13.99,2.99,,31-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
31-May-2020 - 00:00,975.29,32.16,70.16,137.79,27.43,851.04,0.87,11.73,2.75,7.47,10.0,3.83,,01-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
01-Jun-2020 - 00:00,990.67,18.11,72.73,140.68,26.74,877.66,0.74,11.08,2.61,7.1,9.5,3.25,,02-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
02-Jun-2020 - 00:00,,19.72,77.05,87.89,25.89,849.83,0.72,11.06,2.53,6.67,9.1,3.66,,03-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
03-Jun-2020 - 00:00,,16.47,76.12,120.9,25.72,869.84,0.68,11.31,2.48,5.93,8.38,3.59,,04-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
04-Jun-2020 - 00:00,,21.76,75.62,106.32,26.34,840.93,0.72,11.3,2.49,6.3,8.65,4.42,,05-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
05-Jun-2020 - 00:00,986.16,22.45,70.4,137.78,26.68,831.53,0.71,11.56,2.7,6.44,8.99,4.76,,06-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
06-Jun-2020 - 00:00,993.76,29.11,79.97,115.25,25.79,835.33,0.73,12.05,2.43,7.32,9.63,4.29,,07-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
07-Jun-2020 - 00:00,986.53,25.21,76.96,129.13,25.95,825.79,0.69,10.8,2.36,5.82,8.09,4.38,,08-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
08-Jun-2020 - 00:00,976.79,28.36,65.75,134.43,27.13,743.99,0.63,10.68,2.53,6.51,8.88,4.26,,09-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
09-Jun-2020 - 00:00,995.75,32.09,71.23,107.62,26.72,831.02,0.74,10.83,2.61,6.9,9.41,4.03,,10-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
10-Jun-2020 - 00:00,990.71,31.75,78.96,86.09,25.85,845.08,0.77,11.0,2.38,6.97,9.24,4.49,,11-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
11-Jun-2020 - 00:00,993.92,21.82,81.01,91.34,25.27,795.72,0.71,10.98,2.62,6.57,9.02,4.26,,12-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
12-Jun-2020 - 00:00,,23.43,72.94,109.67,25.07,831.2,0.67,10.33,2.51,6.03,8.26,4.19,,13-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
13-Jun-2020 - 00:00,,26.04,82.95,95.99,24.99,906.5,0.72,10.57,2.64,6.96,9.38,4.08,,14-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
14-Jun-2020 - 00:00,995.42,24.03,80.76,116.85,25.62,862.37,0.61,9.24,2.41,5.21,7.35,4.0,,15-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
15-Jun-2020 - 00:00,992.46,48.76,74.32,110.78,26.16,836.18,0.96,10.01,2.4,6.08,8.16,4.46,,16-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
16-Jun-2020 - 00:00,,31.18,81.03,87.72,25.83,829.32,0.71,10.09,2.31,6.2,8.37,4.69,,17-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
17-Jun-2020 - 00:00,,33.44,82.79,70.3,25.35,880.76,0.75,10.19,2.27,6.11,8.29,4.55,,18-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
18-Jun-2020 - 00:00,,40.27,81.55,72.61,25.26,888.13,0.7,10.39,2.36,6.31,8.55,4.33,,19-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
19-Jun-2020 - 00:00,992.59,31.92,76.94,102.27,26.01,834.76,0.8,10.34,2.22,6.29,8.26,4.17,,20-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
20-Jun-2020 - 00:00,988.15,29.89,72.49,103.17,26.4,814.06,0.73,10.36,2.3,6.39,8.66,4.09,,21-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
21-Jun-2020 - 00:00,,25.81,80.69,75.14,25.42,852.78,0.63,9.67,2.29,5.18,7.43,4.23,,22-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
22-Jun-2020 - 00:00,994.7,23.59,80.9,95.11,25.19,858.02,0.56,10.12,2.25,5.91,8.1,4.16,,23-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
23-Jun-2020 - 00:00,982.16,33.82,71.46,130.07,26.37,779.98,0.78,11.38,2.71,6.86,9.53,4.08,,24-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
24-Jun-2020 - 00:00,985.53,30.44,81.04,88.29,25.81,825.95,0.78,11.95,2.3,6.38,8.64,4.12,,25-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
25-Jun-2020 - 00:00,993.65,24.39,87.62,106.66,25.2,821.55,0.87,11.1,2.38,7.13,9.4,4.47,,26-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
26-Jun-2020 - 00:00,986.63,22.33,81.29,110.25,25.76,903.1,0.88,12.13,3.08,8.26,11.29,4.31,,27-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
27-Jun-2020 - 00:00,993.09,27.08,78.7,94.91,26.02,899.51,0.89,11.65,3.02,7.93,10.87,4.44,,28-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
28-Jun-2020 - 00:00,979.3,24.48,80.41,106.8,26.28,882.74,0.79,10.11,2.57,5.05,7.61,3.9,,29-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
29-Jun-2020 - 00:00,993.07,29.39,81.3,91.9,26.06,917.18,0.75,10.12,2.28,7.06,9.32,4.31,,30-Jun-2020 - 00:00,"Peenya, Bengaluru - CPCB"
30-Jun-2020 - 00:00,980.4,18.58,78.55,105.94,26.2,848.45,0.72,11.02,2.83,7.26,10.06,3.91,,01-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
01-Jul-2020 - 00:00,984.37,25.89,73.99,118.25,26.16,907.5,0.8,10.93,2.65,5.76,8.37,4.34,,02-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
02-Jul-2020 - 00:00,,23.55,87.66,60.16,24.8,957.76,0.75,11.75,2.71,5.98,8.53,4.13,,03-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
03-Jul-2020 - 00:00,981.43,17.83,84.91,100.27,25.0,864.3,0.71,9.08,2.1,3.88,5.94,4.38,,04-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
04-Jul-2020 - 00:00,989.73,22.54,81.42,94.84,25.26,927.14,0.67,8.41,2.12,4.01,6.1,4.19,,05-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
05-Jul-2020 - 00:00,991.59,23.37,81.23,88.14,25.56,932.82,0.58,7.47,1.96,3.63,5.54,4.27,,06-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
06-Jul-2020 - 00:00,995.19,24.04,81.75,80.91,25.25,927.71,0.75,8.36,2.12,5.36,7.47,4.09,,07-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
07-Jul-2020 - 00:00,,21.2,82.71,106.53,25.22,718.52,0.73,8.22,2.18,5.18,7.35,4.08,,08-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
08-Jul-2020 - 00:00,,20.04,85.28,104.43,25.05,907.21,0.61,7.78,2.01,4.81,6.81,2.64,,09-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
09-Jul-2020 - 00:00,,20.3,85.04,139.92,25.37,892.69,0.62,7.96,1.99,5.3,7.28,3.03,,10-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
10-Jul-2020 - 00:00,,22.56,84.87,96.0,25.32,938.28,0.68,8.26,2.15,5.4,7.53,2.84,,11-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
11-Jul-2020 - 00:00,,22.09,74.16,133.63,26.22,873.49,0.67,8.0,2.11,5.55,7.63,2.44,,12-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
12-Jul-2020 - 00:00,,17.44,73.76,120.92,26.28,851.4,0.51,7.06,2.05,4.26,6.29,2.64,,13-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
13-Jul-2020 - 00:00,,23.58,77.74,102.03,25.97,864.13,0.65,7.65,2.03,5.34,7.33,2.85,,14-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
14-Jul-2020 - 00:00,,20.25,80.94,70.99,25.59,949.01,0.68,7.87,2.01,5.39,7.39,2.76,,15-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
15-Jul-2020 - 00:00,,19.2,88.96,63.46,24.65,973.79,0.65,7.62,2.03,4.91,6.93,2.22,,16-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
16-Jul-2020 - 00:00,,18.11,93.27,66.26,24.32,981.18,0.65,8.76,2.17,4.01,6.17,2.28,,17-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
17-Jul-2020 - 00:00,,19.38,88.85,75.85,24.6,968.21,0.64,8.79,2.2,4.29,6.49,2.04,,18-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
18-Jul-2020 - 00:00,,20.84,85.2,95.65,25.23,942.19,0.71,8.74,2.23,4.24,6.46,2.84,,19-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
19-Jul-2020 - 00:00,,19.78,84.78,102.93,25.91,926.46,0.78,8.5,2.05,3.69,5.74,2.4,,20-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
20-Jul-2020 - 00:00,,21.96,86.38,103.69,25.31,923.68,0.68,7.94,1.95,3.67,5.61,2.97,,21-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
21-Jul-2020 - 00:00,,16.97,75.49,166.08,25.97,859.89,0.67,8.28,2.13,4.63,6.75,2.65,,22-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
22-Jul-2020 - 00:00,,30.05,69.73,121.18,27.14,879.37,0.82,8.52,2.11,5.53,7.62,2.55,,23-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
23-Jul-2020 - 00:00,,25.28,76.36,118.13,26.53,857.68,0.78,8.02,1.95,5.58,7.52,2.66,,24-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
24-Jul-2020 - 00:00,,20.35,82.01,97.32,25.67,963.13,0.68,7.85,2.07,5.34,7.39,2.84,,25-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
25-Jul-2020 - 00:00,,23.06,78.61,120.7,25.51,877.33,0.61,7.32,1.98,4.71,6.66,2.87,,26-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
26-Jul-2020 - 00:00,,18.28,77.78,112.08,25.49,894.7,0.55,6.82,1.9,4.03,5.9,2.41,,27-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
27-Jul-2020 - 00:00,,21.57,76.62,128.18,25.71,862.37,0.55,6.71,1.99,4.58,6.53,2.23,,28-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
28-Jul-2020 - 00:00,,17.66,79.95,119.43,25.84,903.13,0.55,8.47,2.09,4.62,6.7,2.64,,29-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
29-Jul-2020 - 00:00,,25.39,91.18,45.89,24.9,967.06,0.88,11.76,2.29,7.84,10.12,2.47,,30-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
30-Jul-2020 - 00:00,,21.05,86.42,95.92,25.19,901.82,0.78,11.04,2.18,7.27,9.43,2.44,,31-Jul-2020 - 00:00,"Peenya, Bengaluru - CPCB"
31-Jul-2020 - 00:00,,19.95,83.29,121.93,25.62,908.39,0.71,10.62,2.1,7.12,9.22,2.19,,01-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
01-Aug-2020 - 00:00,,153.38,84.54,113.13,25.29,880.61,0.67,10.47,2.1,7.5,9.58,2.49,,02-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
02-Aug-2020 - 00:00,,14.7,81.55,141.4,25.21,872.25,0.59,87.46,79.33,81.97,116.79,2.14,,03-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
03-Aug-2020 - 00:00,,21.13,83.97,67.43,24.94,957.83,0.71,11.96,9.9,10.93,19.7,2.07,,04-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
04-Aug-2020 - 00:00,,22.55,84.91,43.22,24.53,979.42,0.65,6.71,2.72,6.41,8.94,2.62,,05-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
05-Aug-2020 - 00:00,,20.86,86.17,43.25,24.36,967.06,0.68,7.09,2.28,6.2,8.37,2.85,,06-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
06-Aug-2020 - 00:00,,21.67,82.9,92.88,25.45,950.04,0.7,7.36,2.39,5.3,7.61,2.5,,07-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
07-Aug-2020 - 00:00,,22.23,82.64,88.19,25.56,977.26,0.67,7.6,2.26,4.83,6.95,2.63,,08-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
08-Aug-2020 - 00:00,,21.78,86.29,65.99,25.03,989.64,0.68,7.92,2.29,4.55,6.73,2.49,,09-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
09-Aug-2020 - 00:00,,18.26,89.88,76.66,24.29,,0.62,7.01,2.01,3.36,5.31,2.93,,10-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
10-Aug-2020 - 00:00,,23.15,85.74,71.72,24.33,981.89,0.68,8.29,2.05,4.61,6.61,2.48,,11-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
11-Aug-2020 - 00:00,,25.52,89.22,95.03,24.38,984.76,0.7,7.85,2.03,4.66,6.67,2.67,,12-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
12-Aug-2020 - 00:00,,25.96,,,,,0.66,7.47,2.13,4.46,6.58,2.52,,13-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
13-Aug-2020 - 00:00,,26.41,,,,,0.65,7.14,1.96,4.49,6.43,2.66,,14-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
14-Aug-2020 - 00:00,,27.47,,,,,0.71,7.5,2.02,4.97,6.98,2.48,,15-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
15-Aug-2020 - 00:00,,22.95,,,,,0.56,6.63,2.01,4.08,6.09,3.08,,16-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
16-Aug-2020 - 00:00,,24.29,81.23,35.31,24.63,906.33,0.61,6.64,2.07,4.29,6.36,2.95,,17-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
17-Aug-2020 - 00:00,996.9,24.4,89.72,69.16,24.47,900.44,0.72,6.95,1.97,4.59,6.56,2.41,,18-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
18-Aug-2020 - 00:00,,23.24,85.11,80.52,24.86,882.34,0.67,7.09,2.03,4.74,6.76,2.68,,19-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
19-Aug-2020 - 00:00,998.4,25.64,83.22,74.89,25.04,854.35,0.7,7.18,1.96,5.01,6.95,2.48,,20-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
20-Aug-2020 - 00:00,,24.96,84.4,45.1,24.77,,0.78,7.05,2.04,4.87,6.89,2.88,,21-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
21-Aug-2020 - 00:00,,26.36,83.05,74.86,25.25,951.6,0.65,6.99,2.03,4.76,6.77,2.4,,22-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
22-Aug-2020 - 00:00,,33.32,84.61,96.81,25.58,929.97,0.6,6.42,2.06,4.07,6.11,2.65,,23-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
23-Aug-2020 - 00:00,,33.11,93.21,0.91,24.37,,0.54,6.22,2.04,4.24,6.27,2.56,,24-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
24-Aug-2020 - 00:00,,29.29,,,,,0.68,6.98,2.0,4.89,6.87,2.67,,25-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
25-Aug-2020 - 00:00,,21.46,,,,,0.74,6.92,2.16,5.5,7.65,2.75,,26-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
26-Aug-2020 - 00:00,,31.09,,,,,0.71,6.78,2.01,5.41,7.42,2.55,,27-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
27-Aug-2020 - 00:00,,23.59,,,,,0.64,7.06,2.15,5.48,7.61,2.63,,28-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
28-Aug-2020 - 00:00,998.88,32.11,55.05,52.52,27.73,845.2,0.85,8.26,3.21,8.5,11.65,2.22,,29-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
29-Aug-2020 - 00:00,986.38,36.82,67.42,168.06,26.56,857.69,0.76,9.59,2.81,8.22,11.02,2.86,,30-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
30-Aug-2020 - 00:00,987.56,53.74,68.98,142.1,26.75,865.63,1.04,9.53,2.45,6.13,8.58,2.74,,31-Aug-2020 - 00:00,"Peenya, Bengaluru - CPCB"
31-Aug-2020 - 00:00,990.97,52.09,79.62,171.35,25.87,927.51,0.67,9.87,2.97,6.31,9.28,2.6,,01-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
01-Sep-2020 - 00:00,991.49,130.43,82.88,135.36,25.73,958.73,0.66,10.58,2.62,6.2,8.82,2.52,,02-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
02-Sep-2020 - 00:00,994.71,71.67,92.89,73.23,24.76,993.75,0.83,11.22,2.8,6.5,9.3,2.84,,03-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
03-Sep-2020 - 00:00,991.98,37.31,88.02,118.3,25.15,834.27,1.09,12.55,3.41,6.55,9.96,2.97,,04-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
04-Sep-2020 - 00:00,984.84,25.69,77.19,135.44,26.57,845.44,1.21,10.76,3.07,5.14,8.21,2.7,,05-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
05-Sep-2020 - 00:00,983.81,38.66,78.46,74.51,26.67,902.41,1.17,10.28,3.01,4.75,7.74,2.62,,06-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
06-Sep-2020 - 00:00,981.46,27.43,76.02,109.54,26.89,857.06,0.85,8.71,2.47,4.72,7.13,2.64,,07-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
07-Sep-2020 - 00:00,983.68,18.46,79.28,161.28,25.66,868.05,0.62,8.02,2.49,5.31,7.8,2.91,,08-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
08-Sep-2020 - 00:00,987.93,15.45,80.32,162.28,26.17,771.05,0.93,8.22,2.48,5.2,7.68,2.38,,09-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
09-Sep-2020 - 00:00,994.19,23.27,84.77,165.82,25.74,807.08,0.83,8.85,2.59,5.51,8.09,2.38,,10-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
10-Sep-2020 - 00:00,989.98,15.64,76.75,158.56,25.93,804.23,0.61,7.98,2.35,5.72,8.07,2.6,,11-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
11-Sep-2020 - 00:00,993.44,22.83,86.4,63.98,24.38,868.38,0.62,7.64,2.29,5.83,8.11,2.61,,12-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
12-Sep-2020 - 00:00,994.1,19.12,94.0,55.79,24.01,925.46,0.69,7.88,2.42,6.26,8.68,2.53,,13-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
13-Sep-2020 - 00:00,993.38,17.1,92.06,71.37,24.09,925.52,0.62,7.23,2.14,6.36,8.42,2.57,,14-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
14-Sep-2020 - 00:00,990.19,15.7,86.91,95.98,24.66,874.66,0.71,8.25,2.49,7.01,9.52,2.61,,15-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
15-Sep-2020 - 00:00,989.15,19.7,83.01,83.01,25.02,851.29,0.69,10.28,2.53,5.86,8.4,2.83,,16-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
16-Sep-2020 - 00:00,989.26,21.94,82.06,94.33,25.24,860.19,0.71,12.18,2.63,5.67,8.3,2.91,,17-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
17-Sep-2020 - 00:00,989.33,17.19,81.63,86.09,25.39,873.45,0.75,11.93,2.51,5.2,7.71,3.01,,18-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
18-Sep-2020 - 00:00,990.39,14.94,80.7,107.96,25.8,845.66,0.68,11.06,2.61,5.66,8.27,2.13,,19-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
19-Sep-2020 - 00:00,994.3,16.04,87.75,66.23,24.63,864.15,0.65,11.72,2.72,5.43,8.15,2.64,,20-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
20-Sep-2020 - 00:00,996.25,13.8,96.56,34.13,23.36,947.99,0.54,10.7,2.67,5.4,8.06,2.25,,21-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
21-Sep-2020 - 00:00,991.95,14.95,86.22,94.96,24.24,877.15,0.64,11.48,2.87,5.41,8.28,2.66,,22-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
22-Sep-2020 - 00:00,991.58,20.41,85.96,70.64,24.22,898.81,0.62,11.27,2.76,5.66,8.45,2.37,,23-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
23-Sep-2020 - 00:00,989.3,20.12,79.17,109.25,24.58,769.7,0.64,11.5,2.8,6.03,8.82,2.84,,24-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
24-Sep-2020 - 00:00,990.15,21.06,80.9,100.13,25.32,800.96,0.79,11.75,2.8,5.91,8.71,2.45,,25-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
25-Sep-2020 - 00:00,990.97,21.76,80.34,111.81,25.85,823.97,0.73,10.26,2.79,6.22,9.01,2.99,,26-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
26-Sep-2020 - 00:00,993.12,20.37,86.73,64.2,24.87,853.07,0.79,10.97,2.73,5.93,8.58,2.79,,27-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
27-Sep-2020 - 00:00,991.94,16.21,80.84,135.32,25.28,836.76,0.65,9.14,2.66,6.38,9.04,2.49,,28-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
28-Sep-2020 - 00:00,,,,,,,,,,,,,,29-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
29-Sep-2020 - 00:00,994.32,19.27,97.66,1.82,23.53,989.54,1.12,12.31,6.65,15.54,22.19,2.82,,30-Sep-2020 - 00:00,"Peenya, Bengaluru - CPCB"
30-Sep-2020 - 00:00,989.91,17.98,86.45,105.17,24.75,863.54,0.65,9.69,2.85,9.15,12.0,2.61,,01-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
01-Oct-2020 - 00:00,984.26,22.74,77.26,146.46,25.35,878.89,0.68,10.38,2.9,9.87,12.77,2.76,,02-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
02-Oct-2020 - 00:00,984.45,20.74,77.31,159.82,26.17,826.11,0.71,9.01,2.7,10.58,13.27,2.56,,03-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
03-Oct-2020 - 00:00,983.48,21.89,84.62,195.41,25.48,921.21,0.68,8.64,2.46,10.76,13.22,2.58,,04-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
04-Oct-2020 - 00:00,,16.11,,,,,0.57,7.16,2.43,10.71,13.13,2.61,,05-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
05-Oct-2020 - 00:00,992.14,19.36,68.93,229.26,26.88,661.86,0.66,8.95,2.76,12.93,15.69,2.22,,06-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
06-Oct-2020 - 00:00,991.77,25.39,73.33,163.5,26.45,731.04,0.85,8.1,2.54,12.6,15.11,2.71,,07-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
07-Oct-2020 - 00:00,991.71,27.67,75.1,127.81,26.62,759.56,0.88,7.92,2.46,12.39,14.84,2.67,,08-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
08-Oct-2020 - 00:00,991.84,30.23,70.41,156.99,27.13,673.9,1.08,8.38,2.62,13.39,16.01,2.33,,09-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
09-Oct-2020 - 00:00,995.96,31.47,85.09,102.4,25.72,817.8,1.24,8.61,2.73,11.4,14.11,2.6,,10-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
10-Oct-2020 - 00:00,995.46,18.48,84.85,146.81,25.06,822.92,0.91,7.51,2.69,10.59,13.27,2.73,,11-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
11-Oct-2020 - 00:00,997.58,17.13,92.6,49.4,24.25,890.17,0.83,6.06,2.4,9.74,12.13,2.5,,12-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
12-Oct-2020 - 00:00,997.93,20.65,92.28,64.64,24.11,874.35,0.87,6.93,2.5,10.31,12.8,2.38,,13-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
13-Oct-2020 - 00:00,997.92,20.24,92.64,34.16,23.88,880.56,0.93,6.74,2.41,11.24,13.63,2.79,,14-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
14-Oct-2020 - 00:00,992.37,19.65,88.32,57.65,23.84,923.8,0.67,7.33,2.27,10.4,12.64,2.47,,15-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
15-Oct-2020 - 00:00,989.01,20.39,81.6,104.49,24.49,755.04,0.74,10.09,2.74,11.17,13.91,2.23,,16-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
16-Oct-2020 - 00:00,991.71,34.23,77.19,144.92,25.25,762.36,0.99,12.5,3.01,11.52,14.51,2.47,,17-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
17-Oct-2020 - 00:00,988.62,31.97,75.76,97.15,25.38,810.6,1.12,15.29,3.1,10.67,13.75,2.36,,18-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
