from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
25-Jan-2020 - 00:00,34.46,,25.2,58.42,83.79,92.07,26.23,157.68,0.22,1.79,0.09,14.78,74.67,1.28,167.74,103.16,752.99,0.0,0.01,26-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
26-Jan-2020 - 00:00,34.24,,34.84,31.19,72.37,63.84,19.17,176.12,0.2,1.65,0.07,15.0,78.13,1.45,174.2,93.06,751.51,0.0,0.01,27-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
27-Jan-2020 - 00:00,34.34,,30.72,57.81,95.71,97.9,44.85,227.37,0.25,1.78,0.11,17.19,75.59,0.79,176.13,102.71,749.43,0.0,-0.0,28-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
28-Jan-2020 - 00:00,34.18,,31.65,19.58,62.91,49.38,20.77,164.16,0.19,1.62,0.08,17.94,75.87,2.43,157.82,94.98,747.71,0.0,-0.06,29-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
29-Jan-2020 - 00:00,34.03,,32.08,6.84,38.48,26.03,13.32,161.31,0.12,1.39,0.02,17.14,85.07,2.91,139.33,65.98,751.8,0.0,-0.04,30-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
30-Jan-2020 - 00:00,34.24,,32.61,8.31,51.2,33.98,13.68,64.18,0.12,1.35,0.01,15.4,81.61,2.56,130.47,111.09,753.13,0.0,-0.01,31-Jan-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
31-Jan-2020 - 00:00,34.26,,34.14,31.52,63.65,59.49,25.96,82.59,0.13,1.43,0.03,15.49,71.13,2.31,109.51,118.91,751.89,0.0,0.01,01-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
01-Feb-2020 - 00:00,34.45,,34.17,15.08,71.48,50.27,14.37,110.28,0.14,1.41,0.06,16.02,71.45,1.44,122.56,97.33,754.15,0.0,0.01,02-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
02-Feb-2020 - 00:00,34.76,,33.95,14.79,61.6,44.78,27.39,95.97,0.12,1.32,0.03,15.07,71.84,2.06,128.54,114.87,755.67,0.0,0.01,03-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
03-Feb-2020 - 00:00,34.74,,31.31,58.97,81.99,91.55,17.48,138.82,0.13,1.37,0.03,15.3,71.6,1.19,130.98,108.29,755.06,0.0,-0.0,04-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
