from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,WS,WD,RH,SR,RF,to date,station
16-Sep-2020 - 00:00,67.93,145.18,14.48,10.28,5.38,1.74,4.6,0.68,28.6,3.6,20.29,1.3,2.53,3.85,3.48,,90.65,287.54,0.0,17-Sep-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
17-Sep-2020 - 00:00,61.04,121.61,12.36,7.05,2.74,6.06,4.38,0.52,37.49,3.12,22.49,1.31,2.5,3.78,2.99,,88.17,336.5,0.0,18-Sep-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
18-Sep-2020 - 00:00,54.26,108.47,13.33,7.48,2.65,4.73,4.75,0.45,46.1,2.37,16.15,0.98,1.81,2.6,3.31,,83.91,391.76,0.0,19-Sep-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
19-Sep-2020 - 00:00,103.12,200.29,29.61,16.93,3.72,1.66,4.64,1.06,51.09,7.79,31.54,3.45,6.97,8.27,4.05,,78.26,492.25,0.0,20-Sep-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
20-Sep-2020 - 00:00,96.79,178.22,19.84,12.41,4.55,3.96,4.79,0.72,43.82,5.63,27.69,2.1,4.33,6.13,3.89,,85.42,332.78,0.0,21-Sep-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
21-Sep-2020 - 00:00,66.38,139.79,21.52,14.1,5.56,8.58,4.97,0.72,44.93,4.03,26.53,2.01,3.78,5.8,4.45,,81.5,288.58,0.0,22-Sep-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
22-Sep-2020 - 00:00,55.37,117.37,24.86,17.17,7.57,19.98,8.02,0.66,30.99,5.07,33.27,2.7,5.23,7.95,3.68,,79.67,275.31,0.0,23-Sep-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
23-Sep-2020 - 00:00,46.1,101.68,26.32,16.46,5.56,17.17,14.8,0.77,31.92,12.61,28.11,2.54,5.64,7.39,3.44,,80.25,275.32,0.0,24-Sep-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
24-Sep-2020 - 00:00,52.4,109.22,24.06,15.56,5.73,17.11,4.84,0.66,39.49,6.24,32.09,2.67,5.46,7.92,3.57,,91.21,224.03,0.0,25-Sep-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
25-Sep-2020 - 00:00,89.66,161.9,22.76,15.03,5.92,21.87,4.79,0.82,38.07,6.64,31.6,2.4,4.87,7.4,2.9,,91.43,244.87,0.0,26-Sep-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
