from date,PM2.5,PM10,RH,SR,Temp,BP,WD,VWS,WS,RF,CO,Ozone,NO2,NO,NOx,NH3,SO2,Benzene,Toluene,Xylene,to date,station
25-Jan-2020 - 00:00,55.74,132.82,58.77,143.77,26.88,724.07,123.12,0.0,0.61,0.0,0.0,24.9,51.7,6.14,32.47,26.71,3.76,0.16,0.33,0.0,26-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
26-Jan-2020 - 00:00,46.71,123.33,56.33,143.9,26.63,715.8,128.85,0.0,0.66,0.0,0.0,29.05,38.13,5.03,24.33,24.79,3.23,0.11,0.22,0.0,27-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
27-Jan-2020 - 00:00,44.57,109.71,56.8,132.54,27.52,715.32,128.84,0.0,0.96,0.0,0.0,29.31,32.69,4.23,20.82,26.72,3.49,0.03,0.07,0.0,28-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
28-Jan-2020 - 00:00,36.3,97.94,56.11,135.09,27.73,706.06,195.02,0.0,1.1,0.0,0.0,38.43,20.55,23.19,29.74,28.4,6.61,0.0,0.01,0.0,29-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
29-Jan-2020 - 00:00,44.4,129.53,55.85,128.46,27.96,705.92,208.07,0.0,0.79,0.0,0.0,31.72,38.78,4.84,24.56,34.17,2.14,0.1,0.2,0.0,30-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
30-Jan-2020 - 00:00,59.9,155.5,60.0,117.16,27.79,706.82,140.94,0.0,1.03,0.0,0.0,40.46,36.21,5.15,23.45,29.8,4.11,0.11,0.65,0.0,31-Jan-2020 - 00:00,"Central University, Hyderabad - TSPCB"
31-Jan-2020 - 00:00,45.36,117.67,59.16,177.46,30.08,705.85,88.84,0.0,1.51,0.0,0.0,37.87,40.88,13.67,32.46,99.16,5.57,0.01,0.2,0.0,01-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
01-Feb-2020 - 00:00,24.88,72.71,54.25,193.62,28.79,705.37,136.5,0.0,2.19,0.01,0.0,19.06,78.97,13.92,49.79,129.54,5.45,0.07,0.09,0.0,02-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
02-Feb-2020 - 00:00,26.12,62.87,66.95,98.2,28.3,705.36,105.1,0.0,1.88,0.0,0.0,22.27,35.04,3.71,21.62,44.87,2.58,0.05,0.1,0.0,03-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
03-Feb-2020 - 00:00,21.66,77.04,64.21,130.5,28.09,705.12,110.12,0.0,1.45,0.0,0.0,19.37,38.27,4.55,24.05,44.08,2.7,0.08,0.16,0.0,04-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
