from date,AT,PM10,PM2.5,BP,WD,WS,RH,SR,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
23-Aug-2020 - 00:00,34.58,39.16,12.33,978.11,83.75,1.16,73.11,99.11,,8.11,17.93,6.37,9.76,10.39,4.89,2.97,1.0,24-Aug-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-Aug-2020 - 00:00,34.26,44.58,14.52,978.47,94.33,1.31,74.64,85.22,,10.0,25.15,9.44,16.18,16.3,8.8,2.93,0.81,25-Aug-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
25-Aug-2020 - 00:00,34.85,54.23,17.35,980.37,105.33,1.14,72.61,93.42,,13.26,32.78,10.62,22.64,20.69,11.32,2.68,0.88,26-Aug-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
26-Aug-2020 - 00:00,35.61,75.61,26.16,981.53,179.53,0.34,68.56,109.84,,19.44,59.92,9.48,24.36,20.68,8.22,1.13,1.1,27-Aug-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
27-Aug-2020 - 00:00,35.9,79.17,26.43,980.9,232.97,0.26,68.08,106.68,,22.55,31.68,9.98,22.47,20.09,6.44,1.28,1.34,28-Aug-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
28-Aug-2020 - 00:00,34.15,95.67,43.05,979.07,151.26,0.36,78.6,60.45,,35.67,25.65,20.73,27.89,31.74,12.57,6.76,1.45,29-Aug-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
29-Aug-2020 - 00:00,35.21,74.75,36.99,978.7,88.59,0.55,72.63,128.38,,20.37,29.71,13.25,26.66,24.99,19.98,7.63,1.32,30-Aug-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
30-Aug-2020 - 00:00,34.22,46.29,15.43,978.55,85.39,1.5,72.92,92.39,,10.06,25.72,7.25,16.16,14.51,10.68,7.56,0.76,31-Aug-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
31-Aug-2020 - 00:00,34.3,39.04,11.73,980.63,103.91,1.63,70.9,100.57,,10.94,20.3,8.3,18.61,16.67,9.38,8.27,0.89,01-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
01-Sep-2020 - 00:00,35.29,60.54,17.59,982.02,114.61,0.96,65.92,128.26,,18.51,18.53,10.39,25.69,22.13,14.52,8.73,1.09,02-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
