from date,AT,PM10,PM2.5,BP,WD,WS,RH,SR,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
18-Nov-2020 - 00:00,27.13,272.17,159.25,990.44,247.52,0.26,60.83,82.22,,35.56,39.21,22.86,64.5,52.94,42.37,8.74,1.29,19-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
19-Nov-2020 - 00:00,26.3,289.67,174.9,990.91,180.61,0.26,61.04,80.0,,43.91,37.73,46.35,75.14,77.76,39.16,9.81,1.36,20-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
20-Nov-2020 - 00:00,26.92,342.04,211.35,992.33,256.16,0.4,54.13,78.97,,34.46,36.87,21.48,70.66,55.09,46.27,9.91,1.34,21-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
21-Nov-2020 - 00:00,26.08,298.31,173.22,992.75,247.01,0.44,52.36,81.57,,23.03,34.33,25.27,63.31,54.28,35.66,10.83,1.47,22-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
22-Nov-2020 - 00:00,25.76,351.2,209.31,993.32,220.6,0.32,51.39,76.15,,31.74,34.63,36.62,73.23,82.74,38.0,10.42,1.73,23-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
23-Nov-2020 - 00:00,25.62,463.6,288.06,993.69,123.28,0.19,54.88,68.73,,57.53,42.63,83.35,102.94,152.95,34.85,11.81,2.72,24-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-Nov-2020 - 00:00,25.51,499.49,333.92,993.25,94.73,0.16,60.2,60.07,,57.33,48.25,76.59,109.53,163.74,40.41,10.33,2.78,25-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
25-Nov-2020 - 00:00,25.94,533.31,370.88,993.62,119.43,0.35,66.37,32.8,,38.13,53.68,50.29,88.39,88.01,32.14,11.59,2.39,26-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
26-Nov-2020 - 00:00,27.44,233.67,131.62,995.71,277.19,0.52,63.58,68.94,,34.96,44.31,31.94,50.48,52.88,18.99,8.78,1.26,27-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
27-Nov-2020 - 00:00,27.11,211.66,110.27,997.18,238.27,0.38,59.78,74.11,,43.49,39.69,18.64,53.8,43.82,25.69,8.42,1.06,28-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
28-Nov-2020 - 00:00,26.72,255.14,150.12,996.06,201.2,0.37,56.45,73.23,,38.52,36.96,24.4,63.22,53.52,31.96,9.63,1.38,29-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
29-Nov-2020 - 00:00,26.07,343.27,207.41,994.87,159.18,0.25,56.49,68.56,,46.89,38.62,48.19,81.89,114.83,35.01,10.66,2.48,30-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
30-Nov-2020 - 00:00,26.14,446.46,273.93,993.91,164.37,0.23,60.24,66.4,,80.8,47.37,81.29,92.09,132.15,31.3,10.07,2.63,01-Dec-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
01-Dec-2020 - 00:00,23.4,648.0,425.0,993.6,77.05,0.1,74.8,2.7,,163.15,60.85,209.5,119.1,251.1,2.95,8.9,3.1,02-Dec-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
