from date,AT,BP,PM10,PM2.5,RH,SR,WS,WD,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
19-Apr-2020 - 00:00,27.59,982.7,85.02,50.3,45.4,205.46,0.77,259.06,2.58,5.82,14.34,6.62,15.19,18.41,0.56,71.41,2.71,20-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Apr-2020 - 00:00,26.27,983.77,102.28,52.8,42.97,132.34,0.71,198.09,4.04,8.63,13.49,8.9,19.33,22.7,0.68,56.86,2.64,21-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Apr-2020 - 00:00,27.41,983.82,80.85,36.5,40.53,206.34,0.63,244.7,2.62,5.6,14.95,4.72,12.4,16.08,0.47,88.76,2.3,22-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Apr-2020 - 00:00,28.56,982.44,114.53,57.26,34.36,209.12,0.46,256.29,3.28,7.68,15.04,7.06,19.0,24.88,0.66,82.6,1.38,23-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Apr-2020 - 00:00,29.24,981.81,115.2,51.1,30.7,158.15,0.77,173.63,3.91,7.75,15.23,5.89,17.04,23.01,0.56,79.27,0.94,24-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Apr-2020 - 00:00,29.51,980.5,122.67,64.49,36.65,206.38,0.77,142.46,4.82,7.54,16.24,5.75,18.95,26.8,0.64,93.13,1.16,25-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-Apr-2020 - 00:00,30.21,980.7,87.78,43.71,31.73,183.18,0.72,151.76,4.1,6.9,18.53,4.49,13.14,17.81,0.39,96.22,1.28,26-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Apr-2020 - 00:00,25.03,983.6,105.14,42.18,56.46,98.15,1.42,128.02,2.89,4.67,15.48,4.26,11.42,14.93,0.45,80.73,2.2,27-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Apr-2020 - 00:00,25.73,986.52,47.19,26.33,59.66,216.37,1.92,87.15,1.66,2.69,16.19,4.0,7.85,8.61,0.34,102.6,3.5,28-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Apr-2020 - 00:00,27.7,986.25,93.55,56.42,52.21,190.2,1.0,139.01,1.96,2.65,18.16,4.46,12.63,16.91,0.64,97.93,1.79,29-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-Apr-2020 - 00:00,30.18,983.54,116.6,63.11,47.17,205.51,0.85,121.21,2.0,2.5,20.37,4.96,15.09,20.76,0.57,106.7,1.2,30-Apr-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-Apr-2020 - 00:00,30.58,983.9,111.67,49.04,48.35,290.07,1.21,117.15,2.3,4.17,25.36,4.65,13.69,18.62,0.43,112.42,1.02,01-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-May-2020 - 00:00,27.38,982.58,121.81,53.66,66.64,183.83,1.57,97.46,2.73,8.07,25.39,4.85,13.54,18.02,0.41,111.15,0.15,02-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-May-2020 - 00:00,,,94.83,41.85,,,,,1.57,3.47,,4.52,11.23,14.18,0.27,119.09,1.0,03-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-May-2020 - 00:00,,,67.89,33.64,,,,,2.36,5.74,,4.94,13.28,17.39,0.31,99.42,,04-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-May-2020 - 00:00,24.22,983.93,66.25,40.56,70.57,201.76,0.85,288.27,2.5,5.6,,5.87,14.58,18.43,0.41,97.02,2.2,05-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-May-2020 - 00:00,26.44,982.59,100.48,53.88,66.07,110.28,0.4,259.78,2.5,5.6,,7.28,18.79,24.13,0.46,105.66,0.7,06-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-May-2020 - 00:00,28.78,980.9,158.14,59.39,39.35,28.73,0.42,132.4,3.09,7.13,16.3,6.16,20.76,29.58,0.61,92.12,16.15,07-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-May-2020 - 00:00,29.4,981.97,85.27,35.42,34.74,237.47,1.02,184.85,2.17,6.14,13.55,3.56,12.07,17.23,0.42,118.74,13.53,08-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-May-2020 - 00:00,32.31,980.32,98.93,42.98,38.25,224.91,0.83,163.62,2.56,5.13,13.8,3.58,10.93,15.05,0.49,131.6,16.56,09-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-May-2020 - 00:00,33.09,981.14,122.71,55.0,39.63,213.24,1.33,98.33,2.65,4.1,13.06,3.68,10.62,14.32,0.56,127.52,16.83,10-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-May-2020 - 00:00,27.81,982.63,109.35,40.62,50.28,118.13,1.78,122.71,1.93,3.08,12.16,3.89,9.89,12.63,0.46,104.7,13.64,11-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-May-2020 - 00:00,27.9,983.57,81.02,38.86,55.35,185.78,1.31,91.04,2.14,3.9,12.21,4.37,12.34,16.49,0.5,110.9,13.28,12-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-May-2020 - 00:00,30.07,982.85,82.82,39.53,49.17,194.42,0.85,154.59,2.03,5.02,12.13,4.95,13.47,17.71,0.52,104.6,17.11,13-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-May-2020 - 00:00,30.02,981.46,135.09,58.65,50.23,135.28,0.66,214.9,2.33,5.31,12.38,4.23,13.8,19.45,0.62,95.27,17.17,14-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-May-2020 - 00:00,30.51,980.63,103.94,41.26,47.3,198.84,0.71,179.02,1.69,5.43,12.0,8.92,18.93,21.9,0.58,94.02,13.13,15-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-May-2020 - 00:00,31.74,979.77,111.78,53.67,33.17,226.97,0.99,275.65,2.38,5.4,11.63,4.48,12.79,17.18,0.55,99.29,16.69,16-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-May-2020 - 00:00,32.3,978.73,129.18,70.79,29.14,233.56,0.89,269.57,2.21,6.0,12.53,3.91,13.56,19.5,0.61,108.06,19.08,17-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-May-2020 - 00:00,32.69,977.56,150.69,80.98,28.3,194.52,0.49,235.35,2.91,7.78,13.25,5.58,21.13,31.18,0.76,82.33,21.96,18-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-May-2020 - 00:00,32.45,976.69,164.46,89.31,26.25,214.57,0.63,233.99,4.12,8.11,13.61,8.19,24.54,33.6,0.9,72.4,29.63,19-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-May-2020 - 00:00,32.86,976.05,166.59,82.05,23.01,212.56,0.55,247.91,4.02,11.14,17.47,15.21,35.33,43.12,0.99,75.3,24.51,20-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-May-2020 - 00:00,32.55,975.49,129.84,57.61,19.86,231.8,0.88,279.25,2.86,7.35,19.66,4.46,15.88,23.03,0.74,105.07,19.88,21-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-May-2020 - 00:00,34.02,974.7,132.67,42.27,19.38,238.38,0.93,255.31,2.83,6.4,18.24,10.64,22.18,25.4,0.84,105.26,17.85,22-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-May-2020 - 00:00,35.32,974.95,175.23,76.49,21.55,227.61,0.48,212.02,4.69,8.99,18.67,28.97,51.49,52.39,1.36,74.62,27.5,23-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-May-2020 - 00:00,36.47,976.1,184.84,67.35,21.71,207.9,0.61,214.63,4.41,9.92,17.39,23.85,41.26,41.02,0.94,61.67,16.78,24-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-May-2020 - 00:00,37.17,976.58,152.54,42.62,20.18,221.12,0.71,268.28,2.51,6.86,19.54,9.65,23.7,31.12,0.71,76.87,15.76,25-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-May-2020 - 00:00,36.5,976.31,150.29,62.28,22.34,223.71,0.74,230.92,3.79,8.1,22.59,28.79,54.27,57.88,1.01,75.24,25.99,26-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-May-2020 - 00:00,37.74,974.8,160.55,46.41,20.24,212.87,0.77,215.64,3.97,11.14,20.14,28.97,51.85,53.02,0.94,57.03,15.31,27-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-May-2020 - 00:00,37.83,973.36,147.88,33.74,20.49,214.28,0.94,180.04,2.32,6.5,18.28,14.14,34.82,43.82,0.63,103.54,13.74,28-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-May-2020 - 00:00,32.81,975.65,228.27,35.13,41.43,192.46,2.76,122.02,1.24,2.87,14.74,2.3,12.7,20.35,0.61,89.38,12.77,29-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-May-2020 - 00:00,28.39,978.71,61.73,22.54,59.92,167.08,1.93,104.63,1.1,3.44,13.54,2.66,15.04,24.2,0.57,75.06,10.66,30-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-May-2020 - 00:00,28.07,980.59,48.75,22.31,60.87,216.19,1.99,112.87,0.85,2.73,12.76,3.15,14.58,22.59,0.56,84.63,10.32,31-May-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
31-May-2020 - 00:00,25.71,982.22,34.2,17.61,74.14,182.99,1.35,151.69,0.84,2.83,12.18,2.79,12.2,18.65,0.55,68.27,8.91,01-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Jun-2020 - 00:00,28.02,982.27,91.36,54.61,64.43,222.24,0.52,205.14,2.49,7.66,13.33,4.16,23.19,37.23,0.92,61.57,18.31,02-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Jun-2020 - 00:00,30.59,980.4,92.44,44.0,52.77,232.89,0.73,205.0,1.7,5.93,12.68,3.74,19.58,31.07,0.68,93.25,12.57,03-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Jun-2020 - 00:00,30.26,978.51,112.0,52.96,56.46,187.97,0.6,217.88,1.98,7.83,12.92,3.95,25.27,41.47,0.89,59.92,18.63,04-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Jun-2020 - 00:00,29.19,977.86,121.06,56.0,58.48,127.18,0.92,162.75,2.67,9.24,13.69,12.89,33.9,43.99,0.91,65.15,17.37,05-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Jun-2020 - 00:00,29.03,978.07,86.84,42.7,57.87,188.96,1.14,127.0,2.03,5.61,13.13,5.08,24.29,37.87,0.82,56.38,14.8,06-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Jun-2020 - 00:00,29.96,977.5,64.68,27.06,58.16,213.79,1.33,98.24,1.36,3.56,12.5,3.63,18.96,30.09,0.68,73.34,12.02,07-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Jun-2020 - 00:00,29.36,976.9,90.09,46.3,60.99,179.46,0.81,215.69,2.15,5.03,13.07,3.78,21.26,34.17,0.84,64.2,14.95,08-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Jun-2020 - 00:00,31.47,976.27,94.56,44.25,52.99,223.17,0.68,227.67,2.15,6.11,13.37,5.1,22.65,34.78,0.88,83.12,18.18,09-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Jun-2020 - 00:00,33.8,976.2,138.5,63.51,49.42,218.66,0.53,203.21,2.69,8.74,19.8,14.63,37.65,48.36,1.02,88.41,19.39,10-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Jun-2020 - 00:00,33.93,975.76,140.78,59.05,52.13,187.44,0.59,168.17,2.75,8.53,20.19,22.6,41.18,42.79,1.04,83.93,16.82,11-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Jun-2020 - 00:00,33.84,974.55,136.98,58.67,52.25,216.61,0.49,219.67,2.12,7.66,18.45,11.35,32.43,43.58,1.01,69.52,16.81,12-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Jun-2020 - 00:00,34.94,973.62,140.66,60.8,48.98,215.82,1.06,156.87,2.21,5.29,16.75,6.22,26.53,40.35,1.01,69.38,15.78,13-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Jun-2020 - 00:00,32.28,974.28,136.96,47.91,56.57,140.86,1.17,152.19,1.7,5.15,14.02,4.61,24.37,38.74,0.88,40.2,13.27,14-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Jun-2020 - 00:00,34.14,975.42,150.45,62.59,53.0,215.67,0.73,217.97,2.31,8.41,13.26,5.9,22.76,33.72,0.97,56.38,19.48,15-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Jun-2020 - 00:00,36.03,973.55,119.62,46.55,41.13,220.78,0.78,183.01,1.81,4.82,11.8,3.6,21.55,34.98,0.86,78.58,16.48,16-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Jun-2020 - 00:00,35.48,971.48,103.09,36.91,42.19,212.86,1.44,147.62,1.81,4.73,11.21,3.36,21.39,35.08,0.84,77.38,15.99,17-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Jun-2020 - 00:00,34.51,971.34,76.94,26.92,50.4,238.57,1.91,97.46,1.09,2.79,11.12,3.05,13.04,19.82,0.67,69.74,12.1,18-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Jun-2020 - 00:00,35.25,971.71,91.4,32.67,49.0,236.35,1.41,122.55,1.22,3.26,10.83,3.53,16.42,25.47,0.76,67.4,14.73,19-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Jun-2020 - 00:00,35.32,973.54,188.65,47.03,52.42,201.68,1.54,124.51,1.39,3.89,10.09,3.25,15.23,23.66,0.82,61.64,14.78,20-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Jun-2020 - 00:00,31.36,974.98,98.25,27.66,56.2,149.57,1.04,165.45,0.99,3.94,9.05,5.51,21.96,32.96,0.71,53.24,12.4,21-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Jun-2020 - 00:00,30.83,974.9,85.99,35.95,64.32,160.84,0.93,125.49,1.22,5.28,9.15,6.12,21.75,31.5,0.79,40.69,13.26,22-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Jun-2020 - 00:00,31.61,974.67,79.53,45.25,62.35,230.17,0.95,189.26,1.94,4.49,13.31,3.29,18.84,30.36,0.83,81.85,9.33,23-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Jun-2020 - 00:00,31.97,976.83,50.99,22.38,64.16,229.17,1.62,88.28,0.82,2.76,13.14,4.07,14.1,20.27,0.72,33.66,8.73,24-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Jun-2020 - 00:00,29.96,977.95,57.83,28.71,76.24,139.61,1.4,94.3,1.0,3.47,11.37,4.81,19.4,29.08,0.86,16.51,8.55,25-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-Jun-2020 - 00:00,31.33,975.1,73.41,39.26,71.01,204.35,0.49,225.88,1.54,4.97,10.49,4.83,21.88,33.72,0.98,29.07,8.22,26-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Jun-2020 - 00:00,32.13,973.98,100.55,41.04,65.98,178.38,0.76,209.3,1.67,7.79,10.08,7.1,21.16,28.9,0.88,21.1,9.85,27-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Jun-2020 - 00:00,34.12,972.71,140.08,29.06,52.02,195.18,0.88,228.03,0.93,4.12,9.2,4.91,17.93,26.2,0.72,23.74,8.06,28-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Jun-2020 - 00:00,35.5,972.34,296.83,43.31,49.62,288.93,1.04,210.04,0.81,3.42,9.92,8.43,18.89,22.59,0.79,25.93,7.68,29-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-Jun-2020 - 00:00,32.0,975.42,151.19,30.07,61.78,176.1,1.28,170.89,3.34,4.01,41.63,4.55,21.63,34.13,0.59,59.38,10.58,30-Jun-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-Jun-2020 - 00:00,31.99,976.63,86.79,35.09,66.19,189.73,1.63,97.68,0.81,3.87,27.08,3.44,15.78,24.4,0.74,33.21,6.12,01-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Jul-2020 - 00:00,33.55,975.13,109.44,43.62,59.99,179.23,1.25,96.33,1.3,4.46,29.87,3.87,18.46,28.75,1.19,69.56,8.24,02-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Jul-2020 - 00:00,35.28,972.7,130.41,56.98,54.67,194.72,0.93,145.97,1.47,4.83,39.55,3.98,18.74,29.14,0.67,85.36,9.83,03-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Jul-2020 - 00:00,35.06,972.28,138.86,59.16,56.7,189.67,1.26,102.76,1.58,4.47,48.44,4.26,20.09,31.25,0.68,78.24,10.73,04-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Jul-2020 - 00:00,32.69,972.95,85.14,42.59,64.86,198.99,1.95,96.14,0.99,3.23,39.2,2.9,12.94,19.89,0.54,62.56,7.32,05-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Jul-2020 - 00:00,29.01,973.61,50.05,29.14,75.02,183.21,0.99,175.05,0.93,4.14,31.03,2.87,13.78,21.51,0.5,87.07,12.08,06-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Jul-2020 - 00:00,30.31,973.07,80.96,45.22,77.47,177.32,1.13,102.79,1.75,8.59,36.38,5.08,22.18,33.92,0.81,24.69,7.51,07-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Jul-2020 - 00:00,29.05,976.11,41.91,18.39,78.64,182.11,1.57,79.18,2.18,16.92,32.28,3.88,11.94,16.49,0.74,16.06,6.04,08-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Jul-2020 - 00:00,29.74,977.15,49.45,27.36,80.61,146.06,1.39,102.88,2.61,19.3,25.57,6.67,20.58,28.46,0.94,6.24,6.37,09-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Jul-2020 - 00:00,32.38,973.47,64.75,32.54,68.84,179.44,0.66,202.19,3.71,23.6,43.03,7.46,20.25,26.63,0.94,35.71,7.03,10-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Jul-2020 - 00:00,33.54,971.13,76.58,24.18,62.66,210.19,0.84,224.93,2.94,19.24,31.82,4.99,16.29,22.96,0.85,20.79,6.64,11-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Jul-2020 - 00:00,30.93,972.64,59.41,20.53,70.64,179.85,0.88,205.17,2.74,20.1,34.52,4.68,17.56,25.84,0.92,29.23,6.27,12-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Jul-2020 - 00:00,30.29,973.84,50.51,22.25,66.93,170.73,0.89,261.06,2.69,23.39,35.3,3.26,12.77,19.02,0.76,32.55,7.17,13-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Jul-2020 - 00:00,32.31,973.54,107.35,26.03,60.32,232.06,0.58,242.58,2.53,24.71,31.19,3.91,14.95,22.12,0.78,42.93,8.16,14-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Jul-2020 - 00:00,34.14,974.55,146.98,36.99,57.86,214.72,0.65,197.01,2.71,24.56,29.55,4.45,17.13,25.38,0.85,44.22,7.49,15-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Jul-2020 - 00:00,32.36,975.58,92.7,38.32,66.45,212.73,1.7,96.12,2.47,16.48,35.41,3.47,12.87,18.87,0.85,30.01,6.38,16-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Jul-2020 - 00:00,31.41,974.7,63.85,32.3,71.51,156.07,1.37,87.94,2.5,18.97,33.94,5.4,18.4,26.29,0.92,15.21,8.81,17-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Jul-2020 - 00:00,31.13,975.28,79.98,51.51,78.69,144.82,1.43,118.88,3.27,21.63,33.58,7.15,21.31,29.08,1.09,13.4,7.36,18-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Jul-2020 - 00:00,31.53,976.44,77.77,41.01,76.07,154.38,1.2,102.74,3.22,24.74,40.67,6.51,20.12,27.84,0.94,6.09,6.11,19-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Jul-2020 - 00:00,29.65,974.76,53.42,22.11,83.79,137.5,0.63,202.6,3.06,22.45,34.36,11.44,22.71,25.14,1.15,13.33,6.31,20-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Jul-2020 - 00:00,28.81,973.13,46.46,28.0,76.27,138.64,0.73,214.32,3.13,26.52,43.34,4.82,20.87,31.84,0.85,15.82,5.1,21-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Jul-2020 - 00:00,26.41,976.19,41.57,25.34,88.02,138.53,1.1,167.37,3.22,36.28,30.14,7.98,23.97,32.84,0.86,20.3,6.74,22-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Jul-2020 - 00:00,26.4,977.01,33.86,18.47,90.57,106.31,0.66,214.21,3.34,33.11,24.76,8.54,20.09,24.66,0.9,11.42,6.82,23-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Jul-2020 - 00:00,29.52,976.01,73.83,42.89,74.91,213.48,0.49,223.01,4.6,35.83,32.22,15.14,28.28,29.96,1.16,31.6,7.44,24-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Jul-2020 - 00:00,29.64,979.18,76.71,44.03,77.41,193.43,1.12,101.12,3.77,31.9,47.42,9.73,24.03,30.25,0.94,17.0,7.48,25-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-Jul-2020 - 00:00,29.91,980.92,54.16,30.77,80.79,189.38,1.08,77.93,2.66,22.1,47.19,6.05,16.87,22.44,0.85,12.91,7.07,26-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Jul-2020 - 00:00,30.49,980.37,91.68,51.88,79.58,187.29,0.63,157.62,4.49,34.92,53.68,15.04,28.37,30.27,1.26,27.36,8.29,27-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Jul-2020 - 00:00,33.27,977.24,77.7,29.64,64.6,229.84,0.74,226.7,3.31,26.62,46.57,5.65,15.97,21.36,0.8,27.36,5.65,28-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Jul-2020 - 00:00,33.66,975.1,69.62,23.11,61.92,231.19,0.8,242.17,2.49,20.85,36.66,5.08,15.96,22.22,0.84,25.01,5.99,29-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-Jul-2020 - 00:00,29.63,976.22,71.02,25.18,76.21,136.0,1.25,125.99,3.1,27.67,34.87,8.61,26.92,37.41,0.94,19.55,7.49,30-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-Jul-2020 - 00:00,28.85,977.77,47.6,19.89,78.01,134.51,0.95,165.64,3.25,28.56,36.34,7.69,24.06,33.44,0.9,32.31,8.38,31-Jul-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
31-Jul-2020 - 00:00,30.05,977.15,83.85,43.86,80.3,141.59,0.77,119.24,4.18,43.91,47.99,13.78,32.91,40.76,1.09,24.68,9.68,01-Aug-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Aug-2020 - 00:00,29.21,976.66,67.33,34.89,82.02,151.71,0.79,120.92,3.29,29.91,43.02,8.86,25.73,34.78,0.97,28.74,8.49,02-Aug-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Aug-2020 - 00:00,31.82,974.46,50.61,23.15,71.24,190.98,0.56,228.49,1.99,17.23,,6.77,18.72,24.82,0.85,27.04,5.84,03-Aug-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Aug-2020 - 00:00,32.79,970.26,60.24,23.29,67.72,176.57,0.58,219.8,2.44,17.75,,7.28,20.86,28.05,0.82,28.87,6.32,04-Aug-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Aug-2020 - 00:00,33.08,968.52,56.88,24.02,62.63,221.06,0.67,264.78,2.62,20.39,21.97,4.56,17.58,26.06,0.83,30.08,7.07,05-Aug-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Aug-2020 - 00:00,30.39,970.43,76.12,47.17,81.64,118.99,0.53,171.95,5.55,46.21,30.83,9.02,25.22,33.61,1.13,30.53,12.31,06-Aug-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Aug-2020 - 00:00,32.01,973.44,43.36,16.02,67.73,201.44,1.89,77.18,2.58,21.46,33.95,5.72,14.49,18.49,0.69,15.38,9.14,07-Aug-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Aug-2020 - 00:00,30.86,976.04,44.61,24.57,74.31,196.64,1.57,88.99,2.46,17.51,23.26,12.57,22.9,23.78,0.9,19.56,9.17,08-Aug-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Aug-2020 - 00:00,32.4,973.96,67.16,46.15,69.09,139.25,0.49,135.61,3.37,24.43,20.64,13.7,28.96,33.93,0.91,26.05,8.84,09-Aug-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Aug-2020 - 00:00,30.56,973.26,36.0,28.0,80.65,112.19,0.52,234.96,3.74,25.12,13.32,6.96,17.58,22.37,0.89,12.02,9.31,10-Aug-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Aug-2020 - 00:00,29.96,974.9,61.38,35.96,84.05,119.44,1.25,101.79,4.4,21.45,61.63,15.98,31.49,34.71,0.93,30.69,6.68,11-Aug-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Aug-2020 - 00:00,30.78,974.28,68.98,46.22,81.7,130.19,0.63,155.71,4.72,33.63,37.1,11.82,31.82,41.73,1.08,14.43,1.81,12-Aug-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Aug-2020 - 00:00,31.45,973.0,49.18,22.7,77.31,179.45,0.95,217.16,2.85,24.69,26.78,6.16,19.05,26.36,0.74,10.89,1.82,13-Aug-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Aug-2020 - 00:00,26.87,972.86,27.12,18.74,95.06,47.58,0.63,190.87,3.55,29.58,23.43,10.49,25.83,32.47,0.91,14.86,1.81,14-Aug-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Aug-2020 - 00:00,28.51,972.4,43.4,21.63,88.09,99.77,1.01,85.09,3.63,30.45,20.76,8.05,21.66,28.4,0.9,7.26,2.74,15-Aug-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
