from date,AT,BP,PM10,PM2.5,RH,SR,WS,WD,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
27-Jan-2020 - 00:00,15.56,987.21,399.8,270.79,67.5,86.59,0.67,197.78,10.54,29.27,57.79,82.94,99.64,60.2,2.39,12.16,32.39,28-Jan-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Jan-2020 - 00:00,15.64,986.14,169.39,124.65,78.65,103.69,1.11,136.25,6.76,15.32,56.22,25.25,41.46,39.26,0.99,18.77,12.93,29-Jan-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-Jan-2020 - 00:00,14.78,991.45,174.65,129.36,73.8,151.55,0.64,285.74,7.08,18.28,53.07,28.64,40.76,32.73,1.31,28.72,13.19,30-Jan-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
30-Jan-2020 - 00:00,14.2,992.1,196.28,131.98,72.0,156.61,0.74,265.48,8.54,20.83,51.84,23.12,37.36,34.81,1.04,25.1,14.36,31-Jan-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
31-Jan-2020 - 00:00,13.11,990.06,193.74,132.5,66.8,173.12,0.72,260.78,8.03,16.15,49.42,25.4,39.84,35.96,1.09,27.17,13.62,01-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Feb-2020 - 00:00,13.49,992.75,250.74,166.95,71.01,150.57,0.55,266.72,9.92,18.95,47.56,48.05,58.8,36.89,1.42,30.83,11.75,02-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Feb-2020 - 00:00,13.1,994.29,276.61,198.59,70.87,161.88,0.68,258.81,9.9,19.01,46.28,32.12,46.29,37.78,1.45,30.69,12.65,03-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Feb-2020 - 00:00,14.0,993.09,334.12,249.44,62.69,171.96,0.48,245.36,7.99,21.12,47.21,43.28,57.94,42.59,2.03,35.85,14.33,04-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Feb-2020 - 00:00,13.87,991.69,453.91,315.01,64.38,147.18,0.53,200.45,9.3,33.28,52.13,72.39,88.53,55.47,2.95,38.24,19.13,05-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Feb-2020 - 00:00,14.54,991.69,274.34,188.54,63.9,154.55,0.63,266.29,9.35,19.47,49.69,37.61,53.38,42.69,1.24,27.38,14.07,06-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Feb-2020 - 00:00,13.78,991.07,269.94,192.73,62.57,166.12,0.59,258.15,6.88,15.52,46.56,30.39,46.22,40.31,1.36,34.01,16.01,07-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Feb-2020 - 00:00,13.58,993.3,339.02,231.01,65.73,141.86,0.52,259.41,11.01,25.01,40.51,74.76,84.88,44.98,1.89,40.21,18.75,08-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
