from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
27-Jan-2020 - 00:00,74.64,226.93,56.58,85.77,29.2,33.49,2.52,0.45,39.64,2.21,32.72,11.29,24.14,70.42,,298.0,1.55,270.17,28-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
28-Jan-2020 - 00:00,27.4,145.35,44.0,72.91,28.91,24.12,2.08,0.23,25.88,1.84,28.9,13.73,23.56,69.8,,282.07,1.52,217.04,29-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
29-Jan-2020 - 00:00,22.09,119.03,33.95,45.69,11.91,13.91,1.32,0.12,64.49,1.29,23.52,13.57,21.79,62.27,,315.55,1.8,232.2,30-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
30-Jan-2020 - 00:00,63.65,182.0,60.37,80.36,19.98,11.54,5.76,0.48,70.02,2.67,42.97,25.88,21.38,56.76,,325.85,1.53,193.52,31-Jan-2020 - 00:00,"Kurla, Mumbai - MPCB"
31-Jan-2020 - 00:00,85.39,230.8,76.52,108.61,32.11,14.43,6.85,0.66,60.58,3.6,55.96,38.14,21.94,60.48,,311.53,1.46,223.46,01-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
01-Feb-2020 - 00:00,88.0,241.79,79.92,128.15,49.3,16.61,5.86,0.97,57.51,3.92,61.06,34.56,22.86,62.68,,308.34,1.18,204.78,02-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
02-Feb-2020 - 00:00,91.19,248.69,77.28,141.33,71.43,22.51,5.68,1.25,56.56,4.89,89.58,37.47,24.01,66.17,,321.68,1.33,188.65,03-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
03-Feb-2020 - 00:00,88.92,210.79,73.48,116.36,42.89,28.82,2.54,0.84,49.01,3.77,53.97,20.7,23.48,75.39,,293.84,1.31,211.99,04-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
04-Feb-2020 - 00:00,76.72,188.35,59.27,68.22,8.94,23.38,3.06,0.52,84.32,2.93,40.22,23.34,23.48,65.93,,303.31,1.43,216.79,05-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
05-Feb-2020 - 00:00,78.52,229.06,83.89,112.24,28.36,15.13,6.99,0.7,60.7,3.59,57.61,34.47,23.38,53.28,,315.5,1.34,222.75,06-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
06-Feb-2020 - 00:00,61.35,192.31,64.01,74.24,10.23,14.52,6.04,0.39,79.91,2.56,39.99,23.41,23.12,52.22,,345.83,1.58,248.03,07-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
07-Feb-2020 - 00:00,66.17,195.79,66.01,89.24,23.23,14.01,6.71,0.48,65.51,2.88,44.17,25.97,21.72,52.12,,334.36,1.55,238.1,08-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
08-Feb-2020 - 00:00,75.63,187.79,58.58,72.69,14.11,16.95,4.78,0.48,72.3,2.81,37.34,19.1,22.86,60.82,,312.27,1.82,181.44,09-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
09-Feb-2020 - 00:00,75.93,158.44,40.97,49.18,8.22,17.14,8.32,0.4,81.93,1.9,23.03,9.61,24.43,55.33,,288.75,2.58,149.7,10-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
10-Feb-2020 - 00:00,58.47,144.49,44.65,56.05,11.4,14.42,7.49,0.38,79.26,2.22,24.16,11.93,26.36,54.11,,330.75,2.36,143.32,11-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
11-Feb-2020 - 00:00,65.37,161.98,59.51,73.16,13.68,20.69,8.74,0.52,52.14,7.65,34.06,17.32,26.86,59.04,,253.84,1.59,153.33,12-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
12-Feb-2020 - 00:00,61.09,162.94,59.87,81.12,21.25,19.05,5.62,0.73,55.67,2.35,19.74,13.21,27.65,56.9,,228.77,1.93,158.67,13-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
13-Feb-2020 - 00:00,71.61,182.84,67.83,110.36,42.52,25.56,8.08,0.95,39.17,2.59,29.34,22.56,27.48,55.76,,213.71,1.47,169.45,14-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
14-Feb-2020 - 00:00,64.79,188.31,61.28,90.02,28.88,15.71,7.27,0.6,63.37,2.21,19.44,13.46,27.98,43.94,,318.93,1.61,178.32,15-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
15-Feb-2020 - 00:00,64.26,198.75,79.05,121.96,42.91,16.13,11.24,0.69,45.85,2.58,22.68,16.41,26.68,41.97,,323.14,1.44,213.96,16-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
16-Feb-2020 - 00:00,85.81,226.35,76.47,102.62,26.13,17.97,12.3,0.76,75.14,2.57,18.57,13.86,26.06,51.69,,332.29,1.43,222.47,17-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
17-Feb-2020 - 00:00,118.91,310.46,85.49,149.52,64.04,32.75,6.46,1.26,58.56,2.26,26.58,17.99,27.65,54.17,,322.3,1.53,182.1,18-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
18-Feb-2020 - 00:00,93.17,272.53,84.59,125.86,41.28,26.65,11.0,0.96,62.68,3.01,21.16,17.74,29.07,48.55,,359.55,1.66,167.15,19-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
19-Feb-2020 - 00:00,87.61,251.32,78.97,137.04,62.84,29.12,42.02,1.02,53.68,3.03,28.36,25.92,27.81,55.77,,352.14,1.45,193.18,20-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
20-Feb-2020 - 00:00,71.22,207.61,74.64,121.33,46.67,26.36,25.16,0.8,28.71,2.6,31.6,22.14,27.21,54.34,,363.8,1.3,226.32,21-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
21-Feb-2020 - 00:00,48.42,144.92,64.09,87.29,23.2,25.85,23.88,0.54,22.71,1.89,21.58,14.42,26.41,56.18,,358.53,1.39,251.6,22-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
22-Feb-2020 - 00:00,77.0,225.81,90.98,119.36,28.51,19.4,27.07,0.82,48.73,6.27,26.32,17.93,26.71,49.25,,364.6,1.25,219.2,23-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
23-Feb-2020 - 00:00,92.47,269.13,91.82,142.94,49.98,19.61,30.57,1.03,58.87,11.06,28.18,16.31,27.28,47.21,,356.64,1.39,233.27,24-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
24-Feb-2020 - 00:00,107.47,279.42,101.58,136.73,35.17,24.33,31.26,1.08,53.68,12.03,25.33,14.2,26.36,56.36,,389.73,1.32,201.69,25-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
25-Feb-2020 - 00:00,51.97,168.9,50.37,69.3,18.94,17.02,28.91,0.55,53.04,7.33,18.86,11.56,28.19,33.26,,410.72,1.72,161.65,26-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
