from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
26-Apr-2020 - 00:00,,60.94,6.92,11.13,4.23,5.14,1.27,0.02,18.83,43.67,0.57,4.05,28.7,71.3,,497.44,1.57,206.74,27-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
27-Apr-2020 - 00:00,,50.12,4.29,8.02,3.73,5.38,1.25,0.01,18.55,36.29,0.87,1.55,28.72,71.89,,454.42,1.54,250.64,28-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
28-Apr-2020 - 00:00,,58.54,5.24,10.2,4.96,5.1,1.22,0.02,47.73,52.89,5.68,4.14,29.32,74.05,,465.82,1.82,225.81,29-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
29-Apr-2020 - 00:00,,67.81,3.07,18.51,15.75,4.76,1.57,0.05,124.8,58.77,1.07,2.87,29.84,73.87,,451.45,1.27,238.01,30-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
30-Apr-2020 - 00:00,,64.03,2.46,17.18,14.73,4.67,1.23,0.03,,3.36,1.36,1.6,29.74,74.07,,419.5,1.36,235.11,01-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
01-May-2020 - 00:00,,50.35,1.57,14.28,13.79,8.99,1.32,0.0,,2.51,7.21,6.74,29.48,73.71,,421.96,1.49,258.67,02-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
02-May-2020 - 00:00,,53.27,1.91,15.13,13.91,6.09,1.23,0.0,,1.27,1.1,1.87,29.26,75.22,,446.06,1.64,225.55,03-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
03-May-2020 - 00:00,,,1.66,14.43,13.86,6.99,1.29,0.0,,1.26,1.22,1.06,29.43,75.32,,460.9,1.63,221.06,04-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
04-May-2020 - 00:00,8.17,52.56,2.01,14.11,12.85,7.38,4.61,0.06,8.54,1.37,0.87,1.04,29.23,75.05,,502.32,1.57,216.9,05-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
05-May-2020 - 00:00,8.38,55.46,4.5,11.54,7.04,8.39,12.93,0.25,11.33,2.37,1.36,0.82,29.37,75.86,,481.13,1.59,244.69,06-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
06-May-2020 - 00:00,8.18,70.88,5.16,10.85,5.69,6.92,20.82,0.26,14.25,1.09,1.12,1.08,30.08,75.2,,495.05,1.32,256.71,07-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
07-May-2020 - 00:00,14.5,89.03,8.26,16.15,7.91,5.53,30.37,0.27,14.05,1.89,1.22,0.68,29.4,75.14,,507.38,1.38,223.62,08-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
08-May-2020 - 00:00,10.41,91.08,8.86,18.64,9.8,7.58,64.57,0.24,15.7,1.65,1.65,1.18,29.4,72.99,,495.5,1.42,236.93,09-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
09-May-2020 - 00:00,12.88,85.57,9.76,18.69,8.93,8.17,78.72,0.24,17.17,1.61,1.11,1.35,29.47,73.12,,492.04,1.54,239.01,10-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
10-May-2020 - 00:00,8.73,72.74,5.31,12.29,6.93,5.65,90.0,0.25,13.76,0.8,1.2,1.08,29.69,73.89,,476.06,1.65,210.9,11-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
11-May-2020 - 00:00,9.92,85.59,10.51,19.53,9.02,10.84,96.07,0.26,18.82,1.68,1.29,19.85,31.08,66.39,,580.78,1.99,256.59,12-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
12-May-2020 - 00:00,9.21,70.4,6.28,12.8,6.52,6.16,106.32,0.26,14.22,0.99,1.19,0.94,29.26,74.86,,477.38,1.58,210.54,13-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
13-May-2020 - 00:00,12.99,98.14,7.94,16.64,8.72,7.66,62.49,0.24,15.51,0.88,1.13,1.1,29.76,74.2,,456.48,1.69,229.24,14-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
14-May-2020 - 00:00,14.66,97.87,7.38,12.23,4.85,2.13,11.85,0.26,15.97,3.02,0.88,1.43,30.16,71.64,,327.55,1.81,252.13,15-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
15-May-2020 - 00:00,12.83,88.19,6.57,13.63,7.12,4.55,19.77,0.24,16.83,1.96,1.66,0.79,30.19,70.85,,430.93,1.87,220.36,16-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
16-May-2020 - 00:00,24.65,131.82,6.45,14.09,7.7,4.49,20.64,0.23,16.13,4.37,1.33,1.39,29.84,74.57,,399.68,1.64,236.32,17-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
17-May-2020 - 00:00,25.12,131.6,5.68,11.61,5.96,4.65,22.86,0.21,21.61,1.35,1.14,0.96,29.74,72.92,,436.92,1.74,257.23,18-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
18-May-2020 - 00:00,18.21,95.81,7.61,15.67,8.07,6.19,22.68,0.22,21.33,0.92,0.95,1.09,29.48,72.93,,413.15,2.03,272.13,19-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
19-May-2020 - 00:00,12.58,88.94,9.98,20.94,11.08,6.05,22.17,0.2,18.01,1.27,1.28,1.47,29.22,71.74,,444.98,1.66,264.41,20-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
20-May-2020 - 00:00,9.15,62.91,9.73,18.06,8.34,7.1,24.25,0.21,21.63,1.12,1.15,1.39,29.4,71.2,,486.21,1.47,255.8,21-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
21-May-2020 - 00:00,8.04,63.22,8.35,15.2,6.85,3.13,24.15,0.21,20.19,1.11,0.97,1.25,29.59,71.76,,444.92,1.36,242.01,22-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
22-May-2020 - 00:00,9.67,66.68,10.25,22.43,12.28,3.15,26.1,0.22,19.17,1.4,1.12,1.31,29.72,72.92,,469.76,1.48,257.23,23-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
23-May-2020 - 00:00,14.54,82.81,9.44,18.22,8.91,2.47,17.67,0.23,16.96,1.79,1.01,0.99,29.7,74.09,,506.97,1.64,222.67,24-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
24-May-2020 - 00:00,9.37,65.64,7.51,17.45,10.01,2.26,12.65,0.2,15.32,0.88,1.15,0.99,29.77,76.02,,496.0,1.68,260.11,25-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
25-May-2020 - 00:00,9.58,62.6,4.13,8.54,4.41,2.04,4.98,0.2,17.86,1.2,1.36,0.99,29.86,76.77,,508.3,1.66,250.92,26-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
26-May-2020 - 00:00,11.8,95.03,9.34,23.16,13.91,1.6,2.77,0.21,12.6,0.98,1.19,1.37,29.86,76.01,,464.73,1.41,248.2,27-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
27-May-2020 - 00:00,10.75,88.89,10.72,26.5,15.89,7.78,1.61,0.22,12.9,1.01,1.09,0.9,29.79,73.54,,450.22,1.53,255.62,28-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
28-May-2020 - 00:00,11.12,83.76,7.68,19.26,11.59,7.05,1.52,0.22,12.14,0.68,1.57,1.13,30.08,72.01,,467.99,1.46,244.54,29-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
29-May-2020 - 00:00,6.59,64.04,9.49,24.17,14.69,6.71,6.41,0.2,10.62,1.12,1.05,1.99,29.71,76.0,,315.05,1.31,246.25,30-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
30-May-2020 - 00:00,13.22,99.15,6.84,22.98,16.51,6.01,3.32,0.17,9.15,0.58,1.21,1.01,30.65,72.79,,462.14,1.68,261.05,31-May-2020 - 00:00,"Kurla, Mumbai - MPCB"
31-May-2020 - 00:00,9.45,82.4,5.9,17.57,11.89,4.81,4.31,0.16,9.76,0.84,1.09,1.31,30.95,69.68,,476.84,1.9,230.34,01-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
01-Jun-2020 - 00:00,22.34,84.27,16.63,28.94,12.31,5.9,10.42,0.23,8.03,6.07,1.52,2.48,27.16,84.56,,55.17,1.06,246.82,02-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
02-Jun-2020 - 00:00,24.56,58.87,20.03,26.52,6.49,14.1,11.89,0.43,25.92,1.97,1.62,4.22,27.57,79.1,999.55,122.82,1.69,144.28,03-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
03-Jun-2020 - 00:00,8.82,10.59,10.3,15.14,4.84,19.88,18.79,0.2,19.67,1.64,1.42,1.27,24.64,91.91,994.77,74.01,3.78,183.73,04-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
04-Jun-2020 - 00:00,12.31,33.08,23.43,32.46,9.03,13.61,17.11,0.35,15.14,2.88,3.17,3.51,24.25,92.48,,90.1,1.64,165.69,05-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
05-Jun-2020 - 00:00,10.16,34.77,19.23,26.25,7.02,25.95,16.79,0.27,28.53,2.71,1.43,2.55,25.95,80.53,,462.17,1.81,154.69,06-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
06-Jun-2020 - 00:00,10.74,44.49,15.93,27.27,11.34,37.64,18.69,0.21,8.98,3.68,1.94,1.08,26.43,87.02,,179.71,1.74,168.38,07-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
07-Jun-2020 - 00:00,10.79,52.49,25.65,41.35,15.74,40.3,17.0,0.23,9.85,4.99,1.89,2.94,28.17,76.6,,359.31,1.46,162.97,08-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
08-Jun-2020 - 00:00,7.75,38.63,21.91,32.04,10.13,34.78,20.4,0.24,20.39,2.49,2.09,1.01,26.09,81.33,,376.23,1.56,192.94,09-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
09-Jun-2020 - 00:00,9.96,60.12,19.97,37.53,17.62,33.15,21.52,0.24,9.89,4.02,1.61,2.06,27.92,79.12,,389.22,1.33,198.09,10-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
10-Jun-2020 - 00:00,11.71,69.73,13.88,33.73,19.94,19.77,26.6,0.25,8.52,3.63,2.05,1.21,28.59,79.46,,417.44,1.4,207.01,11-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
11-Jun-2020 - 00:00,10.08,60.92,15.75,31.01,15.27,13.88,29.47,0.26,8.77,2.26,2.61,1.03,27.63,83.32,999.07,320.93,1.27,181.1,12-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
12-Jun-2020 - 00:00,11.65,53.05,18.02,33.7,15.7,18.8,32.6,0.29,7.93,2.67,1.4,3.17,27.6,83.35,998.14,241.34,1.29,161.47,13-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
13-Jun-2020 - 00:00,10.95,59.65,16.92,34.09,17.17,20.04,34.1,0.3,9.07,2.72,3.15,2.93,27.14,85.59,997.88,277.95,1.58,190.32,14-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
14-Jun-2020 - 00:00,10.99,40.92,23.43,41.37,17.97,19.13,35.45,0.29,8.79,4.02,1.65,2.4,27.47,85.55,998.97,305.85,1.3,154.44,15-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
15-Jun-2020 - 00:00,11.06,41.95,21.9,40.09,18.19,22.12,38.87,0.32,7.93,3.82,2.14,3.51,27.33,87.54,999.04,264.35,1.16,158.09,16-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
16-Jun-2020 - 00:00,10.22,39.01,21.04,35.04,14.02,18.9,40.47,0.34,12.62,2.21,1.56,2.24,27.18,87.99,998.38,249.91,1.17,181.99,17-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
17-Jun-2020 - 00:00,6.42,27.81,20.42,31.26,10.83,21.14,38.11,0.25,11.11,4.09,1.45,1.14,27.44,82.36,998.66,282.94,1.69,165.12,18-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
18-Jun-2020 - 00:00,8.26,28.18,21.01,37.49,16.5,28.44,41.42,0.3,6.87,3.46,3.36,2.98,25.33,92.8,998.99,73.39,1.73,141.61,19-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
19-Jun-2020 - 00:00,19.88,81.23,15.18,37.8,22.62,29.0,42.11,0.32,5.79,3.3,1.52,2.7,27.78,86.09,,394.5,1.38,169.17,20-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
20-Jun-2020 - 00:00,14.58,73.9,11.19,34.43,23.28,16.97,42.49,0.27,6.62,1.03,2.18,2.24,28.51,82.44,,346.98,1.29,199.93,21-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
21-Jun-2020 - 00:00,9.47,50.89,12.61,27.71,15.14,14.69,41.29,0.24,7.72,2.34,2.32,1.52,27.72,85.17,,286.31,1.33,192.28,22-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
22-Jun-2020 - 00:00,17.17,67.48,10.64,37.61,27.06,17.82,44.76,0.31,4.38,3.99,2.68,2.28,27.65,85.9,999.51,450.71,1.4,177.63,23-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
23-Jun-2020 - 00:00,10.04,36.02,34.99,78.16,43.18,44.44,,0.19,4.45,1.97,0.86,0.86,27.47,82.2,999.98,432.88,1.89,165.18,24-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
24-Jun-2020 - 00:00,10.13,42.12,4.85,92.99,88.15,17.49,,0.29,4.25,2.12,0.62,0.32,28.5,77.25,,419.75,1.54,174.48,25-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
25-Jun-2020 - 00:00,17.5,91.56,2.87,108.93,108.0,7.17,,0.28,4.44,1.1,0.78,0.27,29.0,79.02,999.48,414.55,1.41,186.21,26-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
26-Jun-2020 - 00:00,24.88,97.68,1.43,114.79,114.65,2.64,,0.32,4.85,1.13,0.96,0.26,28.07,85.19,999.66,249.81,1.01,185.4,27-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
27-Jun-2020 - 00:00,27.97,123.03,2.85,118.16,117.41,1.05,,0.37,4.51,1.52,1.32,0.33,29.38,77.61,999.83,379.87,1.19,194.26,28-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
28-Jun-2020 - 00:00,22.1,79.19,2.73,110.45,109.36,0.82,,0.29,4.71,1.19,1.29,0.37,27.81,84.66,999.76,239.24,1.26,170.47,29-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
29-Jun-2020 - 00:00,14.82,65.14,3.44,112.35,109.5,0.5,,0.3,4.72,0.83,1.39,0.4,27.74,85.19,999.11,384.76,1.25,197.39,30-Jun-2020 - 00:00,"Kurla, Mumbai - MPCB"
30-Jun-2020 - 00:00,3.52,17.36,4.56,95.59,91.06,0.57,,0.21,4.35,0.9,1.21,0.36,26.82,87.15,998.98,336.3,1.53,174.63,01-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
01-Jul-2020 - 00:00,5.87,29.9,2.95,97.82,94.89,0.41,,0.22,4.21,0.66,0.54,0.25,27.09,85.47,999.69,322.15,1.73,169.04,02-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
02-Jul-2020 - 00:00,6.55,29.95,1.49,104.91,103.67,0.32,,0.25,4.2,0.67,0.86,0.44,26.53,88.82,999.12,264.66,1.47,164.1,03-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
03-Jul-2020 - 00:00,6.14,17.73,2.01,115.02,113.3,,,0.24,4.39,1.03,1.12,0.39,24.68,96.81,999.07,80.84,1.24,191.86,04-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
04-Jul-2020 - 00:00,5.33,17.03,3.21,102.51,99.3,0.35,,0.25,4.91,0.66,0.69,0.28,24.11,99.58,998.06,46.63,2.02,186.12,05-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
05-Jul-2020 - 00:00,8.14,36.7,2.18,90.51,88.33,0.4,,0.2,6.09,0.22,0.6,0.39,24.85,96.6,997.8,62.19,3.1,203.67,06-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
06-Jul-2020 - 00:00,9.62,55.31,4.44,82.7,78.26,0.4,,0.17,4.5,0.18,0.46,0.22,26.76,89.3,996.13,215.68,2.26,218.91,07-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
07-Jul-2020 - 00:00,8.9,35.0,6.94,91.61,84.66,0.07,,0.17,4.83,0.34,0.8,0.27,25.17,97.5,996.75,114.93,1.38,214.0,08-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
08-Jul-2020 - 00:00,14.5,94.22,11.09,79.77,70.59,5.61,,0.28,3.28,0.44,1.13,0.38,26.79,92.7,,318.75,1.28,223.85,09-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
09-Jul-2020 - 00:00,16.46,86.48,14.69,71.16,56.47,6.62,,0.24,4.82,0.56,0.63,0.25,27.29,89.11,,330.94,1.37,195.34,10-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
10-Jul-2020 - 00:00,12.62,91.31,10.87,65.98,55.45,16.42,,0.19,5.03,0.28,0.45,0.3,27.85,86.16,999.92,416.82,1.48,213.58,11-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
11-Jul-2020 - 00:00,10.37,59.5,12.19,60.28,48.22,11.66,,0.17,5.61,0.27,0.49,0.26,27.36,88.52,,405.1,1.38,211.28,12-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
12-Jul-2020 - 00:00,10.17,24.79,18.3,65.09,47.1,8.03,,0.21,5.35,1.28,0.74,0.34,23.96,98.86,,147.68,1.19,169.17,13-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
13-Jul-2020 - 00:00,12.3,37.74,18.41,69.77,51.68,15.21,,0.29,4.98,1.66,0.7,0.38,24.86,97.12,999.8,162.94,1.49,164.42,14-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
14-Jul-2020 - 00:00,10.52,32.15,22.14,73.14,51.21,11.47,,0.28,4.18,1.03,0.7,0.48,24.42,96.55,999.56,142.51,1.66,158.89,15-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
15-Jul-2020 - 00:00,9.63,21.76,22.65,78.21,55.57,10.54,,0.26,4.98,1.08,1.11,0.48,23.81,99.77,999.11,101.28,2.53,169.23,16-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
16-Jul-2020 - 00:00,5.32,19.71,27.43,77.87,50.43,11.5,,0.19,6.24,0.47,0.66,0.46,23.61,99.85,996.73,69.65,1.88,157.84,17-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
17-Jul-2020 - 00:00,8.37,24.86,20.6,52.6,32.0,8.6,9.67,0.16,5.97,0.71,0.54,0.27,24.13,98.23,996.27,180.2,1.71,151.31,18-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
18-Jul-2020 - 00:00,12.88,47.2,21.2,60.9,39.79,12.55,6.7,0.2,5.34,0.71,0.57,0.43,26.2,90.37,998.69,320.96,1.47,164.37,19-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
19-Jul-2020 - 00:00,15.83,63.59,16.84,67.31,50.47,15.44,6.39,0.2,6.08,0.28,0.53,0.59,27.24,87.61,,350.65,1.18,201.07,20-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
20-Jul-2020 - 00:00,8.28,70.53,14.68,69.1,54.48,6.28,4.23,0.19,5.34,0.32,0.55,0.37,27.93,82.82,999.58,376.23,1.07,229.96,21-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
21-Jul-2020 - 00:00,10.24,80.51,20.93,64.34,43.43,5.58,10.38,0.18,4.96,1.01,0.57,0.44,28.13,80.97,,378.28,1.09,180.22,22-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
22-Jul-2020 - 00:00,8.68,59.31,18.31,57.02,38.74,6.88,16.57,0.19,4.61,1.04,0.47,0.43,27.94,80.95,,314.75,1.17,184.57,23-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
23-Jul-2020 - 00:00,10.92,26.8,13.54,58.09,44.54,7.07,17.75,0.14,5.81,0.26,0.54,0.64,25.7,92.42,,227.31,1.33,141.9,24-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
24-Jul-2020 - 00:00,13.25,56.14,32.29,73.78,41.49,8.83,17.63,0.39,7.21,0.75,1.19,0.73,26.33,87.1,,100.06,1.11,123.46,25-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
25-Jul-2020 - 00:00,10.09,41.21,20.42,51.08,30.72,7.0,13.52,0.24,5.06,0.95,0.66,0.48,26.66,83.99,,311.88,1.31,170.08,26-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
26-Jul-2020 - 00:00,8.34,26.37,27.56,68.04,40.49,13.68,14.17,0.18,5.7,0.56,0.99,0.72,26.11,88.01,,321.27,1.54,167.5,27-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
27-Jul-2020 - 00:00,7.11,34.0,17.88,72.93,55.12,9.1,14.22,0.24,5.29,0.43,0.84,0.75,24.58,95.46,,204.2,1.3,197.66,28-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
28-Jul-2020 - 00:00,11.28,27.11,23.12,94.7,71.59,6.03,13.91,0.5,4.03,0.9,1.99,1.45,23.79,99.11,,,1.12,119.81,29-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
29-Jul-2020 - 00:00,2.0,30.25,20.59,110.34,89.73,3.84,7.9,0.53,4.94,1.19,2.46,0.15,23.64,99.6,,,1.6,114.72,30-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
30-Jul-2020 - 00:00,9.73,59.1,19.54,91.96,72.43,6.44,14.89,0.4,6.01,0.56,1.33,0.58,25.75,91.06,,242.4,1.25,212.69,31-Jul-2020 - 00:00,"Kurla, Mumbai - MPCB"
31-Jul-2020 - 00:00,14.12,66.33,20.49,83.45,63.18,4.65,12.44,0.35,4.93,0.65,1.15,0.55,26.66,86.84,999.35,261.66,1.08,190.34,01-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
01-Aug-2020 - 00:00,6.24,26.51,20.28,57.72,37.43,5.94,8.93,0.16,5.8,0.81,0.77,0.38,26.86,85.03,999.01,283.0,1.6,150.71,02-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
02-Aug-2020 - 00:00,1.74,23.75,16.02,34.11,18.09,14.8,6.7,0.1,9.34,0.52,0.42,0.31,27.17,82.65,999.0,384.08,1.87,160.42,03-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
03-Aug-2020 - 00:00,0.79,24.25,16.72,49.38,32.66,19.15,8.6,0.12,11.08,0.35,0.44,0.28,25.89,90.11,997.47,327.37,1.56,188.06,04-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
04-Aug-2020 - 00:00,2.4,21.15,17.49,53.96,36.47,15.21,10.04,0.09,17.97,0.22,0.36,0.3,24.48,95.3,993.68,101.94,5.96,229.15,05-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
05-Aug-2020 - 00:00,5.0,26.02,16.82,63.15,46.34,6.17,11.78,0.11,13.66,0.25,0.47,0.38,24.62,97.54,990.99,69.11,2.49,222.11,06-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
06-Aug-2020 - 00:00,3.58,42.45,22.72,46.53,23.8,3.18,7.21,0.15,23.45,0.43,0.53,0.42,23.18,99.8,994.32,3.41,2.11,239.62,07-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
07-Aug-2020 - 00:00,10.53,44.35,18.44,64.98,46.55,1.64,9.54,0.19,15.35,0.32,0.51,0.42,24.95,95.81,997.71,193.66,1.72,228.41,08-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
08-Aug-2020 - 00:00,12.04,73.15,17.46,79.05,61.71,0.52,8.71,0.21,9.81,0.29,1.01,0.53,26.12,90.71,,296.23,1.69,244.24,09-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
09-Aug-2020 - 00:00,9.57,61.23,17.88,82.81,64.95,0.91,9.61,0.2,9.34,0.34,0.41,0.39,25.83,92.55,999.8,224.06,1.46,261.83,10-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
10-Aug-2020 - 00:00,12.42,77.96,21.47,95.94,74.47,0.73,10.44,0.25,9.85,0.35,0.57,0.39,26.25,90.51,,247.95,1.49,248.96,11-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
11-Aug-2020 - 00:00,13.78,111.21,22.74,81.64,58.97,1.04,15.33,0.22,5.8,0.34,0.49,0.52,26.79,87.4,,194.38,1.71,240.95,12-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
12-Aug-2020 - 00:00,8.93,56.45,24.99,57.73,32.9,8.74,23.16,0.16,5.68,0.29,0.61,0.29,24.42,97.42,,82.98,2.08,259.98,13-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
13-Aug-2020 - 00:00,8.78,51.65,24.89,55.43,30.58,5.41,12.54,0.15,5.38,0.24,0.28,0.28,25.44,92.57,,168.9,2.01,256.58,14-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
14-Aug-2020 - 00:00,11.63,57.66,23.08,55.22,32.33,5.81,8.99,0.17,6.01,0.97,1.79,0.32,23.64,98.87,999.33,88.34,1.55,241.23,15-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
15-Aug-2020 - 00:00,8.18,37.27,17.24,34.37,17.13,5.23,8.18,0.17,7.75,0.56,1.44,0.43,25.16,95.5,999.01,194.6,1.83,247.27,16-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
16-Aug-2020 - 00:00,9.43,56.6,14.61,40.51,25.9,5.08,7.3,0.12,7.44,0.46,1.33,0.49,25.56,93.62,999.59,170.5,1.98,258.19,17-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
17-Aug-2020 - 00:00,8.75,50.5,13.19,49.11,35.92,4.34,4.23,0.21,6.4,0.77,1.62,0.32,24.13,98.11,,,1.39,256.77,18-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
18-Aug-2020 - 00:00,9.09,45.48,26.07,66.59,40.54,4.29,4.72,0.24,4.89,0.8,1.74,0.5,25.17,93.3,,210.12,1.58,249.93,19-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
19-Aug-2020 - 00:00,10.04,39.62,20.48,63.59,43.46,5.25,9.7,0.2,5.11,0.61,1.83,0.75,24.75,94.42,999.99,206.73,1.4,251.38,20-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
20-Aug-2020 - 00:00,13.65,54.24,20.4,74.81,54.58,4.24,13.74,0.23,5.02,0.91,2.84,0.88,24.33,97.42,999.48,99.5,1.4,240.03,21-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
21-Aug-2020 - 00:00,15.43,64.09,20.53,66.7,46.43,4.65,16.04,0.2,5.0,0.66,1.51,0.43,23.71,99.7,999.77,62.3,1.61,225.99,22-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
22-Aug-2020 - 00:00,14.78,58.84,16.91,58.25,41.54,3.96,16.0,0.09,5.57,0.64,1.38,0.43,24.17,99.38,,185.74,1.69,237.11,23-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
23-Aug-2020 - 00:00,5.64,,8.56,50.78,42.21,3.62,,,,0.48,1.34,0.51,,,,,,,24-Aug-2020 - 00:00,"Kurla, Mumbai - MPCB"
