from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,to date,station
01-Jan-2020 - 00:00,37.1,4.51,22.67,12.83,25.77,1.36,70.02,172.66,215.68,8.78,0.17,1.17,2.84,89.52,0.65,171.53,02-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
02-Jan-2020 - 00:00,35.25,4.45,21.67,12.12,12.5,0.92,62.59,137.94,175.16,6.9,0.16,1.3,3.24,81.52,0.83,230.55,03-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
03-Jan-2020 - 00:00,42.63,7.79,28.19,11.59,26.1,1.25,53.74,116.92,165.99,6.89,0.2,1.85,4.61,88.23,0.68,261.48,04-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
04-Jan-2020 - 00:00,36.71,6.4,23.99,14.06,17.69,0.95,71.31,137.31,185.05,6.99,0.18,1.38,3.91,79.19,0.73,266.97,05-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
05-Jan-2020 - 00:00,30.02,3.79,18.4,13.68,11.15,0.74,74.62,112.31,148.43,5.09,0.14,0.96,2.72,79.75,0.76,226.26,06-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
06-Jan-2020 - 00:00,30.94,3.58,18.71,11.59,21.13,0.8,65.85,101.55,139.76,4.92,0.13,0.87,2.35,88.16,0.89,103.05,07-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
07-Jan-2020 - 00:00,34.47,4.35,21.3,10.34,21.07,0.87,59.21,79.04,118.56,5.61,0.28,1.95,3.32,94.14,1.18,109.14,08-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
08-Jan-2020 - 00:00,22.1,4.67,15.29,12.77,13.1,0.71,34.98,75.68,108.12,5.39,0.22,1.72,3.21,99.13,1.16,245.15,09-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
09-Jan-2020 - 00:00,27.96,9.23,22.0,11.45,15.64,1.07,47.69,66.12,98.74,5.13,0.16,1.05,3.25,99.12,0.86,266.65,10-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
10-Jan-2020 - 00:00,29.58,3.3,18.1,13.02,12.5,0.87,45.57,73.71,115.1,5.45,0.14,0.94,2.93,78.43,1.26,269.31,11-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
11-Jan-2020 - 00:00,34.64,3.35,20.79,16.19,17.24,0.89,42.39,73.8,120.15,4.67,0.15,1.02,2.93,62.11,0.8,280.14,12-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
12-Jan-2020 - 00:00,35.33,4.11,21.75,14.3,16.23,0.9,48.34,91.44,142.02,5.24,0.14,0.97,2.81,69.34,0.71,200.14,13-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
13-Jan-2020 - 00:00,36.72,4.69,22.94,11.75,18.32,0.88,78.71,93.4,149.98,6.15,0.24,1.93,4.07,86.99,1.48,166.47,14-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
14-Jan-2020 - 00:00,23.94,3.47,15.27,9.76,11.5,0.95,49.89,49.78,73.53,3.74,0.11,0.78,2.16,97.67,0.82,297.87,15-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
15-Jan-2020 - 00:00,25.08,4.36,16.6,11.52,17.43,0.9,38.98,59.09,83.47,5.04,0.12,0.9,2.15,91.78,0.74,253.78,16-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
