from date,NO2,NOx,NO,NH3,SO2,Ozone,CO,PM10,PM2.5,Benzene,Toluene,AT,Temp,BP,RH,RF,WS,WD,SR,to date,station
13-Apr-2020 - 00:00,30.09,18.68,3.16,45.02,25.31,60.84,1.56,183.9,59.9,0.92,3.27,28.8,30.59,741.0,36.34,0.0,2.54,276.21,112.25,14-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
14-Apr-2020 - 00:00,24.19,14.95,2.45,48.08,30.58,60.33,1.38,227.5,83.99,1.57,3.89,30.22,29.17,741.0,35.67,0.0,1.11,171.01,90.71,15-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
15-Apr-2020 - 00:00,18.38,11.38,1.83,48.3,26.01,73.46,1.41,307.94,88.34,1.45,2.44,30.17,29.89,741.0,35.41,0.0,2.54,160.81,96.93,16-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
16-Apr-2020 - 00:00,22.77,13.76,1.92,48.03,41.12,73.54,1.42,325.92,101.35,1.91,2.86,29.52,30.61,741.0,36.66,0.0,2.44,213.0,99.23,17-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
17-Apr-2020 - 00:00,9.4,6.78,2.06,38.46,22.61,76.45,0.91,173.7,39.74,0.72,1.25,28.88,28.63,741.0,34.54,0.0,3.5,222.89,102.64,18-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
18-Apr-2020 - 00:00,5.6,4.15,1.43,37.02,13.41,78.24,0.96,156.48,26.64,0.36,0.61,27.65,29.03,741.0,39.83,0.29,3.62,162.79,95.82,19-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
19-Apr-2020 - 00:00,14.23,9.47,2.22,37.02,15.15,69.17,1.03,84.68,35.32,0.62,1.8,26.56,29.99,741.48,41.55,0.04,2.49,213.0,109.68,20-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
20-Apr-2020 - 00:00,23.31,15.52,3.69,42.25,22.85,38.06,1.22,207.76,73.98,1.19,2.6,23.98,30.07,744.0,46.6,0.0,1.32,166.32,30.69,21-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
21-Apr-2020 - 00:00,21.75,14.64,3.66,40.94,13.86,73.29,0.92,150.46,51.11,0.8,1.6,25.84,30.06,744.0,43.09,0.0,1.48,228.43,112.68,22-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
22-Apr-2020 - 00:00,21.29,14.72,4.04,38.71,23.13,90.48,1.16,176.5,69.94,1.32,2.59,28.12,29.73,744.0,35.38,0.0,1.15,196.81,127.74,23-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
23-Apr-2020 - 00:00,17.22,10.99,2.14,45.18,15.62,63.24,1.18,165.57,65.83,1.2,1.85,25.98,28.82,744.0,45.78,0.23,1.55,111.43,72.15,24-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
24-Apr-2020 - 00:00,17.57,11.33,2.31,49.22,30.41,84.7,1.05,146.24,71.02,1.33,1.67,27.42,28.63,744.0,42.44,0.0,0.88,86.08,117.57,25-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
25-Apr-2020 - 00:00,17.13,10.89,2.08,47.73,16.01,81.77,1.0,173.52,50.19,0.99,4.6,27.59,29.13,744.0,40.1,0.0,1.59,117.24,98.99,26-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
26-Apr-2020 - 00:00,11.68,7.96,2.05,45.95,18.48,65.17,1.08,188.54,59.46,1.01,1.27,23.59,28.8,744.0,54.57,0.19,3.84,97.1,61.12,27-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
27-Apr-2020 - 00:00,7.15,5.01,1.48,42.49,9.35,83.8,0.84,53.23,26.63,0.44,0.47,24.53,28.4,744.0,54.63,0.0,4.53,96.6,159.3,28-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
28-Apr-2020 - 00:00,9.8,6.37,1.41,40.27,10.54,85.32,0.85,92.57,33.89,0.41,0.91,28.51,29.2,744.0,43.57,0.0,1.13,163.76,146.33,29-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
29-Apr-2020 - 00:00,12.61,8.55,2.13,42.89,13.69,75.25,0.94,128.98,53.72,1.08,1.78,27.74,29.65,744.0,47.79,0.0,1.52,93.95,111.58,30-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
30-Apr-2020 - 00:00,15.21,9.84,2.03,45.95,13.01,77.33,1.06,161.66,56.86,0.87,1.2,28.99,28.76,744.0,45.71,0.0,1.4,106.45,108.72,01-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
01-May-2020 - 00:00,10.56,7.25,1.88,52.37,13.22,81.77,0.88,165.56,51.7,0.65,0.78,27.96,30.53,744.0,49.56,0.0,3.31,113.07,110.44,02-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-May-2020 - 00:00,10.83,7.45,1.96,44.18,11.8,77.38,0.78,140.62,34.05,0.48,0.71,27.37,30.99,744.0,49.03,0.0,4.73,110.33,111.8,03-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
03-May-2020 - 00:00,13.52,8.8,1.86,40.74,11.32,56.4,0.85,133.59,44.54,0.73,1.12,25.93,30.45,744.0,54.27,0.0,2.9,129.71,60.89,04-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
04-May-2020 - 00:00,16.47,10.87,2.47,37.31,7.81,67.68,1.04,82.68,33.43,0.79,9.11,26.46,32.44,744.0,51.15,0.0,1.12,164.62,116.73,05-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-May-2020 - 00:00,21.16,14.08,3.35,35.41,12.67,77.42,1.02,140.52,53.5,0.96,1.99,28.71,31.39,744.0,43.28,0.0,1.69,193.61,118.39,06-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-May-2020 - 00:00,12.3,8.29,2.02,33.74,13.28,87.02,1.03,155.65,45.42,0.77,1.26,27.49,29.1,744.0,45.47,0.0,2.15,132.34,94.72,07-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-May-2020 - 00:00,11.41,7.59,1.77,31.87,9.14,96.99,0.7,83.3,24.67,0.44,0.96,27.2,30.51,744.0,43.21,0.0,2.93,130.55,127.24,08-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-May-2020 - 00:00,15.21,9.83,2.01,34.04,12.58,95.88,1.02,116.49,46.27,0.86,1.19,29.03,30.35,744.0,43.91,0.0,2.03,133.5,118.48,09-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
09-May-2020 - 00:00,11.48,7.78,1.95,41.27,12.44,98.43,1.02,153.41,61.02,0.9,1.12,29.29,28.73,744.0,46.01,0.0,2.43,92.98,109.22,10-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-May-2020 - 00:00,11.64,8.0,2.1,45.9,11.84,63.83,0.9,106.77,49.05,0.7,1.13,25.07,29.05,744.0,53.7,0.02,3.51,116.76,53.53,11-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
11-May-2020 - 00:00,12.58,8.48,2.08,39.11,11.85,71.97,1.0,83.67,40.99,0.66,1.22,25.52,28.38,743.79,53.35,0.0,2.31,106.9,104.97,12-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
12-May-2020 - 00:00,12.16,8.3,2.14,46.59,13.37,85.62,1.03,96.42,44.21,0.6,1.17,27.6,29.87,743.3,48.19,0.0,1.98,120.44,107.97,13-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
13-May-2020 - 00:00,16.75,10.7,2.08,48.73,21.53,74.28,0.95,156.74,66.83,0.89,2.18,27.78,30.06,743.35,49.48,0.0,0.82,165.34,73.95,14-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
14-May-2020 - 00:00,20.28,14.3,4.21,43.71,16.48,73.09,0.83,174.85,61.41,0.79,2.0,28.71,30.19,743.74,44.38,0.0,1.5,180.31,111.32,15-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
15-May-2020 - 00:00,25.16,15.55,2.54,35.19,15.82,77.95,0.76,134.2,48.41,0.57,2.27,29.14,30.49,743.71,39.55,0.0,2.82,238.54,124.49,16-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
16-May-2020 - 00:00,43.16,27.39,5.33,32.83,23.33,87.45,0.99,173.21,72.86,0.82,5.59,29.67,30.5,743.94,35.51,0.0,2.64,248.59,127.89,17-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
17-May-2020 - 00:00,41.77,27.7,6.62,33.46,22.01,86.02,0.95,201.26,80.06,1.0,4.96,30.88,30.6,743.88,32.77,0.0,1.3,258.02,110.3,18-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
18-May-2020 - 00:00,46.93,32.61,9.28,36.84,29.71,89.24,1.21,232.42,98.69,1.47,5.08,30.77,31.2,743.91,32.48,0.0,1.38,229.02,117.45,19-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
19-May-2020 - 00:00,39.67,29.87,10.7,34.46,24.23,82.01,1.4,229.05,96.88,1.47,4.56,30.73,30.44,743.95,31.02,0.0,1.13,206.97,110.73,20-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
20-May-2020 - 00:00,41.02,26.16,5.37,33.29,25.66,79.3,0.99,201.19,72.57,1.12,4.81,29.84,30.15,743.91,30.5,0.0,2.19,240.27,126.07,21-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
21-May-2020 - 00:00,41.21,28.0,7.35,37.04,17.83,79.48,1.14,255.69,68.88,0.94,6.51,31.09,29.05,743.97,29.91,0.0,2.65,265.43,126.68,22-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
22-May-2020 - 00:00,43.6,32.06,10.79,41.25,24.2,92.0,1.11,257.54,90.04,1.13,5.81,32.79,30.55,743.98,28.67,0.0,1.02,215.14,120.31,23-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
23-May-2020 - 00:00,33.93,21.79,4.48,59.02,26.23,99.85,1.52,306.39,116.46,2.11,4.24,32.75,30.64,743.88,35.46,0.0,0.9,125.07,102.85,24-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
24-May-2020 - 00:00,37.49,24.7,5.72,63.76,17.65,67.28,1.32,276.2,87.97,1.49,3.82,33.26,32.27,743.98,37.27,0.0,1.44,211.01,115.88,25-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
25-May-2020 - 00:00,40.44,26.02,5.43,52.08,19.98,73.32,1.01,226.3,64.73,1.18,4.51,33.36,33.71,744.0,30.77,0.0,2.16,269.68,123.34,26-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
26-May-2020 - 00:00,40.09,27.54,7.51,46.66,20.27,70.13,1.01,255.88,72.62,1.13,5.27,34.16,34.12,744.0,29.17,0.0,2.27,238.98,125.23,27-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
27-May-2020 - 00:00,21.88,14.09,2.88,48.35,18.72,111.26,0.87,201.95,57.09,0.86,2.28,33.08,33.75,744.0,33.11,0.0,1.85,152.27,116.74,28-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
28-May-2020 - 00:00,10.74,7.8,2.45,45.28,7.19,82.88,0.77,338.41,40.78,0.39,0.73,29.48,32.74,744.0,43.53,0.02,6.11,101.14,111.44,29-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
29-May-2020 - 00:00,11.92,8.65,2.71,40.98,4.49,74.88,0.75,73.8,22.32,0.29,0.63,26.62,30.46,743.96,52.37,0.01,5.04,106.99,105.32,30-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
30-May-2020 - 00:00,11.45,8.67,3.0,40.83,3.58,70.09,0.6,46.25,19.38,0.28,0.77,25.61,30.31,744.0,56.15,0.0,2.51,104.64,113.36,31-May-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
31-May-2020 - 00:00,11.57,8.53,2.78,43.25,3.81,57.05,0.6,43.16,19.54,0.4,3.75,24.46,31.23,743.66,62.34,0.0,2.71,137.33,112.06,01-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
01-Jun-2020 - 00:00,22.49,14.55,3.05,43.19,6.71,63.93,0.79,85.15,35.94,0.65,4.53,26.36,31.34,743.0,57.2,0.0,0.6,168.71,119.06,02-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-Jun-2020 - 00:00,22.54,14.34,2.77,41.65,7.84,74.58,0.82,118.17,43.49,0.64,1.82,28.15,32.02,743.09,50.17,0.0,1.37,182.9,116.69,03-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
03-Jun-2020 - 00:00,27.45,17.06,2.88,42.83,15.5,85.65,1.44,153.48,55.16,0.8,3.87,29.23,32.09,743.18,46.85,0.0,0.63,174.22,100.41,04-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
04-Jun-2020 - 00:00,23.97,16.74,4.79,49.22,17.82,55.28,1.39,168.72,61.01,1.19,4.48,27.37,32.12,743.0,52.3,0.0,1.27,97.2,56.34,05-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-Jun-2020 - 00:00,11.91,8.52,2.57,48.09,8.88,74.54,0.97,94.57,38.23,0.62,1.38,27.06,32.1,743.0,52.43,0.0,1.76,95.17,103.62,06-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-Jun-2020 - 00:00,13.91,9.58,2.56,45.93,14.64,77.24,0.95,103.06,41.38,0.64,1.75,27.91,32.2,743.0,51.56,0.0,0.96,97.86,106.36,07-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-Jun-2020 - 00:00,19.4,12.85,2.99,41.06,14.0,72.52,1.07,138.89,52.06,1.02,1.87,28.57,32.06,743.0,49.23,0.0,1.36,153.89,118.84,08-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-Jun-2020 - 00:00,21.43,13.88,2.94,41.57,18.52,86.92,1.05,135.0,53.53,0.77,2.41,29.64,32.07,743.0,46.93,0.0,0.94,157.49,112.09,09-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
09-Jun-2020 - 00:00,31.63,28.08,13.75,42.72,17.04,85.88,1.17,168.64,62.35,0.86,3.97,31.3,32.19,743.0,44.21,0.0,0.92,207.36,115.08,10-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-Jun-2020 - 00:00,35.4,29.91,13.51,47.18,17.09,84.99,1.12,209.19,69.19,0.97,5.03,31.62,32.5,743.0,44.22,0.0,0.88,164.46,107.55,11-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
11-Jun-2020 - 00:00,20.2,13.51,3.29,46.74,25.33,85.68,1.38,191.26,65.27,0.93,3.85,31.49,31.73,743.0,46.56,0.0,0.62,155.51,104.82,12-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
12-Jun-2020 - 00:00,13.86,9.6,2.63,49.79,15.24,73.92,1.61,169.68,63.66,1.0,2.85,31.79,32.5,743.0,47.38,0.0,1.02,93.38,107.68,13-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
13-Jun-2020 - 00:00,12.72,9.09,2.74,46.8,14.36,61.3,1.46,177.19,59.15,1.04,2.41,30.24,32.12,743.0,51.31,0.0,1.91,99.82,83.86,14-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
14-Jun-2020 - 00:00,8.2,6.79,3.09,39.17,13.15,50.83,1.38,142.6,49.98,0.76,2.08,30.8,31.2,743.0,51.08,0.0,1.03,101.81,95.56,15-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
15-Jun-2020 - 00:00,10.85,7.96,2.58,51.08,12.26,76.49,1.14,145.16,45.67,0.8,1.71,32.16,31.96,743.0,45.91,0.0,0.84,119.78,99.12,16-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
16-Jun-2020 - 00:00,9.33,7.06,2.46,38.49,12.05,70.27,1.37,125.14,35.88,0.64,1.97,31.92,31.22,743.0,45.58,0.0,1.47,82.55,118.7,17-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
17-Jun-2020 - 00:00,7.24,5.92,2.44,38.77,8.04,50.2,1.12,104.53,28.71,0.49,2.15,30.6,31.23,743.0,50.43,0.0,2.63,79.45,116.32,18-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
18-Jun-2020 - 00:00,10.33,7.67,2.56,42.49,12.02,62.78,1.1,125.96,39.85,0.65,3.44,31.4,32.29,743.0,49.68,0.0,1.54,114.45,118.69,19-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
19-Jun-2020 - 00:00,10.13,7.6,2.6,38.95,9.74,50.73,1.07,152.98,39.64,0.57,2.92,30.7,31.75,743.0,52.55,0.0,2.16,92.3,91.57,20-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
20-Jun-2020 - 00:00,9.73,7.54,2.93,38.51,11.92,70.99,0.69,146.14,35.55,0.47,2.72,30.15,32.26,743.0,49.35,0.0,1.3,129.2,89.15,21-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
21-Jun-2020 - 00:00,7.51,6.09,2.47,43.58,5.44,72.21,0.4,84.68,34.76,0.53,1.45,28.6,32.09,743.0,56.12,0.0,1.8,79.7,96.13,22-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
22-Jun-2020 - 00:00,6.72,4.95,1.89,44.26,7.52,110.79,0.56,94.23,32.25,0.39,1.35,31.77,31.48,743.0,45.04,0.0,1.22,158.62,148.42,23-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
23-Jun-2020 - 00:00,4.94,4.45,2.12,48.52,9.11,55.59,0.84,72.62,26.13,0.43,1.16,29.01,33.67,740.47,55.84,0.0,3.18,90.29,105.11,24-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
24-Jun-2020 - 00:00,9.14,8.33,4.12,40.77,6.35,40.4,0.94,66.32,30.57,0.5,1.43,27.52,32.27,738.0,63.89,0.0,1.41,99.57,59.66,25-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
25-Jun-2020 - 00:00,10.44,9.06,4.2,44.22,11.07,60.84,1.01,125.45,46.96,0.67,2.93,29.41,32.27,737.6,57.97,0.0,0.92,195.01,107.98,26-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
26-Jun-2020 - 00:00,12.85,9.3,2.88,48.14,9.66,58.37,1.12,153.95,77.39,0.79,3.04,29.49,32.97,737.0,57.26,0.0,1.04,203.07,101.55,27-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
27-Jun-2020 - 00:00,19.22,16.33,7.27,45.7,11.02,19.62,0.72,137.77,37.35,0.53,2.63,28.82,32.62,737.0,58.42,0.0,1.27,246.02,83.27,28-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
28-Jun-2020 - 00:00,14.89,11.8,4.65,44.26,7.77,42.65,0.84,330.77,43.71,0.55,2.41,32.56,33.12,738.0,47.13,0.0,1.75,238.02,104.98,29-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
29-Jun-2020 - 00:00,9.24,13.13,9.98,43.1,8.77,44.65,0.86,203.26,47.68,0.6,2.81,29.31,32.93,738.0,56.75,0.0,2.01,179.99,44.87,30-Jun-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
30-Jun-2020 - 00:00,2.84,3.38,2.48,46.02,3.48,56.22,0.87,99.09,37.73,0.44,1.1,28.89,31.61,738.0,58.4,0.0,1.76,207.28,58.91,01-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
01-Jul-2020 - 00:00,3.77,3.77,2.43,42.55,5.28,69.47,,119.76,41.48,0.53,2.06,30.52,32.73,738.0,53.69,0.0,1.13,238.69,93.31,02-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-Jul-2020 - 00:00,3.61,4.34,4.34,26.45,6.01,74.37,1.25,153.88,59.59,0.55,3.32,31.46,32.16,738.07,51.18,0.0,0.98,198.9,94.46,03-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
03-Jul-2020 - 00:00,9.97,5.14,7.56,33.35,5.15,68.63,1.54,165.22,60.93,0.68,1.64,31.04,32.99,738.0,53.1,0.0,2.17,89.67,100.27,04-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
04-Jul-2020 - 00:00,7.99,5.63,1.59,45.56,3.76,63.4,1.48,107.78,39.72,0.39,1.43,29.25,32.3,738.0,57.26,0.0,3.11,103.16,106.71,05-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-Jul-2020 - 00:00,5.89,5.22,2.3,47.48,2.6,38.04,1.12,60.9,31.97,0.24,0.59,25.43,31.0,738.0,66.79,0.02,3.18,145.74,41.31,06-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-Jul-2020 - 00:00,11.09,6.91,1.5,55.61,3.89,61.21,0.74,78.79,25.9,0.3,2.36,29.04,32.06,611.95,55.32,0.0,2.48,96.09,95.57,07-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-Jul-2020 - 00:00,8.55,6.36,2.03,41.57,3.7,29.46,0.8,30.09,11.19,0.24,0.87,26.07,32.5,612.0,66.05,0.0,2.75,113.27,21.85,08-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-Jul-2020 - 00:00,13.64,8.97,1.96,42.87,4.23,25.82,1.4,48.57,20.89,0.29,1.33,27.01,30.81,612.0,66.07,0.0,2.06,98.39,61.99,09-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
09-Jul-2020 - 00:00,19.72,12.43,2.26,45.56,5.91,53.14,3.39,66.58,26.49,0.36,1.51,29.32,32.3,674.36,58.46,0.0,0.74,138.9,94.55,10-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-Jul-2020 - 00:00,20.63,12.97,2.31,52.68,9.05,68.66,2.31,101.47,26.79,0.31,2.16,30.12,32.22,740.16,56.03,0.02,1.9,197.17,93.78,11-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
11-Jul-2020 - 00:00,18.39,11.14,1.67,49.18,7.98,62.19,2.34,56.31,17.16,0.23,1.4,27.98,31.86,740.17,59.98,0.02,1.89,183.07,68.8,12-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
12-Jul-2020 - 00:00,13.99,8.43,1.3,44.05,11.26,49.76,1.64,48.65,21.74,0.23,0.98,27.93,30.38,740.48,58.9,0.0,2.09,194.57,84.17,13-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
13-Jul-2020 - 00:00,19.1,11.25,1.43,63.53,20.33,68.32,1.19,121.55,38.04,0.38,2.46,29.07,31.11,816.63,54.94,0.0,1.16,236.52,131.63,14-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
14-Jul-2020 - 00:00,23.47,16.05,4.28,61.9,10.77,56.94,1.16,205.5,45.65,0.37,2.64,30.56,31.81,811.96,55.4,0.0,1.22,157.06,96.33,15-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
15-Jul-2020 - 00:00,10.48,6.97,1.58,56.11,6.32,52.6,0.94,91.77,27.14,0.24,1.23,29.48,31.47,741.0,57.36,0.0,3.04,120.07,87.78,16-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
16-Jul-2020 - 00:00,11.78,8.2,2.24,50.71,5.56,35.65,0.74,67.07,23.59,0.25,1.58,28.95,31.83,741.0,59.5,0.03,2.44,135.53,90.78,17-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
17-Jul-2020 - 00:00,11.24,7.46,1.67,50.58,6.04,47.35,2.06,80.2,36.25,0.28,1.53,29.29,32.38,669.28,59.56,0.0,2.16,123.16,78.73,18-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
18-Jul-2020 - 00:00,8.45,5.46,1.19,53.16,5.08,31.68,1.34,60.36,23.68,0.29,1.11,28.36,32.6,691.09,61.67,0.0,1.96,131.77,61.23,19-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
19-Jul-2020 - 00:00,19.25,10.84,0.89,52.86,6.81,39.33,0.95,52.99,27.35,0.38,3.39,27.44,32.19,740.19,65.74,0.11,0.78,180.09,65.91,20-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
20-Jul-2020 - 00:00,26.5,15.52,1.82,47.14,13.82,56.83,1.37,69.75,23.52,0.39,3.79,26.98,31.25,739.98,62.03,0.01,1.08,229.45,67.39,21-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
21-Jul-2020 - 00:00,12.49,7.81,1.41,37.02,7.71,40.29,1.02,36.09,10.49,0.22,2.91,25.79,30.56,740.0,64.68,0.27,1.39,147.96,71.22,22-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
22-Jul-2020 - 00:00,17.85,11.21,1.98,32.5,10.02,29.66,0.84,34.67,13.21,0.23,2.88,25.33,30.78,740.0,66.86,0.03,1.12,214.02,59.38,23-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
23-Jul-2020 - 00:00,22.34,14.98,3.89,41.32,10.09,63.28,0.72,113.5,44.14,0.44,6.6,27.74,30.98,740.04,59.72,0.0,0.6,224.16,109.9,24-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
24-Jul-2020 - 00:00,8.09,5.39,1.55,38.89,5.98,50.32,1.04,78.41,27.27,0.3,2.12,28.1,31.76,740.42,60.22,0.0,2.49,117.96,105.35,25-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
25-Jul-2020 - 00:00,5.27,4.64,2.13,60.22,8.92,39.2,1.02,53.89,16.65,0.26,1.68,27.42,31.47,741.99,63.72,0.0,2.13,122.66,78.86,26-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
26-Jul-2020 - 00:00,12.01,8.4,2.36,56.9,8.75,51.57,1.11,77.51,29.16,0.25,1.28,29.53,31.05,741.1,57.78,0.0,0.57,131.66,103.68,27-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
27-Jul-2020 - 00:00,29.79,23.79,9.65,68.42,11.29,53.49,1.14,145.76,42.53,0.34,3.44,30.36,31.1,740.17,56.09,0.0,1.49,232.43,105.74,28-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
28-Jul-2020 - 00:00,18.2,12.53,3.38,65.76,11.2,59.04,1.16,110.28,26.61,0.34,3.51,30.03,31.74,740.0,56.34,0.0,1.49,207.03,90.82,29-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
29-Jul-2020 - 00:00,9.39,6.78,2.07,46.54,7.71,34.99,1.57,61.92,16.01,0.15,2.08,27.8,30.19,740.0,62.44,0.0,2.91,96.51,79.02,30-Jul-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
