from date,NO2,NOx,NO,NH3,SO2,Ozone,CO,PM10,PM2.5,Benzene,Toluene,AT,Temp,BP,RH,RF,WS,WD,SR,to date,station
25-Jan-2020 - 00:00,74.67,80.17,49.67,57.15,40.43,56.25,1.93,303.66,190.59,2.08,19.68,14.76,28.13,889.0,55.77,0.0,1.27,263.78,63.93,26-Jan-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
26-Jan-2020 - 00:00,71.23,81.53,53.68,60.99,25.16,1.49,1.44,343.04,262.58,2.51,10.3,11.71,31.12,889.0,68.38,0.0,1.05,284.81,7.38,27-Jan-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
27-Jan-2020 - 00:00,38.85,31.99,13.78,58.01,23.42,72.71,1.76,232.0,161.14,1.93,6.54,17.21,30.73,797.74,56.49,0.0,2.25,138.87,55.08,28-Jan-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
28-Jan-2020 - 00:00,22.77,18.03,7.16,49.52,17.58,64.67,1.93,167.47,139.49,1.49,4.31,16.52,30.39,746.0,63.5,0.05,3.49,155.9,45.3,29-Jan-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
29-Jan-2020 - 00:00,38.56,33.44,15.91,42.59,14.14,44.09,1.91,118.41,74.12,1.09,7.24,16.02,29.94,746.0,63.93,0.0,2.36,234.33,57.09,30-Jan-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
30-Jan-2020 - 00:00,45.17,34.26,12.45,36.52,23.3,54.48,1.4,134.95,78.49,1.0,9.25,15.07,29.57,746.0,61.51,0.0,3.9,283.32,71.84,31-Jan-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
31-Jan-2020 - 00:00,54.59,35.73,8.78,42.36,23.44,71.44,1.42,177.18,102.71,1.38,26.29,14.96,28.99,746.0,56.23,0.0,3.12,266.21,80.6,01-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
01-Feb-2020 - 00:00,38.64,36.81,21.84,43.4,29.56,70.77,1.28,182.29,123.66,1.49,7.39,14.27,28.05,746.0,61.65,0.0,2.41,253.0,66.28,02-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-Feb-2020 - 00:00,37.89,44.5,29.79,42.34,21.23,56.96,1.48,173.77,118.68,1.64,13.28,12.92,29.32,745.9,66.97,0.0,2.96,283.63,99.5,03-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
03-Feb-2020 - 00:00,64.67,53.52,23.41,50.03,25.94,49.62,1.53,232.59,149.12,1.79,12.69,15.23,29.89,746.0,56.41,0.0,1.45,275.84,63.81,04-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
