from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
01-Jan-2020 - 00:00,128.21,205.95,70.09,52.83,122.92,10.69,23.34,1.46,64.59,20.3,67.02,26.42,25.3,95.82,,295.74,,144.75,02-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
02-Jan-2020 - 00:00,119.71,180.56,57.34,15.11,72.45,11.67,15.98,1.18,71.54,19.41,69.83,23.96,26.61,98.45,,276.3,,109.03,03-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
03-Jan-2020 - 00:00,105.69,158.8,47.5,16.79,64.3,10.93,16.81,1.11,71.5,18.29,63.45,22.25,26.38,97.26,,272.75,,129.19,04-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
04-Jan-2020 - 00:00,100.9,170.86,42.68,17.24,59.91,9.78,16.44,1.14,78.98,19.35,45.06,20.51,25.6,98.84,,274.12,,162.32,05-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
05-Jan-2020 - 00:00,104.73,171.07,40.8,62.64,103.42,10.01,20.37,1.65,47.75,18.81,62.93,25.45,27.96,92.59,,296.13,,120.69,06-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
06-Jan-2020 - 00:00,76.88,146.74,60.56,30.62,91.17,10.68,19.88,1.12,40.11,16.64,71.34,26.79,29.84,93.0,,301.54,,149.96,07-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
07-Jan-2020 - 00:00,92.39,166.82,65.47,61.27,126.72,13.44,12.42,1.03,38.16,18.76,83.1,29.41,29.54,99.2,,251.95,,91.8,08-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
08-Jan-2020 - 00:00,75.51,133.19,46.3,41.41,87.7,13.57,6.61,0.87,41.95,20.33,85.93,41.84,29.13,99.91,,267.2,,105.14,09-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
09-Jan-2020 - 00:00,72.76,130.77,44.13,19.06,63.2,10.28,8.56,0.77,64.5,18.51,60.96,24.61,27.26,97.26,,306.27,,118.32,10-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
10-Jan-2020 - 00:00,72.47,133.72,49.38,38.3,87.68,9.96,9.86,0.93,41.18,16.73,73.98,27.22,28.56,94.7,,295.57,,139.73,11-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
11-Jan-2020 - 00:00,78.22,178.09,60.23,55.49,115.75,11.57,10.4,1.21,40.89,17.59,83.1,36.4,30.06,94.53,,282.59,,136.83,12-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
12-Jan-2020 - 00:00,96.95,189.39,63.8,69.18,132.98,13.43,10.74,1.35,39.34,23.42,82.54,50.62,29.61,96.81,,259.84,,108.09,13-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
13-Jan-2020 - 00:00,88.2,146.24,46.66,34.67,81.34,15.31,6.33,1.05,34.61,20.05,84.08,36.21,28.85,99.9,,234.94,,130.63,14-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
14-Jan-2020 - 00:00,61.26,109.12,33.61,34.07,67.68,13.73,4.9,0.68,38.35,16.42,72.2,36.02,27.92,99.72,,292.51,,150.57,15-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
15-Jan-2020 - 00:00,42.27,90.81,43.84,15.41,59.25,11.01,7.91,0.64,50.9,18.36,69.3,28.22,26.13,95.93,,306.61,,129.3,16-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
16-Jan-2020 - 00:00,53.91,98.05,43.54,25.9,69.44,10.0,6.18,0.68,44.57,16.45,62.04,32.29,24.01,96.31,,335.05,,186.18,17-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
17-Jan-2020 - 00:00,60.04,97.66,45.66,12.34,57.99,8.76,7.95,0.75,59.31,16.58,51.9,20.57,23.53,91.19,,346.5,,140.5,18-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
18-Jan-2020 - 00:00,90.83,214.08,53.41,43.93,97.34,10.54,10.76,1.22,75.19,18.3,50.99,22.36,26.45,92.76,,318.77,49.0,168.25,19-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
19-Jan-2020 - 00:00,88.53,162.68,51.88,35.62,87.49,11.47,12.52,1.22,66.69,20.97,57.3,30.86,28.7,93.78,,305.64,,124.13,20-Jan-2020 - 00:00,"Mahape, Navi Mumbai - MPCB"
