from date,PM10,PM2.5,AT,BP,SR,RH,WD,RF,NO,NOx,NO2,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,to date,station
01-Jan-2020 - 00:00,283.79,239.12,5.95,998.17,102.74,77.59,335.33,,9.85,36.09,52.7,13.16,13.98,1.71,25.04,1.77,3.74,0.67,02-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
02-Jan-2020 - 00:00,304.96,217.71,6.36,997.83,114.2,75.28,335.21,,57.86,75.56,53.07,8.72,16.59,2.01,21.83,2.25,17.67,2.71,03-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
03-Jan-2020 - 00:00,312.21,209.23,12.65,995.88,115.33,69.76,268.74,,54.9,72.17,48.27,18.38,12.68,2.07,26.93,2.22,31.51,4.19,04-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
04-Jan-2020 - 00:00,321.48,225.34,15.06,994.96,94.9,66.6,254.0,,64.66,79.5,49.91,30.42,11.96,1.81,24.05,1.91,19.21,3.21,05-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
05-Jan-2020 - 00:00,252.3,182.92,11.1,995.38,89.48,62.99,258.03,,9.53,29.01,39.86,26.25,10.6,1.17,30.97,1.23,9.29,0.9,06-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
06-Jan-2020 - 00:00,217.82,169.09,12.47,996.36,36.85,65.67,161.36,,7.69,28.36,41.55,22.89,14.4,1.19,13.95,1.01,4.95,0.59,07-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
07-Jan-2020 - 00:00,123.16,97.05,13.28,994.14,53.26,69.53,83.24,0.5,3.92,18.91,29.56,24.8,10.18,1.17,14.22,0.9,3.02,0.22,08-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
08-Jan-2020 - 00:00,105.94,86.23,12.85,992.27,19.8,76.46,179.11,0.93,3.8,17.12,26.37,21.24,7.03,0.9,12.21,0.77,3.56,0.24,09-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
09-Jan-2020 - 00:00,109.43,80.5,9.84,997.07,91.63,72.57,284.13,,3.54,13.42,19.81,24.03,8.62,0.88,17.04,0.61,4.02,0.08,10-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
10-Jan-2020 - 00:00,161.03,112.88,10.48,997.09,123.09,69.25,281.18,,4.1,19.7,30.74,27.31,11.33,1.01,21.18,0.93,24.31,0.67,11-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
11-Jan-2020 - 00:00,211.66,129.66,12.24,996.5,125.21,62.08,255.7,,13.68,35.87,48.37,29.81,11.69,1.76,29.49,0.98,17.75,0.86,12-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
12-Jan-2020 - 00:00,289.02,181.02,13.02,993.73,124.47,64.43,261.89,,27.56,48.24,48.41,26.88,12.19,1.42,23.25,1.36,13.62,1.6,13-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
13-Jan-2020 - 00:00,279.25,201.79,14.17,989.3,62.71,67.4,118.69,0.5,10.2,32.61,45.63,24.73,8.8,1.53,15.71,1.79,7.87,2.35,14-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
14-Jan-2020 - 00:00,139.16,104.38,12.42,993.08,87.16,72.05,229.52,,4.76,19.0,28.42,23.55,8.78,1.02,10.89,0.93,5.83,0.57,15-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
15-Jan-2020 - 00:00,163.91,111.52,11.99,994.1,116.12,71.46,200.21,,7.68,23.27,32.02,20.19,11.5,1.44,11.26,1.11,7.29,0.76,16-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
16-Jan-2020 - 00:00,170.85,117.62,11.56,993.0,52.75,73.96,217.08,0.5,6.73,21.09,29.34,20.11,9.52,1.09,4.42,1.14,5.86,0.62,17-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
17-Jan-2020 - 00:00,134.17,97.65,12.62,994.29,73.3,74.41,267.48,0.5,5.91,16.23,21.45,20.53,8.24,1.28,5.0,0.97,8.03,0.58,18-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
18-Jan-2020 - 00:00,159.05,108.43,11.51,996.01,87.78,73.36,268.84,,7.64,24.0,33.42,19.68,8.89,1.34,4.99,1.29,11.18,0.59,19-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
19-Jan-2020 - 00:00,145.83,106.44,10.18,996.75,116.19,72.52,284.64,,2.41,10.93,16.86,20.15,7.88,0.81,6.52,0.8,5.75,0.02,20-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
20-Jan-2020 - 00:00,210.69,139.1,11.55,995.64,78.97,72.46,285.97,,11.58,22.18,23.98,20.08,8.7,1.28,,1.06,6.62,0.51,21-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
21-Jan-2020 - 00:00,357.69,246.46,12.21,996.38,78.25,74.59,67.09,,30.19,46.9,41.91,36.82,14.24,2.6,19.26,2.3,12.1,3.06,22-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
22-Jan-2020 - 00:00,192.07,137.78,11.12,997.77,83.9,75.15,257.41,,12.72,27.41,31.87,36.22,15.27,1.73,12.59,1.78,29.18,1.5,23-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
23-Jan-2020 - 00:00,108.31,65.96,13.29,996.31,152.64,57.86,300.21,,2.0,13.4,22.12,30.15,11.89,1.19,29.41,0.52,13.75,0.13,24-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
24-Jan-2020 - 00:00,130.08,79.5,12.47,993.99,173.13,57.03,287.67,,8.53,22.37,28.99,29.51,12.95,1.05,22.24,0.63,10.36,0.24,25-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
25-Jan-2020 - 00:00,262.1,169.82,10.78,994.1,98.93,66.46,285.44,,18.69,42.54,51.12,40.7,16.8,2.18,22.18,1.29,10.86,1.03,26-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
26-Jan-2020 - 00:00,311.06,217.28,13.04,992.2,130.64,65.47,297.33,,24.41,41.56,40.73,45.08,12.39,2.51,21.49,2.0,11.46,1.76,27-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
27-Jan-2020 - 00:00,288.43,198.27,13.45,989.77,61.84,67.89,111.88,0.62,34.8,53.4,47.07,46.78,13.99,2.46,10.31,1.72,7.13,2.02,28-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
28-Jan-2020 - 00:00,134.26,99.4,14.59,988.62,74.58,70.22,115.17,0.64,4.76,23.26,36.6,34.25,11.3,1.54,6.67,0.88,3.62,0.28,29-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
29-Jan-2020 - 00:00,123.25,78.06,13.82,994.43,138.62,66.64,205.45,,6.98,29.64,45.06,31.87,10.95,1.07,5.83,0.67,13.5,0.44,30-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
30-Jan-2020 - 00:00,111.92,69.23,13.31,995.17,146.12,66.31,295.57,,6.58,30.77,47.74,29.25,11.01,0.94,8.15,0.56,3.41,0.1,31-Jan-2020 - 00:00,"Alipur, Delhi - DPCC"
31-Jan-2020 - 00:00,137.31,84.75,10.82,993.06,134.73,68.84,234.2,,7.96,31.66,48.08,29.36,10.74,1.32,9.46,0.82,12.09,0.57,01-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
01-Feb-2020 - 00:00,183.47,118.74,10.78,995.92,136.47,69.7,103.63,,44.86,62.93,49.23,30.67,8.3,1.66,11.0,1.24,10.12,1.35,02-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
02-Feb-2020 - 00:00,171.01,113.02,11.57,997.31,136.25,69.82,284.33,0.5,9.98,33.99,48.62,36.44,8.78,1.32,8.2,0.89,8.27,0.37,03-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
03-Feb-2020 - 00:00,224.7,141.17,12.27,995.97,152.59,63.65,273.32,,16.15,44.42,59.55,37.67,11.62,1.51,12.31,1.16,17.15,0.75,04-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
04-Feb-2020 - 00:00,245.09,173.79,12.16,994.44,120.24,65.93,54.92,,19.38,44.88,54.67,38.45,12.43,1.21,11.13,1.37,7.52,0.83,05-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
05-Feb-2020 - 00:00,222.21,141.21,13.03,994.65,137.28,63.67,232.28,,13.05,38.93,53.2,37.43,12.2,1.14,12.27,1.14,8.4,0.4,06-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
06-Feb-2020 - 00:00,187.89,130.81,11.77,993.98,140.94,65.55,220.96,,5.66,29.21,46.25,36.63,12.4,1.04,11.06,0.89,5.32,0.2,07-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
07-Feb-2020 - 00:00,190.09,129.73,11.56,996.45,130.9,65.94,165.54,,19.27,42.28,49.18,31.0,10.7,1.15,12.05,1.0,2.72,0.19,08-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
08-Feb-2020 - 00:00,211.94,149.79,13.42,998.04,147.06,62.96,289.4,,6.3,30.41,47.56,39.32,14.11,0.93,11.08,0.82,7.21,0.13,09-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
09-Feb-2020 - 00:00,225.55,,13.38,998.16,149.27,63.01,273.06,,13.73,40.2,54.54,38.45,13.78,1.14,12.08,0.97,3.77,0.29,10-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
10-Feb-2020 - 00:00,265.79,125.78,13.06,996.76,151.01,63.94,284.92,,42.96,68.82,63.37,38.95,14.46,1.45,12.95,1.17,16.14,0.88,11-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
11-Feb-2020 - 00:00,285.2,161.96,13.44,997.07,150.04,64.65,285.44,,58.66,81.91,63.55,38.33,12.25,1.41,14.45,1.44,11.57,1.8,12-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
12-Feb-2020 - 00:00,272.01,162.77,16.07,996.38,143.52,61.4,278.77,,10.6,34.0,47.57,45.08,16.44,1.07,12.71,1.02,13.38,0.32,13-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
13-Feb-2020 - 00:00,152.41,89.34,18.8,993.32,160.17,55.62,285.05,,2.67,21.34,36.02,32.86,18.16,0.83,36.71,0.6,19.32,0.11,14-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
14-Feb-2020 - 00:00,142.07,76.15,17.93,990.61,166.0,53.72,292.21,,2.41,19.1,32.19,28.23,17.64,0.86,62.76,0.42,7.96,0.01,15-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
15-Feb-2020 - 00:00,170.1,99.63,16.87,990.81,169.99,50.83,298.71,,3.05,24.83,42.74,28.56,24.31,0.69,59.14,0.61,18.51,0.12,16-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
16-Feb-2020 - 00:00,279.85,176.91,16.41,993.97,164.81,58.56,229.42,,34.61,61.62,64.02,40.84,26.89,1.51,49.91,1.14,11.35,0.84,17-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
17-Feb-2020 - 00:00,329.54,190.9,13.67,995.02,66.83,65.69,243.22,,27.03,57.03,65.96,48.97,22.67,1.14,29.23,1.34,19.82,1.43,18-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
18-Feb-2020 - 00:00,252.49,149.3,16.99,992.23,167.44,52.66,285.43,,27.42,55.65,62.52,32.76,28.21,1.18,58.38,1.07,16.06,1.17,19-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
19-Feb-2020 - 00:00,297.8,164.95,16.85,991.09,119.52,59.24,180.96,,40.45,67.51,64.96,36.2,19.76,1.52,58.12,2.19,19.1,5.15,20-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
20-Feb-2020 - 00:00,200.65,125.51,18.22,990.99,79.94,59.62,134.07,2.75,2.76,24.4,41.62,37.73,15.13,1.2,61.02,1.12,4.61,0.24,21-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
21-Feb-2020 - 00:00,55.17,40.55,15.57,995.05,52.34,69.42,106.7,0.5,2.29,15.37,25.37,26.08,10.81,0.63,49.28,0.31,1.54,0.01,22-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
22-Feb-2020 - 00:00,90.32,48.01,17.55,997.85,142.78,65.18,51.62,,17.56,34.55,38.17,21.97,16.79,1.07,32.97,0.58,4.04,0.66,23-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
23-Feb-2020 - 00:00,150.88,86.71,18.37,995.8,141.31,65.03,93.71,,20.14,38.28,41.08,27.98,15.52,0.96,33.96,0.92,7.26,1.2,24-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
24-Feb-2020 - 00:00,126.25,61.61,17.96,992.53,162.38,63.51,148.95,,11.63,36.48,50.69,24.74,17.41,0.89,28.7,0.75,8.45,0.31,25-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
25-Feb-2020 - 00:00,260.4,136.28,16.98,991.28,78.37,68.77,293.33,,14.01,40.67,54.99,34.05,18.95,1.13,18.77,0.81,8.58,0.33,26-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
26-Feb-2020 - 00:00,287.03,153.08,18.7,991.98,137.52,65.16,190.77,,24.4,42.95,43.4,36.87,23.84,1.1,33.16,1.26,11.8,0.79,27-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
27-Feb-2020 - 00:00,219.42,125.3,18.83,992.36,119.71,65.87,101.53,,6.66,29.56,45.36,30.78,13.21,1.05,39.8,1.17,4.9,0.26,28-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
28-Feb-2020 - 00:00,195.53,95.15,20.18,991.02,127.19,63.12,127.36,,3.1,22.86,38.22,29.71,12.33,0.98,31.97,0.82,3.41,0.24,29-Feb-2020 - 00:00,"Alipur, Delhi - DPCC"
29-Feb-2020 - 00:00,137.44,66.83,18.99,990.36,114.27,64.62,144.83,0.5,3.2,20.98,34.54,27.23,10.9,0.87,22.38,0.48,2.28,0.02,01-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
01-Mar-2020 - 00:00,81.75,46.88,19.35,990.97,167.4,63.76,104.98,,4.92,23.74,37.09,24.55,11.07,0.72,31.76,0.31,2.19,0.01,02-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
02-Mar-2020 - 00:00,185.26,89.11,19.89,990.54,160.48,64.05,78.77,,42.22,60.69,49.41,27.41,16.3,1.29,21.14,0.54,4.88,0.19,03-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
03-Mar-2020 - 00:00,187.5,96.23,19.97,989.02,182.59,60.1,143.32,,37.75,53.37,42.44,27.09,14.83,1.04,23.89,0.53,8.69,0.45,04-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
04-Mar-2020 - 00:00,155.42,92.58,17.01,988.63,66.47,67.63,88.54,0.5,15.0,33.06,39.18,28.19,9.68,0.98,17.82,0.54,2.19,0.03,05-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
05-Mar-2020 - 00:00,41.65,27.62,16.96,988.76,67.32,67.68,147.32,1.25,2.86,18.73,30.81,24.69,11.49,0.67,19.68,0.14,2.0,0.0,06-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
06-Mar-2020 - 00:00,29.5,19.39,15.76,987.58,114.71,69.68,206.52,1.53,2.47,17.34,29.65,20.5,11.3,0.57,22.7,0.05,1.57,0.0,07-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
07-Mar-2020 - 00:00,67.51,40.86,16.68,991.95,109.32,67.67,161.33,,3.04,19.67,32.3,19.68,11.04,0.84,24.9,0.22,1.99,0.23,08-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
08-Mar-2020 - 00:00,90.97,59.59,17.1,993.83,180.53,65.28,209.51,,11.9,29.13,37.37,20.6,11.01,,19.72,0.47,2.94,0.18,09-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
09-Mar-2020 - 00:00,98.97,42.9,17.88,990.92,209.43,59.03,293.0,,3.11,19.28,31.51,19.28,12.58,0.77,24.13,0.06,1.64,0.01,10-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
10-Mar-2020 - 00:00,132.06,72.18,18.63,989.6,187.62,57.01,143.61,,2.73,16.85,27.49,21.54,15.65,0.79,31.09,0.21,2.27,0.02,11-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
11-Mar-2020 - 00:00,99.18,55.88,20.7,987.21,158.8,59.55,167.58,1.0,2.65,17.11,28.13,22.19,12.68,0.84,30.7,0.28,1.38,0.01,12-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
