from date,AT,BP,PM2.5,PM10,RF,RH,SR,Temp,VWS,WD,WS,Benzene,Eth-Benzene,MP-Xylene,Xylene,Toluene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
07-May-2020 - 00:00,29.63,751.71,8.61,31.67,0.0,61.6,208.12,,0.02,184.79,3.07,0.16,0.49,0.06,0.08,1.46,0.58,4.83,1.75,7.62,5.48,37.19,6.13,08-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-May-2020 - 00:00,31.31,751.48,7.41,21.26,0.0,60.62,210.03,,0.02,197.66,2.85,0.02,0.13,0.01,0.0,0.48,0.55,6.0,1.6,5.16,4.04,31.45,6.47,09-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-May-2020 - 00:00,31.1,751.44,10.59,32.36,0.0,61.71,206.3,,0.02,184.91,2.69,0.01,0.12,0.01,0.0,0.36,0.57,5.59,1.61,7.22,5.15,36.1,6.5,10-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-May-2020 - 00:00,31.67,751.54,10.02,37.62,0.0,56.89,208.62,,0.02,191.34,2.69,0.08,0.14,0.01,0.03,0.69,0.57,4.75,1.51,7.42,5.18,42.63,7.6,11-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-May-2020 - 00:00,30.71,752.26,12.16,44.01,0.0,60.09,209.46,,0.03,164.27,3.11,0.16,0.27,0.03,0.11,1.29,0.6,6.62,1.67,9.57,6.44,40.79,9.24,12-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-May-2020 - 00:00,30.54,751.75,13.34,41.39,0.0,54.84,211.05,,0.05,135.62,3.26,0.23,0.22,0.01,0.09,1.24,0.57,5.39,1.54,8.96,6.01,49.48,8.21,13-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
13-May-2020 - 00:00,29.84,750.97,15.18,41.53,0.0,57.08,212.38,,0.02,152.78,3.2,0.19,0.24,0.02,0.09,1.14,0.57,5.88,1.61,8.81,5.96,49.51,7.44,14-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
14-May-2020 - 00:00,30.45,750.3,16.54,48.82,0.0,56.79,212.22,,0.07,114.65,3.45,0.19,0.32,0.04,0.08,1.43,0.57,6.39,1.84,11.03,7.36,33.0,6.94,15-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
15-May-2020 - 00:00,30.74,748.92,12.65,38.22,0.0,60.2,210.35,,0.04,142.31,3.13,0.12,0.38,0.03,0.05,1.42,0.56,6.69,1.7,8.79,6.06,35.44,5.4,16-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
16-May-2020 - 00:00,31.11,748.1,9.46,38.9,0.0,60.69,202.84,,0.02,146.14,2.89,0.09,0.45,0.05,0.06,1.59,0.55,5.88,1.64,8.58,5.9,40.44,6.38,17-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
17-May-2020 - 00:00,30.45,746.51,18.73,56.04,0.0,57.97,204.41,,0.01,173.48,2.67,0.19,0.5,0.05,0.03,1.61,0.61,7.44,1.6,9.77,6.51,51.13,7.17,18-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
18-May-2020 - 00:00,30.63,743.27,30.34,74.65,0.0,52.3,193.08,,0.02,174.48,2.13,0.48,1.33,0.17,0.1,4.2,0.72,6.78,1.87,17.12,10.62,51.77,10.79,19-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
19-May-2020 - 00:00,31.81,740.25,46.05,101.55,0.0,47.65,196.11,,-0.03,257.81,3.77,0.47,1.15,0.15,0.15,3.53,0.76,9.14,1.64,16.42,10.07,82.82,11.4,20-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
20-May-2020 - 00:00,33.52,741.28,52.39,133.51,0.0,42.36,204.41,,-0.03,252.67,3.2,0.84,2.49,0.42,0.09,5.47,0.84,11.49,1.61,20.63,12.28,102.73,17.16,21-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
21-May-2020 - 00:00,33.83,743.86,33.26,108.11,0.0,53.65,200.7,,0.02,226.63,2.31,0.18,0.82,0.09,0.04,2.39,0.79,10.93,1.45,13.95,8.54,82.13,8.64,22-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
22-May-2020 - 00:00,33.1,746.15,31.12,97.28,0.0,61.64,205.52,,0.03,172.16,2.92,0.13,0.71,0.07,0.03,2.05,0.72,8.15,1.45,11.51,7.23,73.04,8.65,23-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
23-May-2020 - 00:00,32.23,748.1,22.01,66.22,0.0,63.02,207.47,,0.06,149.09,3.38,0.11,0.58,0.06,0.04,1.62,0.66,6.37,1.33,7.81,5.24,63.25,7.4,24-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
24-May-2020 - 00:00,32.15,749.39,16.09,48.14,0.0,61.79,206.41,,0.04,173.28,3.22,0.05,0.25,0.01,0.02,0.79,0.59,7.85,1.34,6.3,4.43,57.82,6.5,25-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
25-May-2020 - 00:00,31.57,750.38,15.25,50.33,0.0,62.49,208.1,,0.03,181.25,3.54,0.07,0.48,0.06,0.03,1.38,0.61,7.1,1.59,6.62,4.82,50.99,5.89,26-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
26-May-2020 - 00:00,31.39,750.23,17.05,55.22,0.0,63.11,208.65,,0.04,168.25,3.33,0.12,0.54,0.07,0.07,1.7,0.6,7.54,1.49,7.99,5.47,47.75,6.79,27-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
27-May-2020 - 00:00,31.56,749.15,18.95,58.48,0.0,63.56,209.21,,0.05,169.66,3.48,0.08,0.52,0.06,0.04,1.52,0.58,6.58,1.42,7.53,5.16,51.01,7.45,28-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
28-May-2020 - 00:00,31.76,747.38,24.11,61.33,0.0,66.14,207.46,,0.1,162.05,3.59,0.06,0.65,0.08,0.03,1.71,0.63,6.16,1.49,7.07,4.92,54.74,8.42,29-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
29-May-2020 - 00:00,32.36,748.21,20.14,61.67,0.02,61.77,209.53,,0.06,137.7,3.76,0.08,0.66,0.07,0.02,1.66,0.59,5.27,1.57,7.8,5.42,57.73,7.59,30-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
30-May-2020 - 00:00,31.7,749.73,27.5,71.73,0.0,63.02,208.01,,0.03,178.72,3.46,0.1,0.67,0.07,0.06,1.82,0.59,5.75,1.54,9.89,6.53,61.63,9.38,31-May-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
31-May-2020 - 00:00,31.48,751.09,15.62,49.62,0.0,62.23,206.94,,0.03,179.28,3.5,0.05,0.35,0.02,0.02,1.02,0.56,4.47,1.48,7.32,5.1,51.68,6.75,01-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
01-Jun-2020 - 00:00,30.58,751.48,12.43,43.54,0.0,60.54,212.84,,0.02,192.21,3.26,0.14,0.6,0.07,0.09,1.76,0.57,4.67,2.07,11.28,7.68,42.14,10.72,02-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Jun-2020 - 00:00,29.57,750.45,10.27,36.74,0.33,63.44,200.6,,0.03,143.14,2.74,0.15,1.23,0.16,0.03,2.58,0.6,5.81,1.58,13.2,8.31,48.46,7.01,03-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Jun-2020 - 00:00,29.73,749.38,19.17,38.09,0.05,67.44,209.44,,0.04,145.81,2.82,0.11,1.18,0.16,0.07,2.77,0.66,5.11,1.78,13.82,8.81,41.81,6.24,04-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-Jun-2020 - 00:00,26.75,748.97,15.43,39.59,0.11,76.86,184.86,,0.04,131.55,2.4,0.15,2.82,0.45,0.25,4.9,0.7,4.46,2.31,18.42,11.68,36.92,6.46,05-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-Jun-2020 - 00:00,29.87,748.06,21.73,51.6,0.0,65.66,203.34,,0.01,179.59,2.31,0.14,2.52,0.42,0.06,4.65,0.7,6.78,1.94,17.06,10.66,56.96,7.85,06-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
06-Jun-2020 - 00:00,31.87,747.12,28.17,58.88,0.06,60.5,204.32,,0.01,188.41,2.27,0.15,1.32,0.17,0.07,2.87,0.63,8.58,1.83,16.09,10.06,56.42,6.6,07-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-Jun-2020 - 00:00,32.01,745.92,19.55,40.61,0.0,56.73,204.09,,0.0,212.95,2.43,0.12,0.72,0.06,0.01,1.95,0.57,12.93,1.56,12.68,8.01,72.05,8.08,08-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-Jun-2020 - 00:00,31.92,745.17,25.73,51.65,0.01,56.03,190.99,,-0.0,220.28,2.12,0.25,1.63,0.17,0.06,3.64,0.73,12.4,1.86,18.59,11.41,59.16,11.12,09-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-Jun-2020 - 00:00,26.83,745.75,24.65,52.49,0.15,72.11,184.81,,0.02,181.35,3.24,0.12,1.02,0.14,0.1,3.21,0.68,12.74,1.58,13.69,8.56,63.42,7.16,10-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-Jun-2020 - 00:00,26.96,744.02,11.29,23.99,0.08,69.39,230.55,,-0.03,239.5,3.38,0.09,1.12,0.16,0.08,2.39,0.58,10.5,1.88,13.57,8.75,60.75,7.06,11-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-Jun-2020 - 00:00,25.95,742.0,9.5,27.0,0.0,74.5,279.5,,-0.07,244.0,3.8,0.2,0.65,0.1,0.25,2.3,0.83,11.9,1.4,11.6,7.3,61.25,7.7,12-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-Jun-2020 - 00:00,26.23,742.23,19.26,38.07,0.0,74.53,151.43,,-0.03,239.72,3.2,0.08,1.0,0.12,0.0,2.38,0.57,8.08,1.55,12.35,7.84,54.57,7.59,13-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
13-Jun-2020 - 00:00,28.63,743.66,9.62,22.89,0.02,64.75,210.91,,-0.01,217.73,3.41,0.12,0.81,0.09,0.04,1.86,0.58,7.35,1.8,10.54,7.07,47.28,7.59,14-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
14-Jun-2020 - 00:00,30.56,744.83,15.16,33.96,0.01,62.89,206.75,,-0.02,233.36,3.25,0.08,0.41,0.03,0.02,1.28,0.46,7.71,1.55,9.08,6.09,51.7,7.21,15-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
15-Jun-2020 - 00:00,30.55,744.48,13.1,30.36,0.0,63.12,204.83,,-0.03,224.86,3.92,0.06,0.68,0.08,0.03,1.57,0.52,8.52,1.75,8.76,6.08,47.39,5.55,16-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
16-Jun-2020 - 00:00,27.49,744.47,14.71,36.06,0.64,72.17,198.74,,-0.01,229.61,3.35,0.12,1.16,0.16,0.07,2.52,0.53,8.05,1.7,8.66,5.99,43.66,5.58,17-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
17-Jun-2020 - 00:00,26.9,745.29,10.27,21.43,0.06,72.43,202.91,,-0.03,241.43,2.78,0.11,1.52,0.25,0.13,3.16,0.52,7.48,2.09,10.42,7.24,36.22,6.03,18-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
18-Jun-2020 - 00:00,27.28,747.04,13.02,36.95,0.0,69.18,208.71,,-0.03,239.08,3.39,0.08,0.65,0.07,0.03,1.5,0.46,6.88,1.66,9.71,6.44,38.41,7.51,19-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
19-Jun-2020 - 00:00,27.26,746.7,13.02,35.43,0.0,68.88,201.76,,-0.04,252.38,3.24,0.1,0.51,0.05,0.02,1.34,0.55,7.32,1.85,9.23,6.42,37.39,7.42,20-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
20-Jun-2020 - 00:00,30.53,745.52,22.66,62.06,0.0,64.12,211.28,,-0.06,263.05,3.79,0.1,0.65,0.06,0.03,1.79,0.65,7.92,1.47,11.96,7.46,40.56,8.58,21-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
21-Jun-2020 - 00:00,26.9,744.9,20.54,45.83,0.0,68.46,199.3,,-0.06,250.7,3.98,0.16,0.26,0.01,0.01,1.09,0.51,7.77,1.39,9.47,6.08,40.07,9.48,22-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
22-Jun-2020 - 00:00,27.55,744.06,24.8,61.19,0.02,67.61,205.5,,-0.06,256.4,3.99,0.21,0.65,0.07,0.03,2.26,0.58,7.88,1.25,11.99,7.29,33.41,10.09,23-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
23-Jun-2020 - 00:00,29.97,746.48,24.44,61.1,0.0,60.97,213.94,,-0.04,260.61,3.22,0.18,0.57,0.05,0.05,2.17,0.6,8.01,1.31,11.43,7.06,43.63,8.18,24-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
24-Jun-2020 - 00:00,29.18,748.26,19.28,46.41,0.0,63.73,206.97,,0.01,195.7,2.69,0.17,1.05,0.12,0.03,2.51,0.55,9.0,1.37,10.94,6.87,47.05,5.13,25-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
25-Jun-2020 - 00:00,28.46,748.18,17.85,50.16,0.0,66.99,211.98,,0.05,133.31,3.16,0.17,1.08,0.16,0.08,2.45,0.57,8.49,1.35,11.56,7.15,30.49,3.58,26-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
26-Jun-2020 - 00:00,27.29,748.05,9.12,27.8,0.01,71.86,183.12,,0.04,140.36,2.75,0.1,1.35,0.17,0.06,2.61,0.53,7.15,1.29,9.06,5.76,17.05,3.17,27-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
27-Jun-2020 - 00:00,29.34,747.49,13.5,31.33,0.0,65.61,214.72,,0.03,163.8,2.66,0.11,0.85,0.09,0.06,2.03,0.59,6.54,1.29,9.51,6.03,29.21,3.67,28-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
28-Jun-2020 - 00:00,29.27,747.09,20.4,43.97,0.0,69.53,208.9,,0.03,178.8,2.39,0.05,0.62,0.06,0.02,1.42,0.53,7.4,1.52,8.59,5.81,41.75,3.43,29-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
29-Jun-2020 - 00:00,29.95,746.49,19.2,43.12,0.0,67.84,208.01,,0.03,160.05,2.54,0.12,1.04,0.12,0.06,2.32,0.57,6.3,1.61,9.11,6.15,37.0,2.34,30-Jun-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
30-Jun-2020 - 00:00,26.57,746.7,17.46,35.68,0.45,78.66,189.05,,0.01,169.18,1.86,0.13,2.6,0.37,0.1,4.16,0.67,6.07,2.17,13.93,9.17,29.54,4.38,01-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
