from date,AT,BP,PM2.5,PM10,RF,RH,SR,Temp,VWS,WD,WS,Benzene,Eth-Benzene,MP-Xylene,Xylene,Toluene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
11-Jul-2020 - 00:00,27.33,747.29,9.8,27.64,0.39,75.07,211.06,,-0.02,233.45,2.63,0.13,0.56,0.07,0.18,1.69,0.59,6.31,1.68,8.54,5.92,36.11,2.61,12-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-Jul-2020 - 00:00,28.77,747.28,9.42,21.37,0.47,78.09,197.52,,-0.0,214.09,2.78,0.02,0.88,0.11,0.01,1.56,0.52,4.19,1.6,8.47,5.8,37.38,2.64,13-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
13-Jul-2020 - 00:00,27.89,746.31,8.86,19.91,0.16,78.75,203.83,,-0.02,223.07,2.66,0.03,1.05,0.14,0.03,2.0,0.54,4.2,2.25,9.08,6.66,35.11,4.12,14-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
14-Jul-2020 - 00:00,27.54,745.91,5.15,15.05,0.02,78.01,201.17,,-0.02,246.96,2.73,0.02,0.26,0.02,0.02,0.83,0.47,3.94,1.41,6.09,4.38,34.95,4.45,15-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
15-Jul-2020 - 00:00,24.88,744.84,4.19,9.64,0.79,85.38,194.01,,-0.01,223.59,2.48,0.03,0.58,0.06,0.02,1.36,0.52,4.79,1.65,6.51,4.81,26.35,3.19,16-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
16-Jul-2020 - 00:00,24.05,744.55,4.18,9.6,0.02,80.36,202.93,,-0.02,225.9,3.28,0.17,0.25,0.03,0.09,1.03,0.56,5.58,1.63,6.39,4.73,29.13,4.32,17-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
17-Jul-2020 - 00:00,27.13,745.73,10.84,33.67,0.0,73.35,204.67,,0.02,218.84,1.63,0.26,0.99,0.24,0.44,3.19,0.61,6.62,2.0,11.53,7.76,33.1,3.47,18-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
18-Jul-2020 - 00:00,27.42,747.78,7.88,23.68,0.01,70.09,214.04,,0.01,187.62,2.2,0.18,0.34,0.09,0.29,1.91,0.84,7.37,2.13,9.78,6.93,34.58,2.24,19-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
19-Jul-2020 - 00:00,27.72,748.34,11.8,26.1,0.02,75.04,206.81,,0.01,185.72,1.59,0.08,0.66,0.1,0.18,2.01,0.76,7.76,1.53,9.58,6.34,31.11,2.55,20-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
20-Jul-2020 - 00:00,26.66,747.91,20.02,40.13,0.12,79.02,204.67,,0.01,170.42,1.97,0.13,1.4,0.24,0.33,3.49,0.94,8.12,1.97,10.74,7.32,31.68,3.28,21-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
21-Jul-2020 - 00:00,28.09,749.32,15.73,33.17,0.01,73.93,211.4,,0.02,166.78,2.64,0.09,0.81,0.12,0.12,2.09,0.59,7.72,2.21,8.25,6.19,33.75,3.14,22-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
22-Jul-2020 - 00:00,28.32,749.36,6.41,22.04,0.33,71.71,207.85,,0.01,190.27,2.34,0.06,0.23,0.02,0.12,1.19,0.5,8.4,1.78,6.71,5.02,25.92,2.29,23-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
23-Jul-2020 - 00:00,23.63,749.19,6.24,19.13,0.66,83.74,189.72,,0.0,232.05,1.75,0.19,0.48,0.13,0.4,2.24,0.46,6.61,2.06,8.06,5.95,30.71,3.45,24-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
24-Jul-2020 - 00:00,24.4,749.79,12.38,29.02,0.01,78.51,201.56,,0.0,179.06,1.5,0.35,1.21,0.34,0.87,5.28,0.62,6.48,2.27,12.62,8.55,23.35,6.42,25-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
25-Jul-2020 - 00:00,26.98,750.43,13.43,35.79,0.0,74.1,208.65,,0.02,172.0,1.81,0.19,0.96,0.19,0.42,3.19,0.6,9.26,2.19,11.21,7.73,33.1,5.29,26-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
26-Jul-2020 - 00:00,29.23,750.55,18.61,36.15,0.0,70.02,211.23,,-0.01,212.48,1.96,0.1,0.36,0.11,0.38,1.92,0.5,11.24,1.53,8.14,5.58,42.12,3.08,27-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
27-Jul-2020 - 00:00,29.99,748.62,14.9,37.72,0.0,62.88,205.95,,-0.02,242.45,2.58,0.16,0.4,0.07,0.18,1.94,0.49,11.77,1.91,10.29,7.03,46.13,5.36,28-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
28-Jul-2020 - 00:00,27.5,746.99,13.2,43.55,0.31,70.82,197.2,,-0.0,219.45,1.98,0.2,0.76,0.13,0.22,2.44,0.51,13.02,1.58,11.48,7.4,38.86,5.09,29-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
29-Jul-2020 - 00:00,27.01,746.82,12.02,26.85,0.0,73.03,210.28,,0.03,153.93,2.49,0.24,0.56,0.12,0.3,2.42,0.45,13.25,1.73,9.88,6.66,38.91,5.33,30-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
30-Jul-2020 - 00:00,28.77,747.57,9.44,31.6,0.02,71.93,205.2,,0.03,146.9,1.88,0.14,1.2,0.22,0.36,3.29,0.48,10.11,2.15,10.9,7.55,26.24,4.61,31-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
31-Jul-2020 - 00:00,29.54,747.24,14.88,34.92,0.0,72.94,205.32,,0.02,160.57,1.86,0.06,1.3,0.16,0.04,2.63,0.56,9.89,2.03,10.59,7.28,36.08,3.19,01-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
01-Aug-2020 - 00:00,26.69,746.64,15.57,33.26,0.14,77.32,198.78,,-0.0,205.89,1.84,0.12,1.12,0.15,0.13,2.78,0.55,10.31,1.85,11.1,7.41,33.3,3.98,02-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Aug-2020 - 00:00,27.6,745.15,7.0,16.75,0.0,72.03,205.2,,-0.02,250.51,2.82,0.1,0.1,0.0,0.01,0.67,0.44,9.78,1.55,6.57,4.75,42.95,4.65,03-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Aug-2020 - 00:00,26.84,742.89,7.47,21.53,0.0,73.16,206.56,,-0.06,258.82,4.36,0.11,0.24,0.01,0.03,1.17,0.41,8.89,1.89,8.19,5.87,39.96,5.13,04-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-Aug-2020 - 00:00,24.8,741.01,5.1,15.11,0.1,80.23,193.85,,-0.07,251.29,4.79,0.06,0.19,0.01,0.02,0.69,0.47,6.82,1.9,6.93,5.24,30.24,4.52,05-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-Aug-2020 - 00:00,25.53,739.38,6.44,15.17,0.03,79.66,194.95,,-0.04,229.12,4.3,0.04,0.32,0.02,0.01,0.74,0.48,6.91,1.4,5.25,3.93,26.66,3.55,06-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
06-Aug-2020 - 00:00,27.31,742.8,8.66,28.76,0.0,69.57,207.45,,0.01,202.66,3.41,0.18,0.68,0.09,0.13,1.92,0.46,7.68,1.73,6.28,4.74,36.92,3.42,07-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-Aug-2020 - 00:00,28.59,746.02,12.43,47.1,0.02,72.21,205.36,,-0.0,235.85,2.38,0.07,0.9,0.12,0.09,1.92,0.53,7.72,1.99,9.61,6.73,40.99,4.25,08-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-Aug-2020 - 00:00,28.55,745.67,13.64,46.79,0.0,68.97,207.78,,-0.04,271.44,3.44,0.13,0.28,0.02,0.08,1.47,0.29,7.13,1.78,9.67,6.6,35.99,6.96,09-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-Aug-2020 - 00:00,25.59,744.44,14.43,37.71,0.06,78.79,189.09,,-0.03,260.31,3.24,0.08,0.15,0.0,0.03,1.11,0.51,9.37,1.77,8.3,5.78,33.42,5.35,10-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-Aug-2020 - 00:00,23.28,745.82,10.73,21.05,0.07,82.78,193.61,,-0.05,257.5,3.94,0.17,0.17,0.1,0.26,1.56,0.54,8.67,1.7,6.52,4.85,34.8,6.25,11-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-Aug-2020 - 00:00,27.06,746.73,11.51,29.74,0.04,73.03,207.8,,-0.04,252.58,3.27,0.13,0.74,0.11,0.1,1.9,0.52,6.22,1.69,7.26,5.24,39.25,3.62,12-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-Aug-2020 - 00:00,25.04,747.43,6.63,15.2,0.15,86.89,181.0,,-0.06,255.59,4.18,0.02,0.38,0.04,0.02,1.3,0.55,5.12,1.9,6.86,5.19,25.81,5.95,13-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
13-Aug-2020 - 00:00,25.93,745.48,7.97,17.78,0.03,82.26,190.12,,-0.1,263.72,5.89,0.02,0.31,0.02,0.01,1.49,0.66,3.54,1.71,5.26,4.19,30.16,5.37,14-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
14-Aug-2020 - 00:00,24.53,745.41,9.86,18.18,0.12,85.33,195.46,,-0.09,258.9,5.14,0.02,0.29,0.02,0.01,1.1,0.61,3.03,1.76,4.92,4.04,25.69,4.7,15-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
15-Aug-2020 - 00:00,23.62,745.77,9.29,17.73,0.16,87.33,185.06,,-0.07,246.97,4.38,0.02,0.18,0.0,0.0,0.44,0.38,2.83,1.67,4.76,3.88,24.04,3.47,16-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
16-Aug-2020 - 00:00,24.04,745.71,9.92,23.33,0.03,89.17,4.42,,-0.05,241.75,3.92,0.0,0.01,0.0,0.0,0.23,0.55,4.96,1.2,5.21,3.75,21.32,7.05,17-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
17-Aug-2020 - 00:00,27.67,745.67,9.36,31.54,0.09,78.7,87.13,,0.01,223.67,2.64,0.05,2.52,0.37,0.0,3.18,0.49,5.21,1.65,9.54,6.42,32.93,1.77,18-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
18-Aug-2020 - 00:00,27.35,745.9,8.98,36.48,0.16,73.3,205.29,,-0.04,264.34,3.38,0.14,0.61,0.1,0.14,1.84,0.46,6.83,1.98,7.24,5.46,34.3,5.01,19-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
19-Aug-2020 - 00:00,24.12,744.75,7.61,24.74,0.0,77.77,196.96,,-0.04,261.0,5.53,0.19,0.25,0.03,0.07,2.39,0.55,7.46,1.41,6.51,4.55,31.85,5.95,20-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
20-Aug-2020 - 00:00,22.59,744.46,6.04,11.72,0.11,85.1,187.2,,-0.08,250.33,4.82,0.15,0.3,0.02,0.03,0.98,0.41,7.74,1.16,6.23,4.27,23.47,3.35,21-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
21-Aug-2020 - 00:00,26.22,748.08,7.95,20.12,0.02,76.47,201.58,,-0.01,224.23,2.91,0.17,2.19,0.43,0.19,3.59,0.46,7.0,1.29,7.76,5.09,29.77,5.05,22-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
22-Aug-2020 - 00:00,27.96,749.77,12.3,26.04,0.01,79.48,195.03,,0.01,210.68,2.21,0.07,1.81,0.27,0.03,3.08,0.47,5.22,1.24,8.81,5.63,28.1,4.17,23-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
23-Aug-2020 - 00:00,28.38,749.61,15.7,34.79,0.08,80.48,196.49,,0.02,211.33,2.0,0.07,1.46,0.21,0.06,2.79,0.42,5.43,1.23,7.63,4.93,40.03,3.29,24-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
24-Aug-2020 - 00:00,28.06,751.67,13.34,43.11,0.0,77.42,199.45,,-0.01,237.15,1.94,0.05,1.83,0.33,0.15,3.31,0.42,7.77,1.39,9.43,5.92,37.28,4.18,25-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
25-Aug-2020 - 00:00,27.21,749.91,14.52,46.54,0.02,75.67,192.48,,-0.01,239.52,2.07,0.24,1.49,0.44,0.71,4.15,0.36,9.9,1.84,11.19,7.45,34.55,5.9,26-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
26-Aug-2020 - 00:00,25.09,749.65,14.38,32.97,0.07,81.79,187.86,,-0.01,247.89,2.02,0.15,0.9,0.19,0.31,3.13,0.46,11.38,1.98,9.64,6.74,21.27,7.97,27-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
27-Aug-2020 - 00:00,24.05,748.89,8.24,19.72,0.44,81.56,194.12,,-0.03,250.5,2.68,0.15,1.0,0.2,0.1,2.32,0.46,11.41,1.63,7.27,5.19,29.48,6.8,28-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
28-Aug-2020 - 00:00,27.1,747.98,13.59,33.0,0.0,73.86,205.03,,-0.01,235.62,2.49,0.17,1.21,0.18,0.09,2.7,0.49,10.38,1.78,7.46,5.4,37.78,5.94,29-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
29-Aug-2020 - 00:00,28.41,748.52,16.09,34.91,0.07,73.12,203.07,,0.01,204.85,2.32,0.14,1.4,0.28,0.24,3.16,0.47,10.38,1.51,7.43,5.19,51.58,6.99,30-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
30-Aug-2020 - 00:00,28.21,749.59,20.92,49.14,0.08,73.11,173.51,,0.01,204.26,1.49,0.11,2.54,0.46,0.14,4.53,0.48,12.32,1.77,10.8,7.18,40.56,8.22,31-Aug-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
31-Aug-2020 - 00:00,29.62,749.51,22.74,67.02,0.0,70.47,196.63,,-0.0,259.65,1.87,0.13,1.12,0.22,0.24,3.68,0.52,11.05,1.97,10.98,7.44,36.77,9.53,01-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
01-Sep-2020 - 00:00,27.3,749.54,19.76,65.22,0.0,73.09,165.54,,0.02,191.23,1.88,0.33,2.83,0.65,0.96,6.96,0.56,10.91,2.82,16.21,10.91,23.06,8.25,02-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Sep-2020 - 00:00,27.49,749.8,21.53,49.19,0.0,73.13,202.46,,0.05,134.48,2.39,0.32,1.57,0.34,0.5,5.09,0.62,12.34,2.33,12.12,8.35,45.7,8.73,03-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Sep-2020 - 00:00,28.66,750.91,13.35,33.81,0.0,69.81,197.64,,0.05,127.79,2.61,0.17,1.76,0.31,0.24,3.49,0.53,12.05,2.03,9.79,6.85,31.63,6.26,04-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-Sep-2020 - 00:00,28.75,750.68,13.99,38.23,0.06,68.89,196.07,,0.05,113.55,2.83,0.15,1.59,0.27,0.19,3.68,0.46,11.13,2.56,9.97,7.38,19.22,6.46,05-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-Sep-2020 - 00:00,29.1,749.72,9.35,33.93,0.07,68.27,185.43,,0.02,163.12,2.33,0.22,1.36,0.87,0.5,3.56,0.54,9.55,3.34,9.68,7.86,29.15,7.23,06-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
06-Sep-2020 - 00:00,29.17,749.16,5.34,17.37,0.0,67.74,187.72,,0.02,189.48,2.34,0.02,0.38,0.08,0.03,0.98,0.56,9.43,2.0,7.79,5.77,21.86,5.1,07-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-Sep-2020 - 00:00,28.8,749.84,7.59,32.16,0.0,67.93,218.66,,0.02,189.33,2.45,0.0,0.4,0.0,0.0,0.8,0.56,9.6,2.57,10.31,7.57,28.43,7.66,08-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-Sep-2020 - 00:00,28.77,749.88,6.67,30.89,0.04,70.38,190.41,,0.0,197.21,2.06,0.0,0.4,0.0,0.0,0.8,0.48,7.64,2.15,9.65,6.88,25.7,6.83,09-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-Sep-2020 - 00:00,29.85,749.1,9.88,35.83,0.0,68.43,184.78,,0.01,181.34,2.19,0.0,0.4,0.0,0.0,0.8,0.51,8.84,3.16,11.49,8.68,31.54,6.11,10-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-Sep-2020 - 00:00,29.3,746.51,11.69,30.85,0.0,67.42,190.08,,0.01,207.45,2.01,0.4,1.53,0.29,0.23,4.45,0.59,10.25,1.79,8.96,6.23,44.71,6.52,11-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-Sep-2020 - 00:00,26.55,746.73,14.65,38.73,0.0,73.74,208.06,,-0.0,228.24,2.36,0.05,0.45,0.04,0.0,1.17,0.63,9.87,2.19,10.5,7.37,39.2,7.96,12-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-Sep-2020 - 00:00,25.76,748.45,10.64,34.47,0.48,79.03,159.0,,-0.01,252.15,2.84,0.12,1.1,0.21,0.2,2.48,0.58,9.85,1.77,9.61,6.55,39.39,5.73,13-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
13-Sep-2020 - 00:00,24.17,747.14,4.0,10.06,0.08,83.22,189.2,,-0.02,267.04,2.81,0.19,1.05,0.25,0.33,3.11,0.49,9.28,2.06,8.74,6.32,32.26,8.09,14-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
14-Sep-2020 - 00:00,25.95,745.45,6.44,15.63,0.05,79.16,189.8,,0.0,184.18,2.93,0.16,2.55,0.49,0.27,4.89,0.64,8.83,1.87,9.67,6.66,29.96,7.29,15-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
15-Sep-2020 - 00:00,19.61,746.57,6.67,12.75,0.2,83.59,190.19,,0.0,216.0,1.77,0.58,0.91,0.63,1.83,6.58,0.67,22.27,1.83,14.17,9.02,39.92,5.69,16-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
16-Sep-2020 - 00:00,21.59,747.49,8.88,17.58,0.11,78.26,199.94,,0.01,197.51,1.86,0.42,1.2,0.42,1.03,4.92,0.59,18.1,2.14,11.51,7.87,43.82,7.91,17-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
17-Sep-2020 - 00:00,26.74,747.69,14.81,31.31,0.0,79.23,185.14,,0.01,208.13,1.6,0.12,2.99,0.61,0.16,4.7,0.62,8.23,1.76,9.83,6.66,44.36,7.14,18-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
18-Sep-2020 - 00:00,27.71,745.43,15.47,30.64,0.46,77.29,175.91,,-0.0,247.8,2.32,0.07,1.34,0.21,0.07,3.65,0.55,7.27,1.95,9.34,6.55,49.49,6.95,19-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
19-Sep-2020 - 00:00,26.45,743.51,9.3,22.26,0.52,80.19,175.8,,-0.01,245.83,2.08,0.09,2.63,0.44,0.04,4.09,0.56,5.73,2.48,9.99,7.34,27.97,8.0,20-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
20-Sep-2020 - 00:00,26.67,742.65,13.77,24.51,0.48,81.01,173.53,,-0.02,263.7,2.45,0.07,0.61,0.07,0.03,2.34,0.53,7.4,1.78,6.96,5.09,43.46,5.45,21-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
21-Sep-2020 - 00:00,26.7,743.37,4.07,14.57,0.0,75.0,192.3,,-0.01,224.04,3.6,0.07,2.17,0.35,0.07,3.07,0.65,6.04,1.9,9.24,6.46,32.2,5.6,22-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
22-Sep-2020 - 00:00,26.79,745.42,9.57,27.01,0.0,73.95,187.59,,0.01,209.33,3.07,0.11,1.14,0.18,0.09,2.22,0.58,6.48,1.87,6.88,5.18,39.16,4.83,23-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
23-Sep-2020 - 00:00,27.05,747.94,11.44,28.1,0.0,74.6,180.68,,-0.0,203.6,2.72,0.07,1.66,0.33,0.05,2.63,0.45,7.48,1.63,9.22,6.23,46.4,5.32,24-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
24-Sep-2020 - 00:00,28.75,750.17,17.61,42.42,0.0,71.24,214.56,,0.0,212.23,2.37,0.05,1.1,0.16,0.1,2.12,0.44,7.44,1.56,8.69,5.89,53.94,6.11,25-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
25-Sep-2020 - 00:00,25.67,749.33,13.5,34.04,0.25,80.23,166.47,,-0.0,220.45,2.17,0.07,2.01,0.32,0.03,3.18,0.46,7.31,1.67,10.42,6.91,42.86,6.38,26-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
26-Sep-2020 - 00:00,22.51,749.03,4.8,10.96,0.03,83.28,165.86,,-0.05,251.42,3.96,0.13,0.41,0.04,0.04,1.59,0.38,6.11,1.93,6.85,5.21,37.55,5.85,27-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
27-Sep-2020 - 00:00,25.06,749.32,24.71,48.74,0.0,77.06,191.52,,-0.03,259.39,2.91,0.15,0.81,0.11,0.03,2.16,0.55,8.27,2.1,10.45,7.26,35.37,12.06,28-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
28-Sep-2020 - 00:00,28.28,748.76,35.11,74.92,0.03,69.43,185.33,,0.0,237.9,2.14,0.17,2.2,0.43,0.31,3.87,0.63,10.18,1.84,13.88,8.88,45.67,8.32,29-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
29-Sep-2020 - 00:00,26.39,747.99,30.38,65.1,0.33,72.59,199.84,,-0.02,255.98,2.6,0.17,0.83,0.13,0.16,2.11,0.53,8.55,1.83,9.01,6.28,57.21,7.51,30-Sep-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
30-Sep-2020 - 00:00,24.58,746.9,30.17,43.05,0.02,81.65,162.91,,-0.0,233.68,2.09,0.22,1.21,0.22,0.2,3.25,0.5,8.33,1.87,10.41,7.03,52.27,9.62,01-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
01-Oct-2020 - 00:00,26.53,746.46,34.15,65.27,0.0,72.9,183.86,,-0.03,281.41,3.3,0.11,0.96,0.14,0.1,2.31,0.57,9.13,1.78,9.83,6.67,69.89,11.25,02-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Oct-2020 - 00:00,26.27,746.7,28.8,70.83,0.0,67.26,175.28,,-0.01,280.48,2.64,0.26,1.18,0.2,0.11,2.79,0.57,8.31,1.88,11.59,7.7,63.37,10.36,03-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Oct-2020 - 00:00,25.71,747.09,25.63,49.32,0.45,76.36,176.13,,-0.0,231.64,2.46,0.23,3.51,0.65,0.17,6.24,0.71,8.24,1.9,15.09,9.56,57.69,9.95,04-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-Oct-2020 - 00:00,24.36,747.6,28.7,49.17,0.02,81.08,148.27,,-0.01,252.88,2.1,0.23,1.49,0.28,0.22,3.7,0.57,8.91,1.77,12.32,8.0,49.21,9.3,05-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-Oct-2020 - 00:00,27.17,747.39,29.82,56.81,0.0,73.5,192.26,,-0.0,256.09,2.15,0.23,1.54,0.34,0.48,5.94,0.67,9.22,2.08,12.53,8.36,45.21,8.88,06-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
06-Oct-2020 - 00:00,26.42,748.29,19.56,38.64,0.02,78.56,165.47,,0.02,146.53,1.76,0.18,3.3,0.63,0.22,5.14,0.63,7.02,1.95,13.59,8.82,43.38,7.86,07-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-Oct-2020 - 00:00,26.79,749.7,18.94,40.29,0.0,78.67,183.19,,0.01,196.07,1.35,0.17,4.62,0.95,0.15,6.76,0.75,7.29,2.87,15.79,10.74,33.85,7.81,08-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-Oct-2020 - 00:00,27.13,750.24,34.42,63.19,0.07,77.92,177.99,,0.03,106.2,2.07,0.14,3.39,0.68,0.18,6.22,0.69,8.93,1.84,17.35,10.73,43.48,7.62,09-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-Oct-2020 - 00:00,26.1,750.98,29.12,50.73,0.17,80.96,189.9,,0.02,135.92,1.8,0.11,6.29,1.51,0.02,6.92,0.73,8.26,3.17,18.05,12.19,40.0,7.0,10-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-Oct-2020 - 00:00,25.15,749.57,21.48,39.27,0.25,83.26,169.13,,0.0,229.9,1.77,0.11,2.67,0.48,0.18,4.39,0.58,8.06,2.3,10.24,7.33,31.13,6.86,11-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-Oct-2020 - 00:00,23.15,747.38,7.53,14.29,0.58,87.33,132.84,,-0.0,219.85,1.67,0.08,1.73,0.28,0.09,3.62,0.5,7.06,2.12,7.94,5.95,25.22,6.36,12-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
