from date,Ozone,NO,NO2,NOx,SO2,Benzene,Toluene,WS,RH,BP,WD,SR,PM2.5,PM10,Temp,RF,AP,CO,to date,station
06-Feb-2020 - 00:00,43.58,26.52,18.0,36.0,62.52,1.29,3.19,0.28,,,148.6,,56.84,94.73,35.24,0.76,36.11,1.59,07-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
07-Feb-2020 - 00:00,37.12,22.6,15.33,30.67,53.27,1.27,3.12,0.28,,,146.63,,48.42,80.71,30.57,0.74,35.9,1.56,08-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
08-Feb-2020 - 00:00,44.27,26.95,18.28,36.57,63.51,1.17,2.48,0.28,,,146.48,,57.74,96.24,44.57,0.7,31.39,1.47,09-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
09-Feb-2020 - 00:00,39.21,23.87,16.2,32.39,56.26,1.12,2.04,,,,,,51.14,85.24,,0.67,0.0,1.42,10-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
10-Feb-2020 - 00:00,33.0,20.09,13.63,27.26,47.29,1.17,2.12,0.28,,,186.48,,43.05,71.75,43.31,0.7,32.04,1.49,11-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
11-Feb-2020 - 00:00,38.02,23.14,15.71,31.41,54.52,1.22,2.22,0.85,,,146.13,,49.59,82.66,45.59,0.73,75.52,1.55,12-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
12-Feb-2020 - 00:00,41.26,25.12,17.04,34.07,59.19,1.38,2.5,0.66,,,125.27,,53.82,89.7,40.11,0.83,73.44,1.75,13-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
13-Feb-2020 - 00:00,49.44,30.1,20.42,40.84,70.9,1.5,2.72,0.68,,,136.9,,64.49,107.48,42.37,0.9,67.58,1.9,14-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
14-Feb-2020 - 00:00,54.87,33.4,22.66,44.34,78.7,1.56,2.83,0.84,,,125.22,,71.57,119.29,35.53,0.93,79.96,1.98,15-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
15-Feb-2020 - 00:00,48.64,29.61,34.65,40.18,69.79,1.4,2.55,0.88,,,93.7,,63.44,105.73,35.56,0.84,112.97,1.79,16-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
16-Feb-2020 - 00:00,36.73,22.36,15.17,30.34,52.69,1.42,2.58,0.7,,,95.26,,47.9,79.84,35.06,0.85,114.77,1.81,17-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
17-Feb-2020 - 00:00,57.16,37.25,99.16,49.29,68.58,1.7,3.1,0.68,,,86.72,,79.82,133.03,34.07,1.02,124.65,2.17,18-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
18-Feb-2020 - 00:00,65.66,39.97,27.12,54.24,94.2,1.63,2.96,0.75,,,122.42,,85.64,142.73,32.83,0.98,116.34,2.07,19-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
19-Feb-2020 - 00:00,53.06,28.64,21.92,37.98,66.62,1.44,2.61,0.75,,,128.23,,69.21,115.35,34.24,0.86,117.77,1.83,20-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
20-Feb-2020 - 00:00,55.67,27.84,22.99,36.31,64.14,1.38,2.52,0.75,,,136.31,,72.61,121.02,37.37,0.83,120.84,1.76,21-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
21-Feb-2020 - 00:00,51.37,25.68,21.22,33.5,59.19,1.37,2.49,0.75,,,137.86,,67.0,111.67,37.36,0.82,123.86,1.74,22-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
22-Feb-2020 - 00:00,56.51,28.25,23.34,36.85,65.1,1.4,2.55,0.75,,,142.7,,73.7,122.84,34.23,0.84,115.49,1.78,23-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
23-Feb-2020 - 00:00,47.82,23.91,19.75,31.18,55.09,1.53,2.78,0.75,,,126.28,,62.37,103.95,34.47,0.92,109.5,1.95,24-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
24-Feb-2020 - 00:00,58.33,29.17,24.09,38.04,67.21,1.44,2.61,0.75,,,140.88,,76.09,126.81,36.75,0.86,114.25,1.83,25-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
25-Feb-2020 - 00:00,46.57,41.23,34.06,30.37,53.65,1.45,2.64,0.75,,,109.11,,60.74,101.23,30.36,0.87,117.05,1.85,26-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
26-Feb-2020 - 00:00,55.69,27.84,23.0,36.32,60.03,1.62,2.95,0.75,,,99.94,,72.63,121.06,27.88,0.97,120.47,2.07,27-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
27-Feb-2020 - 00:00,64.08,32.04,26.47,41.79,73.83,1.8,3.27,0.75,,,117.33,,83.58,139.31,33.46,1.08,123.78,2.29,28-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
28-Feb-2020 - 00:00,52.56,26.28,21.71,34.28,60.56,1.57,2.85,0.75,,,115.49,,68.55,114.26,34.37,0.94,125.74,2.0,29-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
29-Feb-2020 - 00:00,45.54,22.77,18.81,29.7,52.47,1.39,2.54,0.75,,,113.19,,59.4,99.0,33.75,0.84,133.61,1.78,01-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
01-Mar-2020 - 00:00,38.64,19.32,15.96,25.2,44.52,1.39,2.53,0.75,,,156.19,,50.4,83.99,37.62,0.83,137.27,1.77,02-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
02-Mar-2020 - 00:00,44.64,22.32,18.44,29.11,51.43,1.44,2.63,0.75,,,146.03,,58.22,97.04,37.13,0.87,134.18,1.84,03-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
03-Mar-2020 - 00:00,46.63,23.31,19.26,30.41,53.72,1.32,2.4,0.75,,,157.87,,60.82,101.36,35.43,0.79,137.39,1.68,04-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
04-Mar-2020 - 00:00,38.99,19.49,16.1,25.43,44.92,1.23,2.25,0.75,,,115.11,,50.85,84.76,37.6,0.74,122.42,1.57,05-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
05-Mar-2020 - 00:00,44.73,22.36,18.47,29.17,51.53,1.3,2.36,0.75,,,95.19,,58.34,97.23,31.33,0.78,110.08,1.65,06-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
06-Mar-2020 - 00:00,41.59,20.8,17.18,27.12,47.92,1.25,2.27,0.75,,,96.37,,54.25,90.42,37.1,0.75,106.13,1.59,07-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
07-Mar-2020 - 00:00,35.99,18.0,14.87,23.47,41.47,1.25,2.28,0.75,,,102.92,,46.94,78.24,34.43,0.75,105.51,1.6,08-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
08-Mar-2020 - 00:00,39.81,19.91,16.45,25.97,45.87,1.29,2.34,0.75,,,124.24,,51.93,86.55,33.95,0.77,105.85,1.64,09-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
09-Mar-2020 - 00:00,35.94,17.97,14.84,23.44,41.41,1.29,2.35,0.75,,,117.65,,46.88,78.13,30.46,0.78,105.44,1.65,10-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
10-Mar-2020 - 00:00,38.39,19.2,15.86,25.04,44.23,1.4,2.54,0.75,,,119.09,,50.08,83.46,45.6,0.84,105.14,1.78,11-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
11-Mar-2020 - 00:00,27.55,13.77,11.38,17.96,31.74,1.29,2.34,0.75,,,82.08,,35.93,59.88,38.11,0.77,105.3,1.64,12-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
12-Mar-2020 - 00:00,27.94,13.97,11.54,18.22,32.19,1.33,2.43,0.75,,,147.88,,36.44,60.74,41.6,0.8,105.63,1.7,13-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
13-Mar-2020 - 00:00,32.32,16.16,13.35,21.08,37.24,1.38,2.5,0.75,,,104.0,,42.16,70.26,31.51,0.83,105.51,1.75,14-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
14-Mar-2020 - 00:00,50.35,25.17,20.8,32.83,58.01,1.58,2.86,0.75,,,82.29,,65.67,109.45,27.19,0.95,105.64,2.0,15-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
15-Mar-2020 - 00:00,53.15,26.57,21.95,34.66,61.23,1.81,3.29,0.75,,,130.42,,69.32,115.54,33.68,1.09,105.81,2.3,16-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
16-Mar-2020 - 00:00,48.45,24.23,20.01,31.6,55.82,1.69,3.07,0.75,,,123.33,,63.2,105.33,33.47,1.01,118.95,2.15,17-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
17-Mar-2020 - 00:00,38.14,19.07,15.75,24.87,43.94,1.55,2.81,0.75,,,131.62,,49.74,82.9,33.91,0.93,125.25,1.97,18-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
18-Mar-2020 - 00:00,35.44,17.72,14.64,23.11,40.81,1.53,2.78,0.75,,,114.44,,46.22,77.03,33.91,0.92,124.61,1.94,19-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
19-Mar-2020 - 00:00,27.18,13.59,11.23,17.73,31.32,1.41,2.57,0.75,,,137.35,,35.45,59.09,25.24,0.85,122.36,1.8,20-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
20-Mar-2020 - 00:00,31.45,15.73,12.99,20.51,36.24,1.3,2.36,0.75,,,129.75,,41.02,68.37,26.34,0.78,121.94,1.65,21-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
21-Mar-2020 - 00:00,26.13,13.07,10.79,17.04,30.11,1.3,2.37,0.75,,,117.33,,34.09,56.81,28.78,0.78,118.87,1.66,22-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
22-Mar-2020 - 00:00,24.76,12.38,10.23,16.15,28.52,1.29,2.35,0.75,,,69.6,,32.29,53.82,29.13,0.77,118.17,1.64,23-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
23-Mar-2020 - 00:00,24.63,12.32,10.17,16.06,28.38,1.13,2.34,0.75,,,99.14,,29.65,48.58,34.86,0.74,120.78,1.43,24-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
24-Mar-2020 - 00:00,26.33,13.16,10.87,17.17,30.33,0.97,2.43,0.75,,,75.54,,28.62,45.79,36.24,0.73,122.13,1.21,25-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
25-Mar-2020 - 00:00,17.67,8.83,7.3,11.52,20.36,0.89,2.23,0.62,,,91.35,,19.2,30.72,40.35,0.67,121.38,1.11,26-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
26-Mar-2020 - 00:00,14.24,7.12,5.88,9.28,16.4,0.99,2.48,0.42,,,75.86,,15.47,24.76,39.49,0.74,121.45,1.24,27-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
27-Mar-2020 - 00:00,18.55,27.77,22.94,12.1,21.37,0.96,2.39,0.42,,,133.78,,60.36,32.26,42.4,0.72,121.34,1.2,28-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
28-Mar-2020 - 00:00,19.78,9.89,8.17,12.9,22.79,1.03,2.57,0.42,,,98.0,0.25,21.5,34.4,38.54,0.77,119.3,1.29,29-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
29-Mar-2020 - 00:00,14.65,7.32,6.05,9.55,16.88,0.99,2.48,0.42,,,126.62,,15.92,25.48,42.01,0.75,114.39,1.24,30-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
30-Mar-2020 - 00:00,17.55,8.77,7.25,11.44,20.22,0.98,2.45,0.42,,,135.07,,19.07,30.52,31.84,0.73,120.84,1.22,31-Mar-2020 - 00:00,"Karve Road, Pune - MPCB"
31-Mar-2020 - 00:00,16.94,8.47,7.0,11.05,19.52,0.98,2.45,0.42,,,122.0,,18.42,29.47,37.02,0.73,121.71,1.09,01-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
01-Apr-2020 - 00:00,17.95,8.97,7.41,11.7,20.68,1.01,2.52,0.42,,,140.77,,19.51,31.21,29.84,0.76,132.16,1.01,02-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
02-Apr-2020 - 00:00,17.0,8.5,7.02,11.09,19.59,1.01,2.52,0.42,,,117.62,,18.48,29.57,30.15,0.75,127.56,1.01,03-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
03-Apr-2020 - 00:00,22.57,29.71,24.54,14.72,26.0,0.99,2.47,0.42,,,148.89,,64.59,39.25,30.59,0.74,134.74,0.99,04-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
04-Apr-2020 - 00:00,23.68,11.84,9.78,15.44,27.28,0.99,2.47,0.42,,,139.83,,25.74,41.18,32.53,0.74,132.99,0.99,05-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
05-Apr-2020 - 00:00,22.1,11.05,9.13,14.41,25.46,1.0,2.49,0.42,,,126.38,,24.02,38.43,33.29,0.75,145.42,1.0,06-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
06-Apr-2020 - 00:00,18.94,9.47,7.82,12.35,21.82,1.0,2.5,0.42,948.02,,136.77,0.0,20.59,32.94,36.25,0.75,128.28,1.0,07-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
07-Apr-2020 - 00:00,18.65,9.33,7.7,12.16,21.49,1.0,2.51,0.42,947.4,,109.94,0.0,20.27,32.44,28.93,0.75,120.17,1.0,08-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
08-Apr-2020 - 00:00,22.94,33.6,27.76,14.96,26.41,0.95,2.38,0.42,,,138.98,,73.04,39.9,34.28,0.71,122.62,0.95,09-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
09-Apr-2020 - 00:00,23.01,29.86,24.67,15.01,26.46,0.96,2.39,0.42,,,154.64,,64.91,40.02,33.84,0.72,120.81,0.96,10-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
10-Apr-2020 - 00:00,27.3,13.65,11.28,17.8,31.45,0.98,2.46,0.42,,,106.93,,29.67,47.48,34.66,0.74,125.04,0.98,11-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
11-Apr-2020 - 00:00,25.49,12.74,10.53,16.62,29.36,1.02,2.55,0.42,,,87.95,,27.7,44.32,35.83,0.76,122.23,1.02,12-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
12-Apr-2020 - 00:00,22.9,11.45,9.46,14.94,26.39,1.01,2.52,0.42,,,65.07,0.25,24.9,39.83,34.86,0.75,125.13,1.01,13-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
13-Apr-2020 - 00:00,29.74,14.87,12.28,19.39,34.26,1.13,2.5,0.42,,,87.91,,32.32,51.71,34.84,0.75,118.47,1.0,14-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
14-Apr-2020 - 00:00,25.07,12.54,10.36,16.35,28.89,1.27,2.54,0.42,,,83.1,,27.25,43.6,32.62,0.76,117.59,1.02,15-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
15-Apr-2020 - 00:00,22.39,29.87,24.67,14.6,25.8,1.27,2.54,0.42,,,112.2,,64.93,38.94,38.42,0.76,116.9,1.02,16-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
16-Apr-2020 - 00:00,21.6,10.8,8.92,14.09,24.89,1.23,2.47,0.42,,,77.6,,23.48,37.57,32.49,0.74,120.18,0.99,17-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
17-Apr-2020 - 00:00,19.31,9.65,7.98,12.59,22.25,1.19,2.37,0.42,,,126.18,,20.99,33.58,33.15,0.71,120.23,0.95,18-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
18-Apr-2020 - 00:00,19.57,9.78,8.08,12.76,22.55,1.24,2.47,0.42,,,75.03,,21.27,34.03,32.95,0.74,120.31,0.99,19-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
19-Apr-2020 - 00:00,18.97,9.48,7.83,12.37,21.85,1.25,2.49,0.42,,,61.56,,20.61,32.98,31.61,0.75,119.82,1.0,20-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
20-Apr-2020 - 00:00,16.61,8.31,6.86,10.84,19.14,1.3,2.59,0.42,,,112.87,,18.06,28.89,32.66,0.78,130.47,1.04,21-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
21-Apr-2020 - 00:00,19.06,9.53,7.87,12.43,21.97,1.25,2.49,0.42,,,132.89,,20.72,33.15,29.83,0.75,122.7,1.0,22-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
22-Apr-2020 - 00:00,19.02,9.51,7.86,12.4,21.91,1.27,2.55,0.42,,,78.06,,20.67,33.07,34.01,0.76,110.17,1.02,23-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
23-Apr-2020 - 00:00,20.76,10.38,8.58,13.54,23.92,1.27,2.53,0.42,,,94.25,,22.57,36.11,32.95,0.76,106.91,1.01,24-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
24-Apr-2020 - 00:00,15.33,7.67,6.33,10.0,17.66,1.28,2.56,0.42,,,104.73,,16.66,26.66,33.28,0.77,110.08,1.02,25-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
25-Apr-2020 - 00:00,16.41,27.61,22.81,10.7,18.9,1.25,2.49,0.42,,,132.53,,60.02,28.54,34.42,0.75,110.31,1.0,26-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
26-Apr-2020 - 00:00,19.04,28.0,23.13,12.42,21.94,1.25,2.5,0.42,,,86.31,,60.87,33.11,31.1,0.75,103.98,1.0,27-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
27-Apr-2020 - 00:00,18.04,9.02,7.45,11.76,20.78,1.26,2.53,0.42,,,74.31,,19.6,31.37,35.72,0.76,114.15,1.01,28-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
28-Apr-2020 - 00:00,24.87,12.43,10.27,16.22,28.65,1.28,2.55,0.42,,,115.04,,27.03,43.25,29.07,0.77,123.29,1.02,29-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
29-Apr-2020 - 00:00,20.76,10.38,8.57,13.54,23.8,1.24,2.48,0.42,,,105.93,,22.56,35.93,31.98,0.75,130.19,1.0,30-Apr-2020 - 00:00,"Karve Road, Pune - MPCB"
30-Apr-2020 - 00:00,18.71,9.35,7.73,12.2,21.55,1.26,2.51,0.42,,,71.04,0.25,20.33,32.53,35.81,0.75,129.8,1.0,01-May-2020 - 00:00,"Karve Road, Pune - MPCB"
01-May-2020 - 00:00,18.07,9.03,7.46,11.78,20.82,1.31,2.62,0.42,,,86.85,0.25,19.64,31.42,40.29,0.78,115.9,1.05,02-May-2020 - 00:00,"Karve Road, Pune - MPCB"
02-May-2020 - 00:00,20.6,10.3,8.51,13.43,23.73,1.25,2.51,0.42,,,50.96,,22.39,35.82,32.08,0.75,129.35,1.0,03-May-2020 - 00:00,"Karve Road, Pune - MPCB"
03-May-2020 - 00:00,18.67,9.33,7.71,12.17,21.51,1.24,2.49,0.42,,,86.59,,20.29,32.46,32.5,0.75,123.56,1.0,04-May-2020 - 00:00,"Karve Road, Pune - MPCB"
04-May-2020 - 00:00,14.47,7.23,5.98,9.43,16.67,1.21,2.42,0.42,,,72.38,,15.72,25.16,31.31,0.72,107.81,0.97,05-May-2020 - 00:00,"Karve Road, Pune - MPCB"
