from date,Ozone,NO,NO2,NOx,SO2,Benzene,Toluene,WS,RH,BP,WD,SR,PM2.5,PM10,Temp,RF,AP,CO,to date,station
01-Jan-2020 - 00:00,50.07,35.26,28.98,38.48,73.83,4.21,8.95,0.28,,,147.02,,67.03,111.71,37.53,1.47,36.01,1.7,02-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
02-Jan-2020 - 00:00,50.22,31.92,26.81,35.88,67.8,4.04,8.58,0.28,,,105.86,,61.23,102.05,37.31,1.41,36.12,1.51,03-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
03-Jan-2020 - 00:00,47.5,29.77,24.95,34.27,64.04,4.24,9.02,0.28,,,145.92,,64.35,107.25,40.45,1.48,35.95,1.59,04-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
04-Jan-2020 - 00:00,44.44,27.07,23.03,31.62,58.69,4.29,9.12,0.28,,,116.65,,82.76,137.94,47.27,1.5,35.76,1.61,05-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
05-Jan-2020 - 00:00,43.46,24.13,21.12,30.17,54.3,4.46,9.47,0.28,,,100.09,,89.12,148.53,46.93,1.56,35.8,1.67,06-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
06-Jan-2020 - 00:00,43.49,25.79,22.13,31.52,57.31,4.56,9.7,0.28,,,125.37,,86.45,144.09,44.2,1.6,35.92,1.71,07-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
07-Jan-2020 - 00:00,41.69,28.43,24.52,33.87,62.3,3.88,8.03,0.28,,,162.14,,90.77,151.29,44.11,1.56,36.18,1.67,08-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
08-Jan-2020 - 00:00,38.01,30.76,27.15,36.5,67.26,3.19,6.37,0.28,,,124.48,,59.56,99.27,45.85,1.49,36.2,1.59,09-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
09-Jan-2020 - 00:00,35.82,32.63,25.13,39.32,71.95,3.43,6.85,0.28,,,115.7,,80.04,133.4,46.01,1.6,36.02,1.71,10-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
10-Jan-2020 - 00:00,35.52,31.56,23.96,38.15,69.71,3.01,6.03,0.28,,,79.96,,75.73,126.22,51.09,1.55,35.94,1.66,11-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
11-Jan-2020 - 00:00,39.05,28.06,23.25,34.73,62.79,3.0,5.99,0.28,,,144.45,,106.34,177.23,46.11,1.68,36.09,1.8,12-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
12-Jan-2020 - 00:00,42.19,26.54,21.72,33.78,60.33,2.98,5.96,0.28,,,158.8,,100.04,166.74,41.09,1.67,36.12,1.79,13-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
13-Jan-2020 - 00:00,42.15,25.32,19.88,32.47,57.87,2.57,5.14,0.28,,,146.26,,74.85,124.75,41.59,1.44,36.15,1.54,14-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
14-Jan-2020 - 00:00,34.05,26.35,16.45,33.9,60.26,0.79,1.57,0.28,,,123.53,,59.07,98.45,41.3,0.44,36.09,0.47,15-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
15-Jan-2020 - 00:00,27.3,26.09,13.46,34.6,60.69,1.88,3.76,0.28,,,143.33,,73.18,121.97,43.55,1.05,36.02,1.13,16-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
16-Jan-2020 - 00:00,29.81,28.23,16.78,36.98,65.22,2.81,5.61,0.28,,,103.24,,51.78,86.31,41.09,1.57,35.81,1.68,17-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
17-Jan-2020 - 00:00,32.52,33.61,22.42,42.38,75.99,3.0,5.99,0.28,,,131.29,,73.02,121.7,33.72,1.68,35.75,1.8,18-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
18-Jan-2020 - 00:00,45.79,32.34,25.48,41.38,73.72,3.24,6.48,0.28,,,121.26,,95.83,159.71,36.7,1.81,35.92,1.94,19-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
19-Jan-2020 - 00:00,45.85,30.16,27.15,39.21,69.38,3.14,6.29,0.28,,,132.08,,95.46,159.1,42.41,1.76,36.07,1.89,20-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
20-Jan-2020 - 00:00,45.83,30.15,27.14,39.2,69.35,3.1,6.19,0.28,,,123.13,,85.33,142.22,41.24,1.73,36.17,1.86,21-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
21-Jan-2020 - 00:00,47.15,32.44,24.54,41.49,73.93,2.97,5.94,0.28,,,130.4,,74.16,123.6,41.08,1.66,36.29,1.78,22-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
22-Jan-2020 - 00:00,44.23,31.04,19.01,40.06,71.1,3.12,6.25,0.28,,,111.95,,76.71,127.84,39.32,1.75,36.28,1.87,23-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
23-Jan-2020 - 00:00,41.2,27.36,16.14,35.48,62.83,3.43,6.86,0.28,,,136.94,,82.28,137.14,38.97,1.92,36.3,2.06,24-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
24-Jan-2020 - 00:00,41.94,26.05,16.15,32.35,58.41,2.59,5.19,0.28,,,140.42,,97.61,162.69,38.85,1.45,36.28,1.56,25-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
25-Jan-2020 - 00:00,41.92,29.09,13.69,35.34,64.43,1.03,2.05,0.28,,,139.42,,100.11,166.86,36.26,0.58,36.34,0.62,26-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
26-Jan-2020 - 00:00,45.24,34.38,13.87,41.02,75.4,1.0,1.99,0.28,,,146.59,,91.85,153.09,36.6,0.56,36.38,0.6,27-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
27-Jan-2020 - 00:00,45.24,31.72,15.35,38.65,70.38,0.82,1.63,0.28,,,137.19,,65.45,109.09,35.03,0.46,36.3,0.49,28-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
28-Jan-2020 - 00:00,43.44,30.39,19.01,37.28,67.66,0.77,1.54,0.28,,,118.33,,57.08,95.13,45.62,0.43,36.05,0.46,29-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
29-Jan-2020 - 00:00,39.7,27.27,16.96,35.14,62.4,0.77,1.53,0.28,,,148.51,,42.45,70.75,42.28,0.43,35.98,0.58,30-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
30-Jan-2020 - 00:00,46.96,28.75,18.53,39.28,68.03,1.13,2.58,0.28,,,133.74,,63.19,105.32,35.79,0.65,36.03,1.68,31-Jan-2020 - 00:00,"Karve Road, Pune - MPCB"
31-Jan-2020 - 00:00,52.33,31.86,34.35,43.23,75.06,1.39,3.43,0.28,,,120.44,,68.26,113.77,37.07,0.81,36.05,1.93,01-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
01-Feb-2020 - 00:00,61.01,37.14,25.2,50.4,87.54,1.31,3.22,0.28,,,128.59,,79.58,132.63,39.08,0.76,36.05,1.61,02-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
02-Feb-2020 - 00:00,50.99,31.04,21.06,42.13,73.16,1.23,3.02,0.28,,,146.25,,66.51,110.86,37.84,0.72,36.14,1.51,03-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
03-Feb-2020 - 00:00,42.36,25.78,17.5,34.99,60.78,1.17,2.88,0.28,,,144.99,,55.25,92.09,34.19,0.68,36.17,1.44,04-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
04-Feb-2020 - 00:00,44.68,27.2,18.46,36.91,64.11,1.33,3.27,0.28,,,131.1,,58.28,97.14,38.89,0.78,36.11,1.63,05-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
05-Feb-2020 - 00:00,52.25,31.8,21.58,43.16,74.96,1.33,3.28,0.28,,,95.53,,68.15,113.58,35.96,0.78,36.07,1.64,06-Feb-2020 - 00:00,"Karve Road, Pune - MPCB"
