from date,PM2.5,Benzene,Temp,RH,SR,RF,Toluene,Eth-Benzene,MP-Xylene,O Xylene,WS,NO2,NO,WD,NOx,NH3,SO2,CO,Ozone,PM10,to date,station
05-Feb-2020 - 00:00,42.71,1.33,25.64,66.11,549.6,0.0,45.77,11.1,22.6,3.05,4.71,12.98,58.11,51.43,34.37,22.81,7.3,0.59,15.41,72.42,06-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
06-Feb-2020 - 00:00,53.53,1.2,25.64,70.82,565.99,0.0,54.48,15.72,24.11,3.61,4.69,13.71,36.75,50.39,18.52,16.69,9.04,0.71,18.47,77.52,07-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
07-Feb-2020 - 00:00,47.72,1.03,24.77,62.61,600.24,0.0,45.38,12.47,14.19,1.25,4.74,12.98,30.23,48.32,12.77,13.49,10.99,0.73,30.25,76.11,08-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
08-Feb-2020 - 00:00,42.65,0.71,23.63,75.75,474.05,0.0,24.07,8.89,16.68,3.19,4.74,13.52,20.91,49.3,5.86,13.27,12.97,0.6,30.17,64.3,09-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
09-Feb-2020 - 00:00,38.13,0.63,22.77,69.1,606.83,0.0,20.26,6.63,11.39,1.92,4.81,12.89,24.52,48.56,7.5,13.0,11.37,0.62,25.87,65.92,10-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
10-Feb-2020 - 00:00,35.18,0.6,22.72,85.8,290.91,0.0,24.8,7.35,17.2,3.16,4.79,13.12,22.69,47.89,6.99,13.25,6.72,0.49,24.57,62.33,11-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
11-Feb-2020 - 00:00,35.93,0.89,24.83,77.28,496.89,0.0,32.66,9.1,20.68,3.21,4.79,21.15,38.78,47.78,16.75,25.56,2.44,0.62,15.18,62.19,12-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
12-Feb-2020 - 00:00,39.61,0.75,26.33,73.74,312.2,0.0,31.0,9.77,20.82,2.96,4.83,13.03,26.74,47.9,9.46,13.43,9.42,0.74,17.31,68.77,13-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
13-Feb-2020 - 00:00,41.42,0.89,27.4,59.55,565.49,0.0,34.99,12.69,29.46,9.14,4.69,13.46,28.22,47.43,10.27,13.43,6.49,0.62,45.97,61.1,14-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
14-Feb-2020 - 00:00,45.7,1.08,26.87,60.02,585.86,0.0,32.67,7.62,21.15,10.94,4.55,14.38,26.39,49.09,9.57,13.18,8.04,0.89,42.22,71.52,15-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
15-Feb-2020 - 00:00,57.58,1.3,26.88,60.1,604.33,0.0,32.86,11.89,24.61,12.81,4.68,12.44,23.28,48.47,6.59,13.23,4.37,0.86,37.03,81.39,16-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
16-Feb-2020 - 00:00,41.58,0.82,28.04,55.04,590.15,0.0,22.85,5.87,26.73,13.33,4.48,12.3,21.39,47.02,5.47,13.26,12.34,0.54,38.9,69.56,17-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
17-Feb-2020 - 00:00,41.95,0.84,28.07,55.74,602.81,0.0,25.18,7.28,29.5,13.78,4.44,12.38,22.31,46.31,6.24,13.11,9.72,0.81,91.21,74.62,18-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
18-Feb-2020 - 00:00,47.97,1.12,28.02,51.02,634.13,0.0,26.21,9.28,24.43,12.86,4.42,12.83,20.96,46.55,5.68,13.31,7.54,0.83,26.69,76.26,19-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
19-Feb-2020 - 00:00,50.78,1.45,27.33,53.22,627.63,0.0,30.49,8.63,28.87,15.06,4.53,14.36,26.57,46.01,9.89,13.46,10.43,1.21,13.67,83.9,20-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
20-Feb-2020 - 00:00,57.64,1.93,27.51,62.1,563.6,0.0,41.91,10.19,40.59,20.56,4.63,15.01,26.89,46.52,10.29,12.97,11.81,1.32,66.57,94.55,21-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
21-Feb-2020 - 00:00,51.9,1.9,27.85,62.24,582.42,0.0,40.68,11.88,37.91,18.96,4.25,12.51,30.81,47.81,11.46,13.24,8.16,1.14,38.83,87.19,22-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
22-Feb-2020 - 00:00,52.71,1.06,28.46,59.77,612.63,0.0,31.66,8.93,31.25,15.78,3.59,17.83,38.16,48.75,19.12,12.62,6.78,0.93,11.76,78.53,23-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
23-Feb-2020 - 00:00,59.7,2.22,28.16,60.57,571.22,0.0,38.05,9.87,34.23,17.33,2.83,16.45,35.83,47.18,16.31,12.92,5.99,1.21,13.18,88.1,24-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
24-Feb-2020 - 00:00,41.61,1.23,28.21,55.38,617.95,0.0,25.59,6.94,23.53,11.98,2.55,13.94,25.26,44.76,8.46,13.71,5.02,0.78,7.05,76.1,25-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
25-Feb-2020 - 00:00,52.62,0.74,26.75,44.82,467.14,0.0,18.93,4.25,18.3,9.09,2.28,13.09,28.18,42.13,9.67,13.21,8.82,0.47,27.38,61.49,26-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
26-Feb-2020 - 00:00,42.04,0.94,25.81,41.08,510.48,0.0,22.04,4.75,17.97,9.5,2.02,13.19,29.69,40.74,20.39,14.22,9.06,0.45,19.97,60.38,27-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
27-Feb-2020 - 00:00,53.56,1.16,26.46,41.77,565.91,0.0,27.46,6.48,25.86,13.11,1.89,14.56,22.54,39.99,7.34,13.25,11.36,0.79,15.57,78.93,28-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
28-Feb-2020 - 00:00,49.44,1.6,27.25,45.97,570.84,0.0,43.93,8.32,35.62,16.83,1.78,15.28,27.18,39.28,10.2,13.32,9.78,1.09,14.55,83.98,29-Feb-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
29-Feb-2020 - 00:00,40.38,0.84,28.05,56.19,555.44,0.0,23.5,6.08,22.82,11.48,1.74,17.11,25.02,40.01,12.13,13.27,7.98,0.92,15.0,82.28,01-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
01-Mar-2020 - 00:00,28.83,0.02,27.76,67.26,498.48,0.0,0.41,0.13,0.32,0.17,1.62,19.82,20.16,40.16,13.27,13.22,7.7,0.74,,72.33,02-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
02-Mar-2020 - 00:00,29.76,0.3,27.73,62.81,521.28,0.0,9.74,2.3,7.16,3.5,1.58,20.3,19.06,38.93,12.6,13.45,6.99,0.76,15.61,89.3,03-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
03-Mar-2020 - 00:00,34.25,1.12,27.62,45.66,464.67,0.0,28.27,6.92,27.11,12.52,1.52,20.6,16.93,37.2,11.2,13.43,9.15,0.7,26.41,96.88,04-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
04-Mar-2020 - 00:00,26.82,0.63,25.72,61.8,493.03,0.0,26.29,3.99,9.6,4.81,1.51,20.25,16.35,35.75,11.03,13.62,8.76,0.56,41.7,90.9,05-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
05-Mar-2020 - 00:00,34.63,1.43,26.07,48.48,521.13,0.0,39.45,7.2,25.06,13.29,1.51,22.07,10.43,34.07,8.35,13.45,5.93,1.11,16.22,110.24,06-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
06-Mar-2020 - 00:00,35.49,0.85,25.63,68.57,525.66,0.0,29.54,3.82,13.92,6.96,1.51,20.76,10.21,32.49,7.55,13.12,6.08,0.49,42.79,103.02,07-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
07-Mar-2020 - 00:00,37.38,1.05,25.34,64.24,526.78,0.0,43.98,4.41,14.54,7.46,1.51,20.49,10.69,33.19,7.84,13.19,7.48,0.68,28.07,89.58,08-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
08-Mar-2020 - 00:00,37.59,0.86,28.09,51.42,618.7,0.0,20.84,5.51,24.76,11.87,1.51,20.73,10.61,33.37,7.89,13.21,7.97,0.69,,89.32,09-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
09-Mar-2020 - 00:00,34.82,1.11,29.34,55.87,546.73,0.0,26.57,7.49,24.35,11.72,1.51,22.59,12.54,33.57,10.15,14.53,9.19,0.89,41.75,91.78,10-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
10-Mar-2020 - 00:00,28.66,0.74,28.44,54.62,456.87,0.0,23.28,3.97,10.37,5.33,1.51,19.99,11.79,32.2,8.46,13.34,5.71,0.57,31.56,85.63,11-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
11-Mar-2020 - 00:00,22.23,0.62,26.53,64.54,485.75,0.0,18.78,2.69,6.35,3.37,1.51,20.82,9.37,31.24,6.99,13.43,8.37,0.44,8.67,68.78,12-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
12-Mar-2020 - 00:00,25.83,0.85,26.57,56.55,611.82,0.0,23.98,3.65,10.01,5.28,1.51,21.71,9.37,30.57,7.39,13.2,6.08,0.6,,59.56,13-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
13-Mar-2020 - 00:00,23.05,0.8,26.61,51.57,563.5,0.0,17.66,3.44,9.42,5.21,1.51,21.09,8.51,30.27,6.59,13.33,5.2,0.54,,61.05,14-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
14-Mar-2020 - 00:00,44.2,0.76,27.14,42.09,567.82,0.0,12.96,3.53,10.86,5.87,1.51,21.2,9.91,30.14,7.75,13.11,7.45,0.6,50.99,67.31,15-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
15-Mar-2020 - 00:00,46.75,0.7,28.08,40.13,578.8,0.0,14.81,4.12,15.5,8.43,1.51,21.32,8.26,29.89,6.53,13.39,7.57,0.46,12.93,84.38,16-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
16-Mar-2020 - 00:00,41.0,0.87,29.76,44.58,557.86,0.0,20.53,5.2,23.51,10.83,1.51,23.12,6.72,29.5,6.34,13.42,8.03,0.65,42.34,88.08,17-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
17-Mar-2020 - 00:00,32.62,0.64,31.57,55.31,576.89,0.0,16.79,4.78,18.51,9.56,1.51,22.95,7.18,27.94,6.59,13.33,7.91,0.8,57.11,87.13,18-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
18-Mar-2020 - 00:00,26.25,0.97,31.25,60.4,443.75,0.0,11.75,2.88,17.11,7.7,1.51,22.6,6.4,27.41,5.71,13.48,8.6,0.72,32.84,83.7,19-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
19-Mar-2020 - 00:00,48.52,0.0,30.62,48.52,554.34,0.0,0.0,0.0,0.0,0.0,1.51,23.27,6.83,26.54,6.49,13.37,5.17,0.9,32.16,91.26,20-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
20-Mar-2020 - 00:00,54.55,,29.17,40.99,487.5,0.0,,,,,1.51,23.46,7.67,24.67,7.04,13.33,5.45,0.75,31.85,103.02,21-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
21-Mar-2020 - 00:00,36.09,,28.7,40.95,505.7,0.0,,,,,1.51,22.65,9.03,23.5,7.63,13.41,6.87,0.56,37.1,76.08,22-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
22-Mar-2020 - 00:00,40.68,,30.28,47.72,559.53,0.0,,,,,1.51,22.78,6.85,22.78,6.21,13.32,8.25,0.68,10.73,64.84,23-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
23-Mar-2020 - 00:00,39.95,,31.16,48.42,577.7,0.0,,,,,1.51,22.88,6.94,22.66,6.31,13.39,8.8,0.77,5.61,68.04,24-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
24-Mar-2020 - 00:00,28.43,,32.14,49.0,643.34,0.0,,,,,1.51,22.56,7.37,22.46,6.49,13.45,6.9,0.51,9.25,60.55,25-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
25-Mar-2020 - 00:00,30.29,,31.44,54.86,601.93,0.07,,,,,1.51,22.81,7.56,22.45,6.85,13.29,7.27,0.54,10.67,66.05,26-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
26-Mar-2020 - 00:00,19.59,0.22,30.15,75.17,527.33,0.0,3.88,0.48,0.49,0.48,1.51,22.11,9.23,22.49,7.38,13.6,13.98,0.55,39.85,34.95,27-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
27-Mar-2020 - 00:00,26.09,0.23,29.15,77.68,537.11,0.28,3.84,0.48,0.5,0.48,1.51,22.12,10.44,22.97,8.4,13.17,5.43,0.56,15.15,41.4,28-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
28-Mar-2020 - 00:00,14.96,0.29,32.58,58.27,443.35,0.0,3.54,0.49,0.46,0.46,1.51,22.32,11.57,23.74,8.3,13.01,7.59,0.39,48.37,30.59,29-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
29-Mar-2020 - 00:00,22.14,0.4,30.69,66.45,481.14,0.0,3.89,0.52,0.51,0.5,1.51,22.06,12.9,23.19,10.14,13.2,5.05,0.63,50.08,38.91,30-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
30-Mar-2020 - 00:00,16.67,0.39,30.66,65.64,532.96,0.0,4.01,0.49,0.5,0.5,1.51,23.72,8.04,23.15,7.55,13.3,7.97,0.46,49.81,33.14,31-Mar-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
31-Mar-2020 - 00:00,15.51,0.42,30.22,65.02,477.1,0.0,3.89,0.48,0.49,0.51,1.51,23.53,8.66,22.74,7.91,13.25,7.01,0.46,49.76,32.97,01-Apr-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
01-Apr-2020 - 00:00,20.42,0.42,31.23,60.49,581.84,0.0,4.09,0.48,0.5,0.49,1.51,23.36,9.28,22.23,8.39,13.19,7.31,0.63,50.07,35.54,02-Apr-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
02-Apr-2020 - 00:00,16.29,0.41,32.07,46.49,582.58,0.0,3.91,0.51,0.51,0.5,1.51,23.67,8.85,21.4,8.14,13.23,7.98,0.43,50.21,38.04,03-Apr-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
03-Apr-2020 - 00:00,22.59,0.4,32.85,44.68,489.65,0.0,3.94,0.49,0.49,0.48,1.51,23.93,8.54,20.48,8.07,13.16,8.42,0.59,49.78,48.74,04-Apr-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
04-Apr-2020 - 00:00,26.09,0.39,32.66,50.53,578.21,0.0,3.96,0.47,0.5,0.49,1.51,24.08,7.96,20.77,7.67,13.2,6.22,0.73,49.77,45.62,05-Apr-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
05-Apr-2020 - 00:00,26.68,0.4,32.35,45.61,563.31,0.0,3.89,0.51,0.49,0.49,1.51,24.31,8.43,21.01,8.21,13.21,2.92,0.86,50.24,51.67,06-Apr-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
06-Apr-2020 - 00:00,24.06,0.42,32.66,40.59,490.12,0.0,3.9,0.5,0.47,0.49,1.51,23.72,8.8,20.65,7.93,13.25,4.57,0.81,50.06,46.0,07-Apr-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
07-Apr-2020 - 00:00,20.84,0.42,32.27,42.13,500.0,0.0,3.95,0.48,0.48,0.49,1.51,24.46,8.63,20.73,8.19,13.18,4.74,0.6,50.01,40.5,08-Apr-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
08-Apr-2020 - 00:00,20.16,0.38,31.02,41.13,515.87,0.0,3.93,0.52,0.48,0.49,1.51,24.14,7.92,20.98,7.69,13.26,5.41,0.32,50.15,44.01,09-Apr-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
09-Apr-2020 - 00:00,19.87,0.38,31.58,40.6,500.24,0.0,3.99,0.47,0.51,0.49,1.51,23.99,8.2,20.64,7.86,13.26,5.73,0.4,50.02,41.41,10-Apr-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
10-Apr-2020 - 00:00,27.63,0.42,32.71,43.78,494.3,0.0,3.88,0.48,0.49,0.5,1.51,23.91,8.28,20.66,7.72,13.37,8.02,0.57,49.83,47.81,11-Apr-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
11-Apr-2020 - 00:00,23.59,0.39,33.02,41.08,582.87,0.0,3.97,0.47,0.48,0.51,1.51,24.14,8.29,19.88,7.74,13.15,6.41,0.65,49.53,43.55,12-Apr-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
12-Apr-2020 - 00:00,24.84,0.41,33.65,43.29,579.63,0.0,4.08,0.48,0.5,0.49,1.51,24.08,9.95,19.74,8.69,13.24,6.23,0.79,49.81,45.88,13-Apr-2020 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
